_uf;_label;_level;estab_total;area_ha_total;estab_menos_1ha;area_ha_menos_1ha;estab_1_a_2ha;area_ha_1_a_2ha;confianca
GO;MAIRIPOTABA;municipio;298.0;48866.0;;;;;media
GO;MARZAGÃO;municipio;67.0;16399.0;;;;;media
GO;MORRINHOS;municipio;1789.0;289719.0;;;;;media
GO;PANAMA;municipio;314.0;41384.0;;;;;media
GO;PI RACANJUBA;municipio;1703.0;260615.0;;;;22.0;media
GO;PONTALINA;municipio;780.0;135747.0;;;;;media
GO;VICENTINOPOLIS;municipio;195.0;65752.0;;;;;media
GO;PIRES DO RIO;microrregiao;5714.0;868913.0;12.0;;;28.0;media
GO;CRISTIANOPOLIS;municipio;132.0;17671.0;;;;;media
GO;ORIZONA;municipio;1518.0;176218.0;;;;10.0;media
GO;PALMELO;municipio;52.0;3725.0;;;;;media
GO;PIRES DO RIO;municipio;554.0;94034.0;;;;;media
GO;SANTA CRUZ DE GO IAS;municipio;487.0;95230.0;;;;;media
GO;SILVANIA;municipio;2109.0;339161.0;;;;;media
GO;URUTAI;municipio;303.0;62408.0;;;;;media
GO;VIANOPOLIS;municipio;559.0;80463.0;;;;;media
GO;CATALÃO;microrregiao;5256.0;25.0;33.0;;;;media
GO;ANHANGUERA;municipio;19.0;6282.0;;;;;media
GO;CAMPO ALEGRE DE GOIAS;municipio;483.0;229886.0;;;;;media
GO;CATALÃO;municipio;1524.0;312461.0;;;;;media
GO;CORUMBAIBA;municipio;557.0;163431.0;;;;;media
GO;CUMARI;municipio;277.0;52479.0;;;;;media
GO;OAVINOPOLIS;municipio;342.0;48650.0;;;;;media
GO;GOIANDIRA;municipio;294.0;49305.0;;;;;media
GO;IPAMERI;municipio;985.0;418596.0;;;;16.0;media
GO;NOVA AURORA;municipio;171.0;;;;;;media
GO;OUVIDOR;municipio;352.0;34257.0;;;;;media
GO;TRES RANCHOS;municipio;252.0;20858.0;;;;;media
GO;ACREUNA;microrregiao;;;80.0;11605.0;128.0;48336.0;media
GO;CAMPESTRE DE GOIAS;microrregiao;21.0;6480.0;963.0;22.0;3625.0;3811.0;media
GO;EDEIA;microrregiao;;;161.0;23196.0;166.0;37899.0;media
GO;INDIARA;microrregiao;;;107.0;15350.0;105.0;23316.0;media
GO;JANDAIA;microrregiao;;;88.0;12396.0;63.0;16625.0;media
GO;PALMEIRAS DE GOIAS;microrregiao;178.0;40393.0;24943.0;136.0;38.0;27292.0;media
GO;PALMINOPOLIS;microrregiao;;;51.0;7114.0;46.0;4525.0;media
GO;PARAUNA;microrregiao;;;148.0;21167.0;193.0;73693.0;media
GO;VARJÁO;microrregiao;;;58.0;8635.0;64.0;10120.0;media
GO;MEIA PONTE;mesorregiao;;;1914.0;276610.0;1769.0;395677.0;media
GO;AGUA LIMPA;microrregiao;;;26.0;3537.0;33.0;5287.0;media
GO;ALOANOIA;microrregiao;;;22.0;3346.0;;2294.0;media
GO;BOM JESUS DE GOIAS;microrregiao;118.0;39017.0;16937.0;127.0;49.0;34449.0;media
GO;BURITI ALEGRE;microrregiao;96.0;25606.0;14117.0;82.0;19.0;11957.0;media
GO;CACHOEIRA DOURADA;microrregiao;59.0;15713.0;8447.0;50.0;19.0;13039.0;media
GO;CALDAS NOVAS;microrregiao;145.0;40478.0;21366.0;123.0;56.0;38628.0;media
GO;CROMINIA;microrregiao;;;38.0;5490.0;33.0;5111.0;media
GO;GOIATUBA;microrregiao;;;171.0;24896.0;171.0;30273.0;media
GO;ITUMBIARA;microrregiao;;;295.0;42790.0;255.0;61065.0;media
GO;JOVIANIA;microrregiao;;;45.0;6703.0;60.0;6153.0;media
GO;MAIRIPOTABA;microrregiao;;;50.0;7311.0;56.0;14084.0;media
GO;MARZAGÃO;microrregiao;;;17.0;2497.0;11.0;2792.0;media
GO;MORRI NHOS;microrregiao;;;306.0;43376.0;286.0;57416.0;media
GO;PANAMA;microrregiao;;;50.0;7034.0;53.0;6906.0;media
GO;PI RACANJUBA;microrregiao;;;292.0;42397.0;248.0;55839.0;media
GO;PONTALINA;microrregiao;;;144.0;20380.0;130.0;34642.0;media
GO;VICENTINOPOLIS;microrregiao;;;40.0;5978.0;45.0;15734.0;media
GO;PIRES DO RIO;mesorregiao;976.0;250666.0;140869.0;811.0;236.0;164870.0;media
GO;CRI STIANOPOLIS;microrregiao;;;24.0;3469.0;14.0;4473.0;media
GO;ORIZONA;microrregiao;;;243.0;34599.0;197.0;24044.0;media
GO;PALME LO;microrregiao;;;;520.0;;;media
GO;PIRES;microrregiao;104.0;32032.0;14407.0;103.0;27.0;17993.0;media
GO;SANTA CRUZ DE GO IAS;microrregiao;105.0;23463.0;15047.0;77.0;30.0;20548.0;media
GO;SILVANIA;microrregiao;;;320.0;47002.0;281.0;73840.0;media
GO;URUTAI;microrregiao;;;65.0;9648.0;47.0;7958.0;media
GO;VIANOPOLIS;microrregiao;;;111.0;16173.0;87.0;16012.0;media
GO;CATALÃO;mesorregiao;;;1023.0;147579.0;1031.0;255867.0;media
GO;ANHANGUERA;microrregiao;498.0;2.0;1.0;871.0;1.0;1345.0;media
GO;CAMPO ALEGRE DE GO IAS;microrregiao;95.0;37292.0;13962.0;34316.0;43569.0;;media
GO;CATALÃO;microrregiao;;;;40415.0;217.0;51571.0;media
GO;CORUMBAIBA;microrregiao;120.0;48690.0;157.0;54.0;38465.0;22.0;media
GO;CUMARI;microrregiao;;;60.0;8314.0;;9912.0;media
GO;DAVINOPOLIS;microrregiao;;;75.0;;;;media
GO;GOIANDIRA;microrregiao;;;74.0;10777.0;;7710.0;media
GO;IPAMERI;microrregiao;;;178.0;25591.0;290.0;99346.0;media
GO;NOVA AURORA;microrregiao;;;43.0;6076.0;26.0;3905.0;media
GO;OUVIDOR;microrregiao;;;61.0;8328.0;;13.0;media
GO;TRES RANCHOS;microrregiao;;;32.0;4507.0;21.0;1093.0;media
GO;TOTAIS;total;;11373.0;;;4974.0;;media
GO;NORDESTE GOIANO;mesorregiao;;8530.0;;;192.0;;alta
GO;SÃO MIGUEL DO ARAGUAIA;microrregiao;;2367.0;;;46.0;;alta
GO;CRIXAS;municipio;;1270.0;;;27.0;;media
GO;MOZARLANDIA;municipio;;356.0;;;10.0;;media
GO;MUNDO NOVO;municipio;;94.0;;;;;media
GO;NOVA CRIXAS;municipio;;292.0;;;;;media
GO;SÃO MIGUEL DO ARAGUAIA;municipio;;355.0;;;;;media
GO;RIO VERMELHO;microrregiao;;4028.0;;;54.0;;alta
GO;ARAGUAPAZ;municipio;;206.0;;;;;media
GO;ARUANÃ;municipio;;260.0;;;;;media
GO;BRITANIA;municipio;;43.0;;;;;media
GO;GOIAS;municipio;;2097.0;;;;;media
GO;ITAPIRAPUÃ;municipio;;612.0;;;;;media
GO;JUSSARA;municipio;;810.0;;;27.0;;media
GO;ARAGARÇAS;microrregiao;;2135.0;;;92.0;;alta
GO;ARAGARÇAS;municipio;;56.0;;;11.0;;alta
GO;ARENOPOLI S;municipio;;279.0;;;11.0;;alta
GO;BALIZA;municipio;;215.0;;;;;alta
GO;BOM JARDIM DE GOIAS;municipio;;401.0;;;13.0;;alta
GO;OIORAMA;municipio;;199.0;;;20.0;;alta
GO;MONTES CLAROS DE GO IAS;municipio;;498.0;;;11.0;;alta
GO;PIRANHAS;municipio;;487.0;;;25.0;;alta
GO;NORTE GOIANO;mesorregiao;;16811.0;;;512.0;;alta
GO;PORANGATU;microrregiao;;13315.0;;;176.0;;alta
GO;CAMPINAÇU;municipio;;707.0;;;;;media
GO;CAMPINORTE;municipio;;289.0;;;;;media
GO;ESTRELA DO NORTE;municipio;;102.0;;;;;media
GO;FORMOSO;municipio;;1019.0;;;14.0;;media
GO;MARA ROSA;municipio;;2675.0;;;41.0;;media
GO;MINAÇU;municipio;;993.0;;;;;media
GO;MUTUNOPO LI S;municipio;;306.0;;;;;media
GO;NIQUELANDIA;municipio;;3381.0;;;34.0;;media
GO;PORANGATU;municipio;;1380.0;;;;;media
GO;SANTA TEREZA DE GOIAS;municipio;;159.0;;;;;media
GO;SANTA TEREZINHA DE GOIAS;municipio;;1147.0;;;47.0;;media
GO;URUAÇU;municipio;;1157.0;;;;;media
GO;CHAPADA DOS VEADEIROS;microrregiao;;3496.0;;;336.0;;alta
GO;ALTO PARAISO DE GOIAS;municipio;;164.0;;;;;alta
GO;CAMPOS BELOS;municipio;;250.0;;;37.0;;alta
GO;CAVALCANTE;municipio;;1553.0;;;71.0;;alta
GO;MONTE ALEGRE DE GOIAS;municipio;;468.0;;;131.0;;alta
GO;NOVA ROMA;municipio;;587.0;;;84.0;;alta
GO;SÃO JOÃO D' ALIANÇA;municipio;;474.0;;;10.0;;alta
MG;TOTAIS;total;551488.0;45836654.0;13574.0;6595.0;19566.0;26517.0;media
MG;NORDESTE MINEIRO;mesorregiao;45492.0;8543504.0;;;;1166.0;alta
MG;SANFRANCISCANA DE JANUARIA;microrregiao;14040.0;2017453.0;;;;328.0;alta
MG;ITACARAMBI;municipio;1625.0;127074.0;;;;190.0;media
MG;JANUARIA;municipio;3849.0;723686.0;;;;27.0;media
MG;MANGA;municipio;153.0;443907.0;;;;72.0;media
MG;MONTALVANIA;municipio;759.0;133353.0;;;;15.0;media
MG;SÃO FRANCISCO;municipio;4654.0;589431.0;;;;22.0;media
MG;SERRA GERAL DE MINAS;microrregiao;14927.0;840405.0;;;;639.0;alta
MG;ESPINOSA;municipio;3658.0;122161.0;;;;156.0;alta
MG;MATO VERDE;municipio;1374.0;72020.0;;;;17.0;alta
MG;MONTE AZUL;municipio;3006.0;324017.0;;;;116.0;alta
MG;PORTEIRINHA;municipio;5631.0;232926.0;;;;261.0;alta
MG;RI ACHO DOS MACHADOS;municipio;1258.0;89280.0;;;;88.0;alta
MG;CHAPADÕES DO PARACATU;microrregiao;14657.0;4753003.0;;;;94.0;alta
MG;ARINOS;municipio;936.0;378140.0;;;;;media
MG;BONFINOPOLIS DE MINAS;municipio;1275.0;282487.0;;;;14.0;media
MG;BURITIS;municipio;841.0;362300.0;;;;;media
MG;FORMOSO;municipio;414.0;;;;;;media
MG;GUARDA-MOR;municipio;470.0;175339.0;;;;;media
MG;JOÃO PINHEIRO;municipio;2286.0;137903.0;;;;;media
MG;LAGAMAR;municipio;706.0;116191.0;;;;;media
MG;PARACATU;municipio;1511.0;668805.0;;;;;media
MG;PRESIDENTE OLEGARIO;municipio;2095.0;438554.0;;;;;media
MG;UNAI;municipio;3391.0;821226.0;;;;65.0;media
MG;VAZANTE;municipio;732.0;165340.0;;;;;media
MG;ALTO-MEDIO SÃO FRANCISCO;microrregiao;1868.0;932641.0;;;;103.0;alta
MG;BURITIZEIRO;municipio;617.0;583163.0;;;;45.0;media
MG;PIRAPORA;municipio;210.0;43283.0;;;;50.0;media
MG;SANTA FE DE MINAS;municipio;300.0;117125.0;;;;;media
MG;SÃO ROMÃO;municipio;741.0;189069.0;;;;;media
MG;NORDESTE MINEIRO;mesorregiao;102122.0;9809605.0;;;;2320.0;media
MG;ALTO RIO PARDO;microrregiao;14601.0;1204385.0;;;;142.0;media
MG;AGUAS VERMELHAS;municipio;768.0;157277.0;;;;;media
MG;RIO PARDO DE MINAS;municipio;5922.0;315848.0;;;;;media
MG;RUBELITA;municipio;1146.0;105189.0;;;;;media
MG;SALINAS;municipio;3151.0;254957.0;;;;35.0;media
MG;SÃO JOÃO DO PARA ISO;municipio;2802.0;239743.0;;;;86.0;media
MG;TAIOBEIRAS;municipio;812.0;131370.0;;;;;media
MG;MONTES CLAROS;microrregiao;23352.0;2807087.0;;;;989.0;media
MG;BOCAIUVA;municipio;2306.0;310772.0;;;;27.0;media
MG;BRASILIA DE MINAS;municipio;2069.0;236416.0;;;;11.0;media
MG;CAPITÃO ENEAS;municipio;292.0;97089.0;;;;;media
MG;CLARO DOS POÇÕES;municipio;660.0;65667.0;;;;30.0;media
MG;CORAÇÃO DE JESUS;municipio;2358.0;295485.0;;;;38.0;media
MG;TOTAIS;total;44665.0;307299398431.0;;34034626731.0;;;media
MG;NORDESTE MINEIRO;microrregiao;4385.0;6661140048.0;;7631049199.0;;;media
MG;SANFRANCISCANA DE JANUARIA;microrregiao;1044.0;727225591.0;;134187219.0;;;media
MG;ITACARAMBI;municipio;41.0;298338.0;;7359.0;;;media
MG;JANUARIA;municipio;308.0;19560771.0;;4054627.0;;;media
MG;MANGA;municipio;159.0;10633294.0;;3448064.0;;;media
MG;MONTALVANIA;municipio;92.0;6219800.0;;1317235.0;;;media
MG;SÂO FRANCISCO;municipio;444.0;335103386.0;;4259933.0;;;media
MG;SERRA GERAL DE MINAS;microrregiao;663.0;342101210.0;;4053441.0;;;media
MG;ESP I NOSA;municipio;119.0;7421.0;54.0;6160.0;;;media
MG;MATO VERDE;municipio;96.0;4413154.0;;1300.0;;;media
MG;MONTE AZUL;municipio;156.0;7020866.0;;2331625.0;;;media
MG;PORTEIRINHA;municipio;207.0;11434543.0;;1012536.0;;;media
MG;RIACHO DOS MACHADOS;municipio;85.0;4011491.0;;1820.0;;;media
MG;CHAPADÔES DO PARACATU;municipio;2417.0;2335733832.0;;525718523.0;;;media
MG;ARINOS;municipio;215.0;12136779.0;;5271578.0;;;media
MG;BONFINOPOLIS DE MINAS;municipio;211.0;13944857.0;;2638568.0;;;media
MG;BURITIS;municipio;147.0;16550550.0;;5778221.0;;;media
MG;FORMOSO;municipio;49.0;6922413.0;;2432151.0;;;media
MG;GUARDA-MOR;municipio;75.0;12338452.0;;3546368.0;;;media
MG;JOÃO PINHEIRO;municipio;379.0;407128906.0;;109150412.0;;;media
MG;LAGAMAR;municipio;139.0;12239006.0;;5515.0;;;media
MG;PARACATU;municipio;229.0;308102493.0;;75103046.0;;;media
MG;PRESIDENTE OLEGARIO;municipio;341.0;26981580.0;;4664191.0;;;media
MG;VAZANTE;municipio;143.0;15246024.0;;1316237.0;;;media
MG;ALTO-MEDI O SÂO FRANCISCO;municipio;264.0;26279413.0;;6490014.0;;;media
MG;BURITIZEIRO;municipio;68.0;7322737.0;;4159614.0;;;media
MG;PIRAPORA;municipio;14.0;123531.0;;1300.0;;;media
MG;SANTA FE DE MINAS;municipio;59.0;6721226.0;;8989.0;;;media
MG;SÂO ROMÂO;municipio;123.0;11031918.0;;1520.0;;;media
MG;NORDESTE MINEIRO;microrregiao;7660.0;61571911941.0;;9371269967.0;;;media
MG;ALTO RIO PARDO;municipio;1032.0;691200835.0;;88111643.0;;;media
MG;AGUAS VERME LHAS;municipio;110.0;10432693.0;;2835248.0;;;media
MG;RIO PARDO DE MINAS;municipio;217.0;11933067.0;;10529.0;;;media
MG;RUBELITA;municipio;128.0;7421676.0;;1013827.0;;;media
MG;SALINAS;municipio;328.0;18954653.0;;2126165.0;;;media
MG;SÃO JOÃO DO PARAI SO;municipio;114.0;9627108.0;;1620383.0;;;media
MG;TAIOBEIRAS;municipio;135.0;10931636.0;;5490.0;;;media
MG;MONTES CLAROS;municipio;1829.0;1568498290.0;;318436460.0;;;media
MG;BOCAIUVA;municipio;156.0;12941880.0;;2333678.0;;;media
MG;BRASILIA DE MINAS;municipio;216.0;15448138.0;;3040756.0;;;media
MG;CAP I T ÂO EN E AS;municipio;20.0;3310693.0;;1521519.0;;;media
MG;CLARO DOS POÇÕES;municipio;53.0;4915101.0;;3613.0;;;media
MG;CORAÇÃO DE JESUS;municipio;45.0;213.0;30577.0;78.0;55180.0;3648986.0;media
MG;MINERADORA DO ALTO .JEQUITINHONHA;microrregiao;59.0;4066.0;479486.0;;;;media
MG;BOTUMIRIM;municipio;;;;;;;media
MG;CRISTALIA;municipio;;;;;;;media
MG;GRÃO MOGOL;municipio;62.0;2066.0;273267.0;;;;media
MG;ITACAMBIRA;municipio;;;;;;;media
MG;PASTORIL DE PEDRA AZUL;microrregiao;64.0;13955.0;1247467.0;73.0;90.0;;media
MG;ANDRE FERNANDES;municipio;65.0;415.0;69838.0;;;;media
MG;ARAÇUAI;municipio;;;;;;;media
MG;CARA(;municipio;;;;;;;media
MG;COMERCINHO;municipio;;;;;;;media
MG;CORONEL MURTA;municipio;;;;;;;media
MG;ITAOBIM;municipio;;;;;;;media
MG;(TINGA;municipio;;;;;;;media
MG;MEDINA;municipio;;;;;;;media
MG;NOVO CRUZEIRO;municipio;73.0;3436.0;125396.0;22.0;30.0;;media
MG;PADRE PARAISO;municipio;74.0;768.0;41804.0;;;;media
MG;PEDRA AZUL;municipio;75.0;327.0;145707.0;;;;media
MG;VIRGEM DA LAPA;municipio;76.0;1305.0;91160.0;;;;media
MG;PASTORIL DE ALMENARA;microrregiao;77.0;6709.0;79838.0;11.0;29.0;35.0;media
MG;ALMENARA;municipio;;;;;;;media
MG;BANDEIRA;municipio;;;;;;;media
MG;FELISBURGO;municipio;;;;;;;media
MG;JACINTO;municipio;;;;;;;media
MG;JEQUITINHONHA;municipio;;;;;;;media
MG;JOAIMA;municipio;;;;;;;media
MG;.JOROANIA;municipio;;;;;;;media
MG;RUBIM;municipio;;;;;;;media
MG;SAL TO DA DIVISA;municipio;;;;;;;media
MG;SANTA MARIA;municipio;88.0;204.0;35454.0;;;;media
MG;SANTO ANTONIO DO JACINTO;municipio;89.0;891.0;43096.0;7.0;;;media
MG;MINERADORA DE DIAMANTINA;microrregiao;90.0;22626.0;983686.0;60.0;37.0;445.0;media
MG;BERILO;municipio;;;;;;;media
MG;CAPELINHA;municipio;;;;;;;media
MG;CARBONITA;municipio;;;;;;;media
MG;CHAPADA;municipio;94.0;0.0;2285.0;42390.0;10.0;18.0;media
MG;COUTO DE MAGALHÃES DE MINAS;municipio;95.0;75.0;22013.0;;;;media
MG;DATAS;municipio;;;;;;;media
MG;DIAMANTINA;municipio;;;;;;;media
MG;FELICIO DOS SANTOS;municipio;98.0;730.0;20215.0;108.0;157.0;;media
MG;FELISBERTO CALDEIRA;municipio;99.0;139.0;9372.0;;;;media
MG;BOTUMIRIM;microrregiao;60.0;97.0;13104.0;59.0;19641.0;12.0;media
MG;CRISTALIA;microrregiao;;44.0;6664.0;;;1413.0;media
MG;GRÂO MOGOL;microrregiao;62.0;153.0;20658.0;116.0;35796.0;49.0;media
MG;ITACAMBIRA;microrregiao;;70.0;9700.0;;;2379.0;media
MG;PASTORIL DE PEDRA AZUL;mesorregiao;64.0;1307.0;179666.0;977.0;300180.0;324.0;media
MG;ANDRE FERNANDES;microrregiao;65.0;68.0;9563.0;73.0;21802.0;18.0;media
MG;ARAÇUA I;microrregiao;66.0;180.0;24117.0;143.0;45345.0;57.0;media
MG;CARAI;microrregiao;;107.0;14473.0;18.0;;6650.0;media
MG;COMERCINHO;microrregiao;;81.0;11079.0;12.0;;2900.0;media
MG;CORONEL MURTA;microrregiao;69.0;76.0;11333.0;60.0;17947.0;29.0;media
MG;ITAOBIM;microrregiao;;61.0;8474.0;16.0;;6079.0;media
MG;(TINGA;microrregiao;;234.0;32144.0;37.0;;25369.0;media
MG;MEDINA;microrregiao;;122.0;16342.0;38.0;;25261.0;media
MG;NOVO CRUZEIRO;microrregiao;73.0;130.0;17765.0;88.0;27659.0;26.0;media
MG;PADRE PARAISO;microrregiao;74.0;72.0;9691.0;20.0;5760.0;1350.0;media
MG;PEDRA AZUL;microrregiao;75.0;75.0;11248.0;101.0;34235.0;56.0;media
MG;VIRGEM DA LAPA;microrregiao;76.0;101.0;13432.0;;;;media
MG;PASTORIL DE ALMENARA;mesorregiao;77.0;;;;;;media
MG;ALMENARA;microrregiao;;197.0;27521.0;97.0;;39476.0;media
MG;BANDEIRA;microrregiao;;55.0;7561.0;12.0;;3412.0;media
MG;FELISBURGO;microrregiao;;54.0;7553.0;15.0;;9911.0;media
MG;JACINTO;microrregiao;;111.0;16244.0;32.0;;22288.0;media
MG;JEQUITINHONHA;microrregiao;;116.0;16699.0;86.0;;58451.0;media
MG;JOAIMA;microrregiao;;124.0;17245.0;56.0;;23554.0;media
MG;JORDANIA;microrregiao;;70.0;9849.0;;;7798.0;media
MG;RIO DO PRADO;microrregiao;85.0;114.0;77.0;23351.0;19.0;12001.0;media
MG;RUBIM;microrregiao;;80.0;11899.0;33.0;;9313.0;media
MG;SALTO DA DIVISA;microrregiao;87.0;13.0;1943.0;19.0;6163.0;23.0;media
MG;SANTA MARIA DO SAL TO;microrregiao;88.0;44.0;6411.0;32.0;10708.0;10.0;media
MG;SANTO ANTONIO DO JACINTO;microrregiao;89.0;79.0;;;;;media
MG;MINERADORA DE DIAMANTINA;mesorregiao;90.0;593.0;82237.0;405.0;125402.0;121.0;media
MG;BERILO;microrregiao;;47.0;5982.0;;;2980.0;media
MG;CAPELINHA;microrregiao;;73.0;10539.0;13.0;;1100.0;media
MG;CARBONITA;microrregiao;93.0;2444.0;15.0;3989.0;1221.0;600.0;media
MG;CHAPADA DO NORTE;microrregiao;94.0;23.0;3047.0;12.0;3155.0;4755.0;media
MG;COUTO DE MAGALHÃES DE MINAS;microrregiao;95.0;696.0;10.0;3622.0;605.0;3783.0;media
MG;DATAS;microrregiao;;11.0;1565.0;;;;media
MG;DIAMANTINA;microrregiao;;60.0;8231.0;17.0;;9053.0;media
MG;FELICIO DOS SANTOS;microrregiao;98.0;14.0;1887.0;10.0;3024.0;3852.0;media
MG;FELISBERTO CALDEIRA;microrregiao;99.0;13.0;1977.0;2817.0;1500.0;;media
MG;GRUPOS TOTAL;total;1.0;;;;;;media
MG;A MENOS;municipio;2000.0;5000.0;10000.0;;;;media
MG;ESTABE-;mesorregiao;1.0;;;;;;media
MG;LECI-;mesorregiao;;;;;;;media
MG;MENTOS MENTOS;mesorregiao;1.0;;;;;;media
MG;FREI GASPAR;municipio;109.0;358.0;58726.0;;;;media
MG;ITAIPE;municipio;;1509.0;58408.0;;11.0;12.0;media
MG;LADAINHA;municipio;;1712.0;7126.0;;94.0;111.0;media
MG;MALACACHETA;municipio;;3306.0;156698.0;;118.0;153.0;media
MG;PAVÂO;municipio;;427.0;66988.0;;;;media
MG;POTE;municipio;;943.0;53958.0;;41.0;49.0;media
MG;TEOFILO OTONI;municipio;115.0;3163.0;343513.0;33.0;16.0;26.0;media
MG;PASTORIL DE NANUQUE;microrregiao;116.0;5393.0;998233.0;42.0;51.0;;media
MG;AGUAS FORMOSAS;municipio;117.0;724.0;164376.0;;;;media
MG;ATALEIA;municipio;;1230.0;155722.0;;;;media
MG;BERTOPOLIS;municipio;;496.0;67540.0;;;;media
MG;CARLOS CHAGAS;municipio;120.0;1090.0;317549.0;;;;media
MG;FRONTEIRA DOS VALES;municipio;;207.0;28803.0;;;;media
MG;MACHACAL IS;municipio;;154.0;37300.0;;;;media
MG;NANUQUE;municipio;;450.0;148684.0;;;;media
MG;OURO VERDE DE MI NAS;municipio;;796.0;22903.0;;25.0;29.0;media
MG;SERRA DOS AI MORES;municipio;125.0;146.0;28.0;;;;media
MG;UMBURATIBA;municipio;;100.0;34324.0;;;;media
MG;CENTRO-OESTE MINEIRO;mesorregiao;;30503.0;4704555.0;65.0;343.0;443.0;media
MG;MEDI O RIO DAS VELHAS;microrregiao;128.0;5610.0;1404598.0;37.0;16.0;76.0;media
MG;AUGUSTO DE LIMA;municipio;129.0;401.0;102251.0;;;;media
MG;BUENOPOLIS;municipio;130.0;481.0;86945.0;;;;media
MG;CORINTO;municipio;131.0;742.0;218673.0;;;;media
MG;CURVE LO;municipio;132.0;1248.0;262804.0;11.0;;;media
MG;INIMUTABA;municipio;133.0;296.0;43225.0;13.0;14.0;;media
MG;JOAQUIM FELICIO;municipio;134.0;340.0;44461.0;;;;media
MG;LASSANCE;municipio;135.0;391.0;190408.0;;;;media
MG;MONJOLOS;municipio;136.0;281.0;34004.0;2.0;;;media
MG;MORRO DA GARÇA;municipio;137.0;253.0;42551.0;;;;media
MG;PRESIDENTE JUSCELINO;municipio;138.0;372.0;58352.0;12.0;17.0;;media
MG;SANTO HIPOLITO;municipio;139.0;251.0;45419.0;;;;media
MG;VARZEA DA PALMA;municipio;140.0;554.0;275501.0;30.0;31.0;;media
MG;ALTO PARANAIBA;microrregiao;141.0;8111.0;1127610.0;19.0;76.0;104.0;media
MG;ABADIA DOS DOURADOS;municipio;142.0;719.0;80083.0;;;;media
MG;CASCALHO RICO;municipio;143.0;277.0;29367.0;;;;media
MG;COROMANDEL;municipio;144.0;1447.0;281912.0;10.0;14.0;;media
MG;OOURADOOUARA;municipio;146.0;238.0;;;;;media
MG;ESTRELA;municipio;147.0;491.0;118.0;;;;media
MG;GRUPIARA;municipio;148.0;100.0;12053.0;;;;media
MG;ANOPOLI S;municipio;149.0;400.0;48851.0;;;;media
MG;MONTE CARMELO;municipio;150.0;896.0;119419.0;7.0;;;media
MG;PATROCINIO;municipio;151.0;738.0;258217.0;39.0;56.0;;media
MG;ESTABE- ESTABE- ESTABE- ESTABE- ESTABE-;mesorregiao;;;;;;;media
MG;AREA AREA AREA AREA AREA;microrregiao;;;;;;;media
MG;MENTOS MENTOS MENTOS MENTOS MENTOS;mesorregiao;;;;;;;media
MG;FREI GASPAR;municipio;39.0;;39.0;14905.0;;;media
MG;o ITAIPE;mesorregiao;66.0;;44.0;6991.0;;;media
MG;LADAINHA;municipio;67.0;;52.0;7707.0;;;media
MG;MALACACHETA;municipio;164.0;;91.0;16219.0;15.0;;media
MG;PAVÃO;municipio;56.0;;58.0;11516.0;;;media
MG;POTE;municipio;74.0;;51.0;6834.0;;;media
MG;TEOFI LO OTONI;municipio;290.0;;240.0;70787.0;38.0;;media
MG;PASTORIL DE NANUQUE;microrregiao;722.0;;701.0;211121.0;117.0;;media
MG;AGUAS FORMOSAS;municipio;162.0;;147.0;30495.0;25.0;;media
MG;ATALEIA;municipio;103.0;;102.0;30313.0;19.0;;media
MG;BERTOPOL IS;municipio;97.0;;64.0;15667.0;;;media
MG;CARLOS CHAGAS;municipio;168.0;;173.0;67419.0;44.0;;media
MG;FRONTEIRA DOS VALES;municipio;33.0;;24.0;2293.0;;;media
MG;MA CHACAL IS;municipio;28.0;;29.0;9921.0;;;media
MG;NANUQUE;municipio;66.0;;102.0;37257.0;11.0;;media
MG;OURO VERDE DE MINAS;municipio;30.0;;14.0;1403.0;;;media
MG;SERRA DOS AIMORES;municipio;14.0;;12.0;6237.0;;;media
MG;UMBURATIBA;municipio;21.0;;34.0;10113.0;;;media
MG;CENTRO-OESTE MINEIRO;microrregiao;4336.0;;3588.0;771886.0;424.0;;media
MG;MEOIO RIO DAS VELHAS;microrregiao;669.0;;733.0;208179.0;155.0;;media
MG;AUGUSTO DE LIMA;municipio;59.0;;;11737.0;;;media
MG;BUENOPOLIS;municipio;50.0;;57.0;12608.0;;;media
MG;CORINTO;municipio;107.0;;146.0;36272.0;30.0;;media
MG;CURVE LO;municipio;161.0;;148.0;56200.0;34.0;;media
MG;INIMUTABA;municipio;32.0;;30.0;5558.0;;;media
MG;JOAQUIM FELICIO;municipio;20.0;;12.0;7450.0;;;media
MG;LASSANCE;municipio;38.0;;62.0;18577.0;22.0;;media
MG;MONJOLOS;municipio;30.0;;22.0;5639.0;;;media
MG;MORRO DA GARÇA;municipio;46.0;;42.0;8719.0;;;media
MG;PRESIDENTE .JUSCELI NO;municipio;39.0;;40.0;14941.0;11.0;;media
MG;SANTO HIPOLITO;municipio;36.0;;21.0;6968.0;;;media
MG;VARZEA DA PALMA;municipio;51.0;;91.0;23504.0;15.0;;media
MG;ALTO PARANAIBA;municipio;1248.0;;1095.0;197636.0;84.0;;media
MG;ABADIA DOS DOURADOS;municipio;148.0;;91.0;11316.0;;;media
MG;CASCALHO RICO;municipio;39.0;;39.0;3413.0;;;media
MG;COROMANOEL;municipio;275.0;;256.0;62059.0;32.0;;media
MG;DOURAOOQUARA;municipio;36.0;;16.0;2326.0;;;media
MG;ESTRELA DO SUL;municipio;70.0;;66.0;12549.0;;;media
