_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;confianca
AC;TOTAIS;total;35049.0;538.0;399.0;244.0;277.0;103.0;163.0;alta
AC;ACRE;mesorregiao;35049.0;538.0;399.0;244.0;277.0;103.0;163.0;alta
AC;ALTO JURUA;microrregiao;13909.0;54.0;30.0;34.0;31.0;10.0;13.0;alta
AC;CRUZEIRO DO SUL;municipio;6443.0;22.0;15.0;12.0;15.0;;;alta
AC;FEIJO;municipio;2045.0;10.0;;10.0;;;;alta
AC;MANCIO LIMA;municipio;1093.0;11.0;;;;;;alta
AC;TARAUACA;municipio;4328.0;11.0;;;;;;alta
AC;ALTO PURUS;microrregiao;21140.0;484.0;369.0;210.0;246.0;93.0;150.0;alta
AC;ASSIS BRASIL;municipio;167.0;;;;;;;alta
AC;BRASILEIA;municipio;2482.0;85.0;68.0;28.0;74.0;;;alta
AC;MANOEL URBANO;municipio;735.0;;;3.0;;;;alta
AC;PLACIDO DE CASTRO;municipio;3545.0;113.0;93.0;36.0;97.0;;13.0;alta
AC;SENADOR GUIOMARD;municipio;2264.0;34.0;28.0;11.0;;;21.0;alta
AC;SENA MADUREIRA;municipio;4401.0;100.0;97.0;15.0;45.0;11.0;45.0;alta
AC;XAPURI;municipio;1868.0;31.0;14.0;29.0;12.0;17.0;;alta
AL;TOTAIS;total;142774.0;3429.0;2376.0;1762.0;1992.0;1054.0;453.0;media
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;121965.0;2020.0;1201.0;1216.0;1552.0;262.0;229.0;media
AL;SERTÃO ALAGOANO;microrregiao;26625.0;395.0;233.0;298.0;357.0;22.0;18.0;media
AL;AGUA BRANCA;municipio;8362.0;106.0;83.0;57.0;92.0;;;media
AL;CANAPI;municipio;4277.0;;;;;;;media
AL;DELMIRO GOUVEIA;municipio;1041.0;167.0;127.0;124.0;158.0;;;media
AL;INHAPI;municipio;5285.0;76.0;;74.0;75.0;;;media
AL;MATA GRANDE;municipio;5613.0;29.0;18.0;27.0;20.0;;;media
AL;OLHO D;municipio;910.0;;;;;;;media
AL;PIRANHAS;municipio;1137.0;11.0;;11.0;;;;media
AL;BATALHA;microrregiao;26616.0;511.0;213.0;431.0;407.0;;43.0;media
AL;BATALHA;municipio;408.0;87.0;44.0;83.0;76.0;;;media
AL;BELO MONTE;municipio;778.0;21.0;19.0;21.0;20.0;;;media
AL;CARNEIROS;municipio;962.0;11.0;;11.0;;;;media
AL;DOIS RIACHOS;municipio;1308.0;14.0;;;;;;media
AL;.JACARE DOS HOMENS;municipio;201.0;32.0;;27.0;21.0;;;media
AL;JARAMATAIA;municipio;151.0;;;;;;;media
AL;MAJOR ISIDORO;municipio;2115.0;130.0;10.0;127.0;122.0;;;media
AL;MARAVILHA;municipio;2044.0;18.0;14.0;13.0;15.0;;;media
AL;MONTEIROPOLIS;municipio;562.0;15.0;;13.0;13.0;;;media
AL;OLHO O' AGUA DAS FLORES;municipio;231.0;30.0;21.0;19.0;24.0;;;media
AL;OLIVENÇA;municipio;1867.0;21.0;11.0;18.0;10.0;;;media
AL;OURO BRANCO;municipio;1536.0;13.0;10.0;;10.0;;;media
AL;PALESTINA;municipio;307.0;;;;;;;media
AL;PÃO OE ACUCAR;municipio;2109.0;49.0;17.0;44.0;25.0;20.0;;media
AL;POÇO DAS TRINCHEIRAS;municipio;2025.0;15.0;;11.0;13.0;;;media
AL;SANTANA DO IPANEMA;municipio;3217.0;31.0;14.0;21.0;21.0;;;media
