_uf;_label;_level;efetivo_total;nascidos;vitimados;comprados;vendidos;confianca
AC;TOTAIS;total;177107.0;26514.0;2002.0;320989.0;;alta
AC;ACRE;mesorregiao;;26514.0;2002.0;320989.0;;alta
AC;ALTO JURUA;microrregiao;51550.0;3720.0;528.0;29570.0;;alta
AC;CRUZEIRO DO SUL;municipio;48400.0;1228.0;24.0;10757.0;;alta
AC;FEI JO;municipio;3150.0;908.0;56.0;9934.0;;alta
AC;MANCIO LIMA;municipio;;970.0;319.0;2814.0;;alta
AC;TARAUACA;municipio;;614.0;129.0;6065.0;;alta
AC;ALTO PURUS;microrregiao;125557.0;22794.0;1474.0;291419.0;;alta
AC;ASSIS BRASIL;municipio;;19.0;60.0;1057.0;;alta
AC;BRASILEIA;municipio;;1157.0;42.0;11334.0;;alta
AC;MANOEL URBANO;municipio;;405.0;;2142.0;;alta
AC;PLACIDO DE CASTRO;municipio;1924.0;1674.0;36.0;6007.0;;alta
AC;SENADOR GU;municipio;32040.0;4750.0;865.0;18699.0;;alta
AC;SENA MADUREIRA;municipio;36000.0;3592.0;19.0;42358.0;;alta
AC;XAPURI;municipio;12000.0;902.0;;18765.0;;alta
AL;TOTAIS;total;2277298.0;304828.0;10084.0;2155260.0;;alta
AL;SERTÂO E AGRESTE ALAGOANO;mesorregiao;535038.0;94584.0;2456.0;658947.0;;alta
AL;SERTÃO ALAGOANO;microrregiao;105032.0;8912.0;38.0;141941.0;;alta
AL;AGUA BRANCA;municipio;29.0;4270.0;;6496.0;;alta
AL;CANAPI;municipio;63000.0;3157.0;;91076.0;;alta
AL;DELMIRO GOUVEIA;municipio;42003.0;110.0;;40314.0;;alta
AL;INHAPI;municipio;;160.0;10.0;156.0;;alta
AL;MATA GRANDE;municipio;;1015.0;;2705.0;;alta
AL;OLHO D' AGUA DO CASADO;municipio;;;;277.0;;alta
AL;PIRANHAS;municipio;;200.0;20.0;917.0;;alta
AL;BATALHA;microrregiao;30478.0;8819.0;1726.0;50205.0;;alta
AL;BATALHA;municipio;500.0;;;114.0;;alta
AL;BELO MONTE;municipio;;752.0;1650.0;2511.0;;alta
AL;CARNEIROS;municipio;;153.0;;123.0;;alta
AL;DOIS RIACHOS;municipio;900.0;132.0;;1901.0;;alta
AL;JACARE DOS HOMENS;municipio;;130.0;;;;alta
AL;JARAMATAIA;municipio;;;;52.0;;alta
AL;MAJOR ISIDORO;municipio;10000.0;56.0;10.0;;;alta
AL;MARAVILHA;municipio;13.0;141.0;15.0;782.0;;alta
AL;MONTEIROPOLIS;municipio;;;;72.0;;alta
AL;OLHO D' AGUA DAS FLORES;municipio;10.0;303.0;;663.0;;alta
AL;OLIVENÇA;municipio;31.0;371.0;;1866.0;;alta
AL;OURO BRANCO;municipio;12.0;203.0;;1149.0;;alta
AL;PALESTINA;municipio;;;;78.0;;alta
AL;PÃO DE AÇUCAR;municipio;;238.0;;316.0;;alta
AL;POÇO DAS TRINCHEIRAS;municipio;;738.0;;2.0;;alta
AL;SANTANA;municipio;7012.0;4188.0;25.0;25082.0;;alta
AL;SÃO JOSE DA TA PERA;municipio;;918.0;;3504.0;;alta
AL;SENADOR RUI PALMEIRA;municipio;12000.0;486.0;;8816.0;;alta
AL;PALMEIRA DOS INDIOS;microrregiao;174261.0;7813.0;417.0;197999.0;;alta
AL;SELEM;municipio;;162.0;;;;alta
AL;CACIMBINHAS;municipio;;343.0;90.0;357.0;;alta
AL;IGACI;municipio;1816.0;3361.0;302.0;4372.0;;alta
AL;MARIBONOO;municipio;;88.0;;52.0;;alta
AL;MAR VERMELHO;municipio;;155.0;;386.0;;alta
AL;MINADOR DO NEGRÃO;municipio;;439.0;;881.0;;alta
AL;PALMEIRA DOS INDIOS;municipio;171045.0;2385.0;25.0;188330.0;;alta
AL;PAULO JACINTO;municipio;1000.0;27.0;;1374.0;;alta
AL;OUEBRANGULO;municipio;400.0;825.0;;1712.0;;alta
AL;T ANO UE D' ARCA;municipio;;28.0;;426.0;;alta
AL;ARAPIRACA;microrregiao;159202.0;27693.0;233.0;189108.0;;alta
AL;ANADIA;municipio;20.0;125.0;;847.0;;alta
AL;ARJIPIRACA;municipio;146910.0;509.0;200.0;152101.0;;alta
AL;COITE;municipio;;368.0;;597.0;;alta
AL;CRAIBAS;municipio;;195.0;;75.0;;alta
AL;FEIRA GRANDE;municipio;60.0;135.0;;306.0;;alta
AL;GIRAU;municipio;157.0;1187.0;15.0;432.0;;alta
AL;JUNQUEIRO;municipio;50.0;15.0;;14.0;;alta
AL;LAGOA DA CANOA;municipio;;;;;;alta
AL;LIMOEIRO DE ANADIA;municipio;;226.0;;885.0;;alta
AL;OLHO O' AGUA GRANDE;municipio;;95.0;;321.0;;alta
AL;SÃO BRAS;municipio;;61.0;;40.0;;alta
AL;SÂO SEBASTIÃO;municipio;;;;;;alta
AL;MATA ALAGOANA;mesorregiao;208242.0;;;700217.0;;alta
AL;MATA ALAGOANA;microrregiao;207008.0;;28.0;694593.0;;alta
AL;ATALAIA;municipio;44.0;;;;;alta
AL;BRANQUINHA;municipio;45.0;;;;;alta
AL;CAPELA;municipio;;;;185.0;;alta
AL;CHÃ PRETA;municipio;334.0;;;285.0;;alta
AL;COLONIA LEOPOLDINA;municipio;13.0;;;28.0;;alta
AL;FLEXEIRAS;municipio;35.0;;;;;alta
AL;IBATEGUARA;municipio;364.0;;;178.0;;alta
AL;JACU IPE;municipio;93.0;;;24.0;;alta
AL;JOAQUIM GOMES;municipio;326.0;;;1012.0;;alta
AL;JUNDIA;municipio;14.0;;;35.0;;alta
AL;MESSIAS;municipio;;;;;;alta
AL;MURICI;municipio;;;;;;alta
AL;NOVO LINO;municipio;36.0;;;;;alta
AL;PINDOBA;municipio;80.0;;;150.0;;alta
AL;SANTANA DO MUNDAU;municipio;58.0;;;8599.0;;alta
AL;SÃO JOSE DA LAJE;municipio;1078.0;;;130.0;;alta
AL;UNIÃO DOS PALMARES;municipio;164309.0;;14.0;143666.0;;alta
AL;VIÇOSA;municipio;40172.0;;;540301.0;;alta
AL;LITORAL NORTE ALAGOANO;microrregiao;143.0;;;311.0;;alta
AL;BARRA DE SANTO ANTONIO;municipio;;;;;;alta
AL;.JAPARAT I NGA;municipio;;;;300.0;;alta
AL;MARAGOGI;municipio;143.0;;;;;alta
AL;MATRIZ DE CAMARAGIBE;municipio;;;;;;alta
AL;PASSO DE CAMARAGIBE;municipio;;;;;;alta
AL;PORTO CALVO;municipio;;;;11.0;;alta
AL;PORTO DE PEDRAS;municipio;;;;;;alta
AL;TABULEIROS DE S MIGUEL DOS CAMPOS;microrregiao;1091.0;;;5313.0;;alta
AL;BOCA DA MATA;municipio;;;;4.0;;alta
AL;CAMPO ALEGRE;municipio;35.0;;;302.0;;alta
AL;CORURIPE;municipio;15.0;;;;;alta
AL;ROTEIRO;municipio;;;;;;alta
AL;SÃO MIGUEL DOS CAMPOS;municipio;1041.0;;;1004.0;;alta
AL;MACE(O;mesorregiao;2002.0;;;796096.0;;alta
AL;COQUEIRO SECO;municipio;80.0;;;;;alta
AL;PILAR;municipio;87.0;;;80.0;;alta
AL;RIO LARGO;municipio;1218.0;;;659461.0;;alta
AL;SANTA LUZIA DO NORTE;municipio;;;;;;alta
AL;SATUBA;municipio;;;;7000.0;;alta
AM;TOTAIS;total;773642.0;56335.0;261118.0;728700.0;;media
AM;HILEIA AMAZONENSE;mesorregiao;29535.0;23233.0;143944.0;;;media
AM;ALTO SOLIMÕES;microrregiao;27310.0;1161.0;145.0;51732.0;;media
AM;AMATUAA;municipio;;;;4653.0;;media
AM;ATALAIA DO NORTE;municipio;;12.0;;201.0;;media
AM;BENjAMIN CONSTANT;municipio;25500.0;170.0;;22588.0;;media
AM;FONTE BOA;municipio;;305.0;11.0;6788.0;;media
AM;jUTAI;municipio;10.0;10.0;6077.0;;;media
AM;SANTO ANTONIO DO IÇA;municipio;;83.0;11.0;4093.0;;media
AM;SÃO PAULO DE OLIVENÇA;municipio;;15.0;;5177.0;;media
AM;TABATINGA;municipio;;;;14.0;;media
AM;TONANTINS;municipio;1800.0;186.0;30.0;1841.0;;media
AM;jURUA;microrregiao;90.0;872.0;363.0;22721.0;;media
AM;EIRUNEPE;municipio;20.0;2019.0;;4103.0;;media
AM;ENVIRA;municipio;30.0;1787.0;;8461.0;;media
AM;IPIXUNA;municipio;106.0;9282.0;;;;media
AM;ITAMARATI o IO;municipio;875.0;;;;;media
AM;PURUS;microrregiao;71.0;;235.0;11890.0;;media
AM;BOCA DO ACRE;municipio;6.0;12.0;5505.0;;;media
AM;CANUTAMA;municipio;;150.0;;682.0;;media
AM;LABREA;municipio;;;;217.0;;media
AM;PAUINI;municipio;70.0;201.0;;342.0;;media
AM;TAPAUA;municipio;;201.0;;5104.0;;media
AM;MADEIRA;microrregiao;37.0;13711.0;;28988.0;;media
AM;BORBA;municipio;37.0;813.0;529.0;;;media
AM;HUMAITA;municipio;;11785.0;10.0;4171.0;;media
AM;MANICORE;municipio;;301.0;80.0;2308.0;;media
AM;NOVO ARIPUANÃ;municipio;16960.0;;;;;media
AM;RIO NEGRO HI;microrregiao;12185.0;;;;;media
AM;BARCELOS;municipio;17.0;525.0;;;;media
AM;NOVO AIRÃO;municipio;;25.0;;;;media
AM;SANTA ISABEL DO RIO NEGRO;municipio;;;;;;media
AM;SÃO GABR;municipio;;528.0;191.0;11680.0;;media
AM;SOLIMÕES-jAPURA;microrregiao;2013.0;1077.0;115.0;168.0;;media
