_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;confianca
AC;TOTAIS;total;35049.0;727.0;271.0;37.0;458.0;;alta
AC;ACRE;mesorregiao;35049.0;727.0;271.0;37.0;458.0;;alta
AC;ALTO JURLJA;microrregiao;13909.0;47.0;25.0;;20.0;;alta
AC;CRUZEIRO DO SUL;municipio;6443.0;20.0;12.0;;;;alta
AC;FEIJO;municipio;2045.0;26.0;13.0;;12.0;;alta
AC;MANCIO LIMA;municipio;93.0;;;;;;alta
AC;TARAUACA;municipio;4328.0;;;;;;alta
AC;ALTO PURUS;microrregiao;21140.0;680.0;246.0;35.0;438.0;;alta
AC;ASSIS BRASIL;municipio;167.0;;;;;;alta
AC;BRASILEIA;municipio;2482.0;;;;;;alta
AC;MANOEL URBANO;municipio;735.0;;;;;;alta
AC;PLACIOO DE CASTRO;municipio;3545.0;618.0;213.0;22.0;419.0;;alta
AC;SENADOR GUIOMARD;municipio;2264.0;17.0;10.0;;;;alta
AC;SENA MADUREIRA;municipio;4401.0;;;;;;alta
AC;XAPURI;municipio;1868.0;;;;;;alta
AL;TOTAIS;total;142774.0;4688.0;2427.0;1999.0;250.0;536.0;media
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;121965.0;2431.0;1768.0;307.0;192.0;307.0;media
AL;SERTÃO ALAGOANO;microrregiao;26625.0;362.0;303.0;40.0;;21.0;media
AL;AGUA BRANCA;municipio;8362.0;125.0;118.0;;;;media
AL;CANAPI;municipio;4277.0;156.0;139.0;;;16.0;media
AL;DELMIRO GOUVEIA;municipio;1041.0;;;;;;media
AL;INHAPI;municipio;52851.0;61.0;33.0;26.0;;;media
AL;MATA GRANDE;municipio;5613.0;17.0;10.0;;;;media
AL;OLHO D;municipio;910.0;;;;;;media
AL;PIRANHAS;municipio;1137.0;;;;;;media
AL;BATALHA;microrregiao;26616.0;50.0;924.0;70.0;33.0;78.0;media
AL;BATALHA;municipio;408.0;60.0;39.0;;19.0;13.0;media
AL;BELO MONTE;municipio;778.0;;;;;;media
AL;CARNEIROS;municipio;962.0;49.0;49.0;;;;media
AL;DOIS RIACHOS;municipio;308.0;74.0;74.0;;;;media
AL;JARAMATAIA;municipio;151.0;17.0;;;;;media
AL;MAJOR ISIDORO;municipio;2115.0;124.0;116.0;23.0;;;media
AL;MARAVILHA;municipio;2044.0;68.0;53.0;;;15.0;media
AL;MONTEIROPOLIS;municipio;562.0;16.0;16.0;;;;media
AL;OLHO D' AGUA DAS FLORES;municipio;231.0;14.0;13.0;;;;media
AL;OLIVENÇA;municipio;1867.0;39.0;19.0;;;16.0;media
AL;OURO BRANCO;municipio;536.0;50.0;48.0;;;;media
AL;PALESTINA;municipio;307.0;;;;;;media
AL;PÃO DE AÇUCAR;municipio;2109.0;23.0;21.0;;;;media
AL;POÇO DAS TRINCHEIRAS;municipio;2025.0;112.0;111.0;;;;media
AL;SANTANA DO IPANEMA;municipio;3217.0;209.0;195.0;;;;media
AL;SÃO JOSE DA TAPERA;municipio;4618.0;110.0;75.0;;;13.0;media
AL;SENADOR RUI PALMEIRA;municipio;1177.0;65.0;61.0;;;;media
AL;CACIMBINHAS;municipio;1466.0;18.0;13.0;;;;media
AL;IGACI;municipio;5540.0;40.0;14.0;14.0;14.0;;media
AL;MARIBONDO;municipio;359.0;38.0;17.0;19.0;;;media
AL;MAR VERMELHO;municipio;551.0;;;;;;media
AL;MINADOR DO NEGRÃO;municipio;758.0;84.0;;29.0;45.0;33.0;media
AL;PALMEIRA DOS INDIOS;municipio;6855.0;176.0;23.0;10.0;49.0;104.0;media
