_uf;_label;_level;inform_1safra;qtde_1safra;area_ha_1safra;inform_2safra;qtde_2safra;area_ha_2safra;confianca
AL;DOIS RIACHOS;municipio;782.0;296.0;1054.0;;;;alta
AL;JACARE DOS HOMENS;municipio;133.0;331.0;527.0;;;;alta
AL;JARAMATAIA;municipio;140.0;123.0;395.0;;;;alta
AL;MAJOR ISIDORO;municipio;1817.0;1842.0;4550.0;;;;alta
AL;MARAVILHA;municipio;504.0;1434.0;;;;;alta
AL;MONTEIROPOLIS;municipio;313.0;225.0;742.0;;;;alta
AL;OLHO D' AGUA DAS FLORES;municipio;515.0;261.0;837.0;;;;alta
AL;OLIVENÇA;municipio;1066.0;431.0;1455.0;;;;alta
AL;OURO BRANCO;municipio;967.0;484.0;1603.0;;;;alta
AL;PALESTINA;municipio;199.0;84.0;217.0;;;;alta
AL;PÂO DE AÇUCAR;municipio;838.0;622.0;2271.0;;;;alta
AL;POÇO DAS TRINCHEIRAS;municipio;321.0;144.0;377.0;;;;alta
AL;SANTANA DO IPANEMA;municipio;1164.0;544.0;11497.0;;;;alta
AL;SÃO JOSE DA TAPERA;municipio;2596.0;997.0;3468.0;;;;alta
AL;SENADOR RUI PALMEIRA;municipio;692.0;389.0;218.0;;;;alta
AL;PALMEIRA DOS INDIOS;microrregiao;8691.0;3344.0;14657.0;53.0;37.0;49.0;alta
AL;CACIMBINHAS;municipio;1164.0;542.0;2583.0;;;;alta
AL;IGACI;municipio;4257.0;1695.0;7436.0;31.0;19.0;34.0;alta
AL;MARIBONDO;municipio;16.0;48.0;143.0;;;;alta
AL;MAR VERMELHO;municipio;24.0;;16.0;;;;alta
AL;MINADOR DO NEGRÃO;municipio;326.0;121.0;608.0;;;;alta
AL;PALMEIRA DOS INOIOS;municipio;2317.0;792.0;3260.0;13.0;;;alta
AL;PAULO JACINTO;municipio;120.0;19.0;80.0;;;;alta
AL;OUF BRANGULO;municipio;228.0;67.0;292.0;;;;alta
AL;T ANO UE D' ARCA;municipio;137.0;16.0;93.0;;;;alta
AL;ARAPIRACA;microrregiao;20863.0;12601.0;34138.0;487.0;254.0;283.0;alta
AL;ANADIA;municipio;11.0;;;;;;alta
AL;ARAPIRACA;municipio;2585.0;2311.0;;;;;alta
AL;COITE DO NOIA;municipio;1462.0;745.0;1977.0;49.0;29.0;26.0;alta
AL;CRAIBAS;municipio;1823.0;1618.0;4060.0;;;;alta
AL;FEIRA GRANDE;municipio;2352.0;1309.0;3541.0;115.0;57.0;67.0;alta
AL;GIRAU DO PONCIANO;municipio;2905.0;1661.0;4785.0;;;;alta
AL;JUNQUEIRO;municipio;293.0;237.0;555.0;141.0;66.0;80.0;alta
AL;LAGOA DA CANOA;municipio;349.0;237.0;700.0;;;;alta
AL;LIMOEIRO DE ANADIA;municipio;1716.0;839.0;2538.0;;;;alta
AL;O LHO D' AGUA GRANDE;municipio;557.0;223.0;485.0;;;;alta
AL;SÃO BRAS;municipio;1119.0;475.0;888.0;;;;alta
AL;SÃO SEBASTIÃO;municipio;1340.0;934.0;1800.0;89.0;58.0;60.0;alta
AL;MATA ALAGOANA;mesorregiao;1697.0;436.0;1246.0;33.0;67.0;41.0;alta
AL;MATA ALAGOANA;microrregiao;1686.0;432.0;1236.0;29.0;18.0;13.0;alta
AL;BRANQUINHA;municipio;;;;;;;alta
AL;CAPELA;municipio;35.0;;22.0;;;;alta
AL;CHÃ PRETA;municipio;320.0;66.0;189.0;;;;alta
AL;IBATEGUARA;municipio;266.0;40.0;149.0;;;;alta
AL;.JACU IPE;municipio;;;;;;;alta
AL;PINOOBA;municipio;74.0;45.0;107.0;;;;alta
AL;SANTANA;municipio;347.0;140.0;404.0;;;;alta
AL;SÃO .JOSE DA LA JE;municipio;;;;;;;alta
AL;UNIÃO DOS PALMARES;municipio;298.0;81.0;181.0;25.0;17.0;12.0;alta
AL;VIÇOSA;municipio;336.0;50.0;177.0;;;;alta
AL;TABULEIROS DE S MIGUEL DOS CAMPOS;microrregiao;;;10.0;;48.0;28.0;alta
AL;BOCA DA MATA;municipio;25.0;15.0;;;;;alta
AL;CAMPO ALEGRE;municipio;23.0;13.0;;;;;alta
AL;CORURIPE;municipio;;;;;;;alta
AL;PILAR;municipio;;;;;;;alta
AL;TOTAIS;total;4840.0;17862.0;6808.0;3518.0;;8635.0;alta
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;4370.0;16743.0;6443.0;1132.0;;2887.0;alta
AL;SERT Ão ALAGOANO;mesorregiao;;;;;;;alta
AL;AGUA BRANCA;microrregiao;;;;;;;alta
AL;CANAPI;microrregiao;;;;;;;alta
AL;DELMIRO GOUVEIA;microrregiao;;;;;;;alta
AL;OLHO D' AGUA DO CASADO;microrregiao;;;;;;;alta
AL;BATALHA;mesorregiao;401.0;872.0;1.0;;;;alta
AL;BATAl;microrregiao;;16.0;;;;;alta
AL;BELO MONTE;microrregiao;192.0;405.0;213.0;;;;alta
AL;CARNEIROS;microrregiao;;;;;;;alta
AL;DOIS RIACHOS;microrregiao;;;;;;;alta
AL;MARAVILHA;microrregiao;;;;;;;alta
AL;OLHO D' AGUA DAS FLORES;microrregiao;;;;;;;alta
AL;OLIVENÇA;microrregiao;;;;;;;alta
AL;OURO BRANCO;microrregiao;;;;;;;alta
AL;PÃO DE AÇUCAR;microrregiao;203.0;449.0;239.0;;;;alta
AL;POÇO DAS TRINCHEIRAS;microrregiao;;;;;;;alta
AL;ANTANA DO IPANEMA;microrregiao;;;;;;;alta
AL;SÃO JOSE DA TAPERA;microrregiao;;;;;;;alta
AL;PALMEIRA DOS INDIOS;microrregiao;;;;;;1259.0;alta
AL;CACIMBINHAS;microrregiao;;;;;;;alta
AL;IGACI;microrregiao;10.0;2.0;;;;;alta
AL;MAR VERMELHO;microrregiao;50.0;91.0;30.0;;;;alta
AL;PALMEIRA DOS INOIOS;microrregiao;;;;;;320.0;alta
AL;PAULO .JACINTO;microrregiao;371.0;561.0;151.0;;;;alta
AL;QUEBRANGULO;microrregiao;;;;;;252.0;alta
AL;T ANO UE O' ARCA;microrregiao;;;;;;;alta
AL;ARAPIRACA;microrregiao;984.0;2034.0;933.0;;;1539.0;alta
AL;ANADIA;microrregiao;;;;;;44.0;alta
AL;ARAPIRACA;microrregiao;;;;;;;alta
AL;CRAIBAS;microrregiao;;;;;;61.0;alta
AL;FEIRA GRANDE;microrregiao;10.0;;;;;1240.0;alta
AL;GIRAU DO PONCIANO;microrregiao;;;;;;;alta
AL;JUNQUEIRO;microrregiao;;;;;;65.0;alta
AL;LAGOA DA CANOA;microrregiao;;;;;;;alta
AL;LIMOEIRO DE ANADIA;microrregiao;;;;;;82.0;alta
AL;OLHO D' AGUA GRANDE;microrregiao;21.0;;;;;;alta
AL;SÃO BRAS;microrregiao;416.0;911.0;424.0;;;;alta
AL;SÃO SEBASTIÃO;microrregiao;62.0;22.0;39.0;;;;alta
AL;TAOUARANA;microrregiao;55.0;34.0;;;;;alta
AL;TRAIPU;microrregiao;471.0;1086.0;456.0;;;;alta
AL;PENEDO;microrregiao;2979.0;;;;;;alta
AL;FELIZ DESERTO;microrregiao;;;;;;;alta
AL;IGREJA NOVA;microrregiao;;;;;;;alta
AL;PENEDO;microrregiao;775.0;3060.0;1112.0;;;60.0;alta
AL;PIAÇABUÇU;microrregiao;571.0;3429.0;1063.0;;;;alta
AL;PORTO REAL;microrregiao;581.0;3094.0;909.0;;;;alta
AL;MATA ALAGOANA;mesorregiao;70.0;1118.0;364.0;;;;alta
AL;MATA ALAGOANA;microrregiao;;;;;;;alta
AL;ATALAIA;municipio;;;;;;;alta
AL;CAPELA;municipio;;;;;;;alta
AL;CHÃ PRETA;municipio;;;;;;;alta
AL;I BATEGUARA;municipio;;;;;;;alta
AL;JACU IPE;municipio;;;;;;;alta
AL;JOAQUIM GOMES;municipio;;;;;;;alta
AL;MURICI;municipio;;;;;;;alta
AL;PINDOBA;municipio;;;;;;;alta
AL;SANTANA;municipio;;;;;;;alta
AL;SÃO JOSE DA LAJE;municipio;;;;;;;alta
AL;UNIÃO DOS PALMARES;municipio;;;;;;;alta
AL;VIÇOSA;municipio;;;;;;;alta
AL;LITORAL NORTE ALAGOANO;microrregiao;461.0;1110.0;358.0;;;;alta
AL;JAPARATINGA;municipio;15.0;12.0;;;;;alta
AL;MARAGOGI;municipio;10.0;13.0;;;;;alta
AL;PASSO DE CAMARAGIBE;municipio;28.0;123.0;37.0;;;;alta
AL;PORTO CALVO;municipio;141.0;309.0;97.0;;;;alta
AL;PORTO DE PEDRAS;municipio;;11.0;11.0;;;;alta
AL;TABULEIROS DE S MIGUEL DOS CAMPOS;microrregiao;;;;;;;alta
AL;BOCA DA MATA;municipio;;;;;;;alta
AL;CAMPO ALEGRE;municipio;;;;;;;alta
AL;SÃO MIGUEL DOS CAMPOS;municipio;;;;;;;alta
