_uf;_label;_level;val_1;val_2;val_3;confianca
BA;TOTAIS;total;708.0;700.0;138.0;baixa
BA;OESTE BAIANO;mesorregiao;264.0;260.0;22.0;baixa
BA;CHAPADÕES DO ALTO RIO GRANDE;microrregiao;;;;baixa
BA;ANGICAL;municipio;;;;baixa
BA;BAIANOPOLIS;municipio;;;;baixa
BA;BARREIRAS;municipio;;;;baixa
BA;BREJOLANDIA;municipio;;;;baixa
BA;CATOLANDIA;municipio;;;;baixa
BA;COTEGIPE;municipio;;;;baixa
BA;CRISTOPOLIS;municipio;;;;baixa
BA;FORMOSA DO RIO PRETO;municipio;;;2.0;baixa
BA;RIACHÃO DAS NEVES;municipio;;;;baixa
BA;SANTA RITA DE CASSIA;municipio;;;;baixa
BA;SÃO DESIOERIO;municipio;;;;baixa
BA;TABOCAS;municipio;;;;baixa
BA;CHAPADÕES DO RIO CORRENTE;microrregiao;;;;baixa
BA;CANAPOLIS;municipio;;;;baixa
BA;cocos;municipio;;;;baixa
BA;COR-BE;municipio;;;;baixa
BA;CORRENTI NA;municipio;;;;baixa
BA;SANTA MARIA DA VITORIA;municipio;;;;baixa
BA;SANTANA;municipio;;;;baixa
BA;SERRA DOURADA;municipio;;;;baixa
BA;BAIXO-MEOIO SÃO FRANCISCO;microrregiao;;;;baixa
BA;BARRA;municipio;;;;baixa
BA;CAMPO ALEGRE DE LOURDES;municipio;;;;baixa
BA;CASA NOVA;municipio;;;;baixa
BA;IBOTIRAMA;municipio;;;;baixa
BA;MORPARA;municipio;;;;baixa
BA;PILÃO ARCADO;municipio;;;;baixa
BA;REMANSO;municipio;;;;baixa
BA;SENTO SE;municipio;;;;baixa
BA;XIQUE-XIQUE;municipio;;;;baixa
BA;MEOIO SÃO FRANCISCO;microrregiao;14.0;14.0;;baixa
BA;BOM .JESUS DA LAPA;municipio;;;;baixa
BA;CARI NHANHA;municipio;;;;baixa
BA;MALHADA;municipio;;;;baixa
BA;PARATINGA;municipio;;;;baixa
