_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;confianca
AC;TOTAIS;total;35017.0;5219646.0;10375.0;765505.0;4036.0;1702510.0;alta
AC;ACRE;mesorregiao;35017.0;5219646.0;10375.0;765505.0;4036.0;1702510.0;alta
AC;ALTO JURUA;microrregiao;13903.0;2441481.0;4030.0;268926.0;934.0;807763.0;alta
AC;CRUZEIRO;municipio;6440.0;446412.0;2441.0;86700.0;290.0;;alta
AC;FEIJO;municipio;2045.0;1339690.0;422.0;120802.0;226.0;682485.0;alta
AC;MANCIO LIMA;municipio;1093.0;77338.0;502.0;19495.0;109.0;9090.0;alta
AC;TARAUACA;municipio;4325.0;578039.0;665.0;41927.0;309.0;90187.0;alta
AC;ALTO PURUS;microrregiao;21114.0;778165.0;6345.0;496579.0;3102.0;894746.0;alta
AC;ASSIS BRASIL;municipio;167.0;14960.0;52.0;4117.0;39.0;2620.0;alta
AC;BRASILEIA;municipio;2475.0;235662.0;845.0;59195.0;437.0;100477.0;alta
AC;MANOEL URBANO;municipio;735.0;69951.0;131.0;15167.0;96.0;4013.0;alta
AC;PLACIOO OE CASTRO;municipio;3543.0;294338.0;756.0;51642.0;219.0;20272.0;alta
AC;SENADOR GUIOMARO;municipio;2259.0;227133.0;1166.0;78867.0;255.0;72401.0;alta
AC;SENA MADUREIRA;municipio;4397.0;677906.0;899.0;129426.0;403.0;162645.0;alta
AC;XAPURI;municipio;1864.0;442884.0;391.0;43711.0;241.0;145894.0;alta
AL;TOTAIS;total;142774.0;1494217.0;27694.0;801062.0;;;media
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;121965.0;605945.0;25545.0;706476.0;;;media
AL;SERTÃO ALAGOANO;microrregiao;26625.0;161766.0;5828.0;12672.0;;;media
AL;AGUA BRANCA;municipio;8362.0;31639.0;659.0;16012.0;;;media
AL;CANAPI;municipio;4277.0;35002.0;601.0;19490.0;;;media
AL;DELMIRO GOUVEIA;municipio;1041.0;16258.0;394.0;23781.0;;;media
AL;INHAPI;municipio;5285.0;16863.0;2106.0;10778.0;;;media
AL;MATA GRANDE;municipio;5613.0;32741.0;1605.0;20317.0;;;media
AL;OLHO D' AGUA;municipio;910.0;10404.0;191.0;11950.0;;;media
AL;PIRANHAS;municipio;1137.0;18856.0;272.0;10341.0;;;media
AL;BATALHA;microrregiao;26616.0;166101.0;7124.0;233041.0;;;media
AL;BATALHA;municipio;408.0;4105.0;224.0;24225.0;;;media
AL;BELO MONTE;municipio;778.0;11422.0;168.0;14916.0;;;media
AL;CARNEIROS;municipio;962.0;4937.0;392.0;4319.0;;;media
AL;DOIS RIACHOS;municipio;1308.0;6278.0;267.0;6786.0;;;media
AL;.JACARE DOS HOMENS;municipio;201.0;1942.0;120.0;13353.0;;;media
AL;JARAMATAIA;municipio;151.0;840.0;88.0;8882.0;;;media
AL;MAJOR ISIDORO;municipio;2115.0;9768.0;802.0;29908.0;;;media
AL;MARAVILHA;municipio;2044.0;13567.0;465.0;14483.0;;;media
AL;MONTEIROPOLIS;municipio;562.0;2756.0;65.0;5810.0;;;media
AL;OLHO O' AGUA DAS FLORES;municipio;1231.0;6260.0;333.0;6060.0;;;media
AL;OLIVENÇA;municipio;1867.0;8579.0;434.0;6992.0;;;media
AL;OURO BRANCO;municipio;1536.0;10606.0;203.0;5906.0;;;media
AL;PALESTINA;municipio;307.0;440.0;83.0;1454.0;;;media
AL;PÃO OE AÇUCAR;municipio;2109.0;17887.0;334.0;29889.0;;;media
AL;POÇO DAS TRINCHEIRAS;municipio;2025.0;7802.0;983.0;13724.0;;;media
AL;SANTANA DO IPANEMA;municipio;3217.0;13961.0;1419.0;20735.0;;;media
AL;SÂO .JOSE DA TAPERA;municipio;4618.0;30294.0;558.0;19165.0;;;media
AL;SENADOR RUI PALMEIRA;municipio;1177.0;14648.0;186.0;6426.0;;;media
AL;PALMEIRA DOS INDIOS;microrregiao;19114.0;54005.0;5943.0;171826.0;;;media
AL;CACIMBINHAS;municipio;1466.0;4326.0;526.0;25996.0;;;media
AL;IGACI;municipio;5540.0;17224.0;735.0;14616.0;;;media
AL;MARIBONDO;municipio;359.0;3905.0;211.0;11367.0;;;media
AL;MAR VERMELHO;municipio;551.0;1566.0;285.0;8186.0;;;media
AL;MINADOR DO NEGRÃO;municipio;758.0;1822.0;440.0;20589.0;;;media
AL;PALMEIRA DOS INDIOS;municipio;6855.0;15939.0;2465.0;32574.0;;;media
AL;PAULO .JACINTO;municipio;1156.0;1265.0;355.0;9857.0;;;media
AL;OUEBRANGULO;municipio;706.0;2279.0;384.0;37308.0;;;media
AL;TANQUE D' ARCA;municipio;1028.0;4534.0;188.0;6075.0;;;media
AL;ARAPIRACA;microrregiao;40856.0;184882.0;4866.0;144134.0;;;media
AL;ANADIA;municipio;815.0;11903.0;221.0;8030.0;;;media
AL;ARAPIRACA;municipio;4432.0;19042.0;211.0;5432.0;;;media
AL;COITE DO NOIA;municipio;1656.0;5174.0;156.0;1867.0;;;media
AL;CRAIBAS;municipio;2114.0;10244.0;132.0;9256.0;;;media
AL;FEIRA GRANDE;municipio;3705.0;9780.0;285.0;6113.0;;;media
AL;GIRAU DO PONCIANO;municipio;5279.0;21762.0;459.0;32823.0;;;media
AL;JUNQUEIRO;municipio;954.0;20005.0;246.0;1918.0;;;media
AL;LAGOA DA CANOA;municipio;1393.0;3458.0;72.0;1080.0;;;media
AL;LIMOEIRO OE ANADIA;municipio;4759.0;20993.0;395.0;7089.0;;;media
AL;MATA ALAGOANA;mesorregiao;661802.0;90751.0;;;;;media
AL;MATA ALAGO ANA;microrregiao;471352.0;79981.0;;;;;media
AL;ATALAIA;municipio;50315.0;1677.0;;;;;media
AL;BRANQUINHA;municipio;16946.0;5.0;;;;;media
AL;CAJUEIRO;municipio;8068.0;313.0;;;;;media
AL;CAPELA;municipio;25045.0;314.0;;;;;media
