_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;confianca
AC;TOTAIS;total;49.0;286.0;43.0;135.0;13.0;;;;media
AC;ACRE;mesorregiao;49.0;286.0;43.0;135.0;13.0;;;;media
AC;ALTO JURUA;microrregiao;10.0;72.0;;32.0;;;;;media
AC;CRUZEIRO;municipio;;29.0;;11.0;;;;;media
AC;FEIJO;municipio;;;;;;;;;media
AC;TARAUACA;municipio;;35.0;;16.0;;;;;media
AC;ALTO PURUS;microrregiao;39.0;214.0;35.0;103.0;10.0;;;;media
AC;BRASILEIA;municipio;;86.0;;24.0;;;;;media
AC;SENA MADUREIRA;municipio;;14.0;;;;;;;media
AL;TOTAIS;total;377.0;1222.0;320.0;735.0;491.0;554.0;75.0;89.0;baixa
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;258.0;916.0;209.0;497.0;102.0;125.0;45.0;58.0;baixa
AL;SERTÃO ALAGOANO;microrregiao;21.0;98.0;20.0;56.0;16.0;23.0;;;baixa
AL;AGUA BRANCA;municipio;;26.0;;23.0;;;;;baixa
AL;CANAPI;municipio;;16.0;;;;;;;baixa
AL;DELMIRO GOUVEIA;municipio;;32.0;;16.0;;;;;baixa
AL;MATA GRANDE;municipio;;;;;;;;;baixa
AL;OLHO D' AGUA DO CASADO;municipio;;;;;;;;;baixa
AL;PIRANHAS;municipio;;;;;;;;;baixa
AL;BATALHA;microrregiao;157.0;513.0;120.0;269.0;35.0;44.0;36.0;43.0;baixa
AL;BATALHA;municipio;36.0;121.0;21.0;39.0;;15.0;;;baixa
AL;BELO MONTE;municipio;25.0;126.0;24.0;71.0;;;10.0;10.0;baixa
AL;CARNEIROS;municipio;;;;;;;;;baixa
AL;DOIS RIACHOS;municipio;;;;;;;;;baixa
AL;.JACARE DOS HOMENS;municipio;;10.0;;10.0;;;;;baixa
AL;JARAMATAIA;municipio;33.0;93.0;32.0;74.0;;;10.0;10.0;baixa
AL;MA JOR ISIDORO;municipio;;;;;;;;;baixa
AL;MARAVILHA;municipio;;;;;;;;;baixa
AL;MONTEIROPOLIS;municipio;12.0;31.0;;;;;;;baixa
AL;OLHO D' AGUA DAS FLORES;municipio;;10.0;;;;;;;baixa
AL;OLIVENÇA;municipio;;;;;;;;;baixa
AL;OURO BRANCO;municipio;;;;;;;;;baixa
AL;PALESTINA;municipio;;;;;;;;;baixa
AL;PÂO DE AÇUCAR;municipio;;22.0;;15.0;;;;;baixa
AL;POÇO DAS TRINCHEIRAS;municipio;;13.0;;;;;;;baixa
AL;SANTANA DO IPANEMA;municipio;;15.0;;;;;;;baixa
AL;SÃO JOSE DA TAPERA;municipio;;27.0;;17.0;;;;;baixa
AL;SENADOR RUI PALMEIRA;municipio;;15.0;;;;;;;baixa
AL;PALMEIRA DOS INDIOS;microrregiao;70.0;244.0;60.0;148.0;47.0;54.0;;;baixa
AL;IGACI;municipio;;;;;;;;;baixa
AL;MARIBONDO;municipio;;;;;;;;;baixa
AL;MAR VERMELHO;municipio;;21.0;;14.0;;;;;baixa
AL;MINADOR DO NEGRÃO;municipio;12.0;54.0;;17.0;;;;;baixa
AL;PALMEIRA DOS INDIOS;municipio;19.0;56.0;17.0;44.0;;11.0;;;baixa
AL;PAULO JACINTO;municipio;;24.0;;15.0;;;;;baixa
AL;QUEBRANGULO;municipio;20.0;78.0;18.0;51.0;19.0;21.0;;;baixa
AL;TANQUE D' ARCA;municipio;;;;;;;;;baixa
AL;ARAPIRACA;microrregiao;;58.0;;23.0;;;;;baixa
AL;ANADIA;municipio;;35.0;;;;;;;baixa
AL;ARAPIRACA;municipio;;;;;;;;;baixa
AL;FEIRA GRANDE;municipio;;;;;;;;;baixa
AL;GIRAU DO PONCIANO;municipio;;;;;;;;;baixa
AL;OLHO D' AGUA GRANDE;municipio;;;;;;;;;baixa
AL;PENEDO;microrregiao;;;;;;;;;baixa
AL;PENEDO;municipio;;;;;;;;;baixa
AL;PORTO REAL DO COLEGIO;municipio;;;;;;;;;baixa
