_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;confianca
BA;TOTAIS;total;152.0;57398.0;1274.0;3614.0;148.0;577.0;media
BA;OESTE BAIANO;mesorregiao;19.0;;401.0;3062.0;68.0;531.0;media
BA;CHAPADÕES co ALTO RIO GRANDE;microrregiao;;;80.0;;32.0;520.0;media
BA;ANGICAL;municipio;;;;;;;media
BA;BAIANOPOLIS;municipio;;;52.0;;;;media
BA;BREJOLANOIA;municipio;;;;;;;media
BA;COTEGIPE;municipio;;;;;19.0;19.0;media
BA;FORMOSA DO RIO PRETO;municipio;;;;;;;media
BA;SANTA RITA DE CASSIA;municipio;;;;;;500.0;media
BA;SÃO OESIDERIO;municipio;;;;;;;media
BA;CHAPADÕES DO RIO CORRENTE;microrregiao;;;27.0;3002.0;;;media
BA;cocos';municipio;;;;;;;media
BA;CORIBE;municipio;;;11.0;;;;media
BA;CORRENT I NA;municipio;;;;;;;media
BA;SANTA MARIA DA VITORIA;municipio;;;;3000.0;;;media
BA;SANTANA;municipio;;;;;;;media
BA;SERRA DOURADA;municipio;;;;;;;media
BA;BAIXO-MEDI O SÃO FRANCISCO;microrregiao;48.0;51.0;16.0;;;;media
BA;BARRA;municipio;;;;;;;media
BA;CAMPO ALEGRE DE LOURDES;municipio;;;;;;;media
BA;CASA NOVA;municipio;;;19.0;;;;media
BA;IBOTIRAMA;municipio;;;;;;;media
BA;PI LÂO ARCADO;municipio;;;16.0;;;;media
BA;REMANSO;municipio;;;;;;;media
BA;SENTO SE;municipio;;;;;;;media
BA;XIQUE-XIQUE;municipio;;;;;;;media
BA;MEDI O SÃO FRANCISCO;microrregiao;25.0;31.0;;;;;alta
BA;BOM JESUS DA LAPA;municipio;25.0;;;;;;alta
BA;CARINHANHA;municipio;;;;;;;alta
BA;PARATINGA;municipio;;;24.0;;;;alta
BA;CHAPADA DIAMANTINA SETENTA IONAL;microrregiao;;;;;;;media
BA;BARRA DO MENDES;municipio;;;;;;;media
BA;CENTRAL;municipio;;;;;;;media
BA;GENTIO DO OURO;municipio;;;;;;;media
BA;IBIPEBA;municipio;;;;;;;media
BA;IRECE;municipio;;;;;;;media
BA;SOUTO SOARES;municipio;;;;;;;media
BA;CHAPADA DIAMANTINA MERIDIONAL;microrregiao;;;60.0;;10.0;;media
BA;ABA IRA;municipio;;;;;;;media
BA;AGUA QUENTE;municipio;;;;;;;media
BA;ANDARA(;municipio;;;;;;;media
BA;BARRA DA ESTIVA;municipio;;;;;;;media
BA;BONINAL;municipio;;;;;;;media
BA;BOQUIRA;municipio;;;;;;;media
BA;BOTUPORÃ;municipio;;;;;;;media
BA;CONTENDAS DO SINCORA;municipio;;;;;;;media
BA;IBITIARA;municipio;;;;;;;media
BA;IPUPIARA;municipio;;;;;;;media
BA;IRAMAIA;municipio;;;16.0;;;3.0;media
BA;ITUAÇU;municipio;;;;;;;media
BA;SERRA GERAL DA BAHIA;mesorregiao;132.0;112.0;11.0;;;;media
BA;ARACATU;microrregiao;;;;;;;media
BA;BRUMAOO;microrregiao;;;;;;;media
BA;CACULE;microrregiao;;;;;;;media
BA;CAETITE;microrregiao;96.0;;;;;;media
BA;IBIASSUCE;microrregiao;;;;;;;media
BA;PINDAI;microrregiao;;;;;;;media
BA;PIRIPA;microrregiao;;;;;;;media
