_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;confianca
AC;TOTAIS;total;35049.0;5234764.0;2319010.0;2915767.0;583965.0;467934.0;1863867.0;alta
AC;ACRE;mesorregiao;35049.0;5234764.0;2319010.0;2915767.0;583965.0;467934.0;1863867.0;alta
AC;ALTO JURUA;microrregiao;13909.0;2441804.0;876946.0;1564857.0;575554.0;457028.0;532274.0;alta
AC;CRUZEIRO;municipio;6443.0;446502.0;57865.0;388637.0;343590.0;372.0;44675.0;alta
AC;FEIJO;municipio;2045.0;1339690.0;697268.0;642421.0;23894.0;398788.0;219738.0;alta
AC;MANCIO LIMA;municipio;1093.0;77338.0;19733.0;57605.0;40654.0;;16951.0;alta
AC;TARAUACA;municipio;4328.0;578272.0;102079.0;476192.0;167415.0;57868.0;250909.0;alta
AC;ALTO PURUS;microrregiao;21140.0;2792959.0;1442063.0;1350910.0;8410.0;10906.0;1331593.0;alta
AC;ASSIS BRASIL;municipio;167.0;14960.0;6239.0;8721.0;;;8721.0;alta
AC;BRASILEIA;municipio;2482.0;248395.0;210844.0;37551.0;;10.0;37539.0;alta
AC;MANOEL URBANO;municipio;735.0;69951.0;2505.0;67446.0;226.0;50.0;67169.0;alta
AC;PLACIDO DE e.ASTRO;municipio;3545.0;294448.0;153163.0;141285.0;140.0;;141145.0;alta
AC;SENADOR GUIOMARO;municipio;2264.0;227405.0;129545.0;97865.0;;1722.0;96143.0;alta
AC;SENA MADUREIRA;municipio;4401.0;678234.0;202160.0;476073.0;4625.0;15.0;471433.0;alta
AC;XAPURI;municipio;1868.0;443678.0;173174.0;270503.0;1581.0;60.0;268862.0;alta
AL;TOTAIS;total;142774.0;2363772.0;2083008.0;280764.0;168501.0;26083.0;86178.0;baixa
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;121965.0;1262149.0;111241.0;27108.0;14843.0;69288.0;;baixa
AL;SERTÃO ALAGO ANO;microrregiao;26625.0;303556.0;274322.0;29234.0;4892.0;7458.0;16882.0;baixa
AL;AGUA BRANCA;municipio;8362.0;50246.0;43658.0;6588.0;1966.0;1395.0;3226.0;baixa
AL;CANAPI;municipio;4277.0;59145.0;52014.0;7130.0;822.0;1523.0;4784.0;baixa
AL;OELMIRO GOUVEIA;municipio;1041.0;42843.0;41361.0;1482.0;24.0;123.0;1334.0;baixa
AL;INHAPI s;municipio;5285.0;;24438.0;6.0;851.0;;;baixa
AL;MATA GRANDE;municipio;5613.0;56193.0;51322.0;4871.0;848.0;557.0;3465.0;baixa
AL;OLHO Oi AGUA;municipio;910.0;27881.0;26167.0;1714.0;221.0;458.0;1034.0;baixa
AL;PIRANHAS;municipio;1137.0;36465.0;35359.0;1105.0;157.0;355.0;592.0;baixa
AL;BATALHA;microrregiao;26616.0;421262.0;390525.0;30736.0;3811.0;3812.0;23111.0;baixa
AL;BATALHA;municipio;408.0;28766.0;28575.0;190.0;;;183.0;baixa
AL;BELO MONTE, ris;municipio;27974.0;27446.0;528.0;73.0;104.0;349.0;;baixa
AL;CARNEIROS;municipio;962.0;9857.0;8947.0;909.0;69.0;487.0;351.0;baixa
AL;DOIS RIACHOS;municipio;1308.0;13724.0;12096.0;1628.0;483.0;63.0;1081.0;baixa
AL;JACARE DOS HOMENS;municipio;201.0;15306.0;15306.0;;;;;baixa
AL;.JARAMATAIA;municipio;151.0;9749.0;9628.0;121.0;;121.0;;baixa
AL;MAJOR ISIDORO;municipio;2115.0;42585.0;39643.0;2941.0;76.0;;2864.0;baixa
AL;MARAVILHA;municipio;2044.0;29838.0;28020.0;1817.0;312.0;143.0;1361.0;baixa
AL;MONTEIROPOLIS;municipio;562.0;8858.0;8445.0;412.0;129.0;;283.0;baixa
AL;OLHO Oi AGUA DAS FLORES;municipio;1231.0;12710.0;11817.0;892.0;126.0;300.0;465.0;baixa
AL;OLIVENÇA;municipio;1867.0;16185.0;14201.0;1983.0;218.0;116.0;1648.0;baixa
AL;OURO BRANCO;municipio;1536.0;17302.0;14469.0;2832.0;548.0;205.0;2078.0;baixa
AL;PALESTINA;municipio;307.0;2025.0;1791.0;233.0;;;233.0;baixa
AL;PÃO OE AÇUCAR;municipio;2109.0;52561.0;49731.0;2830.0;252.0;192.0;2385.0;baixa
AL;POÇO DAS TRINCHEIRAS;municipio;2025.0;22165.0;20747.0;1418.0;75.0;164.0;1177.0;baixa
AL;SANTANA;municipio;3217.0;36519.0;33811.0;2708.0;562.0;404.0;741.0;baixa
AL;SÃO JOSE DA TAPERA;municipio;4618.0;52322.0;45601.0;6721.0;609.0;846.0;5265.0;baixa
AL;SENADOR RUI PALMEIRA;municipio;1177.0;22807.0;20242.0;2564.0;266.0;660.0;1638.0;baixa
AL;PALMEIRA DOS INDIOS;microrregiao;19114.0;230310.0;214127.0;16183.0;7077.0;576.0;8529.0;baixa
AL;CACIMBINHAS;municipio;1466.0;30596.0;29644.0;951.0;117.0;33.0;801.0;baixa
AL;IGACI;municipio;5540.0;32673.0;27455.0;5218.0;1599.0;251.0;3367.0;baixa
AL;MARIBONOO;municipio;359.0;15469.0;15074.0;394.0;368.0;;18.0;baixa
AL;MAR VERMELHO;municipio;551.0;9860.0;9295.0;564.0;178.0;14.0;371.0;baixa
AL;MINADOR;municipio;758.0;22712.0;21022.0;1690.0;425.0;;1265.0;baixa
AL;PALMEIRA DOS INDIOS;municipio;6855.0;50319.0;47027.0;3292.0;1386.0;217.0;1689.0;baixa
AL;PAULO .JACINTO;municipio;1156.0;11213.0;10236.0;977.0;626.0;;348.0;baixa
AL;OUEBRANGULO;municipio;706.0;39676.0;38352.0;1323.0;1206.0;28.0;88.0;baixa
AL;TANQUE Oi ARCA;municipio;1028.0;10781.0;9729.0;1051.0;1001.0;;;baixa
