_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;confianca
AC;TOTAIS;total;35049.0;25199.0;3511.0;1828.0;10773.0;alta
AC;ACRE;mesorregiao;35049.0;25199.0;3511.0;1828.0;10773.0;alta
AC;ALTO JURUA;microrregiao;13909.0;8439.0;2202.0;3250.0;2571.0;alta
AC;CRUZEIRO DO SUL;municipio;6443.0;3812.0;1666.0;1142.0;834.0;alta
AC;FEIJO;municipio;2045.0;1757.0;131.0;778.0;737.0;alta
AC;MANCIO LIMA;municipio;1093.0;829.0;174.0;391.0;218.0;alta
AC;TARAUACA;municipio;4328.0;2041.0;231.0;939.0;782.0;alta
AC;ALTO PURUS;microrregiao;21140.0;16760.0;1315.0;4578.0;8202.0;alta
AC;ASSIS BRASIL;municipio;167.0;151.0;;69.0;75.0;alta
AC;BRASILEIA;municipio;2482.0;2069.0;48.0;569.0;906.0;alta
AC;MANOEL URBANO;municipio;735.0;657.0;154.0;243.0;129.0;alta
AC;PLACIDO DE CASTRO;municipio;3545.0;3076.0;191.0;656.0;1777.0;alta
AC;SENADOR GUIOMARD;municipio;2264.0;2180.0;94.0;366.0;1159.0;alta
AC;SENA MADUREIRA;municipio;4401.0;2367.0;157.0;586.0;1215.0;alta
AC;XAPURI;municipio;1868.0;1578.0;88.0;692.0;721.0;alta
AL;TOTAIS;total;142774.0;138362.0;54392.0;33735.0;29133.0;alta
AL;SERT ÂO E AGRESTE ALAGOANO;mesorregiao;121965.0;118214.0;47633.0;30272.0;;alta
AL;SERTÃO ALAGOANO;microrregiao;26625.0;25852.0;8782.0;6677.0;6652.0;alta
AL;AGUA BRANCA;municipio;8362.0;8212.0;4163.0;2140.0;1379.0;alta
AL;CANAPI;municipio;4277.0;4267.0;534.0;1068.0;1433.0;alta
AL;DELMIRO GOUVEIA;municipio;1041.0;942.0;242.0;232.0;218.0;alta
AL;INHAPI;municipio;5285.0;5166.0;1615.0;1322.0;1763.0;alta
AL;MATA' GRANDE;municipio;5613.0;5280.0;1814.0;1461.0;1255.0;alta
AL;OLHO D' AGUA;municipio;910.0;887.0;230.0;242.0;250.0;alta
AL;PIRANHAS;municipio;137.0;1098.0;184.0;212.0;354.0;alta
AL;BATALHA;microrregiao;26616.0;26398.0;6167.0;6862.0;7364.0;alta
AL;BATALHA;municipio;408.0;393.0;28.0;44.0;89.0;alta
AL;BELO MONTE;municipio;778.0;777.0;136.0;159.0;198.0;alta
AL;CARNEIROS;municipio;962.0;957.0;246.0;250.0;284.0;alta
AL;DOIS RIACHOS;municipio;1308.0;1293.0;249.0;397.0;376.0;alta
AL;JACARE DOS HOMENS;municipio;201.0;197.0;28.0;24.0;54.0;alta
AL;JARAMATAIA;municipio;151.0;147.0;27.0;48.0;33.0;alta
AL;MAJOR ISIDORO;municipio;2115.0;2103.0;554.0;496.0;488.0;alta
AL;MARAVILHA;municipio;2044.0;1999.0;457.0;542.0;567.0;alta
AL;MONTEIROPOLIS;municipio;562.0;560.0;180.0;176.0;129.0;alta
AL;OLHO O' AGUA DAS FLORES;municipio;1231.0;1231.0;333.0;344.0;314.0;alta
AL;OLIVENÇA;municipio;1867.0;1860.0;591.0;506.0;432.0;alta
AL;OURO BRANCO;municipio;1536.0;1522.0;220.0;381.0;556.0;alta
AL;PALESTINA;municipio;307.0;300.0;158.0;69.0;50.0;alta
AL;PÃO DE AÇUCAR;municipio;2109.0;2102.0;636.0;577.0;415.0;alta
AL;POÇO DAS TRINCHEIRAS;municipio;2025.0;2611.0;560.0;543.0;544.0;alta
AL;SANTANA DO IPANEMA;municipio;3217.0;3176.0;856.0;782.0;890.0;alta
AL;SÃO JOSE DA TAPERA;municipio;4618.0;4607.0;813.0;1337.0;1553.0;alta
AL;SENADOR RUI PALMEIRA;municipio;1177.0;1163.0;95.0;187.0;392.0;alta
AL;PALMEIRA DOS INDIOS;microrregiao;9114.0;16200.0;7784.0;5241.0;3542.0;alta
AL;CACIMBINHAS;municipio;1466.0;1446.0;223.0;610.0;386.0;alta
AL;IGACI;municipio;5540.0;5474.0;2533.0;1526.0;1018.0;alta
AL;MARIBONDO;municipio;359.0;229.0;50.0;45.0;60.0;alta
AL;MAR VERMELHO;municipio;551.0;421.0;187.0;141.0;78.0;alta
AL;MINADOR DO NEGRÃO;municipio;758.0;736.0;127.0;200.0;200.0;alta
AL;PALMEIRA DOS INDIOS;municipio;6855.0;6714.0;2826.0;2017.0;1378.0;alta
AL;PAULO JACINTO;municipio;1156.0;1033.0;768.0;194.0;60.0;alta
AL;OUEBRANGULO;municipio;706.0;519.0;46.0;179.0;179.0;alta
AL;TANQUE D' ARCA;municipio;1026.0;976.0;650.0;209.0;84.0;alta
AL;ARAPIRACA;microrregiao;40856.0;39568.0;20705.0;9699.0;6331.0;alta
AL;ANADIA;municipio;815.0;698.0;339.0;179.0;112.0;alta
AL;ARAPIRACA;municipio;4432.0;4345.0;1483.0;1264.0;1079.0;alta
AL;COITE DO NOIA;municipio;1656.0;1599.0;661.0;536.0;331.0;alta
AL;CRAIBAS;municipio;2114.0;2089.0;728.0;567.0;536.0;alta
AL;FEIRA GRANDE;municipio;3705.0;3553.0;1947.0;906.0;528.0;alta
AL;GIRAU DO PONCIANO;municipio;5279.0;5210.0;2627.0;1327.0;882.0;alta
AL;JUNQUEIRO;municipio;2954.0;2921.0;1447.0;630.0;508.0;alta
AL;LAGOA DA CANOA;municipio;1393.0;1381.0;730.0;308.0;240.0;alta
AL;LIMOEIRO DE ANADIA;municipio;4759.0;4573.0;2632.0;1125.0;595.0;alta
AL;OLHO D' AGUA GRANDE;municipio;1112.0;1002.0;584.0;256.0;134.0;alta
AL;SÂO IJRAS;municipio;1630.0;1590.0;1293.0;209.0;60.0;alta
AL;MATA ALAGOANA;microrregiao;18573.0;6316.0;3229.0;3423.0;;alta
AL;MATA ALAGOANA;municipio;11076.0;3217.0;2179.0;2409.0;;alta
AL;LITORAL NORTE ALAGOANO;municipio;3705.0;1521.0;664.0;597.0;;alta
AL;TABULEIROS DE S MIGUEL DOS CAMPOS;municipio;3792.0;1578.0;386.0;417.0;;alta
BA;TOTAIS;total;739006.0;688709.0;148867.0;148079.0;223455.0;baixa
BA;OESTE BAIANO;microrregiao;300262.0;283714.0;38215.0;59100.0;113798.0;baixa
BA;CHAPADÕES;microrregiao;23844.0;21421.0;3830.0;5175.0;8368.0;baixa
BA;ANGICAL;municipio;1942.0;1700.0;349.0;509.0;605.0;baixa
BA;BAIANOPOLIS;municipio;1321.0;1251.0;59.0;409.0;583.0;baixa
BA;BARREIRAS;municipio;2039.0;1902.0;330.0;484.0;618.0;baixa
BA;BREJOLANDIA;municipio;1692.0;1010.0;265.0;248.0;353.0;baixa
BA;CATOLANDIA;municipio;661.0;547.0;62.0;197.0;214.0;baixa
BA;COTEGIPE;municipio;1916.0;1407.0;226.0;237.0;543.0;baixa
BA;CRISTOPOLIS;municipio;1570.0;1456.0;473.0;477.0;402.0;baixa
BA;FORMOSA DO RIO PRETO;municipio;1622.0;1539.0;217.0;353.0;622.0;baixa
BA;RIACHÂO DAS NEVES;municipio;2242.0;2149.0;;323.0;1194.0;baixa
BA;SANTA RITA DE CASSIA;municipio;3534.0;3455.0;66.0;527.0;965.0;baixa
BA;SÃO DESIDERIO;municipio;3123.0;3039.0;1027.0;760.0;;baixa
BA;T ABOCAS DO BREJO VELHO;municipio;2182.0;1966.0;754.0;561.0;509.0;baixa
BA;CHAPADÕES DO RIO CORRENTE;municipio;18907.0;16915.0;2219.0;3964.0;7549.0;baixa
BA;CANAPOLIS;municipio;1530.0;1328.0;293.0;367.0;496.0;baixa
BA;cocos;municipio;1970.0;1736.0;60.0;323.0;1008.0;baixa
BA;CORIBE;municipio;2224.0;1988.0;20.0;256.0;1080.0;baixa
BA;CORRENT I NA;municipio;3947.0;3622.0;112.0;667.0;2098.0;baixa
BA;SANTA MARIA DA VITORIA;municipio;3368.0;3193.0;198.0;908.0;1433.0;baixa
BA;SANTANA;municipio;2985.0;2593.0;881.0;759.0;695.0;baixa
BA;SERRA DOURADA;municipio;2883.0;2455.0;655.0;684.0;739.0;baixa
BA;BAIXO-MEDIO SÃO FRANCISCO;municipio;39076.0;37864.0;6911.0;9445.0;13877.0;baixa
BA;BARRA;municipio;7527.0;7315.0;2229.0;879.0;2135.0;baixa
BA;CAMPO ALEGRE DE LOURDES;municipio;3659.0;167.0;487.0;1479.0;;baixa
BA;CASA NOVA;municipio;6896.0;6684.0;614.0;1570.0;3109.0;baixa
BA;IBOTIRAMA;municipio;1523.0;1403.0;189.0;422.0;511.0;baixa
BA;MORPARA;municipio;982.0;933.0;;99.0;508.0;baixa
BA;PILÃO ARCADO;municipio;5474.0;5413.0;1525.0;688.0;1599.0;baixa
BA;REMANSO;municipio;3960.0;3853.0;541.0;61.0;1570.0;baixa
BA;SENTO SE;municipio;5025.0;4746.0;960.0;1202.0;1757.0;baixa
BA;XIQUE-XIQUE;municipio;4030.0;3881.0;684.0;1037.0;1209.0;baixa
BA;MEDI O SÃO FRANCISCO;municipio;17214.0;16727.0;915.0;2458.0;7560.0;baixa
BA;BOM .JESUS OA LAPA;municipio;8635.0;549.0;1195.0;3606.0;;baixa
BA;CARINHANHA;municipio;505.0;2357.0;24.0;285.0;1225.0;baixa
BA;MALHADA;municipio;728.0;2665.0;28.0;382.0;1145.0;baixa
BA;PARATINGA;municipio;3346.0;3268.0;314.0;596.0;1584.0;baixa
BA;CHAPADA DIAMANTINA SETENTRIONAL;municipio;32426.0;31530.0;3004.0;4267.0;10757.0;baixa
BA;BARRA;municipio;1903.0;1855.0;266.0;437.0;839.0;baixa
BA;CAFARNAUM;municipio;2364.0;2333.0;311.0;822.0;;baixa
BA;CANARANA;municipio;3791.0;3728.0;347.0;545.0;1308.0;baixa
BA;CENTRAL;municipio;;;;;;baixa
BA;GENTIO;municipio;2480.0;271.0;658.0;603.0;704.0;baixa
BA;IBIPEBA;municipio;;;;;;baixa
BA;IBITITA;municipio;2344.0;337.0;140.0;272.0;932.0;baixa
BA;IRECE;municipio;6749.0;635.0;354.0;539.0;1818.0;baixa
BA;JUSSARA;municipio;1130.0;99.0;22.0;68.0;323.0;baixa
BA;MORRO;municipio;698.0;539.0;131.0;248.0;785.0;baixa
BA;PRES IOENTE OUTRA;municipio;1473.0;1465.0;62.0;161.0;535.0;baixa
BA;SOUTO SOARES;municipio;2103.0;2073.0;376.0;476.0;757.0;baixa
BA;ABAIRA;municipio;;;;176.0;99.0;baixa
BA;AGUA QUENTE;municipio;;;;180.0;380.0;baixa
BA;ANDARA I;municipio;;;;580.0;730.0;baixa
BA;BARRA DA ESTIVA;municipio;;;;121.0;241.0;baixa
BA;BON I NAL;municipio;;;;13.0;99.0;baixa
BA;BOQUIRA;municipio;;;;201.0;735.0;baixa
BA;BOTUPORÃ;municipio;;;;199.0;1230.0;baixa
BA;BROTAS DE MACAUBAS;municipio;2639.0;2568.0;478.0;752.0;100.0;baixa
BA;CONTENDAS;municipio;662.0;606.0;69.0;121.0;198.0;baixa
BA;(BICOARA;municipio;;;;207.0;218.0;baixa
BA;IBIPITANGA;municipio;;;;79.0;570.0;baixa
BA;I BIT IARA;municipio;;;;2130.0;1072.0;baixa
BA;IPUPIARA;municipio;;;;82.0;220.0;baixa
BA;IRAMAIA;municipio;;;;137.0;160.0;baixa
BA;IRAQUARA;municipio;;;;335.0;833.0;baixa
BA;ITAETE;municipio;;;;65.0;226.0;baixa
BA;ITUAÇU;municipio;;;;177.0;299.0;baixa
BA;JUSSIAPE;municipio;;;;169.0;317.0;baixa
BA;LENÇO IS;municipio;;;;116.0;75.0;baixa
BA;MACAUBAS;municipio;;;;406.0;1353.0;baixa
BA;MUCUGE;municipio;;;;170.0;325.0;baixa
BA;OLIVEIRA DOS BREJINHOS;municipio;3115.0;2925.0;486.0;726.0;1226.0;baixa
BA;PALMEIRAS;municipio;;;;108.0;163.0;baixa
BA;PARAMIRIM;municipio;;;;90.0;962.0;baixa
BA;PIATÃ;municipio;;;;1238.0;1083.0;baixa
BA;RIO DE CONTAS;municipio;;;;89.0;372.0;baixa
BA;SEABRA;municipio;;;;762.0;1137.0;baixa
BA;T ANHAÇU;municipio;;;;70.0;134.0;baixa
BA;UTINGA;municipio;;;;82.0;143.0;baixa
BA;WAGNER;municipio;;;;;12.0;baixa
BA;SERRA GERAL DA BAHIA;microrregiao;61771.0;60308.0;813.0;8542.0;30601.0;baixa
BA;ARACATU;municipio;;;;;178.0;baixa
BA;BRUMADO;municipio;;;;98.0;503.0;baixa
BA;CACULE;municipio;;;;31.0;163.0;baixa
BA;CAETITE;municipio;;;;112.0;1111.0;baixa
BA;CANO I BA;municipio;;;;19.0;382.0;baixa
BA;CONDEUBA;municipio;;;;10.0;233.0;baixa
BA;CORDEIROS;municipio;;;;;143.0;baixa
BA;DOM BASILIO;municipio;;;;43.0;351.0;baixa
BA;GUANAMBI;municipio;;;;106.0;687.0;baixa
BA;IBIASSUCE;municipio;;;;;137.0;baixa
BA;l GAPORÂ;municipio;;;;;182.0;baixa
BA;JACARACI;municipio;;;;57.0;506.0;baixa
BA;LICINIO DE ALMEIDA;municipio;1459.0;1405.0;40255.0;755.0;;baixa
BA;LIVRAMENTO DO BRUMAOO;municipio;3201.0;3111.0;71.0;1500.0;;baixa
BA;MALHADA DE PEDRAS;municipio;1477.0;1464.0;815.0;;;baixa
BA;MORTUGABA;municipio;;;;90.0;326.0;baixa
BA;PALMAS DE MONTE ALTO;municipio;2118.0;2053.0;12.0;142.0;828.0;baixa
BA;PINOAI;municipio;;;;;503.0;baixa
BA;PIRIPA;municipio;;;;22.0;361.0;baixa
BA;PRESIDENTE JANIO QUADROS;municipio;2531.0;2521.0;95.0;1228.0;;baixa
BA;RI ACHO DE SANTANA;municipio;5708.0;5698.0;13.0;848.0;3225.0;baixa
BA;RIO DO ANTONIO;municipio;;;;;146.0;baixa
BA;SEBASTIÃO LARANJEIRAS;municipio;828.0;740.0;36.0;133.0;214.0;baixa
BA;TREMEOAL;municipio;;;;13.0;453.0;baixa
BA;URANO(;municipio;;;;;186.0;baixa
BA;LESTE BAIANO;mesorregiao;348233.0;319722.0;100758.0;;;baixa
BA;PIEMONTE DA DIAMANTINA;microrregiao;36425.0;;;;;alta
BA;BAIXA GRANDE;municipio;2869.0;2510.0;23.0;;;alta
BA;BOA VISTA;municipio;1833.0;1563.0;8.0;;;alta
BA;CAEM;municipio;1629.0;1332.0;552.0;;;alta
BA;(BIQUERA;municipio;579.0;523.0;80.0;;;alta
BA;ITABERABA;municipio;2278.0;2091.0;275.0;;;alta
BA;JACOBI NA;municipio;9021.0;8326.0;2134.0;;;alta
BA;LAJEOINHO;municipio;478.0;444.0;17.0;;;alta
BA;MACAJUBA;municipio;812.0;703.0;214.0;;;alta
BA;MAIRI;municipio;3630.0;2956.0;857.0;;;alta
BA;MIGUEL CALMON;municipio;3209.0;2824.0;974.0;;;alta
BA;MUNDO NOVO;municipio;1644.0;1364.0;377.0;;;alta
BA;PIRITIBA;municipio;2106.0;1887.0;560.0;;;alta
BA;RUY BARBOSA;municipio;1765.0;1643.0;180.0;;;alta
BA;SERROLANDIA;municipio;2863.0;2558.0;583.0;;;alta
BA;TAPIRAMUTA;municipio;751.0;694.0;213.0;;;alta
BA;VARZEA DO POÇO;municipio;958.0;847.0;175.0;;;alta
BA;SERTÃO DE CANUDOS;microrregiao;42917.0;40447.0;10776.0;;;baixa
BA;CANSANÇÃO s;municipio;5170.0;4868.0;1454.0;;;baixa
BA;EUCLIDES DA CUNHA;municipio;7826.0;7364.0;2531.0;;;baixa
BA;ITIUBA;municipio;4713.0;4411.0;1702.0;;;baixa
BA;MONTE SANTO;municipio;8571.0;8261.0;1644.0;;;baixa
BA;QUEIMADAS;municipio;4467.0;4026.0;1132.0;;;baixa
BA;QUIJINGUE;municipio;4291.0;4100.0;142.0;;;baixa
BA;TUCANO;municipio;4648.0;4413.0;612.0;;;baixa
BA;SERRINHA;microrregiao;39164.0;36985.0;11791.0;;;baixa
BA;ARACI;municipio;5000.0;4914.0;1217.0;;;baixa
BA;BIRITINGA;municipio;1986.0;1884.0;635.0;;;baixa
BA;CANDEAL;municipio;1041.0;790.0;450.0;;;baixa
BA;CONCEIÇÃO DO COITE s;municipio;5204.0;5061.0;1512.0;;;baixa
BA;ICHU;municipio;645.0;549.0;304.0;;;baixa
BA;LAMARÂO;municipio;1660.0;1447.0;606.0;;;baixa
BA;RETIROLANDIA;municipio;1545.0;1493.0;390.0;;;baixa
BA;RIACHÃO DO JACU IPE;municipio;7981.0;7137.0;1669.0;;;baixa
BA;SANTALUZ;municipio;2266.0;2204.0;256.0;;;baixa
BA;SERTÃO DE PAULO AFONSO;microrregiao;13044.0;2834.0;3288.0;;;baixa
BA;CORONEL JOÃO SA;municipio;1995.0;476.0;471.0;;;baixa
BA;GLORIA;municipio;1768.0;246.0;508.0;;;baixa
BA;JEREMOABO;mesorregiao;4708.0;88.0;1242.0;;;baixa
