_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;val_9;val_10;val_11;confianca
AL;JUNQUEIRO;municipio;92.0;77.0;134.0;24.0;26.0;4.0;;40.0;42.0;;;baixa
AL;LAGOA DA CANOA;municipio;16.0;;;;;;;30.0;31.0;;;baixa
AL;MATA ALAGOAMA;mesorregiao;10571251.0;2651.0;808.0;194.0;733.0;103.0;165.0;22.0;22.0;;;baixa
AL;MATA ALAGDANA;microrregiao;857716.0;1051.0;276.0;;323.0;98.0;186.0;61.0;99.0;;;baixa
AL;ATALAIA;municipio;9108.0;172.0;32.0;;;29.0;44.0;;;;;baixa
AL;BRAMOU l NHA;municipio;9.0;;;;;;;;;;;baixa
AL;CA JUEIRO;municipio;2624.0;34.0;10.0;;;;;;;;;baixa
AL;CAPELA;municipio;109105.0;129.0;;;;;;;;;;baixa
AL;CHÃ PRETA;municipio;2010.0;;13.0;;16.0;;;;;;;baixa
AL;COLONIA LEOPOLDINA;municipio;3629.0;57.0;21.0;;24.0;;;;;;;baixa
AL;'FLEXEIRAS;municipio;3026.0;34.0;12.0;;12.0;;;;;;;baixa
AL;IBATEGUARA;municipio;21.0;;;;;;;;;;;baixa
AL;JACU IPE;municipio;2423.0;41.0;;;;;;;;;;baixa
AL;JOAQUIM GOMES;municipio;5250.0;75.0;;;;;;;;;;baixa
AL;JUNDIA;municipio;4644.0;63.0;;;;;16.0;;;;;baixa
AL;MESSIAS;municipio;1212.0;35.0;;;;;22.0;;;;;baixa
AL;MURICI;municipio;3130.0;48.0;;;;;;;;;;baixa
AL;NOVO LINO;municipio;45.0;71.0;13.0;;;;12.0;;;;;baixa
AL;PINDOBA;municipio;2116.0;18.0;;;;;;;;;;baixa
AL;SANTANA;municipio;1910.0;13.0;;;;;10.0;;;;;baixa
AL;SÃO JOSE DA LAJE;municipio;5000.0;53.0;25.0;;26.0;;;;16.0;;;baixa
AL;UNIÃO DOS PALMARES;municipio;7455.0;92.0;31.0;;38.0;;;;;;;baixa
AL;VIÇOSA;municipio;10460.0;65.0;71.0;;78.0;;;;13.0;;;baixa
AL;LITORAL. NORTE AL AGOANO;microrregiao;245219.0;397.0;80.0;;117.0;35.0;67.0;18.0;28.0;21.0;21.0;baixa
AL;BARRA DE SANTO ANTONIO;municipio;;;;;;;;;;;;baixa
AL;JAPARAT(NGA;municipio;1917.0;19.0;;;;;;;;;;baixa
AL;MARAGOGI;municipio;2421.0;29.0;;;;;;;;;;baixa
AL;MATRIZ OE CAMARAGJBE;municipio;3129.0;56.0;22.0;;33.0;;17.0;;;;;baixa
AL;PASSO DE CAMARAGIBE;municipio;1914.0;29.0;;;7.0;;15.0;;10.0;;;baixa
AL;PORTO CALVO;municipio;6056.0;141.0;;;34.0;;13.0;;;;;baixa
AL;PORTO DE PEDRAS;municipio;4538.0;62.0;23.0;;26.0;;;;;;;baixa
AL;SÃO MIGUEL DOS MILAGRES;municipio;;;;;;;;;;;;baixa
AL;TABULEIROS DE S MIGUEL DOS CAMPOS;microrregiao;355316.0;203.0;149.0;;368.0;61.0;480.0;24.0;38.0;;;baixa
AL;BARRA DE SÃO MIGUEL;municipio;;;;;;;;;;;;baixa
AL;BOCA DA MATA;municipio;8165.0;153.0;36.0;;49.0;;14.0;;;;;baixa
AL;CAMPO ALEGRE;municipio;67.0;302.0;42.0;;80.0;18.0;79.0;;;;;baixa
AL;CORURIPE;municipio;146136.0;367.0;35.0;;111.0;20.0;188.0;16.0;23.0;;;baixa
AL;ROTEIRO;municipio;10.0;60.0;;;;;60.0;;;;;baixa
AL;SÃO MIGUEL DOS CAMPOS;municipio;4034.0;314.0;27.0;;112.0;14.0;136.0;;;;;baixa
AM;TOTAIS;total;622.0;231.0;277.0;446.0;533.0;87.0;129.0;142.0;160.0;87169126305.0;;baixa
AM;HILEIA AMAZONENSE;mesorregiao;181.0;70.0;82.0;117.0;123.0;30.0;40.0;92.0;101.0;57967.0;;baixa
AM;ALTO SOLIMÕES;microrregiao;10.0;;;;;;;;;11234.0;;baixa
AM;AMATURA;municipio;;;;;;;;;;767.0;;baixa
AM;ATALAIA DO NORTE;municipio;;;;;;;;;;777.0;;baixa
AM;BENJAMIN CONSTANT;municipio;;;;;;;;;;750.0;;baixa
AM;FONTE BOA;municipio;;;;;;;;;;1753.0;;baixa
AM;JUTAI;municipio;;;;;;;;;;878.0;;baixa
AM;SANTO ANTONIO DO IÇA;municipio;;;;;;;;;;1646.0;;baixa
AM;SÃO PAULO DE OLIVENÇA;municipio;;;;;;;;;;1590.0;;baixa
AM;TABATINGA;municipio;;;;;;;;;;856.0;;baixa
AM;TONANTINS;municipio;;;;;;;;;;1116.0;;baixa
AM;.JURUA;microrregiao;15.0;;;10.0;10.0;3.0;;32.0;38.0;9397.0;;baixa
AM;CARAUARI;municipio;;2.0;;;;;;2.0;3.0;1550.0;;baixa
AM;EIRUNEPE;municipio;;;;1.0;;;;20.0;21.0;948.0;;baixa
