_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;val_9;val_10;val_11;confianca
MG;MENDES PIMENTEL;microrregiao;;25.0;;;;24.0;;25.0;;;;baixa
MG;MATA DE CARATINGA;mesorregiao;;1058.0;;240.0;291.0;848.0;;933.0;;;;baixa
MG;BOM JESUS;microrregiao;;106.0;;15.0;23.0;83.0;;94.0;;;;baixa
MG;CARATINGA;microrregiao;;463.0;;133.0;159.0;364.0;;407.0;;;;baixa
MG;CORREGO NOVO;microrregiao;;39.0;;;10.0;34.0;;36.0;;;;baixa
MG;DOM CAVATI;microrregiao;;24.0;;;;23.0;;25.0;;;;baixa
MG;ENGENHEIRO CALDAS;microrregiao;;43.0;;;;32.0;;34.0;;;;baixa
MG;FERNANDES TOURINHO;microrregiao;;;;;;;;;;;;baixa
MG;IAPU;microrregiao;;53.0;;;;44.0;;51.0;;;;baixa
MG;INHAPIM;microrregiao;;187.0;;43.0;51.0;151.0;;158.0;;;;baixa
MG;SÃO JOÃO DO ORIENTE;microrregiao;;64.0;;12.0;13.0;57.0;;61.0;;;;baixa
MG;SOBRALIA;microrregiao;;35.0;;;;27.0;;28.0;;;;baixa
MG;TARUMIRIM;microrregiao;;41.0;;10.0;10.0;30.0;;36.0;;;;baixa
MG;BACIA DO MANHUAÇU;mesorregiao;;1199.0;;160.0;182.0;10.0;;1128.0;;;;baixa
MG;AIMORES;microrregiao;;119.0;;13.0;14.0;88.0;;96.0;;;;baixa
MG;ALVARENGA;microrregiao;;20.0;;;;20.0;;20.0;;;;baixa
MG;CONCEIÇÃO DE IPANEMA;microrregiao;;53.0;;;10.0;47.0;;49.0;;;;baixa
MG;CONSELHEIRO PENA;microrregiao;;96.0;;13.0;16.0;82.0;;90.0;;;;baixa
MG;DIVINO DAS LARANJEIRAS;microrregiao;;10.0;;;;10.0;;11.0;;;;baixa
MG;GALILEIA;microrregiao;;38.0;;11.0;11.0;28.0;;30.0;;;;baixa
MG;IPANEMA;microrregiao;;73.0;;;12.0;61.0;;66.0;;;;baixa
MG;ITANHOMI;microrregiao;;60.0;;;;54.0;;62.0;;;;baixa
MG;ITUETA;microrregiao;;128.0;;;;86.0;;92.0;;;;baixa
MG;MUTUM;microrregiao;;266.0;;24.0;29.0;242.0;;270.0;;;;baixa
MG;POCRANE;microrregiao;;20.0;;;;15.0;;15.0;;;;baixa
MG;RESPLENDOR;microrregiao;;174.0;;21.0;22.0;159.0;;179.0;;;;baixa
MG;SANTA RITA;microrregiao;;107.0;;39.0;44.0;86.0;;115.0;;;;baixa
MG;TUMIRITINGA;microrregiao;;35.0;;;;32.0;;33.0;;;;baixa
MG;MATA DE PONTE NOVA;mesorregiao;;1402.0;;338.0;450.0;182.0;;1331.0;;;;baixa
MG;ABRE CAMPO;microrregiao;;306.0;;39.0;44.0;286.0;;320.0;;;;baixa
MG;ACAIACA;microrregiao;;10.0;;;;;;;;;;baixa
MG;AMPARO DO SERRA;microrregiao;;34.0;;;12.0;29.0;;34.0;;;;baixa
MG;BARRA LONGA;microrregiao;;55.0;;4.0;;47.0;;52.0;;;;baixa
MG;DIOGO DE VASCONCELOS;microrregiao;;;;;;;;;;;;baixa
MG;DOM SILVERIO;microrregiao;;48.0;;12.0;12.0;31.0;;31.0;;;;baixa
MG;JEQUERI;microrregiao;;127.0;;24.0;29.0;113.0;;120.0;;;;baixa
MG;PIEDADE DE PONTE NOVA;microrregiao;;64.0;;23.0;35.0;56.0;;73.0;;;;baixa
MG;PONTE NOVA;microrregiao;;145.0;;61.0;100.0;105.0;;128.0;;;;baixa
MG;RAUL SOARES;microrregiao;;144.0;;47.0;52.0;85.0;;92.0;;;;baixa
MG;RIO CASCA;microrregiao;;139.0;;25.0;33.0;133.0;;151.0;;;;baixa
MG;RIO DOCE;microrregiao;;;;;;;;;;;;baixa
MG;SANTA CRUZ DO ESCALVAOO;microrregiao;;;;28.0;31.0;89.0;;95.0;;;;baixa
MG;SANTO ANTON;microrregiao;;;;18.0;20.0;31.0;;36.0;;;;baixa
MG;SÃO PEDRO DOS FERROS;microrregiao;;;;11.0;17.0;37.0;;39.0;;;;baixa
MG;SERICITA;microrregiao;;;;;;83.0;;84.0;;;;baixa
MG;URUCANIA;microrregiao;;;;29.0;49.0;45.0;;63.0;;;;baixa
MG;VERTENTE OCIDENTAL DO CAPARAO;microrregiao;;2915.0;542.0;6312565.0;;2847.0;156.0;183.0;;;;baixa
MG;CAIANA;municipio;;93.0;12.0;1388.0;;101.0;;;;;;baixa
MG;CAPARAO;municipio;;132.0;;125.0;;150.0;;;;;;baixa
MG;CAPUTIRA;municipio;;34.0;;28.0;;31.0;;;;;;baixa
MG;CHALE;municipio;;71.0;;64.0;;68.0;;;;;;baixa
MG;DIVINO;municipio;;474.0;62.0;71439.0;;509.0;31.0;35.0;;;;baixa
MG;ESPERA FELIZ;municipio;;126.0;77.0;8750.0;;59.0;23.0;26.0;;;;baixa
MG;LAJINHA;municipio;;195.0;32.0;35174.0;;190.0;29.0;33.0;;;;baixa
MG;MANHUAÇU;municipio;;719.0;177.0;218617.0;;669.0;21.0;29.0;;;;baixa
MG;MANHUMIRIM;municipio;;317.0;40.0;45291.0;;321.0;17.0;20.0;;;;baixa
MG;MA TIPO;municipio;;144.0;34.0;44123.0;;139.0;;;;;;baixa
MG;PRESIDENTE SOARES;municipio;;120.0;;9.0;;132.0;;;;;;baixa
MG;SANTA MARGARIDA;municipio;;205.0;36.0;38183.0;;191.0;12.0;13.0;;;;baixa
MG;SANTANA DO MANHUAÇU;municipio;;112.0;13.0;14106.0;;3.0;;;;;;baixa
MG;SÃO JOSE DO MANTIMENTO;municipio;;;;;;;;;;;;baixa
MG;SIMONESIA;municipio;;167.0;32.0;35153.0;;169.0;;;;;;baixa
MG;MATA DE VIÇOSA;microrregiao;;885.0;189.0;217616.0;;655.0;181.0;218.0;;;;baixa
MG;ALTO RIO DOCE;municipio;;45.0;14.0;1512.0;;12.0;24.0;27.0;;;;baixa
MG;ARAPONGA;municipio;;19.0;;12.0;;13.0;;;;;;baixa
MG;BRAS PIRES;municipio;;;;;;;;;;;;baixa
MG;CAJURI;municipio;;31.0;16.0;1817.0;;18.0;;;;;;baixa
MG;CANAÃ;municipio;;56.0;11.0;1421.0;;23.0;34.0;40.0;;;;baixa
MG;CIPOTANEA;municipio;;;;;;;;;;;;baixa
MG;COIMBRA;municipio;;24.0;;14.0;;14.0;;;;;;baixa
MG;DORES DO TURVO;municipio;;38.0;;;;;34.0;39.0;;;;baixa
MG;ERVALIA;municipio;;27.0;;21.0;;23.0;;;;;;baixa
MG;GUARACIABA;municipio;;42.0;15.0;1932.0;;36.0;;;;;;baixa
MG;LAMIM;municipio;;;;;;;;;;;;baixa
MG;PAULA CANDIDO;municipio;;54.0;;1143.0;;46.0;;;;;;baixa
MG;PEDRA DO ANTA;municipio;;22.0;;17.0;;18.0;;;;;;baixa
MG;PIRANGA;municipio;;63.0;;1356.0;;58.0;;;;;;baixa
MG;PORTO FIRME;municipio;;72.0;16.0;1860.0;;63.0;;;;;;baixa
MG;PRESIDENTE BERNARDES;municipio;;40.0;11.0;33.0;;40.0;;;;;;baixa
MG;RIO ESPERA;municipio;;35.0;;31.0;;33.0;;;;;;baixa
MG;SÃO MIGUEL;municipio;;42.0;;15.0;;15.0;22.0;24.0;;;;baixa
MG;SENADOR FIRMINO;municipio;;26.0;2.0;19.0;;19.0;;;;;;baixa
MG;SENHORA DE OLIVEIRA;municipio;;54.0;14.0;2047.0;;49.0;;;;;;baixa
MG;TEIXEIRAS;municipio;;45.0;;39.0;;40.0;;;;;;baixa
MG;VIÇOSA;municipio;;128.0;15.0;15110.0;;116.0;12.0;17.0;;;;baixa
MG;MATA DO MURIAE;microrregiao;;1130.0;217.0;245941.0;;1037.0;138.0;173.0;;;;baixa
MG;ANTONIO PRADO DE MINAS;municipio;;12.0;;10.0;;10.0;;;;;;baixa
MG;BARÃO DE MONTE ALTO;municipio;;35.0;;22.0;;27.0;19.0;29.0;;;;baixa
MG;CARANGOLA;municipio;;292.0;43.0;49258.0;;290.0;25.0;29.0;;;;baixa
MG;EUGENOPOLIS;municipio;;45.0;13.0;1524.0;;25.0;12.0;16.0;;;;baixa
MG;FARIA LEMOS;municipio;;99.0;12.0;1494.0;;105.0;22.0;26.0;;;;baixa
MG;MIRADOURO;municipio;;52.0;;49.0;;54.0;;;;;;baixa
MG;MIRAI;municipio;;166.0;47.0;53132.0;;142.0;;;;;;baixa
MG;MURIAE;municipio;;213.0;48.0;55170.0;;186.0;10.0;16.0;;;;baixa
MG;PATROCINIO DO MURIAE;municipio;;11.0;;;;;;;;;;baixa
MG;PEDRA DOURADA;municipio;;29.0;3.0;27.0;;28.0;;;;;;baixa
MG;SÃO FRANCISCO DO GLORIA;municipio;;63.0;13.0;1455.0;;59.0;;;;;;baixa
MG;TOMBOS;municipio;;86.0;25.0;2573.0;;81.0;22.0;25.0;;;;baixa
MG;VIEIRAS;municipio;;27.0;;20.0;;23.0;11.0;11.0;;;;baixa
MG;MATA OE UBA;microrregiao;764.0;223.0;256.0;534.0;;571.0;107.0;150.0;;;;baixa
MG;ASTOLFO OUTRA;municipio;55.0;19.0;28.0;41.0;;44.0;;;;;;baixa
MG;DIVINESIA;municipio;12.0;;;;;;;;;;;baixa
MG;GUARANI;municipio;78.0;11.0;;67.0;;74.0;20.0;35.0;;;;baixa
MG;GUIDOVAL;municipio;52.0;23.0;24.0;32.0;;32.0;;;;;;baixa
MG;GUIRICEMA;municipio;42.0;12.0;14.0;30.0;;30.0;;;;;;baixa
MG;PIAU;municipio;23.0;;;13.0;;13.0;;10.0;;;;baixa
MG;PIRAUBA;municipio;47.0;;11.0;36.0;;37.0;;11.0;;;;baixa
MG;RIO NOVO;municipio;66.0;10.0;10.0;39.0;;42.0;30.0;44.0;;;;baixa
MG;RIO POMBA;municipio;71.0;10.0;12.0;67.0;;74.0;;;;;;baixa
MG;RODE IRO;municipio;;;;;;;;;;;;baixa
MG;SÃO GERALDO;municipio;45.0;18.0;19.0;30.0;;31.0;;;;;;baixa
MG;SILVEIRANIA;municipio;27.0;;;26.0;;27.0;;;;;;baixa
MG;TABULEIRO;municipio;18.0;;;14.0;;14.0;;;;;;baixa
MG;TOCANTINS;municipio;44.0;;;22.0;;22.0;16.0;20.0;;;;baixa
MG;MATA DE CATAGUASES;microrregiao;568.0;86.0;89.0;467.0;;504.0;95.0;134.0;;;;baixa
MG;ALEM PARAIBA;municipio;127.0;10.0;10.0;5.0;;6.0;13.0;20.0;;;;baixa
MG;ARGIRITA;municipio;51.0;;10.0;48.0;;53.0;;13.0;;;;baixa
MG;CAT AGUASES;municipio;76.0;;;69.0;;74.0;;10.0;;;;baixa
MG;DONA EUZEBIA;municipio;20.0;14.0;15.0;;;;;;;;;baixa
MG;ESTRELA CALVA;municipio;;;;;;10.0;;;;;;baixa
MG;ITAMARATI DE MINAS;municipio;16.0;;;;;10.0;;;;;;baixa
MG;LARANJAL;municipio;;;;;;;;;;;;baixa
MG;PALMA;municipio;42.0;;;39.0;;43.0;;10.0;;;;baixa
MG;PIRAPETINGA;municipio;42.0;;;33.0;;37.0;10.0;10.0;;;;baixa
MG;RECREIO;municipio;13.0;;;11.0;;15.0;;;;;;baixa
MG;SANTANA DE CAT AGUASES;municipio;;;;;;;;;;;;baixa
MG;SANTO ANTONIO DO AVENTUREIRO;municipio;17.0;;;8.0;;8.0;;;;;;baixa
MG;VOLTA GRANDE;municipio;28.0;;;;;;;;;;;baixa
MG;SUDOESTE MINEIRO;mesorregiao;28445.0;41140.0;5133.0;22140.0;;24409.0;9065.0;12274.0;;;;baixa
MG;PLANALTO DE ARAXA;microrregiao;2504.0;410.0;521.0;2116.0;;2324.0;773.0;1006.0;;;;baixa
MG;ARAXA;municipio;450.0;39.0;42.0;439.0;;515.0;143.0;170.0;;;;baixa
MG;CAMPOS ALTOS;municipio;168.0;41.0;50.0;154.0;;171.0;42.0;71.0;;;;baixa
MG;IBIA;municipio;281.0;27.0;27.0;233.0;;246.0;105.0;138.0;;;;baixa
MG;IRAI DE MINAS;municipio;88.0;14.0;21.0;81.0;;82.0;13.0;15.0;;;;baixa
MG;NOVA PONTE;municipio;241.0;61.0;88.0;220.0;;251.0;45.0;59.0;;;;baixa
MG;PEDRINOPOLIS;municipio;56.0;22.0;23.0;32.0;;35.0;32.0;38.0;;;;baixa
MG;PERDIZES;municipio;278.0;87.0;104.0;139.0;;151.0;137.0;164.0;;;;baixa
MG;PRATINHA;municipio;79.0;13.0;13.0;61.0;;61.0;19.0;19.0;;;;baixa
MG;SACRAMENTO;municipio;655.0;60.0;98.0;588.0;;637.0;186.0;249.0;;;;baixa
MG;SANTA JULIANA;municipio;128.0;39.0;44.0;93.0;;95.0;42.0;66.0;;;;baixa
MG;TAPIRA;municipio;80.0;;11.0;76.0;;80.0;;17.0;;;;baixa
MG;ALTO SÃO FRANCISCO;microrregiao;3625.0;394.0;577.0;3048.0;;3309.0;772.0;1116.0;;;;baixa
MG;ARAU JOS;municipio;79.0;;;79.0;;81.0;;;;;;baixa
MG;ARCOS;municipio;204.0;13.0;16.0;191.0;;208.0;36.0;46.0;;;;baixa
MG;BAMBU(;municipio;398.0;29.0;35.0;381.0;;413.0;28.0;34.0;;;;baixa
MG;BOM DESPACHO;municipio;255.0;43.0;74.0;197.0;;218.0;56.0;87.0;;;;baixa
MG;CONCEIÇÃO DO PARA;municipio;16.0;;;;;;;;;;;baixa
MG;CORREGO DANTA;municipio;180.0;21.0;;139.0;;159.0;59.0;69.0;;;;baixa
MG;DORES DO lNDAIA;mesorregiao;;209.0;;;200.0;212.0;24.0;25.0;;;;baixa
MG;DORESOPOLIS;mesorregiao;;25.0;;;12.0;12.0;15.0;20.0;;;;baixa
MG;ESTRELA DO INDAIA;mesorregiao;;85.0;;;72.0;78.0;31.0;38.0;;;;baixa
MG;IGUATAMA;mesorregiao;;192.0;16.0;20.0;182.0;192.0;29.0;33.0;;;;baixa
MG;JAPARAIBA;mesorregiao;;19.0;;;;;15.0;20.0;;;;baixa
MG;LAGOA DA PRATA;mesorregiao;;68.0;11.0;127.0;54.0;80.0;38.0;214.0;;;;baixa
MG;LEANDRO FERREIRA;mesorregiao;;22.0;;;15.0;15.0;;;;;;baixa
MG;MEDEIROS;mesorregiao;;73.0;;;62.0;68.0;18.0;23.0;;;;baixa
MG;NOVA SERRANA;mesorregiao;;25.0;;;20.0;21.0;;;;;;baixa
MG;PAINS;mesorregiao;;126.0;21.0;21.0;112.0;122.0;12.0;19.0;;;;baixa
MG;PERDIGÃO;mesorregiao;;71.0;;;66.0;68.0;;;;;;baixa
MG;PIMENTA;mesorregiao;;89.0;14.0;15.0;76.0;81.0;;;;;;baixa
MG;PITANGUI;mesorregiao;;58.0;12.0;14.0;44.0;48.0;;11.0;;;;baixa
MG;PIUI;mesorregiao;;234.0;42.0;47.0;98.0;107.0;172.0;213.0;;;;baixa
MG;SANTA ROSA DA SERRA;mesorregiao;;111.0;22.0;23.0;98.0;104.0;;;;;;baixa
MG;SANTO ANTONIO DO MONTE;mesorregiao;;329.0;24.0;25.0;304.0;316.0;29.0;36.0;;;;baixa
MG;SÃO ROQUE DE MINAS;mesorregiao;;241.0;10.0;11.0;213.0;226.0;55.0;57.0;;;;baixa
MG;SERRA DA SAUDADE;mesorregiao;;48.0;;;48.0;50.0;;;;;;baixa
MG;TAP IRAI;mesorregiao;;50.0;10.0;12.0;39.0;46.0;14.0;16.0;;;;baixa
MG;VARGEM BONITA;mesorregiao;;49.0;;;11.0;12.0;42.0;45.0;;;;baixa
MG;FURNAS;mesorregiao;;6139.0;1252.0;1757.0;4502.0;5057.0;2784.0;3903.0;;;;baixa
MG;ALFENAS;mesorregiao;;391.0;77.0;114.0;327.0;389.0;161.0;278.0;;;;baixa
MG;ALPINOPOLIS;mesorregiao;;157.0;22.0;29.0;96.0;116.0;94.0;116.0;;;;baixa
MG;ALTEROSA;mesorregiao;;100.0;;10.0;70.0;72.0;39.0;47.0;;;;baixa
MG;AREADO;mesorregiao;;135.0;21.0;28.0;110.0;131.0;45.0;63.0;;;;baixa
MG;BOA ESPERANÇA;mesorregiao;;413.0;99.0;115.0;337.0;380.0;139.0;211.0;;;;baixa
MG;CAMPO;mesorregiao;;82.0;30.0;84.0;54.0;72.0;42.0;64.0;;;;baixa
MG;CAMPOS GERAIS;mesorregiao;;377.0;116.0;130.0;202.0;218.0;186.0;233.0;;;;baixa
MG;CAPITOLIO;mesorregiao;;61.0;10.0;14.0;30.0;33.0;39.0;42.0;;;;baixa
MG;CARMO DO RIO CLARO;mesorregiao;;259.0;55.0;78.0;139.0;164.0;182.0;251.0;;;;baixa
MG;CASSIA;mesorregiao;;359.0;45.0;47.0;293.0;300.0;177.0;248.0;;;;baixa
MG;CONCEIÇÃO DA APARECIDA;mesorregiao;;123.0;14.0;20.0;44.0;48.0;100.0;120.0;;;;baixa
MG;COQUEIRAL;mesorregiao;;;;;;;;;;;;baixa
MG;DELFINOPOLIS;mesorregiao;;194.0;18.0;22.0;150.0;156.0;101.0;134.0;;;;baixa
MG;DIVISA NOVA;mesorregiao;;60.0;15.0;16.0;29.0;29.0;37.0;58.0;;;;baixa
MG;ELOI MENDES;mesorregiao;;237.0;35.0;37.0;126.0;132.0;158.0;207.0;;;;baixa
MG;FAMA;mesorregiao;;72.0;10.0;10.0;63.0;67.0;34.0;44.0;;;;baixa
MG;GUAPE;mesorregiao;;215.0;32.0;45.0;170.0;180.0;80.0;96.0;;;;baixa
MG;ILICINEA;mesorregiao;;177.0;35.0;41.0;133.0;144.0;68.0;92.0;;;;baixa
MG;MACHADO;mesorregiao;;398.0;86.0;104.0;310.0;357.0;170.0;253.0;;;;baixa
MG;NEPOMUCENO;mesorregiao;;367.0;84.0;98.0;329.0;371.0;42.0;54.0;;;;baixa
MG;PARAGUAÇU;mesorregiao;;239.0;45.0;50.0;186.0;200.0;75.0;87.0;;;;baixa
MG;PASSOS;mesorregiao;;407.0;70.0;117.0;313.0;333.0;178.0;264.0;;;;baixa
MG;PRATAPOLIS;mesorregiao;;161.0;;;123.0;125.0;92.0;108.0;;;;baixa
MG;SANTANA DA VARGEM;mesorregiao;;138.0;45.0;54.0;118.0;144.0;50.0;89.0;;;;baixa
MG;SÃO JOÃO BATISTA DO GLORIA;mesorregiao;84.0;13.0;14.0;;;;;;;;;baixa
MG;SERRANIA;mesorregiao;119.0;32.0;41.0;92.0;101.0;132.0;87.0;108.0;;;;baixa
MG;TRES PONTAS;mesorregiao;;483.0;160.0;346.0;415.0;530.0;146.0;234.0;;;;baixa
MG;VARGINHA;mesorregiao;;171.0;35.0;47.0;92.0;99.0;116.0;162.0;;;;baixa
MG;FORMIGA;mesorregiao;;2980.0;553.0;636.0;2418.0;2623.0;638.0;790.0;;;;baixa
MG;AGUANIL;mesorregiao;;90.0;15.0;15.0;53.0;54.0;63.0;65.0;;;;baixa
MG;BOM SUCESSO;mesorregiao;;168.0;40.0;57.0;129.0;140.0;36.0;57.0;;;;baixa
MG;CAMACHO;mesorregiao;;20.0;;5.0;16.0;17.0;;12.0;;;;baixa
MG;CAMPO BELO;mesorregiao;366.0;66.0;329.0;362.0;75.0;88.0;361.0;419.0;;;;baixa
MG;CANA VERDE;mesorregiao;;110.0;17.0;18.0;97.0;108.0;28.0;35.0;;;;baixa
MG;CANDEIAS;municipio;295.0;62.0;66.0;232.0;241.0;73.0;85.0;468.0;;;;baixa
MG;CARMO DA MATA;municipio;87.0;13.0;16.0;72.0;76.0;22.0;29.0;196.0;;;;baixa
MG;CARMOPOLIS OE MINAS;municipio;87.0;36.0;37.0;53.0;57.0;;;319.0;;;;baixa
MG;CLAUOIO;municipio;60.0;;;44.0;50.0;17.0;130.0;368.0;;;;baixa
MG;CRISTAIS;municipio;272.0;32.0;35.0;230.0;257.0;85.0;100.0;253.0;;;;baixa
MG;FORMIGA;municipio;210.0;55.0;65.0;152.0;170.0;37.0;49.0;966.0;;;;baixa
MG;IBITURUNA;municipio;59.0;;;57.0;64.0;;;51.0;;;;baixa
MG;ITAGUARA;municipio;95.0;;10.0;84.0;86.0;;;465.0;;;;baixa
MG;ITAPECERICA;municipio;145.0;26.0;32.0;124.0;129.0;16.0;21.0;579.0;;;;baixa
MG;OLIVEIRA;municipio;193.0;47.0;52.0;149.0;165.0;36.0;46.0;424.0;;;;baixa
MG;PASSA TEMPO;municipio;117.0;12.0;16.0;109.0;114.0;;13.0;242.0;;;;baixa
MG;PEDRA DO INDAIA;municipio;21.0;;;11.0;13.0;11.0;12.0;235.0;;;;baixa
MG;PERDÕES;municipio;162.0;33.0;41.0;120.0;131.0;49.0;57.0;267.0;;;;baixa
MG;PIRACEMA;municipio;75.0;;;74.0;82.0;;;353.0;;;;baixa
MG;RIBEIRÃO VERMELHO;municipio;43.0;;;41.0;43.0;;;17.0;;;;baixa
MG;SANTANA DO .JACARE;municipio;15.0;;;12.0;12.0;;;;;;;baixa
MG;SANTO ANTONIO DO AMPARO;municipio;110.0;39.0;49.0;64.0;72.0;30.0;34.0;181.0;;;;baixa
MG;SÃO FRANCISCO DE PAULA;municipio;93.0;26.0;27.0;80.0;88.0;15.0;21.0;170.0;;;;baixa
MG;SÃO SEBASTIÃO DO OESTE;municipio;87.0;;;86.0;92.0;;;228.0;;;;baixa
MG;MOGIANA MINEIRA;microrregiao;3490.0;587.0;810.0;2363.0;2636.0;1653.0;2220.0;4732.0;;;;baixa
MG;ARCEBURGO;municipio;59.0;25.0;26.0;34.0;36.0;20.0;41.0;142.0;;;;baixa
MG;BOM .JESUS DA PENHA;municipio;100.0;;;66.0;72.0;58.0;64.0;75.0;;;;baixa
MG;CABO VERDE;municipio;251.0;92.0;110.0;153.0;161.0;68.0;90.0;80.0;;;;baixa
MG;CAPETINGA;municipio;109.0;30.0;31.0;62.0;62.0;43.0;47.0;197.0;;;;baixa
MG;CLARAVAL;municipio;122.0;39.0;40.0;39.0;39.0;69.0;73.0;191.0;;;;baixa
MG;GUARANESIA;municipio;165.0;34.0;52.0;112.0;137.0;103.0;153.0;258.0;;;;baixa
MG;GUAXUPE;municipio;103.0;33.0;45.0;67.0;80.0;63.0;117.0;225.0;;;;baixa
MG;IBIRACI;municipio;220.0;29.0;30.0;139.0;157.0;140.0;171.0;178.0;;;;baixa
MG;ITAMOGI;municipio;226.0;24.0;25.0;153.0;165.0;144.0;219.0;304.0;;;;baixa
MG;.JACUI;municipio;70.0;12.0;12.0;43.0;43.0;22.0;26.0;451.0;;;;baixa
MG;.JURUAIA;municipio;86.0;;10.0;61.0;65.0;28.0;31.0;199.0;;;;baixa
MG;MONTE BELO;municipio;128.0;22.0;149.0;91.0;141.0;38.0;68.0;182.0;;;;baixa
MG;MONTE SANTO DE MINAS;municipio;410.0;52.0;63.0;344.0;386.0;202.0;277.0;422.0;;;;baixa
MG;MUZAMBINHO;municipio;406.0;30.0;32.0;352.0;384.0;90.0;105.0;297.0;;;;baixa
MG;NOVA RESENDE;municipio;227.0;37.0;41.0;158.0;173.0;99.0;115.0;227.0;;;;baixa
MG;SÃO PEDRO DA UNIÃO;municipio;103.0;12.0;13.0;63.0;70.0;56.0;67.0;197.0;;;;baixa
MG;SÃO SEBASTIÃO DO PARA ISO;municipio;501.0;79.0;95.0;377.0;411.0;236.0;335.0;715.0;;;;baixa
MG;SÃO TOMAS DE AQUINO;municipio;166.0;13.0;14.0;32.0;35.0;145.0;177.0;229.0;;;;baixa
MG;PLANALTO DE POÇOS DE CALDAS;microrregiao;1785.0;341.0;420.0;1450.0;1646.0;410.0;555.0;1300.0;;;;baixa
MG;ANDRAOAS;municipio;508.0;97.0;109.0;414.0;452.0;68.0;77.0;334.0;;;;baixa
MG;BANDEIRA DO SUL;municipio;39.0;;;34.0;37.0;;;;;;;baixa
MG;BOTELHOS;municipio;281.0;35.0;62.0;256.0;316.0;114.0;167.0;110.0;;;;baixa
MG;CALDAS;municipio;289.0;13.0;14.0;278.0;300.0;13.0;14.0;146.0;;;;baixa
MG;CAMPESTRE;municipio;236.0;85.0;102.0;144.0;159.0;80.0;6.0;207.0;;;;baixa
MG;IPUIUNA;municipio;40.0;14.0;17.0;33.0;44.0;;;22.0;;;;baixa
MG;POÇOS DE CALCAS;municipio;99.0;36.0;51.0;80.0;110.0;44.0;75.0;41.0;;;;baixa
MG;SANTA RITA DE CALDAS;municipio;240.0;46.0;49.0;176.0;191.0;76.0;86.0;342.0;;;;baixa
MG;PLANALTO MINEIRO;microrregiao;4116.0;708.0;837.0;3185.0;3523.0;1148.0;1589.0;6077.0;;;;baixa
MG;ALBERTINA;municipio;96.0;;;93.0;107.0;;;;;;;baixa
MG;BOM REPOUSO;municipio;1167.0;10.0;12.0;153.0;158.0;;;36.0;;;;baixa
MG;BORDA DA MATA;municipio;112.0;;;70.0;76.0;53.0;69.0;368.0;;;;baixa
MG;CACHOEIRA DE MINAS;municipio;82.0;18.0;22.0;67.0;73.0;20.0;37.0;180.0;;;;baixa
MG;CAMBUQUIRA;municipio;147.0;21.0;28.0;132.0;156.0;32.0;49.0;146.0;;;;baixa
MG;CAMPANHA;mesorregiao;;108.0;29.0;31.0;66.0;71.0;59.0;79.0;;;;baixa
MG;CAREAÇU;mesorregiao;;48.0;14.0;15.0;29.0;31.0;11.0;17.0;;;;baixa
MG;CARMO DA CACHOEIRA;mesorregiao;;171.0;35.0;41.0;139.0;152.0;66.0;103.0;;;;baixa
MG;CARMO OE MINAS;mesorregiao;;77.0;22.0;23.0;50.0;56.0;21.0;30.0;;;;baixa
MG;CARVALHOPOLIS;mesorregiao;;28.0;;;17.0;17.0;14.0;17.0;;;;baixa
MG;CAXAMBU;mesorregiao;;56.0;;;52.0;55.0;;;;;;baixa
MG;CONCE;mesorregiao;;42.0;;;40.0;42.0;;;;;;baixa
MG;CONCEIÇÃO DO RIO VERDE;mesorregiao;;115.0;36.0;42.0;75.0;89.0;68.0;114.0;;;;baixa
MG;CONCEIÇÃO DOS OUROS;mesorregiao;;12.0;;;10.0;15.0;;;;;;baixa
MG;CONGONHAL;mesorregiao;;58.0;;;39.0;41.0;15.0;15.0;;;;baixa
MG;CORDISLANDIA;mesorregiao;;37.0;10.0;11.0;30.0;32.0;;;;;;baixa
MG;ESP IR ITO SANTO DO DOURADO;mesorregiao;;34.0;;;20.0;22.0;16.0;20.0;;;;baixa
MG;ESTIVA;mesorregiao;;110.0;15.0;15.0;94.0;108.0;10.0;12.0;;;;baixa
MG;HELIODORA;mesorregiao;;49.0;16.0;24.0;31.0;31.0;24.0;39.0;;;;baixa
MG;INCONFIDENTES;mesorregiao;;65.0;10.0;11.0;34.0;37.0;32.0;37.0;;;;baixa
MG;JACUTINGA;mesorregiao;;149.0;25.0;28.0;102.0;110.0;58.0;78.0;;;;baixa
MG;.JESUANIA;mesorregiao;;76.0;14.0;15.0;67.0;77.0;;;;;;baixa
MG;LAMBARI;mesorregiao;;67.0;12.0;13.0;46.0;48.0;17.0;22.0;;;;baixa
MG;MONSENHOR PAULO;mesorregiao;;144.0;22.0;24.0;132.0;148.0;;;;;;baixa
MG;MONTE SIÃO;mesorregiao;;82.0;18.0;20.0;43.0;44.0;29.0;38.0;;;;baixa
MG;NATERCIA;mesorregiao;;34.0;;;30.0;38.0;;;;;;baixa
MG;OLIMPIO NORONHA;mesorregiao;;14.0;7.0;;;;;;;;;baixa
MG;OURO FlNO;mesorregiao;233.0;31.0;165.0;189.0;66.0;69.0;309.0;401.0;;;;baixa
MG;PEDRALVA;mesorregiao;;149.0;30.0;57.0;126.0;151.0;25.0;42.0;;;;baixa
MG;PIRANGUINHO;mesorregiao;;47.0;17.0;20.0;34.0;38.0;10.0;21.0;;;;baixa
