_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;confianca
AC;TOTAIS;total;1000.0;996.0;36.0;29880.0;8926.0;3282621.0;;;alta
AC;ACRE;mesorregiao;1000.0;996.0;36.0;29880.0;8926.0;3282621.0;;;alta
AC;ALTO JURUA;microrregiao;491.0;19.0;11083.0;3086.0;710.0;659.0;;;alta
AC;CFWZEIRO DO SUL;municipio;440.0;366.0;9554.0;1446.0;359.0;341.0;;;alta
AC;FEIJO;municipio;41.0;91.0;;593.0;990.0;197897.0;;;alta
AC;MANCIO LIMA;municipio;26.0;30.0;;911.0;354.0;25741.0;;;alta
AC;T ARAUACA;municipio;25.0;296.0;97.0;47.0;59509.0;;;;alta
AC;ALTO PURUS;microrregiao;488.0;504.0;16.0;18797.0;5840.0;2453147.0;;;alta
AC;ASSIS BRASIL;municipio;32.0;27.0;686.0;11.0;12.0;10526.0;;;alta
AC;BRASILEIA;municipio;151.0;153.0;2232.0;122.0;127.0;131400.0;;;alta
AC;MANOEL URBANO;municipio;5.0;55.0;550.0;118.0;138.0;109296.0;;;alta
AC;PLACIDO OE CASTRO;municipio;29.0;798.0;609.0;71.0;91.0;;;;alta
AC;SENADOR GUIOMARD;municipio;8.0;1162.0;1124.0;162.0;270.0;330558.0;;;alta
AC;SENA MADUREIRA;municipio;79.0;137.0;795.0;145.0;133.0;184380.0;;;alta
AC;XAPURI;municipio;14.0;24.0;322.0;400.0;72.0;85.0;;;alta
AC;TOTAIS;total;69.0;724212.0;128.0;439869.0;;;;;alta
AC;ACRE;mesorregiao;69.0;724212.0;439869.0;;;;;;alta
AC;ALTO JURUA;microrregiao;355896.0;42.0;;;;;;;alta
AC;CRUZEIRO DO SUL;municipio;346496.0;30.0;220534.0;;;;;;alta
AC;MANCIO LIMA;municipio;;;;;;;;;alta
AC;TARAUACA;municipio;;;9400.0;;2592.0;;;;alta
AC;ALTO PURUS;microrregiao;62.0;368316.0;141755.0;;;;;;alta
AC;BRASILEIA;municipio;;;9098.0;;36650.0;;;;alta
AC;PLACIDO DE CASTRO;municipio;;;;;104760.0;;;;alta
AC;SENADOR GUIOMARD;municipio;;;159500.0;;;;;;alta
AC;SENA MADUREIRA;municipio;41.0;105368.0;345.0;;;;;;alta
AC;XAPURI;municipio;;;15100.0;;;;;;alta
AC;TOTAIS;total;183.0;85.0;392.0;419824.0;2033.0;1584852.0;;;alta
AC;ACRE;mesorregiao;183.0;392.0;419824.0;2033.0;418.0;508.0;;;alta
AC;ALTO JURUA;microrregiao;18.0;14525.0;570.0;97.0;173.0;68.0;;;alta
AC;CRUZEIRO DO SUL;municipio;16.0;505.0;355.0;74.0;;;;;alta
AC;FEIJO;municipio;20.0;112.0;12.0;13780.0;;;;;alta
AC;MANCIO LIMA;municipio;;;;14000.0;99.0;40968.0;;;alta
AC;TARAUACA s;municipio;;;;;;5814.0;;;alta
AC;ALTO PURUS;microrregiao;165.0;85.0;391.0;405299.0;1463.0;321.0;;;alta
AC;ASSIS BRASIL;municipio;;;;;28.0;5753.0;;;alta
AC;BRASILEIA;municipio;34.0;;;3418.0;249.0;171288.0;;;alta
AC;MANOEL URBANO;municipio;100.0;31.0;3097.0;;;;;;alta
AC;PLACIDO DE CASTRO;municipio;49.0;6517.0;203.0;34.0;31.0;109055.0;;;alta
AC;SENADOR GUIOMAR D;municipio;23.0;489.0;25.0;48.0;;;;;alta
AC;SENA MADUREIRA;municipio;;60.0;350.0;214730.0;182.0;157826.0;;;alta
AC;XAPURI;municipio;;;;;40.0;30559.0;;;alta
AC;TOTAIS;total;182.0;151.0;;;4174.0;34278.0;;;alta
AC;ACRE;mesorregiao;182.0;151.0;;;4174.0;34278.0;;;alta
AC;ALTO JURUA;microrregiao;70.0;110.0;;;1938.0;33648.0;;;alta
AC;CRUZEIRO DO SUL;municipio;67.0;101.0;1833.0;30.0;986.0;;;;alta
AC;FEIJO;municipio;100.0;;;;;;;;alta
AC;MANCIO LIMA;municipio;10.0;14662.0;;;;;;;alta
AC;ALTO PURUS;microrregiao;112.0;41.0;;;2236.0;;;;alta
AC;BRASILEIA;municipio;50.0;;;;;;;;alta
AC;MANOEL URBANO;municipio;21.0;13.0;255.0;;;;;;alta
AC;PLACIDO OE CASTRO;municipio;76.0;;;;1316.0;;;;alta
AC;SENADOR GUIOMARO;municipio;;;;;237.0;;;;alta
AC;SENA MADUREIRA;municipio;;;;;;;;;alta
AC;TOTAIS;total;;9738.0;118.0;204249.0;275.0;2753.0;;;alta
AC;ACRE;mesorregiao;;9738.0;118.0;204249.0;275.0;2753.0;;;alta
AC;ALTO;microrregiao;;1045.0;12.0;;142.0;;;;alta
AC;CRUZEIRO DO SUL;municipio;;636.0;;12113.0;118.0;599.0;;;alta
AC;MANCIO LIMA;municipio;;124.0;;2990.0;;;;;alta
AC;TARAUACA;municipio;40.0;75.0;491.0;;;;;;alta
AC;ALTO PURUS;microrregiao;;8693.0;106.0;181862.0;133.0;2020.0;;;alta
AC;ASSIS BRASIL;municipio;37.0;53.0;796.0;10.0;180.0;67.0;;;alta
AC;BRASILEIA;municipio;;1555.0;11.0;13474.0;12.0;68.0;;;alta
AC;MANOEL URBANO;municipio;;190.0;;1608.0;;121.0;;;alta
AC;PLACIDO DE CASTRO;municipio;;563.0;;14750.0;73.0;437.0;;;alta
AC;SENADOR GUIOMARD;municipio;;938.0;23.0;45078.0;11.0;935.0;;;alta
AC;SENA MADUREIRA;municipio;196.0;554.0;6374.0;39.0;;;;;alta
AC;XAPURI;municipio;;785.0;;769.0;;;;;alta
AC;TOTAIS;total;391.0;381.0;;;5241.0;52.0;;;alta
AC;ACRE;mesorregiao;391.0;381.0;;;5241.0;52.0;;;alta
AC;ALTO JURUA;microrregiao;163.0;116.0;1528.0;603.0;107.0;11.0;;;alta
AC;CRUZEIRO DO SUL;municipio;158.0;108.0;1520.0;473.0;81.0;;;;alta
AC;FEIJO;municipio;66.0;19.0;1371.0;;;;;;alta
AC;MANCIO LIMA;municipio;37.0;501.0;;;;;;;alta
AC;TARAUACA;municipio;27.0;312.0;;;;;;;alta
AC;ALTO PURUS;microrregiao;228.0;264.0;;;3713.0;41.0;;;alta
AC;ASSIS BRASIL;municipio;12.0;17.0;292.0;115.0;;;;;alta
AC;BRASILEIA;municipio;11.0;105.0;14.0;716.0;;;;;alta
AC;MANOEL URBANO;municipio;77.0;80.0;15.0;4713.0;;;;;alta
AC;PLACIOO DE CASTRO;municipio;95.0;683.0;142.0;29.0;32.0;8795.0;;;alta
AC;SENADOR GUIOMARD;municipio;24.0;102.0;982.0;283.0;19915.0;;;;alta
AC;SENA MADUREIRA;municipio;44.0;72.0;404.0;16.0;429.0;;;;alta
