_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;confianca
AC;TOTAIS;total;143.0;155.0;143.0;82.0;225.0;119.0;alta
AC;ACRE;mesorregiao;143.0;155.0;143.0;82.0;225.0;119.0;alta
AC;ALTO JURUA;microrregiao;61.0;11.0;134.0;27.0;153.0;19.0;alta
AC;CRUZEIRO;municipio;57.0;10.0;133.0;27.0;148.0;19.0;alta
AC;MANCIO LIMA;municipio;;;;;;;alta
AC;ALTO PURUS;microrregiao;82.0;144.0;;55.0;72.0;100.0;alta
AC;ASSIS BRASIL;municipio;;;;;;;alta
AC;BRASILEIA;municipio;;;;;;;alta
AC;MANOEL URBANO;municipio;;;;;;;alta
AC;PLACIDO DE CASTRO;municipio;;;;;;;alta
AC;SENADOR GUIOMARD;municipio;;;;;;;alta
AC;SENA MADUREIRA;municipio;11.0;;;;;;alta
AC;XAPURI;municipio;;;;;;;alta
AC;TOTAIS;total;185.0;86.0;223.0;22.0;;;alta
AC;ACRE;mesorregiao;;;86.0;22.0;;;alta
AC;ALTO JURUA;microrregiao;;;38.0;;;;alta
AC;CRUZEIRO;municipio;94.0;38.0;104.0;;;;alta
AC;ALTO PURUS;microrregiao;;;47.0;15.0;;;alta
AC;BRASILEIA;municipio;11.0;;;;;;alta
AC;MANOEL URBANO;municipio;15.0;;;;;;alta
AC;PLACIDO DE CASTRO;municipio;44.0;31.0;;;;;alta
AC;SENADOR GUIOMAR D;municipio;;;;;;;alta
AC;SENA MADUREIRA;municipio;10.0;15.0;;;;;alta
AL;TOTAIS;total;201.0;98.0;173.0;82.0;1.0;611.0;media
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;6.0;56.0;101.0;63.0;27.0;;media
AL;SERTÃO ALAGOANO;microrregiao;;;;;;;media
AL;AGUA BRANCA;municipio;;;;;;;media
AL;DELMIRO GOUVEIA;municipio;;;;;;;media
AL;MATA GRANDE;municipio;;;;;;;media
AL;BATALHA;microrregiao;14.0;;10.0;;;;alta
AL;BELO MONTE;municipio;;;;;;;alta
AL;MARAVILHA;municipio;;;;;;;alta
AL;PÃO DE AÇUCAR;municipio;;;;;;;alta
AL;POÇO DAS TRINCHEIRAS;municipio;10.0;2.0;;;;;alta
AL;SANTANA DO IPANEMA;municipio;;;;;;;alta
AL;PALMEIRA DOS INOIOS as;microrregiao;79.0;;;;;;alta
AL;SELEM;municipio;;;;;;;alta
