_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;confianca
AC;TOTAIS;total;331336.0;61862.0;9808.0;23764.0;41159.0;6123.0;alta
AC;ACRE;mesorregiao;334336.0;61862.0;9808.0;23764.0;41159.0;6123.0;alta
AC;ALTO JURUA;microrregiao;58473.0;11545.0;1967.0;4709.0;7258.0;1761.0;alta
AC;CRUZEIRO DO SUL;municipio;12250.0;2760.0;455.0;1300.0;2241.0;696.0;alta
AC;FEIJO;municipio;22566.0;3944.0;795.0;1784.0;2566.0;843.0;alta
AC;MANCIO LIMA;municipio;1759.0;340.0;127.0;239.0;264.0;14.0;alta
AC;TARAUACA;municipio;21898.0;4501.0;590.0;1386.0;2187.0;208.0;alta
AC;ALTO PURUS;microrregiao;275863.0;50317.0;7841.0;19055.0;33901.0;4362.0;alta
AC;ASSIS BRASIL;municipio;1625.0;346.0;49.0;71.0;157.0;17.0;alta
AC;BRASILEIA se;municipio;9121.0;1028.0;2703.0;6320.0;2032.0;;alta
AC;MANOEL URBANO;municipio;2133.0;383.0;98.0;87.0;163.0;56.0;alta
AC;PLACIDO DE CASTRO;municipio;13712.0;2756.0;296.0;482.0;1180.0;177.0;alta
AC;SENADOR GUIOMARD;municipio;23427.0;3589.0;677.0;3305.0;3060.0;175.0;alta
AC;SENA MADUREIRA;municipio;27305.0;6335.0;963.0;1207.0;2327.0;313.0;alta
AC;XAPURI;municipio;56358.0;9643.0;1500.0;3103.0;7393.0;221.0;alta
AL;TOTAIS;total;755992.0;141293.0;20080.0;71509.0;113261.0;2871.0;media
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;591030.0;117354.0;15937.0;55385.0;90378.0;1532.0;media
AL;SERTÃO ALAGOANO;microrregiao;85574.0;18368.0;2243.0;5212.0;7400.0;182.0;media
AL;AGUA BRANCA;municipio;12576.0;2834.0;524.0;676.0;1399.0;107.0;media
AL;CANAPI;municipio;18032.0;4075.0;554.0;1659.0;1977.0;;media
AL;DELMIRO GOUVEIA;municipio;10266.0;2745.0;308.0;847.0;1183.0;24.0;media
AL;INHAPI;municipio;11446.0;1680.0;152.0;247.0;377.0;;media
AL;MATA GRANDE;municipio;18095.0;3698.0;367.0;88.0;1314.0;;media
AL;OLHO O' AGUA DO CASADO;municipio;6807.0;1865.0;168.0;204.0;587.0;;media
AL;PIRANHAS;municipio;8352.0;1471.0;170.0;491.0;563.0;30.0;media
AL;BATALHA;microrregiao;174777.0;40627.0;5157.0;14855.0;24434.0;354.0;media
AL;BATALHA;municipio;14636.0;4064.0;681.0;1698.0;2760.0;;media
AL;BELO MONTE;municipio;10331.0;2383.0;232.0;832.0;1192.0;;media
AL;CARNEIROS;municipio;4200.0;909.0;110.0;310.0;419.0;2.0;media
AL;DOIS RIACHOS;municipio;6754.0;1191.0;205.0;747.0;1043.0;51.0;media
AL;.JACARE DOS HOMENS;municipio;7354.0;1872.0;233.0;329.0;880.0;;media
AL;JARAMATAIA;municipio;4257.0;1360.0;128.0;157.0;588.0;78.0;media
AL;MAJOR ISIDORO;municipio;24046.0;6648.0;676.0;1858.0;3154.0;35.0;media
AL;MARAVILHA;municipio;8902.0;1971.0;210.0;420.0;1266.0;;media
AL;MONTEIROPOLIS;municipio;3979.0;1134.0;147.0;182.0;418.0;2.0;media
AL;OLHO O' AGUA DAS FLORES;municipio;6160.0;1321.0;94.0;375.0;360.0;2.0;media
AL;OLIVENÇA;municipio;7627.0;1565.0;201.0;806.0;151.0;;media
AL;OURO BRANCO;municipio;4979.0;1080.0;117.0;458.0;675.0;;media
AL;PALESTINA;municipio;1584.0;377.0;61.0;76.0;372.0;;media
AL;PÃO DE AÇUCAR;municipio;18892.0;4215.0;541.0;1610.0;3014.0;66.0;media
AL;POÇO DAS TRINCHEIRAS;municipio;8399.0;1779.0;267.0;698.0;1308.0;;media
