_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;confianca
AC;TOTAIS;total;5900.0;4414.0;259.0;67.0;92.0;47.0;alta
AC;ACRE;mesorregiao;5900.0;4414.0;259.0;67.0;92.0;47.0;alta
AC;Al TO JURUA;microrregiao;885.0;499.0;178.0;22.0;16.0;;alta
AC;CRUZEIRO DO SUL;municipio;279.0;146.0;95.0;17.0;;;alta
AC;FEIJO;municipio;417.0;271.0;30.0;14.0;;;alta
AC;MANCIO LIMA;municipio;32.0;35.0;50.0;;;;alta
AC;TARAUACA;municipio;157.0;46.0;;;;;alta
AC;ALTO PURUS;microrregiao;5015.0;3915.0;81.0;45.0;76.0;42.0;alta
AC;ASSIS BRASIL;municipio;;;;;;;alta
AC;BRASILEIA;municipio;38.0;29.0;11.0;;;;alta
AC;MANOEL URBANO;municipio;342.0;176.0;;;;;alta
AC;PLACIDO DE CASTRO;municipio;1115.0;759.0;;;;;alta
AC;SENADOR GUIOMARD;municipio;726.0;731.0;;;;;alta
AC;SENA MADUREIRA;municipio;776.0;467.0;36.0;;;12.0;alta
AC;XAPURI;municipio;653.0;323.0;19.0;12.0;31.0;12.0;alta
AC;TOTAIS;total;;;;;141.0;;alta
AC;ACRE;mesorregiao;;;;;141.0;;alta
AC;ALTO JURUA;microrregiao;;;;;57.0;;alta
AC;CRUZEIRO DO SUL;municipio;;;;;2.0;;alta
AC;FEIJO;municipio;;;;;54.0;;alta
AC;MANCIO LIMA;municipio;368.0;1028.0;86.0;87.0;;;alta
AC;TARAUACA;municipio;802.0;1454.0;;;;;alta
AC;ALTO PURUS;microrregiao;;;;;84.0;;alta
AC;BRASILEIA;municipio;;;;;46.0;;alta
AC;MANOEL URBANO;municipio;;;;;;;alta
AC;PLACIOO DE CASTRO;municipio;116.0;196.0;12.0;76.0;16.0;;alta
AC;SENADOR GUIOMARD;municipio;232.0;504.0;;;;;alta
AC;SENA MADUREIRA;municipio;;;;;;;alta
AC;XAPURI;municipio;;;;;19.0;;alta
AC;TONELADAS;municipio;;;;;;;alta
AL;TOTAIS;total;7096.0;10799.0;202.0;550.0;4501.0;16711.0;alta
AL;SERT Ão E AGRESTE ALAGOANO;mesorregiao;7093.0;10797.0;200.0;549.0;3702.0;13850.0;alta
AL;SERTÁO ALAGOANO;mesorregiao;;;13.0;;267.0;1394.0;alta
AL;AGUA BRANCA;microrregiao;120.0;756.0;;;;;alta
AL;CANA(;microrregiao;;;;;19.0;30.0;alta
AL;OELMIRO GOUVElA;microrregiao;;;;;12.0;12.0;alta
AL;(NHAP(;microrregiao;;;;;24.0;176.0;alta
AL;MATA GRANOE;microrregiao;;;;;88.0;374.0;alta
AL;OLHO;microrregiao;14.0;;;;;;alta
AL;PIRANHAS;microrregiao;;;;;;30.0;alta
AL;BATALHA;microrregiao;;;166.0;302.0;228.0;733.0;alta
AL;BATALHA;microrregiao;;;11.0;14.0;;;alta
AL;BELO MONTE;microrregiao;;;106.0;140.0;21.0;168.0;alta
AL;CARNEIROS;microrregiao;;;;;17.0;40.0;alta
AL;DO(S RIACHOS;microrregiao;;;;39.0;;18.0;alta
AL;JACARE DOS HOMENS;microrregiao;;;;;;;alta
AL;JARAMATA(A;microrregiao;;;;;;;alta
AL;MAJOR ISIDORO;microrregiao;;;16.0;51.0;;;alta
AL;MARAVILHA;microrregiao;;;;;;;alta
AL;MONTEIROPOLIS;microrregiao;;;;;11.0;83.0;alta
AL;OLHO D' AGUA DAS FLORES;microrregiao;;;;;19.0;39.0;alta
AL;OLIVENÇA;microrregiao;;;;25.0;58.0;51.0;alta
AL;OURO BRANCO;microrregiao;;;;;12.0;96.0;alta
AL;PALESTINA;microrregiao;;;;;;15.0;alta
AL;PÃO DE AÇUCAR;microrregiao;;;;16.0;;;alta
AL;POÇO DAS TRINCHEIRAS;microrregiao;;;;;22.0;77.0;alta
