_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;confianca
AC;TOTAIS;total;21.0;21.0;22.0;192.0;;;;alta
AC;ACRE;mesorregiao;21.0;21.0;22.0;192.0;;;;alta
AC;ALTO JURUA;microrregiao;14.0;14.0;14.0;84.0;;;;alta
AC;FEIJQ;municipio;13.0;13.0;13.0;74.0;;;;alta
AC;TARAUACA;municipio;;;;10.0;;;;alta
AC;ALTO PURUS;microrregiao;;;;108.0;;;;media
AC;SENADOR GUIOMAR D;municipio;;;;;;;;media
AC;INCLUSIVE OS SEM DECLARAÇÃO DE CAPACIDADE;municipio;;;;;;;;media
AL;TOTAIS;total;388.0;68.0;97.0;10172.0;326.0;501.0;48634.0;media
AL;SERTÃO AGRESTE ALAGOANO;mesorregiao;377.0;62.0;87.0;8637.0;321.0;492.0;47176.0;alta
AL;SERTÃO ALAGOANO;microrregiao;33.0;;;151.0;31.0;43.0;2449.0;alta
AL;AGUA BRANCA;municipio;;;;;;;205.0;media
AL;CANAPI;municipio;18.0;;;;18.0;22.0;1182.0;media
AL;DELMIRO GOUVEIA;municipio;;;;;;;270.0;media
AL;INHAPI;municipio;;;;;;;378.0;media
AL;MATA GRANDE;municipio;;;;151.0;;;30.0;media
AL;OLHO D'AGUA DO CASADO;municipio;;;;;;;150.0;media
AL;PIRANHAS;municipio;;;;;;;234.0;media
AL;BATALHA;microrregiao;259.0;34.0;43.0;6061.0;229.0;353.0;39042.0;alta
AL;BATALHA;municipio;36.0;;;328.0;34.0;55.0;10472.0;media
AL;BELO MONTE;municipio;10.0;;12.0;3610.0;;;1200.0;media
AL;CARNEl-OS;municipio;;;;;;;420.0;media
AL;DOIS RIACHOS;municipio;12.0;;;110.0;10.0;13.0;595.0;media
AL;JACARE DOS HOMENS;municipio;29.0;;;340.0;28.0;49.0;7412.0;media
AL;jARAMATAIA;municipio;;;;200.0;;14.0;2066.0;media
AL;MAJOR ISIDORO;municipio;27.0;;;403.0;22.0;29.0;3461.0;media
AL;MARAVILHA;municipio;13.0;;;;13.0;18.0;886.0;media
AL;MONTEIROPOLIS;municipio;;;;150.0;;10.0;872.0;media
AL;OLHO D' AGUA DAS FLORES;municipio;23.0;;;;23.0;32.0;1890.0;media
AL;OLIVENÇA;municipio;;;;;;10.0;1549.0;media
AL;OURO BRANCO;municipio;;;;60.0;;;146.0;media
AL;PÃO DE AÇUCAR;municipio;19.0;;;530.0;17.0;34.0;4025.0;media
AL;POÇO DAS TRINCHEIRAS;municipio;;;;;;15.0;870.0;media
AL;SANTANA DO IPANEMA;municipio;31.0;;;300.0;26.0;40.0;2320.0;media
AL;SÂO .JOSE DA TAPERA;municipio;;;;;;12.0;715.0;media
AL;SENADOR RUI PALMEIRA;municipio;;;;30.0;;;143.0;media
AL;PALMEIRA DOS INDIOS;microrregiao;42.0;13.0;19.0;1528.0;29.0;43.0;;alta
AL;CACIMBINHAS;municipio;;;;;;;672.0;media
AL;IGACI;municipio;10.0;;;620.0;7.0;;411.0;media
AL;MINADOR DO NEGRÃO;municipio;;;;630.0;;10.0;530.0;media
AL;PALMEIRA DOS INDIOS;municipio;;;;163.0;;;510.0;media
AL;PAULO JACINTO;municipio;;;;;;10.0;840.0;media
AL;OUEBRANGULO;municipio;;;;115.0;;;340.0;media
AL;ARAPIRACA;microrregiao;40.0;12.0;17.0;847.0;30.0;51.0;2297.0;alta
AL;ARAPIRACA;municipio;;;;74.0;;;161.0;media
AL;CRAIBAS;municipio;;;;;;11.0;262.0;media
AL;FEIRA GRANDE;municipio;;;;103.0;;;144.0;media
AL;GIRAU DO PONCIANO;municipio;14.0;;;560.0;;16.0;920.0;media
AL;LAGOA DA CANOA;municipio;;;;;;3.0;220.0;media
AL;SÃO BRAS;municipio;;;;110.0;;;150.0;media
AL;SÃO SEBASTIÃO;municipio;;;;;;;120.0;media
AL;TRAIPU;municipio;;;;;;;10.0;media
AL;PENEDO;microrregiao;;;;50.0;;;85.0;alta
