_uf;_label;_level;efetivo_total;nascidos;vitimados;comprados;vendidos;confianca
AC;TOTAIS;total;10955.0;1170.0;344.0;713.0;392.0;alta
AC;ACRE;mesorregiao;10955.0;1170.0;344.0;713.0;392.0;alta
AC;ALTO JURUA;microrregiao;1024.0;156.0;40.0;60.0;16.0;alta
AC;CRUZEIRO DO SUL;municipio;232.0;53.0;;14.0;;alta
AC;FEIJO;municipio;389.0;51.0;19.0;16.0;;alta
AC;MANCIO LIMA;municipio;55.0;;;;;alta
AC;TARAUACA;municipio;348.0;47.0;12.0;28.0;;alta
AC;ALTO PURUS;microrregiao;9931.0;1014.0;304.0;653.0;376.0;alta
AC;ASSIS BRASIL;municipio;173.0;24.0;16.0;;;alta
AC;BRASILEIA;municipio;1147.0;98.0;48.0;123.0;42.0;alta
AC;MANOEL URBANO;municipio;79.0;13.0;;;;alta
AC;PLACIDO DE CASTRO;municipio;734.0;21.0;;46.0;35.0;alta
AC;SENADOR GUIOMARO;municipio;618.0;71.0;18.0;53.0;39.0;alta
AC;SENA MADUREIRA;municipio;634.0;67.0;18.0;47.0;21.0;alta
AC;XAPURI;municipio;2400.0;391.0;108.0;197.0;96.0;alta
AL;TOTAIS;total;38535.0;2452.0;569.0;2931.0;1472.0;media
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;26910.0;1990.0;316.0;2021.0;1167.0;media
AL;SERTÃO ALAGOANO;microrregiao;5076.0;362.0;56.0;454.0;254.0;media
AL;AGUA BRANCA;municipio;1074.0;102.0;19.0;120.0;79.0;media
AL;CANAPI;municipio;1100.0;83.0;18.0;144.0;81.0;media
AL;DELMIRO GOUVEIA;municipio;517.0;53.0;;74.0;31.0;media
AL;INHAPI;municipio;471.0;;;14.0;;media
AL;MATA GRANDE;municipio;1336.0;69.0;;80.0;21.0;media
AL;OLHO D' AGUA DO CASADO;municipio;222.0;33.0;;;17.0;media
AL;PIRANHAS;municipio;356.0;15.0;;22.0;22.0;media
AL;BATALHA;microrregiao;6161.0;497.0;72.0;478.0;234.0;media
AL;BATALHA;municipio;259.0;;;2.0;;media
AL;BELO MONTE;municipio;226.0;;;;;media
AL;CARNEIROS;municipio;157.0;13.0;;13.0;;media
AL;DOIS RIACHOS;municipio;277.0;22.0;;18.0;14.0;media
AL;JACARE DOS HOMENS;municipio;197.0;20.0;;;;media
AL;JARAMATAIA;municipio;102.0;18.0;;22.0;;media
AL;MAJOR ISIDORO;municipio;609.0;44.0;12.0;37.0;23.0;media
AL;MARAVILHA;municipio;460.0;44.0;;34.0;14.0;media
AL;MONTEIROPOLIS;municipio;122.0;11.0;;;;media
AL;OLHO D' AGUA DAS FLORES;municipio;160.0;;;7.0;;media
AL;OLIVENÇA;municipio;272.0;40.0;4.0;19.0;15.0;media
AL;OURO BRANCO;municipio;687.0;30.0;;90.0;15.0;media
AL;PALESTINA;municipio;45.0;;;;;media
AL;PÃO DE AÇUCAR;municipio;523.0;49.0;;27.0;12.0;media
AL;POÇO DAS TRINCHEIRAS;municipio;400.0;40.0;10.0;24.0;29.0;media
AL;SANTANA DO IPANEMA;municipio;594.0;63.0;;58.0;34.0;media
AL;SÃO JOSE DA TA PERA;municipio;648.0;39.0;;56.0;33.0;media
AL;SENADOR RUI PALMEIRA;municipio;423.0;41.0;7.0;57.0;22.0;media
AL;PALMEIRA DOS INDIOS;microrregiao;7698.0;589.0;119.0;577.0;267.0;media
AL;CACIMBINHAS;municipio;391.0;33.0;;;;media
AL;IGACI;municipio;1053.0;64.0;;59.0;38.0;media
AL;MARIBONOO;municipio;521.0;33.0;23.0;29.0;;media
AL;MAR VERMELHO;municipio;459.0;27.0;17.0;26.0;17.0;media
AL;MI NAOOR DO NEGRÃO;municipio;451.0;26.0;;10.0;11.0;media
AL;PALMEIRA DOS INDIOS;municipio;2045.0;106.0;17.0;239.0;118.0;media
AL;PAULO JACINTO;municipio;651.0;56.0;14.0;37.0;19.0;media
AL;QUEBRANGULO;municipio;1427.0;214.0;28.0;50.0;30.0;media
AL;TANQUE D' ARCA;municipio;435.0;16.0;;107.0;;media
AL;ARAPIRACA;microrregiao;5692.0;336.0;54.0;392.0;305.0;media
AL;ANADIA;municipio;499.0;35.0;;17.0;7.0;media
AL;ARAPIRACA;municipio;187.0;;;15.0;;media
AL;COITE DO NOIA;municipio;123.0;;;17.0;15.0;media
AL;CRAIBAS;municipio;319.0;13.0;;18.0;77.0;media
AL;FEIRA GRANDE;municipio;257.0;7.0;;32.0;;media
AL;GIRAU DO PONCIANO;municipio;619.0;49.0;2.0;25.0;;media
AL;JUNQUEIRO;municipio;308.0;;;19.0;;media
AL;LAGOA DA CANOA;municipio;28.0;;;;;media
AL;LIMOEIRO DE ANADIA;municipio;439.0;;;40.0;28.0;media
AL;OLHO D' AGUA GRANDE;municipio;581.0;75.0;;27.0;31.0;media
AL;SÃO BRAS;municipio;518.0;22.0;10.0;18.0;32.0;media
AL;SÃO SEBAS TI ÃO;municipio;343.0;14.0;2.0;23.0;;media
AL;TAQUARANA;municipio;405.0;15.0;;41.0;21.0;media
AL;MATA ALAGOANA;mesorregiao;;;390.0;238.0;736.0;alta
AL;MATA ALAGOANA;microrregiao;;;321.0;199.0;620.0;alta
AL;ATALAIA;municipio;;;27.0;;16.0;media
AL;BRANQUINHA;municipio;;;;;;media
AL;CAJUEIRO;municipio;;;;;;media
AL;CAPELA;municipio;;;;;18.0;media
AL;CHÃ PRETA;municipio;;;65.0;22.0;83.0;media
AL;COLONIA LEOPOLDINA;municipio;;;;;22.0;media
AL;FLEXEIRAS;municipio;;;;;10.0;media
AL;IBATEGUARA;municipio;;;;17.0;43.0;media
AL;JACU IPE;municipio;;;;;;media
AL;JOAQUIM GOMES;municipio;;;;13.0;90.0;media
AL;JUNOIA;municipio;;;;;10.0;media
AL;MESSIAS;municipio;;;;;;media
AL;MURICI;municipio;;;11.0;;;media
AL;NOVO LINO;municipio;;;;;16.0;media
AL;PINDOBA;municipio;;;17.0;20.0;15.0;media
AL;SANTANA DO MUNOAU;municipio;;;58.0;15.0;105.0;media
AL;SÃO JOSE DA LAJE;municipio;;;;31.0;21.0;media
AL;UNIÃO DOS PALMARES;municipio;;;71.0;30.0;82.0;media
AL;VICOSA;municipio;;;42.0;27.0;79.0;media
AL;LITORAL NORTE ALAGOANO;microrregiao;;;25.0;16.0;89.0;alta
AL;BARRA DE SANTO ANTONIO;municipio;;;;;;media
AL;JAPARATINGA;municipio;;;;;;media
AL;MARAGOG I;municipio;;;;;32.0;media
AL;MATRIZ DE CAMARAGIBE;municipio;;;;;10.0;media
AL;PASSO DE CAMARAGIBE;municipio;;;;;;media
AL;PORTO CALVO;municipio;;;;;18.0;media
AL;PORTO DE PEDRAS;municipio;;;;;;media
AL;s-o MIGUEL DOS MILAGRES;municipio;;;;;;media
AL;TABULEIROS DE S MIGUEL DOS CAMPOS;microrregiao;;;44.0;23.0;27.0;alta
AL;BARRA DE SÂO MIGUEL;municipio;;;;;;media
AL;BOCA DA MATA;municipio;;;;;11.0;media
AL;CAMPO ALEGRE;municipio;;;13.0;;;media
AL;CORURIPE;municipio;;;12.0;;;media
AL;ROTEIRO;municipio;;;;;;media
AL;SÃO MIGUEL DOS CAMPOS;municipio;;;19.0;;;media
AL;COQUEIRO SECO;municipio;;;;;;media
AL;MARECHAL DEODORO;municipio;;;;;;media
AM;TOTAIS;total;7654.0;812.0;340.0;295.0;155.0;media
AM;HILEIA AMAZONENSE;mesorregiao;1290.0;75.0;42.0;43.0;21.0;media
AM;A-TO SOLIMÕES;microrregiao;51.0;;;;;media
AM;AMATURA;municipio;;;;;;media
AM;BENJAMIN CONSTANT;municipio;13.0;;;;;media
AM;FONTE BOA;municipio;;;;;;media
AM;.JUTAI;municipio;;;;;;media
AM;SANTO ANTONIO;municipio;;;;;;media
AM;SÃO PAULO DE OLIVENÇA;municipio;;;;;;media
AM;TABATINQA;municipio;13.0;;;;;media
AM;TONANTINS;municipio;8.0;;;;;media
AM;JURUA;microrregiao;143.0;16.0;13.0;;;alta
AM;CARAUARI;municipio;;;;;;alta
AM;EIRUNEPE;municipio;37.0;;;;;alta
AM;ENVtRA;municipio;81.0;;;;;alta
AM;IPIXUNA;municipio;25.0;;;;;alta
AM;ITAMARATl;municipio;;;;;;alta
AM;.JURUA;municipio;;;;;;alta
AM;PURUS;microrregiao;783.0;32.0;18.0;15.0;;media
AM;BOCA DO .CRE;municipio;668.0;21.0;16.0;;;media
AM;CANUTAMA;municipio;81.0;;;;;media
AM;PAUINI;municipio;24.0;;;;;media
AM;TAPAUA;municipio;10.0;;;;;media
AM;MADEIRA;microrregiao;203.0;20.0;;15.0;;alta
AM;BORBA;municipio;21.0;;;;;alta
AM;HUMAITA;municipio;153.0;15.0;;13.0;;alta
AM;MANICORE;municipio;15.0;;;;;alta
AM;NOVO ARIPUANÃ;municipio;14.0;;;;;alta
AM;RIO NEGRO;microrregiao;11.0;;;;;media
AM;NOVO AIRÃO;municipio;;2.0;;;;media
