_uf;_label;_level;efetivo_total;nascidos;vitimados;comprados;vendidos;confianca
AL;TOTAIS;total;6842.0;247.0;109.0;600.0;217.0;media
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;6594.0;244.0;101.0;567.0;205.0;media
AL;SERTÃO ALAGOANO;microrregiao;2544.0;80.0;38.0;197.0;67.0;media
AL;AGUA BRANCA;municipio;576.0;17.0;18.0;79.0;14.0;media
AL;CANAPI;municipio;179.0;;;23.0;11.0;media
AL;DELMIRO GOUVEIA;municipio;247.0;17.0;;20.0;;media
AL;INHAPI;municipio;104.0;;;;;media
AL;MATA GRANDE;municipio;1225.0;23.0;;49.0;18.0;media
AL;OLHO D;municipio;86.0;11.0;;;;media
AL;PIRANHAS;municipio;127.0;;;22.0;15.0;media
AL;BATALHA;microrregiao;2577.0;118.0;35.0;228.0;72.0;media
AL;BATALHA;municipio;188.0;;;;;media
AL;BELO MONTE;municipio;318.0;41.0;;17.0;;media
AL;CARNEIROS;municipio;28.0;;;;;media
AL;DOIS RIACHOS;municipio;81.0;;;;;media
AL;MARAVILHA;municipio;207.0;;;11.0;;media
AL;MONTEIROPOLIS;municipio;31.0;;;;;media
AL;OLHO;municipio;52.0;;;;;media
AL;OLIVENÇA;municipio;80.0;;;;;media
AL;OURO BRANCO;municipio;102.0;;;23.0;;media
AL;PALESTINA;municipio;12.0;;;;;media
AL;PÃO OE AÇUCAR;municipio;260.0;;;18.0;;media
AL;POÇO DAS TRINCHEIRAS;municipio;341.0;10.0;;36.0;;media
AL;SANTANA;municipio;283.0;10.0;;34.0;11.0;media
AL;SENADOR RUI PALMEIRA;municipio;59.0;;;12.0;;media
AL;PALMEIRA DOS INDIOS;microrregiao;697.0;26.0;;60.0;37.0;media
AL;CACIMBINHAS;municipio;141.0;;;;;media
AL;IGACI;municipio;40.0;;;;;media
AL;MARIBONDO;municipio;;;;;;media
AL;MAR VERMELHO;municipio;;;;;;media
AL;MI NAOOR;municipio;101.0;;;;14.0;media
AL;PALMEIRA DOS INDIOS;municipio;320.0;12.0;;40.0;17.0;media
AL;PAULO .JACINTO;municipio;20.0;;;;;media
AL;QUEBRANGULO;municipio;36.0;;;;;media
AL;T ANO UE o ARCA;municipio;21.0;;;;;media
AL;ARAPIRACA;microrregiao;683.0;18.0;21.0;77.0;26.0;media
AL;ANADIA;municipio;;;;;;media
AL;ARAPIRACA;municipio;;;;;;media
AL;COITE DO NOIA;municipio;22.0;;;;;media
AL;CRAIBAS;municipio;13.0;;;;;media
