_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;confianca
AC;TOTAIS;total;34860.0;5221850.0;12798.0;2314649.0;6321.0;1045625.0;alta
AC;ACRE;microrregiao;34860.0;5221850.0;12798.0;2314649.0;6321.0;1045625.0;alta
AC;ALTO JURUA;municipio;13781.0;2434504.0;2689.0;876478.0;6250.0;1026562.0;alta
AC;ALTO PURUS;municipio;21079.0;2787346.0;10109.0;1438171.0;71.0;19062.0;alta
AC;AS TERRAS EM PARCERIA ESTÃO INCLUIOAS NAS TERRAS ARRENDADAS;mesorregiao;;;;;;;alta
AL;TOTAIS;total;135722.0;2271095.0;80469.0;2019092.0;23752.0;173991.0;media
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;115279.0;1331110.0;68537.0;1237812.0;18336.0;30954.0;media
AL;SERTÃO ALAGOANO;microrregiao;25344.0;295337.0;13681.0;269546.0;5425.0;10182.0;alta
AL;AGUA BRANCA;municipio;7875.0;47915.0;4142.0;42209.0;1901.0;2749.0;alta
AL;CANAPI;municipio;3838.0;55652.0;2059.0;50126.0;572.0;1279.0;alta
AL;OELMIRO GOUVEIA;municipio;1012.0;42597.0;746.0;41184.0;47.0;131.0;alta
AL;INHAPI;municipio;5285.0;30781.0;2154.0;24438.0;1891.0;3896.0;alta
AL;MATA GRANDE;municipio;5374.0;55072.0;3436.0;50745.0;533.0;1086.0;alta
AL;OLHO D' AGUA DO CASADO;municipio;892.0;27835.0;391.0;26144.0;321.0;664.0;alta
AL;PIRANHAS;municipio;1068.0;35483.0;751.0;34698.0;160.0;374.0;alta
AL;BATALHA;microrregiao;24534.0;405104.0;16645.0;381133.0;1656.0;4039.0;alta
AL;BATALHA;municipio;408.0;28766.0;399.0;26575.0;;;alta
AL;BELO MONTE;municipio;769.0;27850.0;615.0;27331.0;143.0;170.0;alta
AL;CARNEIROS;municipio;907.0;9595.0;581.0;8837.0;160.0;457.0;alta
AL;DOIS RIACHOS;municipio;1070.0;12861.0;618.0;11703.0;128.0;253.0;alta
AL;.JACARE DOS HOMENS;municipio;201.0;15306.0;201.0;15306.0;;;alta
AL;.JARAMATAIA;municipio;150.0;9386.0;150.0;9386.0;;;alta
AL;MA JOR ISIDORO;municipio;2080.0;40155.0;1592.0;37518.0;;72.0;alta
AL;MARAVILHA;municipio;1977.0;29084.0;1268.0;27587.0;201.0;390.0;alta
AL;MONTEIROPOLIS;municipio;522.0;8110.0;359.0;8373.0;32.0;67.0;alta
AL;OLHO D' AGUA DAS FLORES;municipio;1013.0;11812.0;812.0;11391.0;41.0;62.0;alta
AL;OLIVENÇA;municipio;1759.0;15760.0;1105.0;14013.0;123.0;201.0;alta
AL;OURO BRANCO;municipio;1476.0;16830.0;713.0;14184.0;183.0;651.0;alta
AL;PALESTINA;municipio;284.0;945.0;138.0;1755.0;;;alta
AL;PÃO DE AÇUCAR;municipio;2069.0;51578.0;1286.0;49114.0;209.0;377.0;alta
AL;POÇO DAS TRINCHEIRAS;municipio;1913.0;21465.0;1489.0;20375.0;38.0;88.0;alta
AL;SANTANA DO IPANEMA;municipio;2813.0;34250.0;2176.0;32669.0;87.0;163.0;alta
