_uf;_label;_level;estab_total;area_ha_total;estab_individual;area_ha_individual;estab_soc_condominio;area_ha_soc_condominio;confianca
PR;ITAMBE;microrregiao;402.0;;21810.0;345.0;56.0;4905.0;media
PR;IVATUBA;microrregiao;207.0;;10430.0;157.0;43.0;3271.0;media
PR;MANDAGUAÇU;microrregiao;661.0;;27590.0;458.0;199.0;6963.0;media
PR;MANDAGUAR I;microrregiao;1116.0;;31738.0;922.0;190.0;6706.0;media
PR;MARIALVA;microrregiao;1294.0;;45420.0;969.0;320.0;13374.0;media
PR;MARINGA;microrregiao;394.0;;40220.0;1046.0;316.0;11853.0;media
PR;OURIZONA;microrregiao;398.0;;16860.0;304.0;91.0;5150.0;media
PR;PAICANOU;microrregiao;614.0;;15584.0;537.0;67.0;2192.0;media
PR;SÃO CARLOS DO IVAI;microrregiao;495.0;;22470.0;414.0;79.0;7562.0;media
PR;SÃO JORGE;microrregiao;732.0;;31523.0;564.0;164.0;8196.0;media
PR;SARAND I;microrregiao;342.0;;8816.0;267.0;70.0;2389.0;media
PR;UNI FLOR;microrregiao;208.0;;9619.0;174.0;32.0;2033.0;media
PR;NORTE NOVISSIMO DE PARANAVAI;mesorregiao;16631.0;;991309.0;13301.0;2701.0;205619.0;media
PR;ALTO PARANA;microrregiao;935.0;;41634.0;754.0;178.0;8390.0;media
PR;AMAPORÃ;microrregiao;341.0;;38491.0;307.0;31.0;9096.0;media
PR;CRUZEIRO DO SUL;microrregiao;368.0;;25162.0;296.0;68.0;6381.0;media
PR;DIAMANTE DO NORTE;microrregiao;482.0;;18976.0;331.0;147.0;6357.0;media
PR;GUAIRAÇA;microrregiao;434.0;;47849.0;342.0;85.0;11565.0;media
PR;INAJA;microrregiao;144.0;;17995.0;138.0;;199.0;media
PR;ITAUNA DO SUL;microrregiao;426.0;;12991.0;333.0;85.0;3582.0;media
PR;JARDIM OLINDA;microrregiao;41.0;;13662.0;38.0;;1608.0;media
PR;LOANOA;microrregiao;913.0;;70556.0;766.0;130.0;14209.0;media
PR;MARILENA;microrregiao;770.0;;20540.0;670.0;94.0;2938.0;media
PR;MIRADOR;microrregiao;255.0;;21450.0;187.0;;1044.0;media
PR;NOVA ALIANÇA DO IVA(;microrregiao;136.0;;12031.0;8.0;16.0;2247.0;media
PR;NOVA ESPERANÇA;microrregiao;1356.0;;39425.0;1140.0;199.0;7774.0;media
PR;NOVA LONDRINA;microrregiao;413.0;;29660.0;357.0;50.0;6471.0;media
PR;PARA ISO DO NORTE;microrregiao;512.0;;20460.0;438.0;67.0;3571.0;media
PR;PARANACITY;microrregiao;414.0;;33234.0;357.0;53.0;6435.0;media
PR;PARANAPOEMA;microrregiao;123.0;;17476.0;9.0;;137.0;media
PR;PARANAVAI;microrregiao;1555.0;;11335.0;1287.0;236.0;25130.0;media
PR;PLANALTINA;microrregiao;507.0;;33708.0;450.0;40.0;3450.0;media
PR;PORTO RICO;microrregiao;383.0;;15935.0;261.0;72.0;3266.0;media
PR;PRESIDENTE CASTELO BRANCO;microrregiao;291.0;;14735.0;209.0;77.0;6261.0;media
PR;OUERENCIA DO NORTE;microrregiao;870.0;;78550.0;505.0;257.0;19205.0;media
PR;SANTA CRUZ DE MONTE CASTELO;microrregiao;717.0;;43347.0;531.0;179.0;12378.0;media
PR;SANTA ISABEL DO IVAI;microrregiao;1327.0;;58885.0;1057.0;256.0;13259.0;media
PR;SANTO ANTONIO DO CAIUA;microrregiao;265.0;;21860.0;218.0;43.0;5943.0;media
PR;SÃO JOÃO;microrregiao;333.0;;28032.0;282.0;48.0;6867.0;media
PR;SÃO PEDRO;microrregiao;509.0;;22624.0;264.0;40.0;5689.0;media
PR;TAMBOARA;microrregiao;588.0;;16782.0;512.0;67.0;1445.0;media
PR;TERRA RICA;microrregiao;1223.0;;63911.0;1034.0;174.0;10708.0;media
PR;NORTE NOVO DE APUCARANA;mesorregiao;29610.0;;710275.0;26493.0;2928.0;118819.0;media
PR;APUCARANA;microrregiao;1735.0;;48533.0;1432.0;278.0;9867.0;media
PR;BOM SUCESSO;microrregiao;445.0;;32793.0;374.0;69.0;;media
PR;BORRAZOPOLIS;microrregiao;1434.0;;32390.0;1286.0;133.0;4902.0;media
PR;CALIFORNIA;microrregiao;822.0;;14123.0;727.0;93.0;2225.0;media
PR;CAMBIRA;microrregiao;1186.0;;30775.0;930.0;241.0;7902.0;media
PR;FAXINAL;microrregiao;2230.0;;96248.0;2018.0;195.0;16403.0;media
PR;NORTE NOVISSIMO DE UMUARAMA;mesorregiao;38685.0;1290555.0;31941.0;988778.0;6175.0;234025.0;media
PR;AL TONI A;microrregiao;315.0;3815.0;48161.0;2949.0;37404.0;705.0;media
PR;ALTO PIQUIRI;microrregiao;316.0;1483.0;70013.0;1341.0;59372.0;136.0;media
PR;CIANORTE;microrregiao;317.0;2695.0;89198.0;2169.0;49737.0;505.0;media
