_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;confianca
AM;TOTAIS;total;9718.0;1885.0;202.0;568.0;566.0;35.0;alta
AM;HILEIA AMAZONENSE;mesorregiao;402.0;41.0;19.0;22.0;14.0;;alta
AM;ALTO SOLIMÕES;microrregiao;17.0;;;;;;alta
AM;BENJAMIN CONSTANT;municipio;17.0;;;;;;alta
AM;FONTE BOA;municipio;;;;;;;alta
AM;JURUA;microrregiao;;;;;;;alta
AM;EIRUNEPE;municipio;;;;;;;alta
AM;ENV(RA;municipio;;;;;;;alta
AM;IPIXUNA;municipio;;;;;;;alta
AM;PURUS;microrregiao;41.0;;;16.0;;;alta
AM;BOCA DO ACRE;municipio;41.0;;;16.0;;;alta
AM;CANUTAMA;municipio;;;;;;;alta
AM;MADEIRA;microrregiao;131.0;20.0;11.0;;;;alta
AM;HUMAITA;municipio;;;;;;;alta
AM;MANICORE;municipio;131.0;20.0;11.0;;;;alta
AM;SOLIMÔES- . .JAPURA;microrregiao;213.0;17.0;;;10.0;;alta
AM;ALVARÃES;municipio;86.0;;;;;;alta
AM;CODA JAS;municipio;127.0;;;;10.0;;alta
AM;MARAÃ;municipio;;;;;;;alta
AM;TEFE;municipio;;;;;;;alta
AM;MEDI O AMAZONAS;microrregiao;9316.0;1844.0;183.0;6.0;552.0;32.0;alta
AM;AUTAZES;municipio;1369.0;210.0;;55.0;106.0;;alta
AM;BARAEIAINHA;municipio;172.0;124.0;19.0;134.0;51.0;;alta
AM;CAREIRO;municipio;1108.0;301.0;35.0;11.0;66.0;19.0;alta
AM;IRANDUBA;municipio;1108.0;176.0;18.0;;30.0;;alta
AM;ITACOATIARA;municipio;1022.0;129.0;22.0;42.0;97.0;;alta
AM;ITAPIRANllA;municipio;;2.0;;;;;alta
AM;MANACAPUAU;municipio;;;;;;;alta
AM;MAUES;municipio;;;;15.0;;;alta
AM;NHAMUNDA;municipio;82.0;120.0;;20.0;47.0;;alta
AM;NOVA OLINDA DO NORTE;municipio;251.0;28.0;;;17.0;;alta
AM;PARINTINS;municipio;1554.0;325.0;17.0;99.0;50.0;;alta
AM;PRESIDENTE FIGUEIREDO;municipio;;;;;;;alta
AM;RIO PRETO DA EVA;municipio;;;;;;;alta
AM;SÃO SEBASTIÃO DO UATUMÃ;municipio;72.0;20.0;;7.0;;;alta
AM;SILVES;municipio;251.0;28.0;;18.0;;;alta
AM;UAUCARA;municipio;191.0;60.0;10.0;;;;alta
AM;UAUCURITUBA;municipio;616.0;178.0;13.0;2.0;41.0;;alta
AP;TOTAIS;total;47165.0;942.0;1182.0;200.0;142.0;180.0;alta
AP;AMAPA;mesorregiao;47165.0;942.0;1482.0;0.0;142.0;180.0;alta
AP;MACAPA;microrregiao;21965.0;4555.0;824.0;1172.0;617.0;159.0;alta
AP;MACAPA;municipio;18991.0;3916.0;703.0;985.0;406.0;140.0;alta
AP;MAZAGÃO;municipio;2974.0;639.0;121.0;187.0;211.0;19.0;alta
AP;AMAPA E OIAPOQUE;microrregiao;25200.0;5387.0;658.0;874.0;1525.0;21.0;alta
AP;AMAPA;municipio;22658.0;5131.0;622.0;159.0;319.0;21.0;alta
AP;CALÇOENE;municipio;2501.0;250.0;36.0;15.0;133.0;;alta
AP;OIAPOQUE;municipio;;;;;;;alta
ES;TOTAIS;total;820.0;165.0;10.0;73.0;22.0;;alta
ES;ESPIRITO-SANTENSE;microrregiao;820.0;165.0;10.0;73.0;22.0;;alta
ES;ALTO SÃO MATEUS;microrregiao;90.0;11.0;;20.0;;;alta
ES;ECOPORANGA;municipio;90.0;11.0;;20.0;;;alta
ES;MONTANHA;municipio;;;;;;;alta
ES;MUCURICI;municipio;;;;;;;alta
ES;COLAT I NA;microrregiao;36.0;;;;;;alta
ES;BAIXO GUANOU;municipio;;;;;;;alta
ES;BARRA DE SÃO FRANCISCO;municipio;;;;;;;alta
ES;BOA ESPERANÇA;municipio;;;;;;;alta
ES;COLATINA;municipio;20.0;;;;;;alta
ES;MANTENOPOLIS;municipio;;;;;;;alta
ES;MARILANDIA;municipio;;;;;;;alta
ES;NOVA VENECIA;municipio;;;;;;;alta
ES;PANCAS;municipio;;;;;;;alta
ES;SÃO GABRIEL DA PALHA;municipio;;;;;;;alta
ES;BAIXADA ESPIRITO-SANTENSE;municipio;595.0;123.0;;45.0;;;alta
ES;ARACRUZ;municipio;20.0;;;12.0;;;alta
ES;CONCEIÇÃO DA BARRA;municipio;;;;;;;alta
ES;FUNDÃO;municipio;;;;;;;alta
ES;JAGUARE;municipio;;;;;;;alta
ES;LINHARES;municipio;76.0;;;;;;alta
ES;PEDRO CANARIO;municipio;;;;;;;alta
ES;PINHEIROS;municipio;30.0;;;30.0;;;alta
ES;RIO BANANAL;municipio;;;;;;;alta
ES;SÃO MATEUS;municipio;469.0;116.0;;;;;alta
ES;COL, SERRANA ESPIRITO-SANTENSE;municipio;;;;;;;alta
ES;AFONSO CLAUDIO;municipio;;;;;;;alta
ES;ALFREDO CHAVES;municipio;;;;;;;alta
ES;DOMINGOS MARTINS;municipio;;;;;;;alta
ES;IBIRAÇU;municipio;;;;;;;alta
ES;I T AGUAÇU;municipio;;;;;;;alta
ES;ITARANA;municipio;;;;;;;alta
ES;SANTA LEOPOLDINA;municipio;;;;;;;alta
ES;SANTA TERESA;municipio;;;;;;;alta
ES;VERTENTE ORIENTAL DO CAPARAO;municipio;;;;;;;alta
ES;CASTELO;municipio;;;;;;;alta
ES;CONCEIÇÃO DO CASTELO;municipio;;;;;;;alta
ES;IBATIBA;municipio;;;;;;;alta
ES;MUNIZ FREIRE;municipio;;;;;;;alta
ES;CACHOEIRO DE ITAPEMIRIM;municipio;54.0;15.0;;;;;alta
ES;ALEGRE;municipio;;;;;;;alta
ES;APIACA;municipio;;;;;;;alta
ES;ATILIO VIVACQUA;municipio;;;;;;;alta
ES;BOM JESUS DO NORTE;municipio;;;;;;;alta
ES;CACHOEIRO DE ITAPEMIRIM;municipio;49.0;15.0;;;;;alta
ES;DIVINO DE SÂO LOURENÇO;municipio;;;;;;;alta
ES;DORES DO RIO PRETO;municipio;;;;;;;alta
ES;GUAÇUI;municipio;;;;;;;alta
ES;JERONlMO MONTEIRO;municipio;;;;;;;alta
MG;TOTAIS;total;25747.0;4942.0;469.0;2494.0;3185.0;148.0;media
MG;NORDESTE MINEIRO;mesorregiao;2044.0;358.0;40.0;388.0;159.0;;alta
MG;SANFRANCISCANA DE JANUARIA;microrregiao;843.0;184.0;26.0;86.0;36.0;;alta
MG;ITACARAMBI;municipio;231.0;92.0;;;35.0;;media
MG;JANUARIA;municipio;61.0;;;62.0;;;media
MG;MANGA;municipio;347.0;70.0;20.0;20.0;;;media
MG;MONTALVANIA;municipio;;;;;;;media
MG;SÃO FRANCISCO;municipio;204.0;21.0;;;;;media
MG;SERRA GERAL DE MINAS;microrregiao;27.0;;;;22.0;;alta
MG;ESPINOSA;municipio;;;;;;;alta
MG;MATO VERDE;municipio;;;;;;;alta
MG;MONTE AZUL;municipio;;;;;;;alta
MG;PORTEIRINHA;municipio;;;;;;;alta
MG;RI ACHO DOS MACHADOS;municipio;22.0;;;;22.0;;alta
MG;CHAPADÕES;microrregiao;1031.0;156.0;12.0;299.0;98.0;;alta
MG;ARINOS;municipio;;;;;;;media
MG;BONFINOPOLIS DE MINAS;municipio;;;;;;;media
MG;BURITIS;municipio;;;;;;;media
MG;FORMOSO;municipio;;;;;;;media
MG;GUARDA-MOR;municipio;;;;;;;media
MG;.JOÃO PINHEIRO;municipio;192.0;25.0;;;;;media
MG;LAGAMAR;municipio;;;;;;;media
MG;PARACATU;municipio;576.0;76.0;296.0;;;;media
MG;PRESIDENTE OLEGARI;municipio;;;;;;;media
MG;VAZANTE;municipio;;;;;;;media
MG;ALTO-MEDI O SÃO FRANCISCO;microrregiao;143.0;17.0;;;;;alta
MG;BURITIZEIRO;municipio;142.0;17.0;;;;;alta
MG;PIRAPORA;municipio;;;;;;;alta
MG;SANTA FE DE MINAS;municipio;;;;;;;alta
MG;SÃO ROMÃO;municipio;;;;;;;alta
MG;NORDESTE MINEIRO s;mesorregiao;5859.0;1094.0;83.0;471.0;519.0;;media
MG;ALTO RIO PARDO;microrregiao;29.0;;;31.0;;;alta
MG;AGUAS VERMELHAS;municipio;29.0;;;31.0;;;alta
MG;RIO PARDO DE MINAS;municipio;;;;;;;alta
MG;RUBELITA;municipio;;;;;;;alta
MG;SALINAS;municipio;;;;;;;alta
MG;SÃO .JOÃO DO PARAIS;municipio;;;;;;;alta
MG;TAIOBEIRAS;municipio;;;;;;;alta
MG;MONTES CLAROS;microrregiao;156.0;44.0;;;;;media
MG;BOCAIUVA;municipio;;;;;;;media
MG;BRASILIA DE MINAS;municipio;;;;;;;media
