_uf;_label;_level;estab_total;area_ha_total;inform_lav_permanente;area_ha_lav_permanente;inform_lav_temporaria;area_ha_lav_temporaria;inform_lav_temp_descanso;confianca
AM;"A""'ATURA";municipio;839.0;3702.0;611.0;392.0;787.0;743.0;496.0;alta
AM;ATALAIA;municipio;813.0;10559.0;198.0;173.0;584.0;644.0;467.0;alta
AM;BENJAMIN CONSTANT;municipio;902.0;9447.0;749.0;913.0;882.0;1609.0;253.0;alta
AM;FONTE BOA;municipio;1881.0;15919.0;1485.0;1775.0;1736.0;2033.0;759.0;alta
AM;JUTA(;municipio;2133.0;24498.0;927.0;1410.0;1457.0;2246.0;402.0;alta
AM;SANTO ANTONIO DO IÇA;municipio;1722.0;10107.0;1178.0;995.0;1613.0;1410.0;755.0;alta
AM;SÃO PAULO DE OLIVENÇA;municipio;2407.0;11041.0;1111.0;1263.0;2099.0;2786.0;707.0;alta
AM;TABATINGA;municipio;997.0;6427.0;956.0;762.0;990.0;337.0;;alta
AM;TONANTINS;municipio;1124.0;8348.0;939.0;1040.0;1073.0;1497.0;243.0;alta
AM;JURUA;microrregiao;12862.0;103065.0;2161.0;2884.0;3834.0;4573.0;1160.0;alta
AM;CARAUARI;municipio;1695.0;8667.0;66.0;446.0;321.0;517.0;69.0;alta
AM;EIRUNEPE;municipio;1623.0;23583.0;269.0;1721.0;450.0;772.0;314.0;alta
AM;ENVIRA;municipio;2792.0;13220.0;761.0;109.0;898.0;68.0;328.0;alta
AM;IPIXUNA;municipio;4591.0;13049.0;837.0;319.0;1541.0;1239.0;385.0;alta
AM;ITAMARATI;municipio;1309.0;40043.0;21.0;38.0;171.0;285.0;11.0;alta
AM;JURUA;municipio;852.0;4502.0;207.0;249.0;453.0;690.0;53.0;alta
AM;PURUS;microrregiao;14705.0;1281129.0;2065.0;6419.0;6438.0;;1672.0;alta
AM;BOCA DO ACRE;municipio;3005.0;617297.0;1048.0;3857.0;1713.0;5799.0;489.0;alta
AM;CANUTAMA;municipio;2175.0;34714.0;34.0;42.0;565.0;798.0;73.0;alta
AM;LABREA;municipio;982.0;193575.0;350.0;1095.0;1483.0;2875.0;383.0;alta
AM;PAUINI;municipio;1277.0;170383.0;78.0;675.0;343.0;2715.0;13.0;alta
AM;TAPAUA;municipio;3266.0;265159.0;555.0;718.0;2334.0;205.0;714.0;alta
AM;MADEIRA;microrregiao;12849.0;901480.0;3385.0;12150.0;9200.0;;3630.0;alta
AM;BORBA;municipio;2971.0;246694.0;945.0;1826.0;2494.0;4649.0;1148.0;alta
AM;HUMAITA;municipio;2588.0;188833.0;429.0;1058.0;1405.0;1910.0;22.0;alta
AM;MANICORE;municipio;4554.0;160511.0;479.0;5546.0;2700.0;3429.0;1600.0;alta
AM;NOVO ARIPUANÃ;municipio;2736.0;305441.0;1532.0;3718.0;2601.0;9751.0;860.0;alta
AM;RIO NEGRO;microrregiao;6519.0;99485.0;1772.0;2400.0;4661.0;390.0;596.0;alta
AM;BARCELOS;municipio;1852.0;32872.0;77.0;61.0;246.0;354.0;109.0;alta
AM;NOVO A IRÃO;municipio;455.0;46731.0;172.0;879.0;311.0;965.0;10.0;alta
AM;SANTA ISABEL;municipio;714.0;2903.0;304.0;277.0;700.0;1741.0;;alta
AM;SÃO GABRIEL DA CACHOEIRA;municipio;3498.0;16977.0;1219.0;1182.0;3404.0;6330.0;472.0;alta
AM;SOLIMÕES-JAPURA;microrregiao;15910.0;8724.0;19661.0;12469.0;29181.0;6860.0;;alta
AM;ALVARÃES;municipio;780.0;24164.0;536.0;767.0;1726.0;725.0;;alta
AM;ANAMÃ;municipio;810.0;8086.0;324.0;545.0;784.0;1808.0;;alta
AM;ANORI;municipio;1124.0;23095.0;483.0;612.0;987.0;1937.0;11.0;alta
AM;COAR(;municipio;5273.0;279006.0;3104.0;6825.0;3825.0;9897.0;925.0;alta
AM;CODAJAS;municipio;250.0;414501.0;698.0;1970.0;1641.0;3506.0;590.0;alta
AM;JAPURA;municipio;484.0;9016.0;328.0;151.0;316.0;531.0;257.0;alta
AM;MARAÃ;municipio;2328.0;33151.0;1982.0;6312.0;1719.0;4555.0;2103.0;alta
AM;TEFE;municipio;1622.0;505782.0;693.0;1553.0;1539.0;3336.0;1398.0;alta
AM;UARINI;municipio;940.0;38288.0;576.0;543.0;891.0;1881.0;851.0;alta
AM;MEDI O AMAZONAS;municipio;21736.0;34863.0;13574.0;;;;;alta
AM;ss ITACOATIARA;mesorregiao;2260.0;491.0;1041.0;;;;;alta
AM;INCLUSIVE TERRAS INAPROVEITAVEIS;mesorregiao;;;;;;;;alta
AP;TOTAIS;total;4816.0;1208021.0;2318.0;16251.0;3687.0;17019.0;1576.0;alta
AP;AMAPA;microrregiao;4816.0;1208021.0;2318.0;16251.0;3687.0;17019.0;1576.0;alta
AP;MACAPA;municipio;3667.0;692397.0;1917.0;12958.0;2881.0;12051.0;1390.0;alta
AP;AMAPA E OIAPOOUE;municipio;1149.0;515624.0;401.0;3293.0;806.0;4967.0;186.0;alta
AP;INCLUSIVE TERRAS INAPROVEITAVEIS;mesorregiao;;;;;;;;alta
BA;TOTAIS;total;739006.0;33431403.0;232273.0;1604300.0;604010.0;2555823.0;150878.0;baixa
BA;OESTE BAIANO;mesorregiao;;;32166.0;122340.0;276981.0;1503813.0;63613.0;baixa
BA;CHAPADÕES DO ALTO RIO GRANDE;mesorregiao;23844.0;4346772.0;3031.0;6118.0;21152.0;208682.0;6261.0;baixa
BA;ANGICAL;microrregiao;1942.0;171235.0;212.0;217.0;1667.0;5373.0;342.0;baixa
BA;BAIANOPOLIS;microrregiao;321.0;121278.0;138.0;178.0;1236.0;7348.0;495.0;baixa
BA;BARREIRAS;microrregiao;2039.0;507128.0;673.0;1277.0;1836.0;56485.0;633.0;baixa
BA;BREJOLANOIA;microrregiao;1692.0;173994.0;25.0;33.0;1007.0;3245.0;128.0;baixa
BA;CATOLANOIA;microrregiao;661.0;44248.0;48.0;36.0;540.0;2301.0;33.0;baixa
BA;COTEGIPE;microrregiao;1916.0;627911.0;99.0;439.0;1379.0;10867.0;207.0;baixa
