_uf;_label;_level;estab_total;area_ha_total;inform_lav_permanente;area_ha_lav_permanente;inform_lav_temporaria;area_ha_lav_temporaria;inform_lav_temp_descanso;confianca
MG;AÇUCENA;municipio;;998.0;;507.0;843.0;;86.0;media
MG;AGUA BOA;municipio;1232.0;127232.0;528.0;3965.0;1071.0;8626.0;160.0;media
MG;ALVORADA DE MINAS;municipio;247.0;23665.0;215.0;535.0;230.0;1796.0;112.0;media
MG;BELO ORIENTE;municipio;416.0;28954.0;339.0;389.0;386.0;2044.0;29.0;media
MG;BRAUNAS;municipio;;530.0;;153.0;446.0;;52.0;media
MG;CARMESIA;municipio;;133.0;;105.0;125.0;;;media
MG;COLUNA;municipio;576.0;31566.0;471.0;1062.0;4086.0;53.0;;media
MG;OIVINOLANDIA DE MINAS;municipio;270.0;10698.0;223.0;366.0;255.0;1017.0;22.0;media
MG;DOM JOAQUIM;municipio;250.0;31309.0;161.0;588.0;216.0;3065.0;19.0;media
MG;DORES DE GUANHÃES;municipio;217.0;28184.0;39.0;207.0;206.0;2183.0;41.0;media
MG;GONZAGA;municipio;;490.0;;437.0;434.0;;82.0;media
MG;GUANHÃES;municipio;;699.0;;529.0;668.0;;95.0;media
MG;JOANESIA;municipio;;357.0;;241.0;338.0;;31.0;media
MG;MATERLANDIA;municipio;;250.0;;230.0;246.0;;;media
MG;MESQUITA;municipio;;784.0;;492.0;676.0;;55.0;media
MG;PAULISTAS;municipio;;374.0;;245.0;339.0;;;media
MG;PEÇANHA;municipio;;1356.0;;895.0;1206.0;;63.0;media
MG;RIO VERMELHO;municipio;619.0;66167.0;610.0;2248.0;632.0;7617.0;159.0;media
MG;SABINOPOLIS;municipio;;1011.0;;653.0;892.0;;124.0;media
MG;SANTA MARIA DO SUAÇUI;municipio;1129.0;75013.0;391.0;598.0;1074.0;290.0;52.0;media
MG;SANTO ANTONIO DO ITAMBE;municipio;431.0;16555.0;405.0;297.0;425.0;1443.0;143.0;media
MG;SÃO JOÃO EVANGELISTA;municipio;963.0;43742.0;610.0;972.0;6352.0;75.0;;media
MG;SÃO JOSE DO JACURI;municipio;602.0;40389.0;447.0;1050.0;548.0;4179.0;94.0;media
MG;SÃO PEDRO DO SUAÇUI;municipio;540.0;31928.0;32.0;95.0;485.0;421.0;16.0;media
MG;SÃO SEBASTIÃO;municipio;1173.0;41775.0;453.0;831.0;1127.0;842.0;143.0;media
MG;SENHORA DO PORTO;municipio;331.0;33923.0;300.0;771.0;314.0;2856.0;138.0;media
MG;SERRA AZUL DE MINAS;municipio;177.0;15821.0;155.0;151.0;185.0;1505.0;43.0;media
MG;VIRGINOPOLIS;municipio;;597.0;;356.0;562.0;;57.0;media
MG;GOVERNADOR VALADARES;microrregiao;7319.0;810657.0;3945.0;11347.0;6431.0;45290.0;786.0;media
MG;ALPERCATA;municipio;;317.0;;64.0;268.0;;25.0;media
MG;CAMPANARI;municipio;;440.0;;86.0;381.0;;51.0;media
MG;COROACI;municipio;;778.0;;575.0;740.0;;110.0;media
MG;FREI INOCENt:IO;municipio;46.0;;;;;;;media
MG;GOVERNADOR VALADARES;municipio;677.0;223905.0;897.0;2113.0;410.0;9096.0;195.0;media
MG;IT AMBACUR;municipio;1060.0;142983.0;875.0;3114.0;940.0;5390.0;115.0;media
MG;MARILAC;municipio;;148.0;;36.0;139.0;;6.0;media
MG;NACIP RAYDAN;municipio;304.0;21180.0;217.0;371.0;280.0;558.0;7.0;media
MG;NOVA MODICA;municipio;405.0;3408.0;167.0;345.0;803.0;13.0;;media
MG;PESCADOR;municipio;;191.0;;52.0;170.0;;19.0;media
MG;SANTA EFIGENIA DE MINAS;municipio;274.0;0.0;242.0;769.0;249.0;1199.0;45.0;media
MG;SÃO GERALDO DA PIEDADE;municipio;343.0;17282.0;243.0;1111.0;248.0;2995.0;25.0;media
MG;SÃO JOSE DA SAFIRA;municipio;71.0;18718.0;25.0;50.0;28.0;2.0;;media
MG;CENTRAL DE MI NAS;municipio;438.0;20984.0;197.0;259.0;376.0;2899.0;113.0;media
MG;ITABIRINHA DE MANTENA;municipio;;633.0;;456.0;532.0;47.0;;media
MG;MANTENA;municipio;1940.0;89414.0;19647.0;1505.0;10450.0;327.0;;media
MG;MENDES PIMENTEL;municipio;94.0;43258.0;556.0;1990.0;981.0;7552.0;96.0;media
MG;MATA DE CARATINGA;microrregiao;13968.0;562433.0;8292.0;35439.0;12250.0;76745.0;1055.0;media
MG;BOM JESUS DO GALHO;municipio;1404.0;56192.0;744.0;3952.0;1259.0;6762.0;44.0;media
MG;CARATINGA;municipio;;5277.0;;4100.0;4543.0;506.0;;media
MG;CORREGO NOVO;municipio;314.0;28140.0;100.0;297.0;285.0;3136.0;34.0;media
MG;DOM CAVATI;municipio;169.0;6059.0;71.0;334.0;157.0;1068.0;;media
MG;ENGENHEIRO CALDAS;municipio;;357.0;;34.0;312.0;32.0;;media
MG;FERNANDES TOURINHO;municipio;;228.0;;;204.0;;;media
MG;IAPU;municipio;;907.0;;782.0;879.0;61.0;;media
MG;INHAPIM;municipio;;2569.0;;1882.0;2078.0;225.0;;media
MG;SÃO JOÃO DO ORIENTE;municipio;;503.0;;232.0;483.0;39.0;;media
MG;SOBRAL IA;municipio;442.0;21550.0;69.0;208.0;397.0;3437.0;27.0;media
MG;TARUMIRIM;municipio;;1798.0;;275.0;1653.0;81.0;;media
MG;BACIA;microrregiao;13365.0;973683.0;6612.0;37416.0;10930.0;79385.0;683.0;media
MG;AIMORES;municipio;;1257.0;;888.0;1123.0;70.0;;media
MG;ALVARENGA;municipio;;711.0;;245.0;588.0;62.0;;media
MG;CONCEIÇÃO DE IPANEMA;municipio;;530.0;;379.0;448.0;18.0;;media
MG;CONSELHEIRO PENA;municipio;;1584.0;;641.0;1225.0;50.0;;media
MG;DIVINO DAS LARANJEIRAS;municipio;260.0;33505.0;36.0;122.0;198.0;1566.0;;media
MG;GALILEIA;municipio;;691.0;;194.0;566.0;30.0;;media
MG;IPANEMA;municipio;;1249.0;;768.0;1057.0;47.0;;media
MG;ITANHOMI;municipio;;1598.0;;289.0;1384.0;109.0;;media
MG;ITUETA;municipio;;625.0;;469.0;514.0;;;media
MG;MUTUM;municipio;;2232.0;82.0;1495.0;1700.0;99.0;;media
MG;POCRANE;municipio;;1068.0;;427.0;970.0;92.0;;media
MG;RESPLENDOR;municipio;;897.0;;392.0;713.0;45.0;;media
MG;SANTA RITA DO ITUETO;municipio;359.0;31767.0;325.0;7283.0;179.0;22.0;;media
MG;TUMIRITINGA;municipio;;304.0;;44.0;265.0;23.0;;media
MG;MATA DE PONTE NOVA;microrregiao;12388.0;479377.0;8612.0;29246.0;10202.0;79432.0;1075.0;media
MG;ABRE CAMPO;municipio;;1727.0;29.0;1519.0;1229.0;138.0;;media
MG;ACAIACA;municipio;;258.0;;167.0;227.0;14.0;;media
MG;AMPARO DO SERRA;municipio;383.0;14299.0;306.0;603.0;354.0;2714.0;32.0;media
MG;BARRA LONGA;municipio;943.0;35668.0;636.0;323.0;810.0;4163.0;32.0;media
MG;OI OGO DE VASCONCELOS;municipio;421.0;10337.0;135.0;124.0;407.0;2800.0;113.0;media
MG;DOM SILVERIO;municipio;810.0;26357.0;147.0;174.0;641.0;3044.0;88.0;media
MG;JEQUERI;municipio;;1433.0;;1011.0;1316.0;148.0;;media
MG;PIEDADE DE PONTE NOVA;municipio;;154.0;;92.0;138.0;19.0;;media
MG;ONTE NOVA;municipio;885.0;48498.0;705.0;2400.0;803.0;11956.0;95.0;media
MG;RAUL SOARES;municipio;2685.0;86794.0;2259.0;7818.0;2111.0;9176.0;118.0;media
MG;RIO CASCA;municipio;396.0;40602.0;216.0;433.0;344.0;5111.0;18.0;media
MG;RIO DOCE;municipio;142.0;9683.0;78.0;56.0;130.0;1208.0;19.0;media
MG;SANTA CRUZ DO ESCALVADO;municipio;724.0;22991.0;413.0;270.0;679.0;5051.0;110.0;media
MG;SANTO ANTONIO DO GRAMA;municipio;;229.0;;93.0;189.0;24.0;;media
MG;SÃO PEDRO DOS FERROS;municipio;;323.0;;129.0;252.0;29.0;;media
MG;TEMPORARIAS DE;mesorregiao;;;;;;;;media
MG;AREA INFOR- AREA INFOR-;microrregiao;;;;;;;;media
MG;VERTENTE OCIDENTAL DO CAPARAO;microrregiao;13670.0;452938.0;12946.0;123708.0;7040.0;23344.0;1098.0;media
MG;CAI ANA;municipio;;10757.0;;237.0;103.0;42.0;;media
MG;CAPARAO;municipio;;17603.0;;390.0;21.0;22.0;;media
MG;CAPUT IRA;municipio;;17593.0;;569.0;446.0;;;media
MG;CHALE;municipio;;17771.0;;334.0;338.0;23.0;;media
MG;DIVINO;municipio;;53004.0;;1920.0;968.0;154.0;;media
MG;ESPERA FELIZ;municipio;;20112.0;;445.0;138.0;38.0;;media
MG;LAJINHA;municipio;;38856.0;;799.0;486.0;72.0;;media
MG;MANHUAÇU;municipio;;94874.0;;3208.0;1668.0;242.0;;media
MG;MANHUMIRIM;municipio;;42090.0;;1005.0;203.0;71.0;;media
MG;MATIPO;municipio;;23957.0;;508.0;235.0;21.0;;media
MG;PRESIDENTE SOARES;municipio;330.0;12512.0;325.0;5428.0;67.0;315.0;12.0;media
MG;SANTA MARGARIDA;municipio;;22431.0;;1097.0;613.0;102.0;;media
MG;SANTANA DO MANHUAÇU;municipio;651.0;30551.0;563.0;4254.0;433.0;1333.0;55.0;media
MG;SÃO JOSE DO MANTIMENTO;municipio;162.0;5285.0;131.0;810.0;137.0;763.0;;media
MG;SIMONESIA;municipio;;45536.0;;1415.0;1184.0;228.0;;media
MG;MATA DE VIÇOSA;microrregiao;;407325.0;;78.0;16160.0;;;media
MG;ALTO RIO DOCE;municipio;;40.0;;1079.0;1828.0;237.0;;media
MG;ARAPONGA;municipio;;24924.0;;646.0;451.0;71.0;;media
MG;SRAS PIRES;municipio;;14169.0;;47.0;533.0;27.0;;media
MG;CAJURI;municipio;;7905.0;;215.0;250.0;37.0;;media
MG;CANAÃ;municipio;;13643.0;;428.0;456.0;23.0;;media
MG;CIPOTANEA;municipio;;10172.0;;501.0;830.0;174.0;;media
MG;COIMBRA;municipio;;9525.0;;354.0;427.0;60.0;;media
MG;DORES DO TURVO;municipio;;17126.0;;256.0;506.0;51.0;;media
MG;ERVALIA;municipio;;29383.0;;1175.0;857.0;31.0;;media
MG;GUARAC I ABA;municipio;;24154.0;;629.0;897.0;74.0;;media
MG;LAMIM;municipio;;7335.0;;251.0;399.0;30.0;;media
MG;PAULA CANO IDO;municipio;;22126.0;;457.0;675.0;139.0;;media
MG;PEDRA DO ANTA;municipio;;13897.0;;305.0;355.0;45.0;;media
MG;PIRANGA;municipio;;43961.0;;4.0;2039.0;54.0;;media
MG;PORTO FIRME;municipio;;22974.0;;776.0;1008.0;98.0;;media
MG;PRESIDENTE BERNARDES;municipio;843.0;16888.0;257.0;504.0;789.0;3531.0;24.0;media
MG;RIO ESPERA;municipio;;14846.0;;225.0;619.0;48.0;;media
MG;SÃO MIGUEL;municipio;655.0;12592.0;508.0;279.0;578.0;926.0;14.0;media
MG;SENADOR FIRMINO;municipio;;13467.0;;377.0;705.0;73.0;;media
MG;SENHORA DE OLIVEIRA;municipio;463.0;11657.0;171.0;72.0;437.0;3488.0;30.0;media
MG;TEIXEIRAS;municipio;;14557.0;;662.0;661.0;54.0;;media
MG;VIÇOSA;municipio;;21898.0;;755.0;860.0;70.0;;media
MG;MATA DO MURIAE;microrregiao;;368650.0;;6387.0;6934.0;519.0;;media
MG;ANTONIO PRADO DE MINAS;municipio;206.0;8345.0;105.0;202.0;180.0;1152.0;;media
MG;BARÃO DE MONTE ALTO;municipio;387.0;18845.0;93.0;91.0;367.0;3788.0;10.0;media
MG;CARANGOLA;municipio;;64980.0;;1556.0;1132.0;107.0;;media
MG;EUGENOPOLIS;municipio;;29860.0;;455.0;621.0;42.0;;media
MG;FARIA LEMOS;municipio;;17337.0;;132.0;153.0;77.0;;media
MG;MIRADOURO;municipio;;28722.0;;636.0;640.0;26.0;;media
MG;MIRAI;municipio;;41811.0;;912.0;903.0;49.0;;media
MG;MURIAE;municipio;;88428.0;;1521.0;1826.0;86.0;;media
MG;PATROCINIO DO MURIAE;municipio;300.0;10276.0;93.0;93.0;258.0;1840.0;;media
MG;PEDRA DOURADA;municipio;;6610.0;;97.0;35.0;;;media
MG;SÃO FRANCISCO DO GLORIA;municipio;340.0;16069.0;272.0;1722.0;218.0;593.0;3.0;media
MG;TOMBOS;municipio;;26662.0;;260.0;377.0;58.0;;media
MG;VIEIRAS;municipio;300.0;10700.0;255.0;1443.0;815.0;;;media
MG;MATA DE UBA;microrregiao;9472.0;306520.0;5130.0;7836.0;56486.0;;;media
MG;ASTOLFO OUTRA;municipio;454.0;15196.0;286.0;794.0;3211.0;;;media
MG;DIVINESIA;municipio;275.0;8940.0;167.0;279.0;1337.0;;;media
MG;GUARANI;municipio;493.0;22913.0;157.0;274.0;3169.0;;;media
MG;GUIOOVAL;municipio;568.0;13089.0;402.0;253.0;3342.0;;;media
MG;GUIRICEMA;municipio;1135.0;26623.0;696.0;946.0;3954.0;;;media
MG;PlAU;municipio;424.0;17441.0;281.0;1159.0;1369.0;;;media
MG;PIRAUBA;municipio;551.0;13214.0;175.0;104.0;3740.0;;;media
MG;RIO NOVO;municipio;541.0;36410.0;192.0;530.0;3570.0;;;media
MG;RIO POMBA;municipio;669.0;23076.0;342.0;320.0;2547.0;;;media
MG;RODE IRO;municipio;201.0;6756.0;75.0;64.0;1589.0;;;media
MG;SÃO GERALDO;municipio;581.0;16559.0;273.0;492.0;3051.0;;;media
MG;SILVEIRANIA;municipio;231.0;14958.0;132.0;788.0;1171.0;;;media
MG;TABULEIRO;municipio;518.0;20985.0;231.0;342.0;1901.0;;;media
MG;TOCANTINS;municipio;797.0;14759.0;421.0;217.0;3968.0;;;media
MG;MATA DE CATAGUASES;microrregiao;6529.0;375737.0;3473.0;4886.0;36386.0;;;media
MG;ALEM PARAIBA;municipio;384.0;50467.0;247.0;373.0;2967.0;;;media
MG;ARGIRITA;municipio;274.0;17886.0;181.0;704.0;1639.0;;;media
MG;CATAGUASES;municipio;879.0;41730.0;575.0;860.0;4392.0;;;media
MG;DONA EUZEBIA;municipio;205.0;7776.0;125.0;294.0;950.0;;;media
MG;ESTRELA DALVA;municipio;137.0;11321.0;22.0;48.0;667.0;;;media
MG;ITAMARATI DE MINAS;municipio;273.0;188.0;450.0;211.0;1036.0;11.0;;media
MG;LARANJAL;municipio;628.0;276.0;195.0;546.0;2617.0;17.0;;media
MG;LEOPOLDINA;municipio;1283.0;85557.0;663.0;667.0;9917.0;;;media
MG;PALMA;municipio;679.0;30776.0;361.0;152.0;3426.0;;;media
MG;PIRAPETINGA;municipio;375.0;18139.0;139.0;91.0;1366.0;;;media
MG;RECREIO;municipio;567.0;26053.0;224.0;300.0;2459.0;;;media
MG;SANTANA DE CATAGUASES;municipio;369.0;18428.0;225.0;336.0;1984.0;;;media
MG;SANTO ANTONIO DO AVENTUREIRO;municipio;343.0;22792.0;166.0;333.0;1890.0;;;media
MG;VOLTA GRANDE;municipio;133.0;16955.0;81.0;74.0;1069.0;;;media
MG;SUDOESTE MINEIRO;mesorregiao;148826.0;8091185.0;79562.0;605708.0;962640.0;;;media
MG;PLANALTO DE ARAXA;microrregiao;7059.0;1275341.0;2949.0;21748.0;134595.0;;;alta
MG;ARAXA;municipio;526.0;114259.0;143.0;2283.0;4049.0;;;alta
MG;CAMPOS ALTOS;municipio;317.0;56721.0;192.0;4659.0;6161.0;;;alta
MG;IBIA;municipio;901.0;244993.0;321.0;3259.0;16500.0;;;alta
MG;IRAI DE MINAS;municipio;391.0;33356.0;233.0;508.0;4596.0;;;alta
MG;NOVA PONTE;municipio;520.0;99230.0;254.0;1065.0;26810.0;;;alta
MG;PEDRINOPOLIS;municipio;252.0;33719.0;161.0;243.0;7370.0;;;alta
MG;PERDIZES;municipio;1088.0;218132.0;746.0;4262.0;20905.0;;;alta
MG;PRATINHA;municipio;394.0;62142.0;156.0;564.0;1865.0;;;alta
MG;SACRAMENTO;municipio;1520.0;235544.0;482.0;4140.0;25789.0;;;alta
MG;SANTA JULIANA;municipio;625.0;55685.0;234.0;345.0;16143.0;;;alta
MG;TAPIRA;municipio;525.0;121555.0;27.0;415.0;4401.0;;;alta
MG;ALTO SÃO FRANCISCO;microrregiao;13909.0;1406550.0;8209.0;31990.0;29400.0;;;media
MG;ARAUJOS;municipio;259.0;21449.0;232.0;289.0;2594.0;;;media
MG;ARCOS;municipio;672.0;36827.0;360.0;605.0;6685.0;;;media
MG;BAMBU(;municipio;1239.0;129696.0;320.0;2655.0;11214.0;;;media
MG;BOM DESPACHO;municipio;8167.0;107936.0;665.0;1930.0;8192.0;;;media
MG;TOTAL;total;;;;;;;;media
MG;NUMERO MESORREGIÔES, MICRORREGIÔES;mesorregiao;;;;;;;;media
MG;DE E TEMPORARIAS;microrregiao;;;;;;;;media
MG;CONCEIÇÃO DO PARA;municipio;401.0;19131.0;336.0;121.0;365.0;1145.0;44.0;media
MG;CORREGO DANT A;municipio;619.0;60917.0;445.0;4484.0;334.0;2609.0;18.0;media
MG;DORES DO INDAIA;microrregiao;475.0;372.0;193.0;432.0;6337.0;137.0;;media
MG;DORESOPOL IS;municipio;213.0;15230.0;76.0;467.0;175.0;696.0;13.0;media
MG;ESTRELA;municipio;0.0;382.0;;308.0;326.0;18.0;;media
MG;IGUATAMA;municipio;;415.0;;152.0;364.0;53.0;;media
MG;JAPARAIBA;municipio;;163.0;;119.0;158.0;;;media
MG;LAGOA DA PRATA;municipio;287.0;41515.0;182.0;321.0;257.0;18823.0;13.0;media
MG;LEANDRO FERREIRA;municipio;336.0;33711.0;175.0;124.0;302.0;2303.0;19.0;media
MG;MEDEIROS;municipio;;400.0;;189.0;250.0;11.0;;media
MG;MOEMA;municipio;;173.0;;102.0;163.0;15.0;;media
MG;NOVA SERRANA;municipio;;404.0;;220.0;359.0;35.0;;media
MG;PAINS;municipio;;524.0;;122.0;403.0;10.0;;media
MG;PERDIGÃO;municipio;;341.0;;237.0;324.0;42.0;;media
MG;PIMENTA;municipio;;505.0;;337.0;407.0;16.0;;media
MG;PITANGUI;municipio;;391.0;;265.0;343.0;27.0;;media
MG;PIUI;municipio;;1033.0;;612.0;837.0;60.0;;media
MG;SANTA ROSA DA SERRA;municipio;;283.0;;276.0;128.0;26.0;;media
MG;SANTO ANTON;municipio;;1328.0;;1085.0;1227.0;186.0;;media
MG;SÃO ROQUE DE MINAS;municipio;933.0;122567.0;445.0;936.0;744.0;4584.0;140.0;media
MG;SERRA DA SAUDADE;municipio;122.0;18232.0;100.0;132.0;99.0;928.0;36.0;media
MG;TAPIRAI;municipio;;276.0;;190.0;202.0;18.0;;media
MG;VARGEM BONITA;municipio;;270.0;;104.0;229.0;41.0;;media
MG;FURNAS;municipio;;23904.0;;16727.0;17184.0;391.0;;media
MG;ALFENAS;municipio;;1035.0;;560.0;835.0;66.0;;media
MG;ALPINOPOLIS;municipio;;1355.0;;491.0;1032.0;34.0;;media
MG;ALTEROSA;municipio;;1065.0;;694.0;924.0;54.0;;media
MG;AREADO;municipio;;643.0;;417.0;493.0;58.0;;media
MG;BOA ESPERANÇA;municipio;;896.0;;768.0;560.0;41.0;;media
MG;CAMPO DO MEIO;municipio;342.0;17713.0;273.0;4896.0;250.0;7461.0;;media
MG;CAMPOS GERAIS;municipio;1568.0;60562.0;1367.0;15659.0;1083.0;10754.0;110.0;media
MG;CAPITOLIO;municipio;;560.0;;374.0;411.0;23.0;;media
MG;CARMO DO RIO CLARO;municipio;1377.0;76229.0;87.0;11780.0;925.0;8624.0;49.0;media
MG;CASSIA;municipio;;846.0;;583.0;567.0;29.0;;media
MG;CONCEIÇÃO DA APARECIDA;municipio;1147.0;32298.0;887.0;5196.0;684.0;3652.0;16.0;media
MG;COQUEIRAL;municipio;;566.0;;483.0;436.0;36.0;;media
MG;DELFINOPOLIS;municipio;;643.0;;223.0;473.0;31.0;;media
MG;DIVISA NOVA;municipio;455.0;20577.0;215.0;2221.0;353.0;2780.0;28.0;media
MG;ELOI MENDES;municipio;;1440.0;;1130.0;919.0;41.0;;media
MG;FAMA;municipio;;140.0;;101.0;110.0;12.0;;media
MG;GUAPE;municipio;;1319.0;;1149.0;830.0;208.0;;media
MG;ILICINEA;municipio;;872.0;;772.0;455.0;47.0;;media
MG;MACHADO;municipio;;1020.0;;783.0;806.0;77.0;;media
MG;NEPOMUCENO;municipio;;1094.0;;993.0;709.0;144.0;;media
MG;PARAGUAÇU;municipio;;1021.0;;810.0;799.0;61.0;;media
MG;PASSOS;municipio;;1619.0;;570.0;1353.0;60.0;;media
MG;PRATAPOLIS;municipio;;736.0;;270.0;640.0;11.0;;media
MG;SANTANA DA VARGEM;municipio;267.0;15401.0;256.0;5434.0;154.0;2797.0;17.0;media
MG;SÃO JOÃO BATISTA DO GLORIA;municipio;345.0;33370.0;172.0;1119.0;293.0;4774.0;16.0;media
MG;SERRANIA;municipio;;250.0;;164.0;213.0;41.0;;media
MG;TRES PONTAS;municipio;;870.0;;808.0;576.0;54.0;;media
MG;VARGINHA;municipio;;413.0;;327.0;301.0;21.0;;media
MG;FORMIGA;municipio;;19590.0;;12003.0;16333.0;1429.0;;media
MG;AGUANIL;municipio;;362.0;;304.0;240.0;28.0;;media
MG;BOM SUCESSO;municipio;;710.0;;552.0;581.0;29.0;;media
MG;LAVOURAS;mesorregiao;;;;;;;;media
MG;TEMPORARIAS;mesorregiao;;;;;;;;media
MG;EM DESCANSO;mesorregiao;1.0;;;;;;;media
MG;AREA INFOR-;microrregiao;;;;;;;;media
MG;CAMACHO;municipio;;17695.0;300.0;1337.0;1366.0;;;media
MG;CAMPO BELO;municipio;;45563.0;831.0;7023.0;4966.0;;;media
MG;CANA VERDE;municipio;;16096.0;299.0;2305.0;1247.0;;;media
MG;CANDEIAS;municipio;;61700.0;998.0;6320.0;5438.0;;;media
MG;CARMO DA MATA;municipio;;29330.0;319.0;2387.0;2935.0;;;media
MG;CARMOPOLIS DE MINAS;municipio;1150.0;38186.0;800.0;1420.0;995.0;3866.0;46.0;media
MG;CLAUDIO;municipio;;45556.0;779.0;1211.0;5527.0;;;media
MG;CRISTAIS;municipio;;47224.0;662.0;6119.0;4556.0;;;media
MG;FORMIGA;municipio;;125389.0;958.0;2893.0;17469.0;;;media
MG;IBITURUNA;municipio;;15187.0;159.0;1040.0;1858.0;;;media
MG;ITAGUARA;municipio;;32161.0;761.0;578.0;5092.0;;;media
MG;ITAPECERICA;municipio;;79456.0;478.0;1612.0;8053.0;;;media
MG;OLIVEIRA;municipio;;67060.0;758.0;4267.0;5564.0;;;media
MG;PASSA TEMPO;municipio;;29345.0;426.0;403.0;3293.0;;;media
MG;PEDRA DO INDAIA;municipio;;28659.0;184.0;187.0;2031.0;;;media
MG;PERDÕES;municipio;;25023.0;560.0;3716.0;3483.0;;;media
MG;PIRACEMA;municipio;;23051.0;542.0;554.0;3715.0;;;media
MG;RIBEIRÃO VERMELHO;municipio;;3395.0;59.0;360.0;441.0;;;media
MG;SANTANA DO JACARE;municipio;;7924.0;78.0;832.0;599.0;;;media
MG;SANTO ANTONIO DO AMPARO;municipio;605.0;44511.0;450.0;6424.0;441.0;3871.0;12.0;media
MG;SÃO FRANCISCO DE PAULA;municipio;444.0;28769.0;367.0;2599.0;1397.0;2237.0;12.0;media
MG;SÃO SEBASTIÃO;municipio;810.0;33125.0;379.0;520.0;753.0;3720.0;100.0;media
MG;MOGIANA MINEIRA;microrregiao;;608591.0;11076.0;117771.0;87494.0;;;media
MG;ARCEBURGO;municipio;;14437.0;141.0;2428.0;2271.0;;;media
MG;BOM JESUS DA PENHA;municipio;;21341.0;236.0;1265.0;3185.0;;;media
MG;CABO VERDE;municipio;;37252.0;783.0;10958.0;5100.0;;;media
MG;CAPETINGA;municipio;;23710.0;326.0;4782.0;2518.0;;;media
MG;CLARAVAL;municipio;;20298.0;505.0;3230.0;1851.0;;;media
MG;GUARANESIA;municipio;;30045.0;347.0;6136.0;7748.0;;;media
MG;GUAXUPE;mesorregiao;;27628.0;331.0;8402.0;4203.0;;;media
MG;IBIRACI;municipio;;42337.0;468.0;9055.0;2632.0;;;media
MG;ITAMOGI;municipio;;22577.0;650.0;7491.0;2664.0;;;media
MG;jACUI;municipio;;37311.0;586.0;3194.0;4589.0;;;media
MG;jURUAIA;municipio;;20000.0;640.0;4025.0;2572.0;;;media
MG;soo MONTE BELO;mesorregiao;;38130.0;773.0;4031.0;12412.0;;;media
MG;MONTE SANTO DE MI NAS;mesorregiao;;46537.0;;;;;;media
MG;MUZAMBINHO;mesorregiao;;38405.0;1047.0;7544.0;5771.0;;;media
MG;NOVA RESENDE;mesorregiao;;37837.0;1468.0;7149.0;6331.0;;;media
MG;SOS SÃO SEBASTIÃO DO PARAIS;mesorregiao;;;;;;;;media
MG;SÃO TOMAS DE AQUINO;municipio;498.0;27053.0;399.0;5729.0;314.0;3036.0;23.0;media
MG;PLANALTO DE POÇOS DE CALDAS;mesorregiao;7885.0;291081.0;3669.0;34184.0;5598.0;36850.0;319.0;media
MG;ANDRADAS;municipio;;42616.0;1076.0;8346.0;6637.0;;;media
MG;BANDEIRA DO SUL;municipio;;4023.0;84.0;629.0;743.0;;;media
MG;BOTE LHOS;municipio;;32465.0;539.0;9805.0;362.0;;;media
MG;CALDAS;municipio;;;;;;;;media
MG;CAMPESTRE;mesorregiao;;51138.0;1082.0;8969.0;724.0;;;media
MG;IBITIURA DE MINAS;mesorregiao;;6161.0;257.0;1549.0;504.0;;;media
MG;IPUIUNA;mesorregiao;;23664.0;;;3352.0;;;media
MG;SANTA RITA DE CALDAS;mesorregiao;1410.0;46486.0;102.0;193.0;1164.0;6701.0;66.0;media
MG;PLANALTO MINEIRO;mesorregiao;;963939.0;13909.0;104995.0;129960.0;;;media
MG;ALBERTINA;municipio;;6014.0;248.0;1802.0;293.0;;;media
MG;BOM REPOUSO;microrregiao;;16704.0;29.0;22.0;2691.0;;;media
MG;BOROA DA MATA;microrregiao;;31095.0;480.0;1608.0;4668.0;;;media
MG;CACHOEIRA DE MINAS;microrregiao;521.0;87.0;27840.0;389.0;3284.0;765.0;5407.0;media
MG;CAMBUQUIRA;microrregiao;;20319.0;305.0;2880.0;2065.0;;;media
MG;CAMPANHA;microrregiao;;28672.0;314.0;3093.0;2882.0;;;media
MG;CAREAÇU;microrregiao;;16604.0;187.0;1464.0;2987.0;;;media
MG;CARMO DA CACHOEIRA;microrregiao;;43001.0;301.0;8146.0;4336.0;;;media
MG;CARMO DE MI NAS;microrregiao;526.0;363.0;29044.0;172.0;3353.0;302.0;3456.0;media
MG;CARVALHOPOLIS;microrregiao;;7886.0;265.0;1212.0;1324.0;;;media
MG;CAXAMBU;microrregiao;;8036.0;106.0;576.0;934.0;;;media
MG;CONCEIÇÃO DO RIO VERDE;microrregiao;530.0;357.0;27749.0;272.0;2923.0;300.0;3212.0;media
MG;CONGONHAL;microrregiao;;18152.0;93.0;231.0;3333.0;;;media
MG;CORDISLANDIA;microrregiao;;14896.0;103.0;1224.0;2216.0;;;media
MG;ESPIRITO SANTO DO DOURADO;microrregiao;534.0;867.0;24289.0;370.0;1390.0;579.0;2339.0;media
MG;ESTIVA;microrregiao;;22905.0;258.0;300.0;3889.0;;;media
MG;HELIOOORA;microrregiao;;14997.0;231.0;2704.0;2265.0;;;media
MG;INCONFIDENTES;microrregiao;;14095.0;364.0;1721.0;2005.0;;;media
MG;JACUTlNGA;microrregiao;;30908.0;550.0;5335.0;2585.0;;;media
MG;JESUANIA;microrregiao;;14801.0;200.0;1100.0;1437.0;;;media
