_uf;_label;_level;inform_bens;valor_bens_mil_cr;inform_investimentos;valor_investimentos_mil_cr;inform_financiamentos;valor_financiamentos_mil_cr;confianca
MG;PADRE PARA ISO;municipio;;88080.0;268.0;30.0;864.0;;media
MG;PEDRA AZUL;municipio;;630083.0;146.0;59.0;1838.0;;media
MG;VIRGEM DA LAPA;municipio;;179029.0;630.0;114.0;1705.0;;media
MG;PASTORIL OE ALMENARA;microrregiao;;7637175.0;3360.0;1194.0;21442.0;;media
MG;ALMENARA;municipio;;1471967.0;640.0;222.0;5600.0;;media
MG;BANDEIRA;municipio;;284001.0;123.0;15.0;232.0;;media
MG;FELISBURGO;municipio;;561866.0;142.0;43.0;1720.0;;media
MG;.JACINTO;municipio;;710882.0;329.0;164.0;2777.0;;media
MG;JEQUITINHONHA;municipio;;1114906.0;302.0;125.0;3194.0;;media
MG;.JOAIMA;municipio;;58851.0;385.0;110.0;2210.0;;media
MG;.JOROANIA;municipio;;544827.0;92.0;20.0;515.0;;media
MG;RIO DO PRADO;municipio;;594629.0;386.0;83.0;844.0;;media
MG;RUBIM;municipio;;571849.0;244.0;72.0;894.0;;media
MG;SAL TO DA DIVISA;municipio;;886267.0;87.0;18.0;566.0;;media
MG;SANTA MARIA;municipio;;126280.0;141.0;56.0;1077.0;;media
MG;SANTO ANTONIO DO .JACINTO;municipio;;181185.0;489.0;262.0;808.0;;media
MG;MINERADORA DE DIAMANTINA;microrregiao;;;14468.0;1741.0;24897.0;;media
MG;BERILO;municipio;;157611.0;45.0;198.0;1405.0;;media
MG;CAPELINHA;municipio;;665742.0;688.0;161.0;7731.0;;media
MG;CARBONITA;municipio;;725285.0;506.0;89.0;411.0;;media
MG;CHAPADA DO NORTE;municipio;;162658.0;1830.0;80.0;212.0;;media
MG;COUTO DE MAGALHÃES DE MI NAS;municipio;;34902.0;56.0;;77.0;;media
MG;DATAS;municipio;;13546.0;73.0;;;;media
MG;DIAMANTINA;municipio;;248211.0;560.0;54.0;3905.0;;media
MG;FELICIO DOS SANTOS;municipio;;31436.0;545.0;119.0;613.0;;media
MG;FELISBERTO CALDEIRA;municipio;;20368.0;98.0;19.0;298.0;;media
MG;FRANCISCO BADARO;municipio;;161968.0;1721.0;238.0;812.0;;media
MG;GOUVEA;municipio;;113648.0;354.0;12.0;129.0;;media
MG;IT AMARAND I BA;municipio;;446107.0;1310.0;154.0;1783.0;;media
MG;MINAS NOVAS;municipio;;428435.0;207.0;146.0;1008.0;;media
MG;PASTORIL OE NANUOUE;microrregiao;5393.0;;217797.0;8643.0;;;media
MG;AGUAS FORMOSAS;municipio;724.0;94561.0;448.0;25460.0;72.0;2737.0;media
MG;ATALEIA;municipio;1230.0;;23616.0;571.0;;;media
MG;BERTOPOLIS;municipio;496.0;;9728.0;499.0;;;media
MG;CARLOS CHAGAS;municipio;1090.0;;73212.0;3541.0;;;media
MG;FRONTEIRA DOS VALES;municipio;207.0;;2574.0;15.0;;;media
MG;MACHACAL IS;municipio;154.0;;5869.0;215.0;;;media
MG;NANUQUE;municipio;450.0;;56620.0;611.0;;;media
MG;OURO VERDE OE MINAS;municipio;796.0;101.0;464.0;3449.0;10.0;289.0;media
MG;SERRA DOS AI MORES;municipio;146.0;;9955.0;110.0;;;media
MG;UMBURATIBA;municipio;100.0;;7310.0;53.0;;;media
MG;CENTRO-OESTE MINEIRO;mesorregiao;30449.0;;837630.0;245248.0;;;media
MG;MEDI O RIO DAS VELHAS;microrregiao;5574.0;;109302.0;40987.0;;;media
MG;AUGUSTO OE LIMA;municipio;401.0;;5084.0;611.0;;;media
MG;BUENOPOLIS;municipio;481.0;;3714.0;532.0;;;media
MG;CORINTO;municipio;742.0;;8273.0;8582.0;;;media
MG;CURVE LO;municipio;1247.0;;30430.0;1821.0;;;media
MG;INIMUTABA;municipio;296.0;;4229.0;5355.0;;;media
MG;.JOAQUIM FELICIO;municipio;340.0;;1532.0;261.0;;;media
MG;LASSANCE;municipio;391.0;;22462.0;3915.0;;;media
MG;MONJOLOS;municipio;262.0;;1414.0;431.0;;;media
MG;MORRO DA GARÇA;municipio;253.0;;3990.0;945.0;;;media
MG;PRESIDENTE .JUSCELINO;municipio;372.0;;2554.0;584.0;;;media
MG;SANTO HIPOL(TO;municipio;235.0;;2101.0;207.0;;;media
MG;VARZEA DA PALMA;municipio;554.0;;23513.0;17736.0;;;media
MG;Al TO PARANAIBA, B;microrregiao;8167.0;;358992.0;112.0;;;media
MG;ABADIA DOS DOURADOS;municipio;719.0;;18014.0;1614.0;;;media
MG;CASCALHO RICO;municipio;275.0;;14487.0;666.0;;;media
MG;COROMANDEL;municipio;1445.0;;61814.0;29456.0;;;media
MG;DOURADOQUARA;municipio;233.0;;3445.0;416.0;;;media
MG;ESTRELA DO SUL;municipio;491.0;;22138.0;3896.0;;;media
MG;GRUPIARA;municipio;99.0;;2534.0;138.0;;;media
MG;INDIANOPOLIS;municipio;400.0;;20133.0;6874.0;;;media
MG;MONTE CARMELO;municipio;896.0;1969454.0;618.0;47828.0;165.0;;media
MG;PATROCINIO;municipio;2738.0;;107489.0;22022.0;;;media
MG;ROMARIA;municipio;136.0;;23259.0;9142.0;;;media
MG;SERRA DO SALITRE;municipio;550.0;;32830.0;8102.0;;;media
MG;MATA DA CORDA;microrregiao;12158.0;;263616.0;75360.0;;;media
MG;ARAPUA;municipio;371.0;;5092.0;301.0;;;media
MG;ABAETE;municipio;;24969.0;598.0;84.0;1321.0;;media
MG;BIOUINHAS;municipio;;192432.0;252.0;68.0;833.0;;media
MG;CEDRO;municipio;;68157.0;45.0;13.0;169.0;;media
MG;FELIXLANOIA;municipio;;566713.0;335.0;43.0;1679.0;;media
MG;MARTINHO CAMPOS;municipio;;805046.0;255.0;61.0;1226.0;;media
MG;MORADA NOVA OE MINAS;municipio;;470618.0;165.0;23.0;2701.0;;media
MG;PAINEIRAS;municipio;;302827.0;315.0;69.0;2480.0;;media
MG;POMPEU;municipio;;1329000.0;546.0;126.0;4177.0;;media
MG;QUARTEL GERAL;municipio;;319437.0;222.0;42.0;721.0;;media
MG;TRES MARIAS;municipio;;341266.0;195.0;16.0;1576.0;;media
MG;TRIANGULO MINEIRO;mesorregiao;;50499550.0;14165.0;4946.0;323749.0;;media
MG;UBERLANOIA;microrregiao;;22406840.0;6235.0;1992.0;163103.0;;media
MG;ARAGUARI;municipio;;3727283.0;954.0;236.0;26728.0;;media
MG;CACHOEIRA DOURADA;municipio;;256788.0;32.0;42.0;1989.0;;media
MG;CANAPOLIS;municipio;;765585.0;205.0;182.0;11312.0;;media
MG;CAPINOPOLIS;municipio;;854379.0;162.0;187.0;14343.0;;media
MG;CENTRAL I NA;municipio;;256658.0;63.0;112.0;953.0;;media
MG;GURINHATÃ;municipio;;1615240.0;731.0;121.0;363.0;;media
MG;IPIAÇU;municipio;;627859.0;97.0;57.0;344.0;;media
MG;ITUIUTABA;municipio;;2592009.0;849.0;243.0;11678.0;;media
MG;MONTE ALEGRE OE MINAS;municipio;;2060964.0;1253.0;332.0;23406.0;;media
MG;SANTA VITORIA;municipio;;3542893.0;;114.0;5260.0;;media
MG;TUPACIGUARA;municipio;;1801905.0;638.0;247.0;29466.0;;media
MG;UBERLANOIA;municipio;;4305272.0;767.0;119.0;30255.0;;media
MG;PONTAL DO TRIANGULO MINEIRO;microrregiao;;18389080.0;84.0;2222.0;98295.0;;media
MG;CAMPINA VERDE;municipio;;2955731.0;1158.0;259.0;878.0;;media
MG;COMENDADOR GOMES;municipio;;735836.0;300.0;88.0;3138.0;;media
MG;FRONTEIRA;municipio;;208477.0;1.0;26.0;6773.0;;media
MG;FRUTAL;municipio;;2629909.0;956.0;452.0;22635.0;;media
MG;ITAPAGIPE;municipio;;1755164.0;934.0;311.0;7939.0;;media
MG;ITURAMA;municipio;;930840.0;1199.0;654.0;31789.0;;media
MG;PIRAJUBA;municipio;;360382.0;99.0;108.0;4594.0;;media
MG;PLANURA;municipio;;320337.0;38.0;64.0;5893.0;;media
MG;PRATA;municipio;;550007.0;892.0;170.0;678.0;;media
MG;SÃO FRANCISCO OE SALES;municipio;;942392.0;367.0;90.0;2972.0;;media
MG;UBERABA;microrregiao;;703630.0;1846.0;732.0;62350.0;;media
MG;AGUA COMPRIDA;municipio;;405801.0;84.0;100.0;8597.0;;media
MG;CAMPO FLORIDO;municipio;;1101417.0;254.0;86.0;9580.0;;media
MG;CONCEIÇÃO DAS ALAGOAS;municipio;;1330510.0;488.0;270.0;23846.0;;media
MG;COtlOUISTA;municipio;;798557.0;153.0;56.0;7015.0;;media
MG;UBERABA;municipio;;4819084.0;716.0;184.0;12154.0;;media
MG;VERISSIMO;municipio;;1078258.0;151.0;26.0;1146.0;;media
MG;MATA E RIO DOCE MINEIRO;mesorregiao;;;;66006.0;1243442.0;11922.0;media
MG;BACIA;microrregiao;;;;9636.0;153839.0;;media
MG;AÇUCENA;municipio;;;;532.0;12864.0;;media
MG;AGUA BOA;municipio;;;;546.0;13469.0;;media
MG;ALVORADA OE MINAS;municipio;243.0;85662.0;185.0;2738.0;340.0;;media
MG;BELO ORIENTE;municipio;;;;251.0;7310.0;;media
MG;BRAUNAS;municipio;;;;199.0;2054.0;;media
MG;CARMESIA;municipio;;;;31.0;405.0;;media
MG;COLUNA;municipio;;;;357.0;2843.0;;media
MG;DIVINOLANDIA DE MINAS;municipio;;;;186.0;1450.0;;media
MG;DOM JOAQUIM;municipio;;;;86.0;863.0;;media
MG;DORES OE GUANHÂES;municipio;217.0;90874.0;129.0;1765.0;708.0;;media
MG;GONZAGA;municipio;;;;287.0;1821.0;;media
MG;GUANHÂES;municipio;;;;274.0;4787.0;;media
MG;JOANESIA;municipio;;;;172.0;778.0;;media
MG;MATERLANDIA;municipio;;;;161.0;1911.0;;media
MG;MESQUITA;municipio;;;;753.0;11570.0;;media
MG;PAULISTAS;municipio;;;;230.0;1028.0;;media
MG;PEÇANHA;municipio;;;;567.0;19178.0;;media
MG;RIO VERMELHO;municipio;;;;637.0;8569.0;;media
MG;SABINOPOLIS;municipio;;;;421.0;16975.0;;media
MG;SANTA MARIA;municipio;;;;8.0;14053.0;;media
MG;SANTO ANTONIO;municipio;;;;344.0;1179.0;;media
MG;SÃO JOÃO EVANGELISTA;municipio;963.0;261180.0;446.0;5704.0;49.0;1068.0;media
MG;SÃO JOSE;municipio;0.0;;;333.0;284.0;;media
MG;SÃO PEDRO DO SUAÇUI;municipio;540.0;45437.0;333.0;2748.0;327.0;;media
MG;SÃO SEBASTIÃO DO MARANHÃO;municipio;;;;809.0;4334.0;;media
MG;SENHORA;municipio;331.0;128686.0;210.0;3080.0;15.0;84.0;media
MG;SERRA AZUL OE MINAS;municipio;173.0;161.0;2747.0;18.0;138.0;;media
MG;VIRGINOPOLIS;municipio;;;;148.0;5320.0;;media
MG;GOVERNADOR VALADARES;microrregiao;7319.0;7497097.0;4252.0;141407.0;327.0;7257.0;media
MG;ALPERCATA;municipio;;;;166.0;12696.0;;media
MG;CAMPANARIO;municipio;444.0;685.0;251.0;11655.0;19.0;208.0;media
MG;COROACI;municipio;;;;367.0;3782.0;;media
MG;FREI INOCENCIO;municipio;;;;88.0;7814.0;;media
MG;GOVERNADOR VALADARES;municipio;1677.0;2152935.0;970.0;54408.0;42.0;2519.0;media
MG;ITAMBACURI;municipio;1060.0;933.0;704.0;14082.0;42.0;1203.0;media
MG;MARILAC;municipio;;;;107.0;3390.0;;media
MG;NACIP RAYOAN;municipio;;;;257.0;3854.0;;media
MG;NOVA MODICA;municipio;;;;268.0;5146.0;;media
MG;PESCADOR;municipio;;;;131.0;7365.0;;media
MG;SANTA EFIGENIA OE MINAS;municipio;;;;64.0;495.0;;media
MG;SÃO GERALDO DA PI EOADE;municipio;;;;177.0;2619.0;;media
MG;SÃO JOSE DA SAFIRA;municipio;71.0;94201.0;28.0;1258.0;71.0;;media
MG;SÃO JOSE DO DIVINO;municipio;238.0;269934.0;155.0;4761.0;13.0;;media
MG;SARDOA;municipio;;;;116.0;996.0;;media
MG;VILA MATIAS;municipio;;;;44.0;4694.0;;media
MG;VIRGOLANDIA;municipio;;;;359.0;2384.0;;media
MG;MANTENA;microrregiao;;;;2029.0;43873.0;;media
MG;CENTRAL DE MINAS;municipio;438.0;191532.0;156.0;3658.0;25.0;163.0;media
MG;ITABIRINHA OE MANTENA;municipio;633.0;188710.0;309.0;4743.0;62.0;465.0;media
MG;MANTENA;municipio;;;;1091.0;28853.0;;media
MG;MENDES PIMENTEL;municipio;;;;473.0;6617.0;;media
MG;MATA DE CARATINGA;microrregiao;;13968.0;;135670.0;1220.0;;media
MG;BOM JESUS;microrregiao;1404.0;531973.0;721.0;9010.0;169.0;3002.0;media
MG;CARATINGA;microrregiao;;5277.0;;62119.0;;;media
MG;CORREGO NOVO;microrregiao;;314.0;;6461.0;;;media
MG;DOM CAVATI;microrregiao;;169.0;;1396.0;17.0;;media
MG;ENGENHEIRO CALDAS;microrregiao;357.0;209291.0;257.0;3571.0;14.0;380.0;media
MG;FERNANDES TOURINHO;microrregiao;228.0;111975.0;102.0;4552.0;;;media
MG;IAPU;microrregiao;;907.0;;7390.0;132.0;;media
MG;INHAPIM;microrregiao;;2569.0;;23011.0;305.0;;media
MG;SÃO JOÃO;microrregiao;503.0;167294.0;382.0;3735.0;80.0;565.0;media
MG;SOBRAL IA;microrregiao;;442.0;;5277.0;18.0;;media
MG;TARUMIRIM;microrregiao;;1798.0;;9141.0;155.0;;media
MG;BACIA;microrregiao;;13364.0;;213757.0;1119.0;;media
MG;AIW JRES;microrregiao;;1257.0;;24378.0;107.0;;media
MG;ALVARENGA;microrregiao;;711.0;;1685.0;25.0;;media
MG;CONCEIÇÃO OE IPANEMA;microrregiao;530.0;237347.0;202.0;2100.0;39.0;285.0;media
MG;CONSELHEIRO PENA;microrregiao;1584.0;1574588.0;769.0;26413.0;146.0;1643.0;media
MG;DIVINO DAS LARANJEIRAS;microrregiao;260.0;336898.0;148.0;11058.0;44.0;;media
MG;GALILEIA;microrregiao;;690.0;;33447.0;53.0;;media
MG;IPANEMA;microrregiao;;1249.0;;13631.0;80.0;;media
MG;ITANHOMI;microrregiao;;1598.0;;20304.0;172.0;;media
MG;ITUETA;microrregiao;;625.0;;6647.0;28.0;;media
MG;MUTUM;microrregiao;;2232.0;;20032.0;262.0;;media
MG;POCRANE;microrregiao;;1068.0;;12822.0;86.0;;media
MG;RESPLENDOR;microrregiao;;897.0;;20592.0;48.0;;media
MG;SANTA RITA;microrregiao;359.0;389023.0;335.0;7480.0;62.0;2122.0;media
MG;TUMIRITINGA;microrregiao;;304.0;;13162.0;;;media
MG;MATA DE PONTE NOVA;microrregiao;12387.0;6015685.0;6225.0;106288.0;675.0;71743.0;media
MG;ABRE CAMPO;microrregiao;;1727.0;;13356.0;339.0;;media
MG;ACAIACA;microrregiao;;258.0;;757.0;;;media
MG;AMPARO DO SERRA;microrregiao;383.0;170531.0;196.0;3961.0;54.0;1801.0;media
MG;BARRA LONGA;microrregiao;;943.0;;6848.0;51.0;;media
MG;DIOGO OE VASCONCELOS;microrregiao;421.0;56425.0;185.0;619.0;2.0;;media
MG;DOM SILVERIO;microrregiao;;810.0;;8591.0;31.0;;media
MG;JEQUERI;microrregiao;;1433.0;;7086.0;341.0;;media
MG;PIEDADE DE PONTE NOVA;microrregiao;154.0;178559.0;89.0;2725.0;56.0;3920.0;media
MG;PONTE NOVA;microrregiao;;885.0;;10928.0;125.0;;media
MG;RAUL SOARES;microrregiao;;2684.0;;22148.0;276.0;;media
MG;RIO CASCA;microrregiao;;396.0;;9536.0;50.0;;media
MG;RIO DOCE;microrregiao;;142.0;;983.0;;;media
MG;SANTA CRUZ DO ESCALVADO;microrregiao;724.0;298399.0;248.0;5812.0;67.0;1665.0;media
MG;SANTO ANTONIO DO GRAMA;microrregiao;229.0;164797.0;128.0;3639.0;46.0;39210.0;media
MG;SÃO PEDRO DOS FERROS;microrregiao;323.0;472485.0;148.0;4014.0;29.0;2300.0;media
MG;SERICITA;microrregiao;;597.0;;3028.0;84.0;;media
MG;URUCANIA;microrregiao;;278.0;;2250.0;112.0;;media
MG;VERTENTE OCIDENTAL DO CAPARAO;microrregiao;13670.0;10071008.0;66505.0;2872.0;55355.0;;media
MG;CAIANA;microrregiao;;259.0;;6430.0;75.0;;media
MG;CAPARAO;microrregiao;;393.0;;4341.0;106.0;;media
MG;CAPUTIRA;microrregiao;;628.0;;3706.0;152.0;;media
MG;CHALE;microrregiao;;402.0;;3733.0;56.0;;media
MG;DIVINO;microrregiao;;84.0;;23694.0;;;media
MG;ESPERA FELIZ;microrregiao;;469.0;;19017.0;124.0;;media
MG;LAJINHA;microrregiao;;821.0;;10553.0;242.0;;media
MG;MANHUAÇU;microrregiao;;3288.0;;38460.0;621.0;;media
MG;MANHUMIRIM;microrregiao;;1020.0;;12688.0;340.0;;media
MG;MA TIPO;microrregiao;;546.0;;7633.0;120.0;;media
MG;ALTO RIO DOCE;microrregiao;1901.0;315.0;603.0;1733.0;45.0;382.0;media
MG;ARAPONGA;microrregiao;;717.0;;346.0;6165.0;99.0;media
MG;BRAS PIRES;microrregiao;;573.0;;97.0;1748.0;51.0;media
MG;CAJURI;microrregiao;;278.0;;153.0;1206.0;45.0;media
MG;CANAÃ;microrregiao;;530.0;;190.0;2673.0;67.0;media
MG;CIPOTANEA;microrregiao;863.0;69694.0;344.0;62.0;;;media
MG;COIMBRA;microrregiao;;474.0;;231.0;2674.0;21.0;media
MG;DORES DO TURVO;microrregiao;558.0;178147.0;159.0;1430.0;17.0;829.0;media
MG;ERVALIA;microrregiao;;1303.0;;620.0;6691.0;118.0;media
MG;GUARAC I ABA;microrregiao;;971.0;;448.0;4286.0;39.0;media
MG;LAMIM;microrregiao;;425.0;;161.0;425.0;16.0;media
MG;PAULA CANDIDO;microrregiao;;758.0;;413.0;3907.0;35.0;media
MG;PEDRA DO ANTA;microrregiao;396.0;146169.0;340.0;3982.0;44.0;112.0;media
MG;PIRANGA z;microrregiao;241087.0;1126.0;6380.0;59.0;701.0;;media
MG;PORTO FIRME;microrregiao;1178.0;18731.0;631.0;5996.0;138.0;1202.0;media
MG;PRESIDENTE BERNARDES;microrregiao;839.0;123907.0;431.0;44.0;235.0;;media
MG;RIO ESPERA;microrregiao;;634.0;;441.0;1600.0;17.0;media
MG;SÃO MIGUEL DO ANTA;microrregiao;655.0;190331.0;342.0;417.0;46.0;464.0;media
MG;SENADOR FIRMINO;microrregiao;;804.0;;408.0;409.0;56.0;media
MG;SENHORA DE OLIVEIRA;microrregiao;463.0;82464.0;209.0;766.0;54.0;449.0;media
MG;TEIXEIRAS;microrregiao;;728.0;;472.0;4169.0;53.0;media
MG;VIÇOSA;microrregiao;;935.0;;443.0;4595.0;89.0;media
MG;MATA;mesorregiao;;9024.0;;5249.0;95477.0;1167.0;media
MG;ANTONIO PRADO DE MINAS;microrregiao;206.0;76040.0;105.0;1754.0;20.0;194.0;media
MG;BARÃO DE MONTE ALTO;microrregiao;387.0;328062.0;162.0;3369.0;84.0;1421.0;media
MG;CARANGOLA;microrregiao;;1894.0;;1231.0;22277.0;184.0;media
MG;EUGENOPOLIS;microrregiao;15.0;764.0;;419.0;5556.0;146.0;media
MG;FARIA LEMOS;microrregiao;;235.0;;203.0;3849.0;25.0;media
MG;MIRADOURO;microrregiao;;750.0;;469.0;5960.0;129.0;media
MG;MIRAI;microrregiao;;1183.0;;694.0;11433.0;176.0;media
MG;MURIAE z;microrregiao;1390547.0;20.0;20440.0;210.0;;;media
MG;PATROCINIO;microrregiao;300.0;120779.0;205.0;49.0;;;media
MG;PEDRA DOURADA;microrregiao;;113.0;;77.0;2074.0;11.0;media
MG;SÃO FRANCISCO DO GLORIA;microrregiao;340.0;381569.0;179.0;9641.0;21.0;218.0;media
MG;TOMBOS;microrregiao;;486.0;;291.0;3240.0;43.0;media
MG;VIEIRAS;microrregiao;;300.0;;194.0;3201.0;69.0;media
MG;MATA DE UBA;mesorregiao;;9471.0;;4312.0;54895.0;492.0;media
MG;ASTOLFO OUTRA;microrregiao;;453.0;;288.0;4025.0;35.0;media
MG;DIVINESIA;microrregiao;;275.0;;191.0;2031.0;;media
MG;GUARANI;microrregiao;;493.0;;255.0;2753.0;34.0;media
MG;GUIOOVAL;microrregiao;568.0;150187.0;270.0;14.0;1318.0;;media
MG;GUIRICEMA;microrregiao;;1135.0;;554.0;4456.0;52.0;media
MG;PIAU;microrregiao;;424.0;;164.0;1562.0;;media
MG;P(RAUBA;microrregiao;;551.0;;165.0;2415.0;32.0;media
MG;RIO NOVO;microrregiao;;541.0;;215.0;4856.0;13.0;media
MG;RIO POMBA;microrregiao;;669.0;;347.0;4075.0;62.0;media
MG;RODE IRO;microrregiao;;201.0;;88.0;419.0;;media
MG;SÃO GERALDO;microrregiao;;581.0;;153.0;1038.0;15.0;media
MG;SILVEIRANIA;microrregiao;;231.0;;122.0;1549.0;22.0;media
MG;TABULEIRO;microrregiao;;518.0;;175.0;4289.0;15.0;media
MG;TOCANTINS;microrregiao;;797.0;;387.0;2556.0;67.0;media
MG;SUDOESTE MINEIRO;mesorregiao;;148501944.0;76786.0;18064.0;717632.0;;media
MG;PLANALTO DE ARAXA;microrregiao;;10922664.0;4042.0;1022.0;71952.0;;media
MG;ARAXA;municipio;;1506241.0;340.0;40.0;922.0;;media
MG;CAMPOS ALTOS;municipio;;792742.0;202.0;69.0;8786.0;;media
MG;IBIA;municipio;;1480622.0;396.0;150.0;10063.0;;media
MG;IRAI DE MINAS;municipio;;319071.0;282.0;35.0;2169.0;;media
MG;NOVA PONTE;municipio;;1034894.0;394.0;62.0;12243.0;;media
MG;PEDRINOPOLIS;municipio;;239532.0;235.0;33.0;4383.0;;media
MG;PERDIZES;municipio;;2121805.0;768.0;224.0;10289.0;;media
MG;PRATINHA;municipio;;208255.0;196.0;14.0;247.0;;media
MG;SACRAMENTO;municipio;;1903012.0;689.0;228.0;9250.0;;media
MG;SANTA JULIANA;municipio;;571416.0;393.0;111.0;12039.0;;media
MG;TAPIRA;municipio;;745070.0;147.0;56.0;1557.0;;media
MG;ALTO SÃO FRANCISCO;microrregiao;;15211654.0;9619.0;1709.0;64392.0;;media
MG;ARAUJOS;municipio;;241483.0;245.0;35.0;503.0;;media
MG;ARCOS;municipio;;597864.0;437.0;63.0;1273.0;;media
MG;BAMBU(;municipio;;1367569.0;;;;;media
MG;BOM DESPACHO;municipio;;1325564.0;568.0;107.0;14561.0;;media
MG;CONCEIÇÃO DO PARA;municipio;;175172.0;177.0;12.0;157.0;;media
MG;CORREGO DANTA;municipio;;447781.0;389.0;91.0;1636.0;;media
MG;DORES DO INOAIA;municipio;;947875.0;316.0;70.0;1629.0;;media
MG;DORESOPOLIS;municipio;;223587.0;158.0;16.0;440.0;;media
MG;ESTRELA DO INOAIA;municipio;;263604.0;128.0;37.0;664.0;;media
MG;IGUATAMA;municipio;;736058.0;261.0;82.0;1486.0;;media
MG;JAPARAIBA;municipio;;134198.0;123.0;34.0;316.0;;media
MG;LAGOA DA PRATA;municipio;;528831.0;178.0;49.0;3000.0;;media
MG;LEANDRO FERREIRA;municipio;;239737.0;243.0;43.0;690.0;;media
MG;MEDEIROS;municipio;;410666.0;193.0;58.0;1505.0;;media
MG;MOEMA;municipio;;226442.0;110.0;36.0;307.0;;media
MG;NOVA SERRANA;municipio;;303799.0;206.0;;38.0;;media
MG;PAINS;municipio;;604062.0;295.0;77.0;438.0;;media
MG;PERDIGÃO;municipio;;154164.0;298.0;10.0;168.0;;media
MG;PIMENTA;municipio;;459751.0;329.0;62.0;1460.0;;media
MG;PITANGUI;municipio;;361873.0;268.0;39.0;643.0;;media
MG;PIUI;municipio;;1712019.0;896.0;136.0;3810.0;;media
MG;SÃNT A ROSA DA SERRA;municipio;;249931.0;266.0;83.0;4841.0;;media
MG;SANTO ANTONIO DO MONTE;municipio;;934024.0;1119.0;164.0;2301.0;;media
MG;SÃO ROQUE DE MI NAS;municipio;;689706.0;833.0;62.0;1281.0;;media
MG;SERRA DA SAUDADE;municipio;;117342.0;81.0;;22.0;;media
MG;ALFENAS;municipio;;;;63683.0;86.0;15592.0;media
MG;ALPINOPOLIS;municipio;;;;21073.0;197.0;2907.0;media
MG;ALTEROSA;municipio;;;;16033.0;84.0;950.0;media
MG;AREADO;municipio;;;;16355.0;47.0;1818.0;media
MG;BOA ESPERANÇA;municipio;;;;35551.0;280.0;17849.0;media
MG;CAMPO DO MEIO;municipio;;;;10716.0;53.0;5295.0;media
MG;CAMPOS GERAIS;municipio;;;;31973.0;409.0;20948.0;media
MG;CAPITOLIO;municipio;;;;10070.0;77.0;14096.0;media
MG;CARMO DO RIO CLARO;municipio;;;;28854.0;187.0;6298.0;media
MG;CASSIA;municipio;;;;39499.0;271.0;7496.0;media
MG;CONCEIÇÃO DA APARECIDA;municipio;;;;14943.0;142.0;3393.0;media
MG;COQUEIRAL;municipio;;;;14350.0;186.0;6308.0;media
MG;OELFINOPOLIS;municipio;;;;16894.0;104.0;4042.0;media
MG;DIVISA NOVA;municipio;;;;11654.0;39.0;1697.0;media
MG;ELOI MENDES;municipio;;;;16828.0;217.0;5028.0;media
MG;FAMA;municipio;;;;3029.0;32.0;1650.0;media
MG;GUAPE;municipio;;;;23164.0;239.0;3668.0;media
MG;ILICINEA;municipio;;;;15191.0;148.0;5475.0;media
MG;MACHADO;municipio;;;;47095.0;243.0;11813.0;media
MG;NEPOMUCENO;municipio;;;;29560.0;309.0;10712.0;media
MG;PARAGUAÇU;municipio;;;;16272.0;162.0;6392.0;media
MG;PASSOS;municipio;;;;45455.0;473.0;23086.0;media
MG;PRATAPOLIS;municipio;;;;10237.0;138.0;2121.0;media
MG;SANTANA DA VARGEM;municipio;;;;8912.0;146.0;7402.0;media
MG;SÃO .JOÃO BATISTA DO GLORIA;municipio;;;;13791.0;46.0;724.0;media
MG;SERRANIA;municipio;;;;10888.0;41.0;3818.0;media
MG;TRES PONTAS;municipio;;;;36265.0;405.0;30088.0;media
MG;VARGINHA;municipio;;;;11626.0;92.0;5891.0;media
MG;FORMIGA;microrregiao;;;;258469.0;1806.0;60172.0;media
MG;AGUANIL;municipio;;;;7694.0;43.0;563.0;media
MG;BOM SUCESSO;municipio;;;;25459.0;97.0;13273.0;media
MG;CAMACHO;municipio;;;;3251.0;41.0;333.0;media
MG;CAMPO BELO;municipio;;;;21462.0;140.0;3291.0;media
MG;CANA VERDE;municipio;;;;4891.0;69.0;1387.0;media
MG;CANDEIAS;municipio;;;;18863.0;137.0;3561.0;media
MG;CARMO DA MATA;municipio;;;;12878.0;35.0;4711.0;media
MG;CARMOPOLIS DE MINAS;municipio;;;;4711.0;130.0;2561.0;media
MG;CLAUDIO;municipio;;;;7983.0;40.0;4730.0;media
MG;CRISTAIS;municipio;;;;17287.0;195.0;3103.0;media
MG;FORMIGA;municipio;;;;;;;media
MG;IBITURUNA;municipio;;;;11380.0;43.0;2391.0;media
MG;lTAGUARA;municipio;;;;9225.0;68.0;383.0;media
MG;ITAPECERICA;municipio;;;;13830.0;92.0;1537.0;media
MG;OLIVEIRA;municipio;;;;9788.0;33.0;2973.0;media
MG;PASSA TEMPO;municipio;;;;5626.0;24.0;154.0;media
MG;PEDRA;municipio;;;;5189.0;21.0;230.0;media
MG;PERDÕES;municipio;;;;9299.0;126.0;2441.0;media
MG;PIRACEMA;municipio;;;;7969.0;62.0;412.0;media
MG;RIBEIRÃO VERMELHO;municipio;;;;1043.0;;67.0;media
MG;SANTANA DO JACARE;municipio;;;;116.0;12.0;94.0;media
MG;SANTO ANTONIO DO AMPARO;municipio;;;;17383.0;81.0;5835.0;media
MG;SÃO FRANCISCO DE PAULA;municipio;;;;41431.0;32.0;1469.0;media
