_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;val_9;confianca
AC;TOTAIS;total;3097.0;3470.0;60645.0;54.0;61.0;1242.0;135.0;153.0;5133.0;alta
AC;ACRE;mesorregiao;3097.0;3470.0;60645.0;54.0;61.0;1242.0;135.0;153.0;5133.0;alta
AC;ALTO JURUA;microrregiao;175.0;195.0;9790.0;;;234.0;;;;alta
AC;CRUZEIRO DO SUL;municipio;27.0;28.0;657.0;;;229.0;;;;alta
AC;FEIJO;municipio;43.0;50.0;6365.0;;;;;;;alta
AC;MANCIO LIMA;municipio;;;1135.0;;;;;;;alta
AC;TARAUACA;municipio;101.0;110.0;1633.0;;;;;;;alta
AC;ALTO PURUS;microrregiao;2922.0;3275.0;50855.0;46.0;53.0;1008.0;135.0;153.0;5133.0;alta
AC;ASSIS BRASIL;municipio;;;34.0;;;;;;;alta
AC;BRASILEIA;municipio;599.0;661.0;8022.0;;;;;;;alta
AC;MANOEL URBANO;municipio;22.0;27.0;2005.0;;;;;;;alta
AC;PLACIDO OE CASTRO;municipio;581.0;724.0;6595.0;;;144.0;72.0;90.0;866.0;alta
AC;SENADOR GUIOMARO;municipio;269.0;291.0;5046.0;;10.0;240.0;;;315.0;alta
AC;SENA MADUREIRA;municipio;123.0;137.0;1550.0;18.0;20.0;333.0;30.0;30.0;1034.0;alta
AC;XAPURI;municipio;679.0;714.0;13658.0;;;94.0;29.0;29.0;900.0;alta
AC;INCLUSIVE os SEM DECLARAÇÃO OE CAPACIDADE;municipio;;;;;;;;;;alta
AL;TOTAIS;total;808.0;1032.0;54307.0;539.0;707.0;69603.0;979.0;113.0;101322.0;media
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;776.0;993.0;51238.0;504.0;664.0;62860.0;350.0;422.0;43515.0;media
AL;SERTÃO ALAGOANO;microrregiao;84.0;88.0;4124.0;7.0;1317.0;3484.0;56.0;63.0;6744.0;media
AL;AGUA BRANCA;municipio;;10.0;132.0;25.0;32.0;1115.0;;;80.0;media
AL;CANAPI;municipio;;;115.0;29.0;32.0;580.0;35.0;42.0;5875.0;media
AL;DELMIRO GOUVEIA;municipio;;;70.0;;;45.0;;;246.0;media
AL;INHAPI;municipio;;;;;;15.0;;;;media
AL;MATA GRANDE;municipio;41.0;43.0;780.0;29.0;34.0;221.0;14.0;14.0;318.0;media
AL;OLHO;municipio;;;85.0;;14.0;301.0;;;;media
AL;PIRANHAS;municipio;28.0;29.0;2942.0;19.0;19.0;1207.0;;;225.0;media
AL;BATALHA;microrregiao;351.0;436.0;23247.0;260.0;357.0;43577.0;137.0;190.0;17371.0;media
AL;BATALHA;municipio;57.0;90.0;5553.0;;13.0;318.0;39.0;60.0;145.0;media
AL;BELO MONTE;municipio;36.0;64.0;7706.0;;;;;;120.0;media
AL;CARNEIROS;municipio;;;392.0;62.0;69.0;3044.0;;;;media
AL;DOIS RIACHOS;municipio;32.0;33.0;881.0;5.0;;531.0;;;175.0;media
AL;.JACARE DOS HOMENS;municipio;;;700.0;;;60.0;;;;media
AL;.JARAMATAIA;municipio;;2.0;400.0;;;110.0;;;;media
AL;MA JOR ISIDORO;municipio;;;820.0;;;50.0;;;768.0;media
AL;MARAVILHA;municipio;29.0;29.0;465.0;;;;;;;media
AL;MONTEIROPOLIS;municipio;;;22.0;;;1105.0;;;1682.0;media
AL;OLHO D' AGUA DAS FLORES;municipio;;;63.0;;;40.0;;;;media
AL;OLIVENÇA;municipio;16.0;16.0;920.0;31.0;101.0;34368.0;;;;media
AL;OURO BRANCO;municipio;21.0;24.0;486.0;25.0;25.0;531.0;;;262.0;media
AL;PALESTINA;municipio;;;;;;;;;;media
AL;PÃO DE AÇUCAR;municipio;12.0;23.0;1647.0;;;890.0;50.0;68.0;11018.0;media
AL;POÇO DAS TRINCHEIRAS;municipio;;;54.0;19.0;19.0;406.0;;;310.0;media
AL;SANTANA DO IPANEMA;municipio;;;242.0;75.0;79.0;1384.0;;;415.0;media
AL;SÃO JOSE DA TAPERA;municipio;62.0;63.0;1762.0;;;346.0;15.0;20.0;1390.0;media
AL;SENADOR RUI PALMEIRA;municipio;40.0;42.0;1134.0;16.0;18.0;389.0;;;80.0;media
AL;PALMEIRA DOS INOIOS;microrregiao;158.0;218.0;7020.0;26.0;48.0;9377.0;14.0;17.0;;media
AL;CACIMBINHAS;municipio;;17.0;437.0;;;;;;600.0;media
AL;IGACI;municipio;64.0;99.0;4619.0;;14.0;700.0;;;623.0;media
AL;MARIBONOO;municipio;;2.0;50.0;;;;;;;media
AL;MAR VERMELHO;municipio;;;;;;;;;;media
AL;MINADOR DO NEGRÃO;municipio;;13.0;210.0;;;60.0;;;10.0;media
AL;PALMEIRA DOS INOIOS;municipio;12.0;15.0;740.0;12.0;25.0;8554.0;;;491.0;media
AL;PAULO .JACINTO;municipio;;;58.0;;;;;;102.0;media
AL;QUEBRANGULO;municipio;18.0;21.0;640.0;;;58.0;;;;media
AL;TANQUE;municipio;;;;;;;;;60.0;media
AL;ARAPIRACA;microrregiao;177.0;242.0;16320.0;94.0;115.0;6223.0;133.0;141.0;15960.0;media
AL;ANADIA;municipio;;;;;;;;;30.0;media
AL;ARAPIRACA;municipio;;;127.0;14.0;28.0;2365.0;3.0;;1390.0;media
AL;COITE DO NOIA;municipio;13.0;29.0;686.0;;;;;;;media
AL;CRAIBAS;municipio;;15.0;787.0;;;10.0;;;95.0;media
AL;FEIRA GRANDE;municipio;38.0;41.0;834.0;53.0;56.0;1259.0;105.0;111.0;12236.0;media
AL;GIRAU DO PONCIANO;municipio;59.0;76.0;4501.0;15.0;18.0;1575.0;20.0;20.0;1809.0;media
AL;LAGOA DA CANOA;municipio;;;;;;;;;;media
AL;OLHO O' AGUA GRANDE;municipio;;;100.0;;;;;;;media
AL;SÃO BRAS;municipio;;;180.0;;;228.0;;;;media
AL;SÃO SEBASTIÃO;municipio;20.0;25.0;1210.0;;;;;;;media
AL;MATA ALAGOANA;mesorregiao;;18.0;2757.0;14.0;19.0;3520.0;571.0;626.0;48818.0;media
AL;MATA ALAGOANA;microrregiao;;17.0;2745.0;;;850.0;;10.0;1370.0;media
AL;ATALAIA;municipio;;;75.0;;;;;;100.0;media
AL;CAJUEIRO;municipio;;;;;;;;;20.0;media
AL;COLONIA LEOPOLDINA;municipio;;;1200.0;;;;;;;media
AL;FLEXEIRAS;municipio;;;;;;;;;10.0;media
AL;I BATE GUARA;municipio;;;100.0;;;;;;;media
AL;JOAQUIM GOMES;municipio;;;;;;;;;;media
AL;NOVO LINO;municipio;;;315.0;;;150.0;;;;media
AL;PINOOBA;municipio;;;10.0;;;;;;;media
AL;SÂO JOSE DA LAJE;municipio;;;;;;;;;1000.0;media
AL;UNIÃO DOS PALMARES;municipio;;;995.0;;;180.0;;;200.0;media
AL;VIÇOSA;municipio;;;50.0;;;520.0;;;40.0;media
AL;LITORAL NORTE ALAGOANO;microrregiao;;;12.0;;;560.0;539.0;589.0;43371.0;media
AL;JAPARATINGA;municipio;;;;;;;78.0;80.0;5846.0;media
AL;MARAGOGI;municipio;;;;;;;162.0;172.0;10335.0;media
AL;PASSO DE CAMARAGIBE;municipio;;;;;;560.0;42.0;45.0;7693.0;media
AL;PORTO CALVO;municipio;;;12.0;;;;;;;media
AL;PORTO DE PEDRAS;municipio;;;;;;;153.0;170.0;12722.0;media
AL;SÂO MIGUEL DOS MILAGRES;municipio;;;;;;;104.0;122.0;6775.0;media
AL;TABULEIROS DE s MIGUEL DOS CAMPOS;microrregiao;;;;;;2110.0;23.0;27.0;4077.0;media
AL;BARRA DE SÃO MIGUEL;municipio;;;;;;;;;160.0;media
AL;CORURIPE;municipio;;;;;;2060.0;;;280.0;media
AL;SÃO MIGUEL DOS CAMPOS;municipio;;;;;;50.0;15.0;16.0;3637.0;media
AL;COQUEIRO SECO;municipio;;;;;;;;;;media
AL;MARECHAL DEODORO;municipio;;21.0;312.0;15.0;16.0;3160.0;22.0;22.0;3345.0;media
AL;PILAR;municipio;;;;;;45.0;;;32.0;media
AL;RIO LARGO;municipio;;;;;;;;10.0;1971.0;media
AL;SANTA LUZIA DO NORTE;municipio;;;;;;;;;770.0;media
AL;INCLUSIVE os SEM DECLARAÇÃO DE CAPACIDADE;municipio;;;;;;;;;;media
AM;TOTAIS;total;182.0;370.0;10997.0;1238.0;1500.0;23688.0;197.0;5291.0;;media
AM;HILEIA AMAZONENSE;mesorregiao;62.0;143.0;7568.0;10.0;23.0;587.0;70.0;1830.0;;media
AM;ALTO SOLIMÕES;microrregiao;;33.0;5255.0;;15.0;435.0;;186.0;;media
AM;ATALAIA DO NORTE;municipio;;;;;;;;;;media
AM;FONTE BOA;municipio;;;;;;;;;;media
AM;JUTAI;municipio;;33.0;5255.0;;15.0;435.0;;18.0;;media
AM;SÃO PAULO DE OLIVENÇA;municipio;;;;;;;;150.0;;media
AM;TONANTINS;municipio;;;;;;;3.0;18.0;;media
AM;JURUA;microrregiao;;48.0;549.0;;;37.0;;;;media
AM;CARAUARI;municipio;;;;;;;;;;media
AM;EIRUNEPE;municipio;;;269.0;;;37.0;;;;media
AM;ENV(RA;municipio;;;35.0;;;;;;;media
AM;IPIXUNA;municipio;;;10.0;;;;;;;media
AM;ITAMARATI;municipio;;33.0;235.0;;;;;;;media
AM;PURUS;microrregiao;;55.0;1381.0;;;55.0;;90.0;;media
AM;BOCA DO ACRE;municipio;;52.0;1356.0;;;50.0;;60.0;;media
AM;CANUTAMA;municipio;;;;;;;;;;media
AM;LABREA;municipio;;;;;;;;118.0;;media
AM;PAUINI;municipio;;;;;;;;12.0;;media
AM;TAPAUA;municipio;;;25.0;;;;;;;media
AM;MADEIRA;microrregiao;13.0;;238.0;;;;18.0;1089.0;;media
AM;BORBA;municipio;;;;;;;;;;media
AM;HUMAITA;municipio;;;18.0;;;;3.0;145.0;;media
AM;MANICORE;municipio;10.0;;;;;;15.0;90.0;;media
AM;NOVO ARIPUANÃ;municipio;;;220.0;;;;;;;media
AM;RIO NEGRO;microrregiao;38.0;;;;;;38.0;280.0;;media
AM;SÃO GABRIEL DA CACHOEIRA;municipio;31.0;;;;;;38.0;280.0;;media
AM;SOL(MÕES-JAPURA;microrregiao;;;145.0;;;55.0;;185.0;;media
AM;ANORI;municipio;;;;;;35.0;;;;media
AM;COARI;municipio;;;;;;;;;;media
AM;CODAJAS;municipio;;;;;;;;;;media
AM;MARAÃ;municipio;;;;;;;;;;media
AM;TEFE;municipio;;;5.0;;;20.0;;115.0;;media
AM;MEDI D AMAZONAS;microrregiao;120.0;227.0;3029.0;1228.0;1177.0;23101.0;127.0;;;media
AM;AUTAZES;municipio;;;99.0;;;;2.0;170.0;;media
AM;BARREIR(NHA;municipio;;2.0;25.0;;;;;;;media
AM;BERURI;municipio;;;;10.0;177.0;2129.0;;;;media
AM;CAAPIRANGA;municipio;;;;;;;;;;media
AM;CAREIRO;municipio;;6.0;779.0;13.0;13.0;151.0;8.0;352.0;;media
AM;lRANDUBA;municipio;14.0;269.0;18.0;22.0;823.0;22.0;207.0;;;media
AM;ITACOAT(ARA;municipio;;30.0;319.0;21.0;22.0;381.0;;7.0;;media
AM;ITAPIRANGA;municipio;1.0;;153.0;;;;1.0;20.0;;media
AM;MANACAPURU;municipio;;;20.0;1.0;1220.0;18213.0;;;;media
AM;MANAOUIRI;municipio;;7.0;98.0;;;;;10.0;;media
BA;TOTAIS;total;12287.0;14961.0;565340.0;8466.0;10509.0;434741.0;7795.0;9261.0;79906.0;media
BA;OESTE BAIANO;mesorregiao;6207.0;6938.0;202230.0;4256.0;4838.0;243655.0;290.0;469.0;152778.0;media
BA;CHAPADÕES DO ALTO RIO GRANDE;microrregiao;358.0;397.0;29211.0;240.0;254.0;70705.0;29.0;36.0;39957.0;media
BA;ANGICAL;municipio;;;50.0;;;20.0;;;;media
BA;BAIANOPOLIS;municipio;19.0;19.0;7591.0;;;3320.0;;;;media
BA;BARREIRAS;municipio;12.0;13.0;12867.0;46.0;47.0;33513.0;;;222.0;media
BA;BREJOLANOIA;municipio;;;84.0;;;;;;15.0;media
BA;CATOLANDIA;municipio;13.0;14.0;425.0;;;;;;;media
BA;COTEGIPE;municipio;;10.0;108.0;11.0;17.0;124.0;;;720.0;media
BA;CRISTOPOLIS;municipio;;;103.0;;;32.0;;;;media
BA;FORMOSA;municipio;20.0;20.0;871.0;69.0;71.0;26036.0;11.0;11.0;32438.0;media
BA;RIACHÂO DAS NEVES;municipio;;;229.0;26.0;30.0;1909.0;;;;media
BA;SANTA RITA OE CASSIA;municipio;252.0;284.0;4548.0;68.0;68.0;856.0;;11.0;908.0;media
BA;SÂO OESIDERIO;municipio;;;2250.0;;;3895.0;;;5654.0;media
BA;TABOCAS DO BREJO VELHO;municipio;10.0;11.0;85.0;;;;;;;media
BA;CHAPADÕES DO RIO CORRENTE;microrregiao;282.0;286.0;5431.0;20.0;24.0;412.0;24.0;25.0;694.0;media
BA;cocos;municipio;119.0;119.0;2178.0;;;35.0;;;;media
BA;CORIBE;municipio;32.0;33.0;1781.0;;;25.0;;;146.0;media
BA;CORRENT I NA;municipio;29.0;29.0;268.0;;;82.0;;;290.0;media
BA;SANTA MARIA DA VITORIA;municipio;64.0;65.0;793.0;;;238.0;15.0;15.0;258.0;media
BA;SANTANA;municipio;27.0;28.0;263.0;;;12.0;;;;media
BA;SERRA DOURADA;municipio;11.0;12.0;148.0;;;20.0;;;;media
BA;BAIXO-MEOIO SÃO FRANCISCO;microrregiao;157.0;166.0;12251.0;202.0;297.0;9168.0;12.0;13.0;420.0;media
BA;BARRA;municipio;31.0;34.0;891.0;40.0;126.0;2381.0;;;120.0;media
BA;CAMPO ALEGRE OE LOURDES;municipio;45.0;47.0;8853.0;62.0;64.0;763.0;;;20.0;media
BA;CASA NOVA;municipio;;;145.0;12.0;12.0;222.0;;;20.0;media
BA;IBOTIRAMA;municipio;;;;;;40.0;;;;media
BA;MORPARA;municipio;22.0;22.0;311.0;19.0;19.0;166.0;;;;media
BA;P l LÃO ARCADO;municipio;15.0;15.0;260.0;11.0;11.0;71.0;;;230.0;media
BA;REMANSO soo;municipio;;;;;;;;;;media
BA;SENTO SE;municipio;16.0;16.0;506.0;;;190.0;;;;media
BA;XI QUE- XI QUE;municipio;21.0;25.0;1285.0;49.0;56.0;3835.0;;;30.0;media
BA;MEDI O SÃO FRANCISCO;microrregiao;117.0;140.0;12764.0;51.0;57.0;2271.0;25.0;36.0;15253.0;media
BA;BOM JESUS DA LAPA;municipio;26.0;29.0;7641.0;10.0;12.0;750.0;;;2724.0;media
BA;CARINHANHA;municipio;37.0;39.0;10.0;10.0;122.0;109.0;;;;media
BA;MALHADA;municipio;44.0;60.0;2596.0;31.0;35.0;399.0;14.0;22.0;12420.0;media
BA;PARATINGA;municipio;10.0;12.0;1316.0;;;;;;;media
BA;CHAPADA DIAMANTINA SETENTRIONAL;microrregiao;647.0;732.0;25417.0;1895.0;2157.0;102896.0;102.0;121.0;11297.0;media
BA;BARRA;municipio;;;225.0;75.0;76.0;3002.0;;;200.0;media
BA;CAFARNAUM;municipio;75.0;91.0;5023.0;35.0;35.0;1983.0;;;105.0;media
BA;CANARANA;municipio;108.0;115.0;2742.0;173.0;192.0;3720.0;;;;media
BA;CENTRAL;municipio;15.0;15.0;311.0;189.0;202.0;6794.0;;;;media
BA;GENTIO;municipio;;;50.0;;;;;;;media
BA;IBIPEBA;municipio;43.0;45.0;1180.0;64.0;67.0;1022.0;;;199.0;media
BA;IBITITA;municipio;68.0;79.0;2484.0;42.0;47.0;4183.0;;;269.0;media
BA;IRECE;municipio;121.0;140.0;5582.0;744.0;894.0;63933.0;;;;media
BA;JUSSARA;municipio;11.0;12.0;478.0;49.0;54.0;2265.0;;14.0;546.0;media
BA;MORRO DO CHAPEU;municipio;105.0;128.0;5551.0;181.0;206.0;8614.0;;;606.0;media
BA;PRESIDENTE OUTRA;municipio;;;199.0;133.0;156.0;3992.0;;;146.0;media
BA;SOUTO SOARES;municipio;83.0;86.0;1592.0;34.0;34.0;509.0;23.0;23.0;1023.0;media
BA;CHAPADA DIAMANTINA MERIDIONAL;microrregiao;;1617.0;881.0;39512.0;;819.0;;942.0;30749.0;media
BA;ABAIRA;municipio;;30.0;31.0;235.0;;;;;20.0;media
BA;AGUA QUENTE;municipio;;15.0;18.0;269.0;;17.0;;19.0;332.0;media
BA;ANDARAI;municipio;;75.0;80.0;985.0;;24.0;;26.0;299.0;media
BA;BARRA DA ESTIVA;municipio;;121.0;146.0;2976.0;;82.0;;107.0;3122.0;media
BA;BONINAL;municipio;;;;;;;;;;media
BA;BOOUIRA;municipio;;;;105.0;;;;;16.0;media
BA;BOTUPORÃ;municipio;;;;111.0;;148.0;;156.0;3897.0;media
BA;BROTAS OE MACAUBAS;municipio;;31.0;34.0;325.0;;;;;53.0;media
BA;CONTENDAS DO SI NCORA;municipio;;45.0;52.0;1535.0;;;;;2050.0;media
BA;IBICOARA;municipio;;65.0;80.0;4552.0;;74.0;;95.0;7360.0;media
BA;IBIPITANGA;municipio;;280.0;285.0;966.0;;;;;147.0;media
BA;IBITIARA;municipio;;10.0;10.0;206.0;;;;;;media
BA;IPUPIARA;municipio;;13.0;13.0;112.0;;74.0;;78.0;634.0;media
BA;IRAMAIA;municipio;;57.0;65.0;59.0;;39.0;;49.0;646.0;media
BA;IRAQUARA;municipio;;62.0;64.0;861.0;;60.0;;68.0;651.0;media
BA;ITAETE;municipio;;26.0;28.0;457.0;;17.0;;18.0;768.0;media
BA;ITUAÇU;municipio;;157.0;206.0;5032.0;;22.0;;26.0;343.0;media
BA;JUSSIAPE;municipio;;21.0;23.0;879.0;;;;;55.0;media
BA;LENÇO IS;municipio;;;14.0;651.0;;;;;140.0;media
BA;MACAUBAS;municipio;;213.0;271.0;2928.0;;38.0;;48.0;542.0;media
BA;MUCUGE;municipio;;92.0;117.0;2623.0;;26.0;;30.0;755.0;media
BA;OLIVEIRA DOS BREJINHOS;municipio;;17.0;17.0;256.0;;16.0;;16.0;841.0;media
BA;PALMEIRAS;municipio;;;;142.0;;2.0;;;10.0;media
BA;PARAMIRIM;municipio;;12.0;14.0;343.0;;;;;50.0;media
BA;PIATÃ;municipio;;41.0;49.0;858.0;;68.0;;71.0;373.0;media
BA;RIO DE CONTAS;municipio;;60.0;63.0;2470.0;;15.0;;16.0;603.0;media
BA;RIO DO PIRES;municipio;;15.0;16.0;341.0;;15.0;;19.0;960.0;media
BA;SEABRA;municipio;;11.0;12.0;170.0;;17.0;;21.0;1293.0;media
BA;TANHAÇU;municipio;;67.0;83.0;3666.0;;10.0;;10.0;655.0;media
BA;UTINGA;municipio;;47.0;65.0;3074.0;;24.0;;30.0;2109.0;media
BA;WAGNER;municipio;;10.0;10.0;325.0;;;;;25.0;media
BA;SERRA GERAL DA BAHIA;microrregiao;;2861.0;3133.0;73377.0;;813.0;;883.0;16434.0;media
BA;ARACATU;municipio;;172.0;182.0;1971.0;;24.0;;27.0;242.0;media
BA;BRUMADO;municipio;;95.0;113.0;1688.0;;41.0;;49.0;820.0;media
BA;CACULE;municipio;;17.0;24.0;311.0;;10.0;;13.0;890.0;media
BA;CAETITE;municipio;;144.0;153.0;3915.0;;20.0;;20.0;215.0;media
BA;CANOIBA;municipio;;214.0;245.0;5897.0;;;;14.0;134.0;media
BA;CONOEUBA;municipio;;148.0;159.0;1541.0;;86.0;;90.0;1186.0;media
BA;CORDEIROS;municipio;;11.0;14.0;100.0;;145.0;;149.0;75.0;media
BA;DOM BASILIO;municipio;;55.0;57.0;560.0;;;;;60.0;media
BA;GUANAMBI;municipio;;224.0;258.0;3876.0;;52.0;;59.0;107.0;media
BA;IBIASSUCE;municipio;;65.0;83.0;908.0;;18.0;;20.0;289.0;media
BA;IGAPORÃ;municipio;;27.0;34.0;664.0;;20.0;;22.0;838.0;media
BA;JACARACI;municipio;;67.0;71.0;685.0;;25.0;;27.0;268.0;media
BA;LICINIO DE ALMEIDA;municipio;;81.0;95.0;171.0;;13.0;;14.0;156.0;media
BA;LIVRAMENTO;municipio;;127.0;142.0;4392.0;;37.0;;41.0;885.0;media
BA;MALHADA DE PEDRAS;municipio;;254.0;257.0;2936.0;;15.0;;15.0;306.0;media
BA;MORTUGABA;municipio;;61.0;64.0;815.0;;;;2.0;18.0;media
BA;PALMAS OE MONTE ALTO;municipio;;108.0;121.0;374.0;;15.0;;26.0;1826.0;media
BA;PINOAI;municipio;;146.0;156.0;11733.0;;74.0;;74.0;1595.0;media
BA;PIRIPA;municipio;;184.0;188.0;325.0;;;;;40.0;media
BA;PRESIDENTE JANIO QUADROS;municipio;114.0;117.0;381.0;24.0;26.0;569.0;7.0;7.0;258.0;media
BA;RIACHO OE SANTANA;municipio;;119.0;134.0;3553.0;;18.0;;19.0;809.0;media
BA;SEBASTIÃO LARANJEIRAS;municipio;;50.0;60.0;2026.0;;;;;218.0;media
BA;TREMEOAL;municipio;;132.0;135.0;1353.0;;134.0;;141.0;1465.0;media
BA;URANO(;municipio;;221.0;241.0;12872.0;;13.0;;15.0;1390.0;media
BA;SENHOR DO BONFIM;microrregiao;130.0;163.0;68.0;74.0;5501.0;50.0;50.0;4461.0;;media
BA;ANTON;municipio;;;30.0;;;;;;;media
BA;CALDEIRÃO GRANDE;municipio;33.0;37.0;717.0;;;;110.0;;;media
BA;CAMPO FORMOSO;municipio;58.0;69.0;2001.0;;35.0;41.0;1408.0;31.0;31.0;media
BA;JAGUARARI;municipio;;;20.0;;;;198.0;;;media
BA;MIRANGABA;municipio;15.0;18.0;265.0;;;;43.0;;;media
BA;PINDOBAÇU;municipio;;;125.0;;10.0;10.0;3549.0;;;media
BA;SAUDE;municipio;;;16.0;;;;32.0;;;media
BA;SENHOR DO BONFIM;municipio;15.0;30.0;266.0;;;;153.0;;;media
BA;CORREDEIRAS DO SÃO FRANCISCO;microrregiao;38.0;;827.0;;148.0;150.0;5519.0;49.0;57.0;media
BA;ABARE;municipio;;;;;;;;;;media
BA;CHORROCHO;municipio;;;;;;;;;;media
BA;CURAÇA;municipio;;;50.0;;;;45.0;;;media
BA;JUAZEIRO;municipio;36.0;38.0;777.0;;146.0;148.0;5474.0;49.0;57.0;media
BA;LESTE BAIANO;mesorregiao;4545.0;6100.0;287885.0;;682.0;1972.0;86013.0;2424.0;2844.0;media
BA;PIEMONTE DA DIAMANTINA;microrregiao;495.0;573.0;27896.0;;333.0;402.0;10603.0;107.0;175.0;media
BA;BAIXA GRANDE;municipio;14.0;15.0;127.0;;;;32.0;21.0;22.0;media
BA;BOA VISTA DO TUPIM;municipio;27.0;31.0;574.0;;;;12.0;;11.0;media
BA;CAEM;municipio;;;66.0;;;2.0;18.0;;;media
BA;(BIQUERA;municipio;;;26.0;;;;106.0;;;media
BA;ITABERABA;municipio;;;101.0;;;;120.0;;;media
BA;JACOBINÃ;municipio;204.0;236.0;903.0;;219.0;272.0;901.0;30.0;80.0;media
BA;LAJEDINHO;municipio;11.0;12.0;373.0;;;;20.0;;;media
BA;MACAJUBA;municipio;;;;;;;;;;media
BA;MAIRI;municipio;36.0;44.0;162.0;;24.0;25.0;973.0;;;media
BA;MIGUEL CALMON;municipio;24.0;27.0;602.0;;;;342.0;;;media
BA;MUNDO NOVO;municipio;71.0;74.0;10111.0;;;;250.0;;;media
BA;PIRITIBA;municipio;13.0;17.0;6548.0;;11.0;15.0;415.0;;;media
BA;RUY BARBOSA;municipio;25.0;34.0;338.0;;;5.0;97.0;10.0;17.0;media
BA;SERROLANDIA;municipio;21.0;21.0;386.0;;23.0;24.0;252.0;;;media
BA;TAPIRAMUTA;municipio;34.0;44.0;1579.0;;30.0;35.0;65.0;11.0;15.0;media
BA;VARZEA DO POÇO;municipio;;;;;;;;;;media
BA;SERTÃO DE CANUDOS;microrregiao;305.0;442.0;51776.0;;66.0;72.0;2950.0;22.0;24.0;media
BA;CANSANÇÂO;municipio;164.0;281.0;43625.0;;20.0;24.0;965.0;2.0;2.0;media
BA;EUCLIDES DA CUNHA;municipio;;11.0;3416.0;;;;172.0;2.0;2.0;media
BA;ITIUBA;municipio;45.0;49.0;137.0;;2.0;;56.0;;;media
BA;MONTE SANTO;municipio;29.0;32.0;382.0;;;;30.0;;;media
BA;QUEIMADAS;municipio;17.0;18.0;339.0;;;;187.0;;2.0;media
BA;QUIJINGUE;municipio;;;300.0;;;;;;;media
BA;TUCANO;municipio;29.0;36.0;1654.0;;10.0;10.0;1090.0;;10.0;media
BA;SERRINHA;microrregiao;842.0;;75292.0;;81.0;93.0;3077.0;50.0;56.0;media
BA;ARACI;municipio;30.0;67.0;1345.0;;;;1032.0;;;media
BA;BIRITINGA;municipio;10.0;225.0;40392.0;;31.0;31.0;750.0;;;media
BA;CANDEAL;municipio;37.0;73.0;1386.0;;;;;;;media
BA;CONCEIÇÂO DO COITE;municipio;40.0;63.0;1647.0;;;16.0;139.0;;;media
BA;ICHU;municipio;68.0;69.0;788.0;;;;;;;media
BA;LAMARÃO;municipio;43.0;56.0;487.0;;;;;;;media
BA;RETIROLANDIA;municipio;273.0;429.0;7472.0;;;;;;;media
BA;RIACHÃO DO JACUIPE;municipio;88.0;154.0;16755.0;;7.0;;94.0;;3.0;media
BA;SANTALUZ;municipio;13.0;15.0;110.0;;17.0;18.0;562.0;30.0;34.0;media
BA;SERRINHA;municipio;88.0;199.0;3469.0;;;12.0;200.0;;1.0;media
BA;AGUA FRIA;mesorregiao;;16.0;1641.0;;;;;;;media
BA;ANGUERA;mesorregiao;;;10.0;;;;;;;media
BA;ANTONIO CARDOSO;mesorregiao;;;50.0;;;;;10.0;;media
BA;CASTRO ALVES;mesorregiao;;51.0;827.0;;;;10.0;225.0;17.0;media
BA;CORAÇÃO DE MARIA;mesorregiao;;;67.0;;;;;339.0;17.0;media
BA;ELISIO MEDRADO;mesorregiao;;;25.0;;;;;25.0;;media
BA;FEIRA OE SANTANA;mesorregiao;;23.0;1694.0;;11.0;;11.0;319.0;12.0;media
BA;IAÇU;mesorregiao;;93.0;1610.0;;;;;361.0;11.0;media
BA;IPECAETA;mesorregiao;;111.0;1204.0;;49.0;;49.0;918.0;5.0;media
BA;IPIRA;mesorregiao;;66.0;11441.0;;46.0;;52.0;1619.0;16.0;media
BA;IRARA;mesorregiao;;11.0;511.0;;;;;84.0;;media
BA;OURIÇANGAS;mesorregiao;;;163.0;;;;;;;media
BA;PEDRÃO;mesorregiao;;;10.0;;;;;20.0;;media
BA;SANTA BARBARA;mesorregiao;;;480.0;;;;;;;media
BA;SANTANOPOLIS;mesorregiao;;10.0;280.0;;;;;249.0;;media
BA;SANTA TERESINHA;mesorregiao;;;60.0;;;;;;;media
BA;SANTO ESTEVÃO;mesorregiao;;36.0;1873.0;;;;;263.0;25.0;media
BA;SERRA PRETA;mesorregiao;;;136.0;;;;11.0;206.0;;media
BA;TANQUINHO;mesorregiao;;;15.0;;;;;;;media
BA;JEQUIE;mesorregiao;;927.0;26939.0;;238.0;;281.0;15350.0;397.0;media
BA;AIQUARA;mesorregiao;;30.0;804.0;;17.0;;21.0;198.0;;media
BA;AMARGOSA;mesorregiao;;30.0;502.0;;;;10.0;155.0;;media
BA;BREJÕES;mesorregiao;;82.0;2280.0;;12.0;;14.0;4262.0;28.0;media
BA;CRAVOLANOIA;mesorregiao;;;150.0;;;;;;;media
BA;IRAJUBA;mesorregiao;;29.0;424.0;;;;10.0;95.0;;media
BA;ITAGI;mesorregiao;;25.0;3853.0;;10.0;;12.0;288.0;;media
BA;(TAQUARA;mesorregiao;;;15.0;;;;;21.0;;media
BA;ITIRUÇU;mesorregiao;;27.0;314.0;;49.0;;56.0;5906.0;;media
BA;JAGUAQUARA;mesorregiao;;42.0;1058.0;;;;11.0;620.0;;media
