_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;confianca
AC;TOTAIS;total;35049.0;64.0;13.0;47.0;13.0;52.0;;;alta
AC;ACRE;mesorregiao;35049.0;64.0;13.0;47.0;13.0;52.0;;;alta
AC;ALTO JURUA;microrregiao;13909.0;14.0;;12.0;;22.0;;;alta
AC;CRUZEIRO;municipio;6443.0;;;;;;;;alta
AC;FEIJO;municipio;2045.0;;;;;;;;alta
AC;MANCIO LIMA;municipio;1093.0;;;;;;;;alta
AC;TARAUACA;municipio;4328.0;;;;;22.0;;;alta
AC;ALTO PURUS;microrregiao;21140.0;50.0;12.0;35.0;11.0;30.0;;;alta
AC;ASSIS BRASIL;municipio;167.0;;;;;;;;alta
AC;SRASILEIA;municipio;2482.0;;;;;;;;alta
AC;MANOEL URBANO;municipio;735.0;;;;;;;;alta
AC;PLACIDO DE CASTRO;municipio;3545.0;;;;;;;;alta
AC;SENADOR GUIOMARO;municipio;2264.0;;;;;;;;alta
AC;SENA MADUREIRA;municipio;4401.0;16.0;;;;14.0;;;alta
AC;XAPURI;municipio;1868.0;;;;;;;;alta
AL;TOTAIS;total;142774.0;3338.0;2357.0;489.0;270.0;299.0;2874.0;27814.0;media
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;121965.0;2707.0;2265.0;146.0;64.0;241.0;2429.0;4914.0;media
AL;SERTÃO ALAGOANO;microrregiao;26625.0;;;11.0;;;;;alta
AL;AGUA BRANCA;municipio;8362.0;;;;2.0;;;;alta
AL;CANAPI;municipio;4277.0;;;;;;;;alta
AL;DELMIRO GOUVEIA;municipio;1041.0;;;11.0;;;;;alta
AL;INHAPI;municipio;5285.0;;;;;;;;alta
AL;MATA GRANDE;municipio;5613.0;;;;;;;;alta
AL;OLHO D;municipio;910.0;;;;;;;;alta
AL;PIRANHAS;municipio;1137.0;;;;;;;;alta
AL;BATALHA;microrregiao;26616.0;;113.0;;20.0;57.0;;;media
AL;BATALHA;municipio;408.0;;;;;;;;media
AL;BELO MONTE;municipio;778.0;;107.0;;;;;;media
AL;CARNEIROS;municipio;962.0;;;;;;;;media
AL;DOIS RIACHOS;municipio;1308.0;;;;;;;;media
AL;JACARE DOS HOMENS;municipio;201.0;;;;;;;;media
AL;JARAMATAIA;municipio;151.0;;;;;;;;media
AL;MAJOR ISIDORO;municipio;25.0;;;;;;;;media
AL;MARAVILHA;municipio;2044.0;;;;;;;;media
AL;MONTEIROPOLIS;municipio;562.0;;;;;;;;media
AL;OLHO O' AGUA DAS FLORES;municipio;1231.0;;;;;;;;media
AL;OLIVENÇA;municipio;1867.0;;;;;;;;media
AL;OURO BRANCO;municipio;1536.0;;;;;;;;media
AL;PALESTINA;municipio;307.0;;;;;;;;media
AL;PÃO DE AÇUCAR;municipio;2109.0;;;;;43.0;;;media
AL;POÇO DAS TRINCHEIRAS;municipio;2025.0;;;;;;;;media
AL;SANTANA DO IPANEMA;municipio;3217.0;;;;;;;;media
AL;SÃO JOSE DA TAPERA;municipio;4618.0;;;;;;;;media
AL;SENADOR RUI PALMEIRA;municipio;1177.0;;;;;;;;media
AL;PALMEIRA DOS INOIOS;microrregiao;194.0;;24.0;114.0;24.0;21.0;;;media
