_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;confianca
AC;TOTAIS;total;35049.0;426.0;258.0;387.0;41.0;4008.0;3204.0;1050.0;alta
AC;ACRE;mesorregiao;35049.0;426.0;258.0;387.0;41.0;4008.0;3204.0;1050.0;alta
AC;ALTO JURUA;microrregiao;13909.0;122.0;55.0;8.0;;487.0;453.0;51.0;alta
AC;CRUZEIRO DO SUL;municipio;6443.0;82.0;21.0;81.0;;73.0;56.0;22.0;alta
AC;FEIJO;municipio;2045.0;14.0;12.0;13.0;;197.0;191.0;;alta
AC;MANCIO LIMA;municipio;1093.0;19.0;16.0;18.0;;61.0;52.0;13.0;alta
AC;TARAUACA;municipio;4328.0;;;;;156.0;154.0;;alta
AC;ALTO PURUS;microrregiao;21140.0;304.0;203.0;269.0;37.0;3521.0;2751.0;999.0;alta
AC;ASSIS BRASIL;municipio;167.0;;;;;61.0;60.0;;alta
AC;BRASILEIA;municipio;2482.0;19.0;12.0;16.0;;539.0;521.0;35.0;alta
AC;MANOEL URBANO;municipio;735.0;;;;;20.0;19.0;;alta
AC;PLACIDO DE CASTRO;municipio;3545.0;20.0;16.0;20.0;;253.0;236.0;34.0;alta
AC;SENADOR GUIOMARD;municipio;2264.0;35.0;18.0;19.0;16.0;248.0;226.0;30.0;alta
AC;SENA MADUREIRA;municipio;4401.0;90.0;58.0;84.0;;260.0;214.0;70.0;alta
AC;XAPURI;municipio;1868.0;22.0;;20.0;;539.0;484.0;78.0;alta
AL;TOTAIS;total;142774.0;23893.0;20010.0;23350.0;1355.0;28345.0;18504.0;;media
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;121965.0;18926.0;15412.0;18452.0;660.0;23972.0;16047.0;;media
AL;SERTÃO ALAGOANO;microrregiao;26625.0;105.0;41.0;69.0;36.0;3138.0;3050.0;;media
AL;AGUA BRANCA;municipio;8362.0;25.0;14.0;20.0;;517.0;496.0;;media
AL;CANAPI;municipio;4277.0;21.0;14.0;14.0;;640.0;610.0;;media
AL;DELMIRO GOUVEIA;municipio;1041.0;29.0;;20.0;;392.0;377.0;;media
