_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;confianca
AC;TOTAIS;total;22798.0;6544.0;2429.0;1184.0;2051.0;2399.0;alta
AC;ACRE;mesorregiao;22798.0;6544.0;2429.0;1184.0;2051.0;2399.0;alta
AC;ALTO JURUA;microrregiao;5672.0;1753.0;801.0;247.0;705.0;863.0;alta
AC;CRUZEIRO DO SUL;municipio;1130.0;343.0;208.0;49.0;114.0;83.0;alta
AC;FEIJO;municipio;2734.0;883.0;386.0;138.0;204.0;532.0;alta
AC;MANCIO LIMA;municipio;41.0;;;;22.0;;alta
AC;TARAUACA;municipio;1767.0;520.0;203.0;59.0;365.0;246.0;alta
AC;ALTO PURUS;microrregiao;17126.0;4791.0;1628.0;937.0;1346.0;1536.0;alta
AC;ASSIS BRASIL;municipio;537.0;213.0;87.0;41.0;20.0;109.0;alta
AC;BRASILEIA;municipio;2628.0;693.0;290.0;174.0;277.0;277.0;alta
AC;MANOEL URBANO;municipio;655.0;205.0;115.0;21.0;38.0;81.0;alta
AC;PLACIDO DE CASTRO;municipio;1744.0;223.0;69.0;26.0;121.0;53.0;alta
AC;SENADOR GUIOMARD;municipio;532.0;97.0;40.0;28.0;68.0;30.0;alta
AC;SENA MADUREIRA;municipio;4884.0;1796.0;462.0;168.0;283.0;425.0;alta
AC;XAPURI;municipio;2236.0;734.0;257.0;108.0;183.0;271.0;alta
AL;TOTAIS;total;106187.0;30709.0;8768.0;7525.0;17712.0;4286.0;media
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;94901.0;27924.0;8118.0;6965.0;15566.0;3831.0;media
AL;SERTÃO ALAGOANO;microrregiao;35087.0;11438.0;4326.0;2558.0;4661.0;1747.0;media
AL;AGUA BRANCA;municipio;6139.0;2597.0;1476.0;369.0;1121.0;318.0;media
AL;CANAPI;municipio;7192.0;2520.0;784.0;576.0;1139.0;395.0;media
AL;DELMIRO GOUVEIA;municipio;7246.0;2593.0;1434.0;812.0;1011.0;542.0;media
AL;INHAPI;municipio;2970.0;598.0;85.0;62.0;125.0;127.0;media
AL;MATA GRANDE;municipio;7158.0;1994.0;371.0;591.0;714.0;115.0;media
AL;OLHO D' AGUA DO CASADO;municipio;1958.0;542.0;73.0;11.0;202.0;155.0;media
AL;PIRANHAS;municipio;2424.0;594.0;103.0;137.0;349.0;95.0;media
AL;BATALHA;microrregiao;38062.0;10448.0;2567.0;2784.0;6958.0;1277.0;media
