_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;confianca
AC;TOTAIS;total;35049.0;5234764.0;34453.0;5110082.0;490.0;81519.0;106.0;43161.0;alta
AC;ACRE;mesorregiao;35049.0;5234764.0;34453.0;5110082.0;490.0;81519.0;106.0;43161.0;alta
AC;ALTO JURUA;microrregiao;13909.0;2441804.0;13660.0;2424853.0;217.0;13188.0;32.0;3762.0;alta
AC;CRUZEIRO DO SUL;municipio;6443.0;446502.0;6231.0;434736.0;188.0;10062.0;24.0;1704.0;alta
AC;FEIJO;municipio;2045.0;1339690.0;2030.0;1336741.0;13.0;1913.0;;1036.0;alta
AC;MANCIO LIMA;municipio;1093.0;77338.0;1081.0;76497.0;11.0;791.0;;50.0;alta
AC;TARAUACA;municipio;4328.0;578272.0;4318.0;576878.0;;422.0;;972.0;alta
AC;ALTO PURUS;microrregiao;21140.0;2792959.0;20793.0;2685229.0;273.0;68330.0;74.0;39399.0;alta
AC;ASSIS BRASIL;municipio;167.0;14960.0;163.0;14605.0;;355.0;;;alta
AC;BRASILEIA;municipio;2482.0;248395.0;2441.0;227967.0;30.0;5963.0;11.0;14465.0;alta
AC;MANOEL URBANO;municipio;735.0;69951.0;732.0;69897.0;;49.0;;;alta
AC;PLACIDO DE CASTRO;municipio;3545.0;294448.0;3452.0;273766.0;83.0;16161.0;10.0;4521.0;alta
AC;SENADOR GUIOMARD;municipio;2264.0;227405.0;2257.0;226754.0;;526.0;;125.0;alta
AC;SENA MADUREIRA;municipio;4401.0;678234.0;4390.0;675925.0;;1480.0;;828.0;alta
AC;XAPURI;municipio;1868.0;443678.0;1846.0;425253.0;19.0;16818.0;;1607.0;alta
AL;TOTAIS;total;142774.0;2363772.0;132753.0;2089591.0;8648.0;188007.0;1370.0;86172.0;media
AL;SERT ÂO E AGRESTE ALAGOANO;mesorregiao;121965.0;1373390.0;112693.0;198649.0;126451.0;1212.0;48288.0;;media
AL;SERT ÂO ALAGOANO;microrregiao;26625.0;303556.0;24488.0;267563.0;1774.0;22286.0;362.0;13706.0;media
AL;AGUA BRANCA;municipio;8362.0;50246.0;7216.0;40726.0;926.0;6239.0;220.0;3280.0;media
AL;CANAPI;municipio;4277.0;59145.0;3882.0;51910.0;355.0;5787.0;40.0;1447.0;media
AL;DELMIRO GOUVEIA;municipio;41.0;42843.0;929.0;39229.0;74.0;1305.0;37.0;2309.0;media
AL;INHAPI;municipio;5285.0;30781.0;5276.0;30618.0;;147.0;;14.0;media
AL;MATA GRANDE;municipio;5613.0;56193.0;5319.0;49130.0;265.0;6381.0;29.0;681.0;media
AL;OLHO O' AGUA DO CASADO;municipio;910.0;27881.0;845.0;27077.0;64.0;797.0;;;media
AL;PIRANHAS;municipio;1137.0;36465.0;1021.0;28870.0;83.0;1628.0;33.0;5966.0;media
AL;BATALHA;microrregiao;26616.0;421262.0;23907.0;365410.0;2371.0;42924.0;338.0;12927.0;media
AL;BATALHA;municipio;408.0;28766.0;403.0;25920.0;;2289.0;;556.0;media
AL;BELO MONTE;municipio;778.0;27974.0;737.0;26359.0;39.0;1490.0;;125.0;media
AL;CARNEIROS;municipio;962.0;9857.0;876.0;8294.0;73.0;1087.0;13.0;475.0;media
AL;DOIS RIACHOS;municipio;1308.0;13724.0;982.0;9967.0;275.0;2577.0;51.0;1179.0;media
AL;.JACARE DOS HOMENS;municipio;201.0;15306.0;201.0;15306.0;;;;;media
AL;.JARAMATAIA;municipio;151.0;9749.0;149.0;9703.0;;45.0;;;media
AL;MA JOR ISIDORO;municipio;2115.0;42585.0;1971.0;35851.0;124.0;4773.0;20.0;1961.0;media
AL;MARAVILHA;municipio;2044.0;29838.0;1939.0;27046.0;99.0;2504.0;;287.0;media
AL;MONTEIROPOLIS;municipio;562.0;8858.0;469.0;7756.0;76.0;934.0;17.0;167.0;media
