_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;confianca
AL;LAGOA DA CANOA;municipio;;;;;;;;;media
AL;LIMOEIRO DE ANADIA;municipio;41.0;;39.0;;16.0;;14.0;;media
AL;OLHO O' AGUA GRANDE;municipio;17.0;12.0;;10.0;;;;;media
AL;SÃO SRAS;municipio;10.0;;10.0;;;;;;media
AL;MATA ALAGOANA;mesorregiao;;623.0;95.0;389.0;828.0;611.0;966.0;315.0;media
AL;MATA ALAGOANA;microrregiao;;1119.0;68.0;258.0;582.0;440.0;650.0;261.0;media
AL;ATALAIA;municipio;;149.0;;37.0;95.0;73.0;135.0;;media
AL;BRANOU I NHA;municipio;;18.0;;;14.0;;13.0;;media
AL;-JUEIRO;municipio;;21.0;;;;;10.0;;media
AL;CAPELA;municipio;;33.0;;;;;30.0;;media
AL;CHÃ PRETA;municipio;;91.0;;16.0;44.0;34.0;14.0;46.0;media
AL;COLONIA LEOPOLDINA;municipio;;36.0;;;27.0;13.0;30.0;;media
AL;FLEXEIRAS;municipio;;42.0;;;33.0;12.0;41.0;18.0;media
AL;IBATEGUARA;municipio;;70.0;;22.0;24.0;24.0;24.0;18.0;media
AL;JACU IPE;municipio;;19.0;;11.0;12.0;;11.0;;media
AL;JOAQUIM GOMES;municipio;;57.0;;18.0;40.0;14.0;42.0;13.0;media
AL;JUNDIA;municipio;;12.0;;;11.0;;;;media
AL;MESSIAS;municipio;;17.0;;;11.0;;14.0;;media
AL;MURICI;municipio;;35.0;;20.0;35.0;;33.0;;media
AL;NOVO LINO;municipio;;46.0;;;20.0;17.0;40.0;;media
AL;PINDOBA;municipio;;42.0;;;17.0;17.0;;21.0;media
AL;SANTANA;municipio;;159.0;;11.0;50.0;66.0;68.0;49.0;media
AL;"SÃO JQ(=;E DA LAJE";municipio;;68.0;21.0;38.0;53.0;35.0;48.0;;media
AL;UNIÃO DOS PALMARES;municipio;;124.0;11.0;34.0;72.0;83.0;69.0;21.0;media
AL;VIÇOSA;municipio;;80.0;;;;14.0;12.0;53.0;media
AL;LITORAL NORTE ALAGOANO;microrregiao;;192.0;16.0;60.0;71.0;70.0;117.0;33.0;media
AL;BAPRA DE SANTO ANTONIO;municipio;;;;;;;;;media
AL;JAPARAT I NGA;municipio;;26.0;;;;;;;media
AL;MARAGOGI;municipio;;14.0;;;;;11.0;;media
AL;MATRIZ DE CAMARAGIBE;municipio;;20.0;;15.0;15.0;14.0;16.0;13.0;media
AL;PASSO DE CAMARAGIBE;municipio;;31.0;;;;18.0;14.0;;media
AL;PORTO CALVO;municipio;;33.0;;17.0;18.0;22.0;24.0;10.0;media
AL;PORTO DE PEDRAS;municipio;;17.0;;;;;;;media
AL;SÃO MIGUEL DOS MILAGRES;municipio;;;;;;;;;media
AL;TABULEI AOS DE S MIGUEL DOS CAMPOS;microrregiao;312.0;11.0;305.0;71.0;175.0;101.0;199.0;21.0;media
AL;BARRA DE SÃO MIGUEL;municipio;;;;;;;;;media
AL;BOCA DA MATA;municipio;;53.0;;;17.0;15.0;27.0;;media
AL;CAMPO ALEGRE;municipio;;62.0;;16.0;58.0;;55.0;;media
