_uf;_label;_level;estab_total;inform_forca_total;inform_animal;inform_mecanica;inform_propria;inform_alugada;inform_outra_sem_decl;confianca
BA;MUNDO NOVO;municipio;1644.0;174.0;66.0;135.0;91.0;39.0;;media
BA;PIRITIBA;municipio;2106.0;169.0;53.0;148.0;55.0;116.0;10.0;media
BA;RUY BARBOSA;municipio;1765.0;45.0;22.0;35.0;16.0;;;media
BA;SERROLANDI A;municipio;2863.0;1402.0;1318.0;712.0;612.0;160.0;;media
BA;TAPIRAMUTA;municipio;751.0;253.0;176.0;93.0;48.0;27.0;;media
BA;VARZEA DO POÇO;municipio;430.0;253.0;202.0;66.0;;;;media
BA;SERTÃO OE CANUDOS;municipio;42917.0;12396.0;10733.0;5187.0;6130.0;5354.0;2485.0;media
BA;CANSANÇÃO;municipio;5170.0;704.0;626.0;242.0;342.0;;;media
BA;EUCLIDES DA CUNHA;municipio;7826.0;2493.0;2210.0;1018.0;1209.0;1035.0;;media
BA;ITIUBA;municipio;4713.0;441.0;220.0;349.0;104.0;334.0;;media
BA;MONTE SANTO;municipio;8571.0;2147.0;2079.0;529.0;1402.0;659.0;267.0;media
BA;QUEIMADAS;municipio;4467.0;140.0;96.0;94.0;30.0;95.0;;media
BA;QUIJINGUE;municipio;4291.0;802.0;1710.0;613.0;1029.0;666.0;215.0;media
BA;TUCANO;municipio;4648.0;4075.0;3207.0;2273.0;1539.0;2197.0;;media
BA;SERRINHA;municipio;39164.0;10828.0;7800.0;3184.0;7145.0;2454.0;;media
BA;ARACI;municipio;5000.0;2158.0;1922.0;1252.0;14.0;1155.0;377.0;media
BA;BIRITINGA;municipio;1986.0;1350.0;1193.0;860.0;321.0;245.0;;media
BA;CANDEAL;municipio;1041.0;119.0;44.0;46.0;21.0;;;media
BA;CONCEIÇÃO DO COITE;municipio;5204.0;661.0;567.0;316.0;501.0;339.0;;media
BA;ICHU;municipio;645.0;52.0;28.0;36.0;17.0;34.0;;media
BA;LAMARÃO;municipio;1660.0;362.0;226.0;236.0;127.0;240.0;;media
BA;RETIROLANDIA;municipio;1545.0;197.0;165.0;102.0;;;;media
BA;AGUA FRIA;municipio;2726.0;;;797.0;711.0;203.0;724.0;media
BA;ANGUERA;municipio;794.0;;;;10.0;;;media
BA;ANTONIO CARDOSO;municipio;1798.0;;;;31.0;;19.0;media
BA;CASTRO ALVES;municipio;6570.0;;;35.0;752.0;64.0;704.0;media
BA;CORAÇÃO OE MARIA;municipio;3034.0;;;26.0;473.0;27.0;454.0;media
BA;ELISIO MEDRADO;municipio;1199.0;;;11.0;;14.0;;media
BA;FEIRA DE SANTANA;municipio;8498.0;;;54.0;690.0;95.0;601.0;media
BA;IAÇU;municipio;1752.0;;;12.0;48.0;36.0;22.0;media
BA;IPECAETA;municipio;3349.0;;;24.0;195.0;21.0;180.0;media
BA;IP IRA;municipio;8409.0;;;354.0;1498.0;202.0;1382.0;media
BA;IRARA;municipio;2350.0;;;175.0;901.0;102.0;862.0;media
BA;OUR I ÇANGAS;municipio;347.0;256.0;215.0;54.0;272.0;;;media
BA;PEDRÃO;municipio;1049.0;;;90.0;318.0;36.0;303.0;media
BA;SANTA BARBARA;municipio;2249.0;;;90.0;376.0;30.0;373.0;media
BA;SANTANOPOLIS;municipio;2051.0;;;120.0;221.0;46.0;224.0;media
BA;SANTA TERESINHA;municipio;2168.0;;;;44.0;13.0;;media
BA;SANTO ESTEVÂO;municipio;4213.0;;;13.0;168.0;17.0;149.0;media
BA;SERRA PRETA;municipio;2205.0;;;18.0;175.0;17.0;158.0;media
BA;TANQUINHO;municipio;741.0;;;;15.0;;12.0;media
BA;JEQUIE;microrregiao;27426.0;;;514.0;1457.0;870.0;892.0;media
BA;AIQUARA;municipio;395.0;;;;;;;media
BA;AMARGOSA;municipio;2099.0;;;39.0;54.0;52.0;37.0;media
BA;BREJÔES;municipio;902.0;;;;101.0;53.0;45.0;media
BA;CRAVOLANDIA;municipio;30.0;26.0;13.0;12.0;17.0;;;media
BA;IRAJUBA;municipio;475.0;;;11.0;43.0;21.0;26.0;media
BA;ITAGI;municipio;1176.0;;;41.0;;37.0;;media
BA;(TAQUARA;municipio;636.0;;;26.0;49.0;26.0;34.0;media
BA;ITIRUÇU;municipio;296.0;;;;160.0;79.0;67.0;media
BA;JAGUAQUARA;municipio;1977.0;;;145.0;210.0;198.0;108.0;media
BA;JEQUIE;municipio;3056.0;142.0;95.0;80.0;51.0;27.0;;media
BA;JIQUIRIÇA;municipio;1092.0;;;;;;;media
BA;JITAUNA, aso;municipio;25.0;22.0;;;;;;media
BA;LAFAIETE COUTINHO;municipio;323.0;;;;62.0;35.0;30.0;media
BA;LAJE;municipio;1841.0;;;13.0;74.0;;63.0;media
BA;MARACAS;municipio;3090.0;;;42.0;311.0;93.0;247.0;media
BA;MARCIONILIO SOUZA;municipio;925.0;;;;11.0;;;media
BA;MILAGRES;municipio;612.0;;;;;;;media
BA;MUTUIPE;municipio;2089.0;;;16.0;;16.0;;media
BA;NOVA ITARANA;municipio;490.0;38.0;18.0;19.0;;;;media
BA;PLANAL TINO;municipio;995.0;;;;64.0;24.0;44.0;media
BA;SANTA INES;municipio;212.0;;;;37.0;20.0;13.0;media
BA;SÃO MIGUEL DAS MATAS;municipio;1526.0;;;;90.0;23.0;72.0;media
BA;UBAIRA;municipio;1951.0;;;;25.0;16.0;15.0;media
BA;PLANALTO OE CONQUISTA;microrregiao;23172.0;;;729.0;1161.0;65.0;362.0;media
BA;ANAGE;municipio;3095.0;;;43.0;106.0;40.0;66.0;media
BA;BARRA;municipio;1505.0;;;182.0;363.0;382.0;48.0;media
BA;BELO CAMPO;municipio;1265.0;;;148.0;68.0;123.0;48.0;media
BA;BOA NOVA;municipio;2205.0;;;19.0;18.0;23.0;;media
BA;CAATIBA;municipio;871.0;;;;;;;media
BA;CANO IDO SALES;municipio;1053.0;;;11.0;11.0;17.0;;media
BA;DARIO ME IRA;municipio;1167.0;;;15.0;;14.0;;media
BA;SERTÃO DE PAULO AFONSO;microrregiao;7396.0;;3374.0;3471.0;3440.0;827.0;;media
BA;CORONEL JOÃO SA;municipio;521.0;;402.0;168.0;394.0;;;media
BA;GLORIA;municipio;255.0;;231.0;882.0;279.0;116.0;;media
BA;JEREMOABO;municipio;3047.0;;1786.0;987.0;1801.0;353.0;;media
BA;PAULO AFONSO;municipio;1341.0;;351.0;860.0;347.0;163.0;;media
BA;PEDRO ALEXANDRE;municipio;346.0;;206.0;164.0;209.0;83.0;;media
BA;SANTA BRIGIDA;municipio;883.0;;398.0;410.0;410.0;103.0;;media
BA;AGRESTE DE ALAGOINHAS;microrregiao;28178.0;;;7548.0;16264.0;6247.0;;media
BA;ACAJUTIBA;municipio;185.0;;170.0;31.0;152.0;;;media
BA;ALAGOINHAS;municipio;105.0;;90.0;58.0;47.0;38.0;;media
BA;ANTAS;municipio;2682.0;;2019.0;573.0;2041.0;112.0;;media
BA;APORA;municipio;229.0;;51.0;140.0;70.0;43.0;;media
BA;ARAMARI;municipio;62.0;;22.0;45.0;16.0;16.0;;media
BA;CICERO DANTAS;municipio;3161.0;;2390.0;855.0;2360.0;89.0;;media
BA;CIPO;municipio;749.0;;443.0;296.0;442.0;154.0;;media
BA;CRISOPOLIS;municipio;2826.0;;2240.0;456.0;2316.0;124.0;;media
BA;INHAMBUPE;municipio;522.0;;387.0;158.0;196.0;267.0;;media
BA;ITAPICURU;municipio;1195.0;;643.0;455.0;667.0;151.0;;media
BA;NOVA SOURE;municipio;1921.0;;1373.0;459.0;1393.0;187.0;;media
BA;OLINDINA;municipio;1671.0;;1085.0;420.0;976.0;342.0;;media
BA;PARIPIRANGA;municipio;3555.0;;3335.0;686.0;74.0;3266.0;;media
BA;RIBEIRA DO AMPARO;municipio;4007.0;;2358.0;1257.0;2364.0;719.0;;media
BA;RIBEIRA DO POMBAL;municipio;4574.0;;2854.0;1331.0;2742.0;660.0;;media
BA;RIO REAL;municipio;266.0;;164.0;149.0;113.0;24.0;;media
BA;SATIRO DIAS;municipio;468.0;;292.0;179.0;295.0;46.0;;media
BA;LITORAL NORTE BAIANO;microrregiao;414.0;;145.0;345.0;55.0;133.0;;media
BA;CARDEAL DA SILVA;municipio;15.0;;;10.0;;;;media
BA;CONDE;municipio;59.0;;44.0;34.0;24.0;;;media
BA;ENTRE RIOS;municipio;57.0;;44.0;34.0;13.0;24.0;;media
BA;ESPLANADA;municipio;62.0;;22.0;55.0;;10.0;;media
BA;ITANAGRA;municipio;10.0;;;10.0;;;;media
BA;JANDAIRA;municipio;211.0;;21.0;202.0;;84.0;;media
BA;RECONCAvtl BAIANO;microrregiao;3397.0;;2948.0;755.0;2570.0;450.0;;media
BA;AMELIA RODRIGUES;municipio;64.0;;57.0;22.0;35.0;18.0;;media
BA;ARATUIPE;municipio;13.0;;;;;7.0;;media
BA;CACHOEIRA;municipio;61.0;;52.0;27.0;29.0;20.0;;media
BA;CONCEIÇÃO DA FEIRA;municipio;78.0;;63.0;18.0;53.0;19.0;;media
BA;CONCEIÇÃO DO ALMEIDA;municipio;104.0;;93.0;18.0;81.0;10.0;;media
BA;CONCEIÇÃO DO JACU IPE;municipio;166.0;;164.0;29.0;139.0;11.0;;media
BA;CRUZ DAS ALMAS;municipio;224.0;;214.0;39.0;186.0;18.0;;media
BA;DOM MACEDO COSTA;municipio;;;;;;;;media
BA;GOVERNADOR MANGABEIRA;municipio;2341.0;;;41.0;311.0;34.0;302.0;media
BA;ITAPARICA;municipio;240.0;;;13.0;;11.0;;media
BA;.JAGUAR IPE;municipio;1033.0;;;12.0;44.0;23.0;29.0;media
BA;MARAGOGIPE;municipio;3867.0;;;43.0;25.0;47.0;15.0;media
BA;MUNIZ FERREIRA;municipio;424.0;;;70.0;27.0;63.0;26.0;media
BA;MURITIBA;municipio;2905.0;;;39.0;674.0;21.0;645.0;media
BA;NAZARE;municipio;681.0;;;13.0;11.0;12.0;;media
BA;SALINAS DA MARGARIDA;municipio;199.0;;;;;;;media
BA;SANTO AMARO;municipio;1945.0;;;23.0;51.0;48.0;11.0;media
BA;SANTO ANTONIO OE JESUS;municipio;2498.0;;;;73.0;10.0;59.0;media
BA;SÃO FEL IX;municipio;859.0;;;52.0;33.0;52.0;31.0;media
BA;SÃO FELIPE;municipio;2521.0;;;23.0;420.0;21.0;407.0;media
BA;SÃO GONÇALO DOS CAMPOS;municipio;1906.0;;;81.0;217.0;83.0;200.0;media
BA;SÃO SEBASTIÃO DO PASSE;municipio;1661.0;;;53.0;136.0;67.0;77.0;media
BA;SAPEAÇU;municipio;1307.0;;;20.0;117.0;30.0;96.0;media
BA;TEODORO SAMPAIO;municipio;699.0;;;111.0;96.0;41.0;112.0;media
BA;TERRA NOVA;municipio;432.0;;;11.0;50.0;24.0;18.0;media
BA;VERA CRUZ;municipio;597.0;;;;;;;media
BA;CAMAÇARI;municipio;2756.0;;;49.0;35.0;71.0;;media
BA;CANDEIAS;municipio;47.0;;;26.0;20.0;26.0;;media
BA;CATU;municipio;79.0;;;205.0;102.0;107.0;141.0;media
BA;LAURO DE FREITAS;municipio;67.0;;;;;;;media
BA;MATA OE SÃO JOÃO;municipio;961.0;;;16.0;22.0;;;media
BA;POJUCA;municipio;553.0;;;;16.0;;;media
BA;SÃO FRANCISCO DO CONDE;municipio;907.0;;;18.0;23.0;19.0;;media
BA;SIMÕES FILHO;municipio;1527.0;;;;;;;media
BA;LITORAL SUL BAIANO;mesorregiao;80059.0;;;3074.0;2337.0;3844.0;845.0;media
BA;TABULEIROS DE VALENÇA;microrregiao;20476.0;;;823.0;215.0;;;media
BA;CAIRU;municipio;912.0;;;;;;;media
BA;CAMAMU;municipio;4502.0;;;13.0;24.0;26.0;;media
BA;IBIRAPITANGA;municipio;895.0;;;31.0;;28.0;;media
BA;ITUBERA;municipio;2580.0;;;26.0;48.0;65.0;;media
BA;MARAU;municipio;1787.0;;;16.0;16.0;25.0;;media
BA;NILO PEÇANHA;municipio;83.0;;;120.0;11.0;115.0;;media
BA;TAPEROA;municipio;1887.0;;;327.0;33.0;284.0;16.0;media
BA;VALENÇA;municipio;6830.0;;;286.0;78.0;275.0;35.0;media
BA;ENCOSTA;microrregiao;9162.0;;;275.0;147.0;330.0;23.0;media
BA;FIRMINO ALVES;municipio;239.0;;;;;;;media
BA;FLORESTA AZUL;municipio;7.0;;;;;;;media
BA;IBICUI;municipio;956.0;;;19.0;14.0;23.0;;media
BA;IGUAi;municipio;686.0;;;28.0;;33.0;;media
BA;ITAGIBA;municipio;784.0;;;32.0;22.0;41.0;;media
BA;ITAGIMIRIM;municipio;210.0;;;;29.0;31.0;;media
BA;ITAJU DO COLONIA;municipio;190.0;;;55.0;20.0;59.0;;media
BA;ITAPEBI;municipio;350.0;;;93.0;31.0;98.0;;media
BA;ITORORO;municipio;1093.0;;;18.0;;14.0;;media
BA;PAU BRASIL;municipio;1080.0;;;;;;;media
BA;POTIRAGUA;municipio;260.0;;;;;;;media
BA;SANTA CRUZ DA VITORIA;municipio;307.0;;;;;10.0;;media
ES;TOTAIS;total;69140.0;21307.0;6677.0;18025.0;9927.0;10897.0;4587.0;alta
ES;ESPIRITO-SANTENSE;mesorregiao;67541.0;21054.0;6618.0;17796.0;9763.0;10784.0;4528.0;alta
ES;ALTO SÃO MATEUS;microrregiao;2774.0;848.0;288.0;654.0;438.0;405.0;307.0;alta
ES;ECOPORANGA;municipio;740.0;312.0;229.0;136.0;219.0;81.0;62.0;alta
ES;MONTANHA;municipio;563.0;332.0;35.0;322.0;154.0;210.0;147.0;alta
ES;MUCURICI;municipio;471.0;204.0;24.0;196.0;65.0;4.0;98.0;alta
ES;COLA TINA;microrregiao;16147.0;5181.0;2241.0;4019.0;365.0;2740.0;1134.0;alta
ES;BAIXO GUANDU;municipio;1184.0;443.0;134.0;372.0;180.0;275.0;78.0;alta
ES;BARRA DE SÃO FRANCISCO;municipio;3251.0;924.0;642.0;615.0;349.0;537.0;160.0;alta
ES;BOA ESPERANÇA;municipio;456.0;187.0;48.0;171.0;116.0;58.0;59.0;alta
ES;COLATINA;municipio;3397.0;1369.0;513.0;1082.0;680.0;681.0;259.0;alta
ES;MANTENOPOLIS;municipio;827.0;212.0;142.0;183.0;56.0;164.0;44.0;alta
ES;MARlLANDIA;municipio;559.0;161.0;15.0;155.0;71.0;98.0;25.0;alta
ES;NOVA VENECIA;municipio;2622.0;842.0;362.0;639.0;395.0;430.0;201.0;alta
ES;PANCAS;municipio;1507.0;391.0;186.0;264.0;195.0;179.0;53.0;alta
ES;SÃO GABRIEL DA PALHA;municipio;2344.0;652.0;199.0;538.0;323.0;318.0;255.0;alta
ES;BAIXADA ESPIRITO-SANTENSE;microrregiao;9467.0;3991.0;584.0;3683.0;2062.0;1702.0;1210.0;alta
ES;ARACRUZ;municipio;806.0;309.0;41.0;291.0;189.0;148.0;57.0;alta
ES;CONCEIÇÃO DA BARRA;municipio;356.0;132.0;;131.0;53.0;74.0;29.0;alta
ES;FUNDÃO;municipio;386.0;74.0;16.0;66.0;41.0;30.0;21.0;alta
ES;JAGUARE;municipio;531.0;329.0;25.0;327.0;203.0;9.0;45.0;alta
ES;LINHARES;municipio;3158.0;1391.0;371.0;1154.0;936.0;435.0;317.0;alta
ES;PEDRO CANARIO;municipio;213.0;141.0;15.0;139.0;65.0;76.0;40.0;alta
ES;PINHEIROS;municipio;703.0;449.0;10.0;446.0;135.0;244.0;265.0;alta
ES;RIO BANANAL;municipio;1154.0;276.0;44.0;250.0;144.0;130.0;141.0;alta
ES;SÃO MATEUS;municipio;2160.0;890.0;59.0;879.0;296.0;446.0;295.0;alta
ES;COL, SERRANA ESPI RITO-SANTENSE;microrregiao;18211.0;5672.0;1455.0;4991.0;2875.0;2884.0;718.0;alta
ES;AFONSO CLAUDIO;municipio;4319.0;1255.0;320.0;1074.0;486.0;712.0;212.0;alta
ES;ALFREDO CHAVES;municipio;1372.0;120.0;20.0;2.0;56.0;59.0;20.0;alta
ES;DOMINGOS MARTINS;municipio;3690.0;788.0;211.0;675.0;430.0;341.0;89.0;alta
ES;IBIRAÇU;municipio;715.0;89.0;31.0;67.0;57.0;27.0;21.0;alta
ES;ITAGUAÇU;municipio;942.0;449.0;233.0;346.0;267.0;241.0;37.0;alta
ES;ITARANA;municipio;914.0;372.0;80.0;344.0;258.0;2.0;76.0;alta
ES;SANTA LEOPOLDINA;municipio;4203.0;1965.0;198.0;1929.0;821.0;1189.0;187.0;alta
ES;SANTA TERESA;municipio;2056.0;634.0;362.0;444.0;500.0;203.0;76.0;alta
ES;VERTENTE ORIENTAL DO CAPARAO;microrregiao;6434.0;1187.0;299.0;972.0;581.0;567.0;202.0;alta
ES;CASTELO;municipio;1557.0;274.0;27.0;254.0;93.0;177.0;18.0;alta
ES;CONCEIÇÃO DO CASTELO;municipio;1189.0;416.0;51.0;391.0;191.0;197.0;121.0;alta
ES;IBATIBA;municipio;709.0;71.0;22.0;53.0;37.0;27.0;10.0;alta
ES;IUNA;municipio;1574.0;217.0;73.0;165.0;120.0;106.0;23.0;alta
ES;MUNIZ FREIRE;municipio;1405.0;209.0;126.0;109.0;140.0;60.0;30.0;alta
ES;CACHOEIRO DE ITAPEMIRIM;microrregiao;987.0;450.0;1376.0;1936.0;990.0;430.0;342.0;alta
ES;ALEGRE;municipio;1899.0;346.0;178.0;230.0;187.0;146.0;42.0;alta
ES;APIACA;municipio;326.0;131.0;98.0;3.0;30.0;103.0;20.0;alta
ES;ATILIO VIVACQUA;municipio;458.0;217.0;133.0;183.0;49.0;127.0;61.0;alta
ES;BOM JESUS DO NORTE;municipio;9.0;69.0;50.0;56.0;21.0;50.0;;alta
ES;CACHOEIRO DE ITAPEMIRIM;municipio;2437.0;541.0;217.0;460.0;189.0;338.0;84.0;alta
ES;DIVINO DE SÃO LOURENÇO;municipio;389.0;56.0;;54.0;30.0;30.0;;alta
ES;VITORIA;mesorregiao;;1599.0;253.0;;59.0;229.0;164.0;alta
ES;VITORIA;microrregiao;;1599.0;253.0;;59.0;229.0;164.0;alta
ES;:ARIACICP;municipio;;597.0;52.0;;;49.0;23.0;alta
ES;SERRA;municipio;;209.0;95.0;;36.0;81.0;66.0;alta
ES;VIANA;municipio;;639.0;67.0;;10.0;61.0;48.0;alta
ES;VILA VELHA;municipio;;137.0;38.0;;;38.0;26.0;alta
ES;VITORIA;municipio;;17.0;;;;;;alta
GO;TOTAIS;total;131365.0;76874.0;33929.0;63711.0;43802.0;14852.0;44954.0;alta
GO;NORDESTE GOIANO;mesorregiao;10842.0;5454.0;1013.0;4975.0;2707.0;1213.0;3252.0;alta
GO;SÃO MIGUEL DO ARAGUAIA;microrregiao;3448.0;1303.0;205.0;1202.0;841.0;373.0;579.0;alta
GO;CRIXAS;municipio;1591.0;374.0;95.0;313.0;175.0;196.0;113.0;alta
GO;MOZARLANOIA;municipio;405.0;230.0;45.0;214.0;146.0;38.0;123.0;alta
GO;MUNDO NOVO;municipio;188.0;65.0;;60.0;53.0;;24.0;alta
GO;NOVA CRIXAS;municipio;593.0;240.0;11.0;237.0;197.0;59.0;103.0;alta
GO;SÃO MIGUEL;municipio;671.0;394.0;47.0;378.0;270.0;76.0;216.0;alta
GO;RIO VC:RMELHO;microrregiao;4802.0;2616.0;623.0;2280.0;1241.0;625.0;1538.0;alta
GO;ARAGUAPAZ;municipio;290.0;153.0;59.0;125.0;92.0;64.0;50.0;alta
GO;ARUANÃ;municipio;327.0;266.0;50.0;242.0;186.0;;114.0;alta
GO;BRITANIA;municipio;89.0;44.0;;43.0;29.0;;20.0;alta
GO;GOIAS;municipio;2398.0;1005.0;377.0;760.0;467.0;207.0;573.0;alta
GO;ITAPIRAPUÂ;municipio;708.0;454.0;85.0;433.0;201.0;85.0;321.0;alta
GO;JUSSARA;municipio;990.0;694.0;46.0;677.0;266.0;255.0;460.0;alta
GO;ARAGARÇAS;microrregiao;2592.0;1535.0;185.0;1493.0;625.0;215.0;1135.0;alta
GO;ARAGARÇAS;municipio;69.0;31.0;;30.0;22.0;11.0;;alta
GO;ARENOPOLIS;municipio;389.0;174.0;32.0;165.0;77.0;;134.0;alta
GO;BALIZA;municipio;236.0;89.0;2.0;87.0;31.0;11.0;61.0;alta
GO;BOM JARDIM DE GOIAS t;municipio;442.0;242.0;16.0;237.0;100.0;27.0;175.0;alta
GO;OIORAMA;municipio;255.0;129.0;23.0;125.0;51.0;;95.0;alta
GO;MONTES CLAROS DE GOIAS;municipio;620.0;474.0;104.0;455.0;221.0;152.0;332.0;alta
GO;PIRANHAS;municipio;581.0;396.0;;394.0;123.0;;331.0;alta
GO;NORTE GOIANO;mesorregiao;18871.0;5345.0;1977.0;4134.0;2585.0;627.0;3010.0;alta
GO;PORANGATU;microrregiao;14866.0;4903.0;1834.0;3771.0;2317.0;1451.0;2857.0;alta
GO;CAMPINAÇU;municipio;284.0;237.0;94.0;201.0;71.0;75.0;;alta
GO;CAMP I NORTE;municipio;356.0;193.0;55.0;157.0;79.0;;93.0;alta
GO;ESTRELA DO NORTE;municipio;122.0;90.0;32.0;70.0;47.0;;55.0;alta
GO;FORMOSO;municipio;1209.0;560.0;229.0;432.0;255.0;240.0;237.0;alta
GO;MARA ROSA;municipio;2935.0;804.0;343.0;605.0;375.0;442.0;759.0;alta
GO;MINAÇU;municipio;1142.0;159.0;80.0;106.0;77.0;74.0;51.0;alta
GO;MUTUNOPOLIS;municipio;434.0;189.0;59.0;166.0;97.0;16.0;126.0;alta
GO;NIQUELANOIA;municipio;3577.0;445.0;163.0;361.0;233.0;182.0;177.0;alta
GO;PORANGATU;municipio;1604.0;863.0;166.0;773.0;416.0;312.0;394.0;alta
GO;SANTA TEREZA OE GOIAS;municipio;188.0;124.0;44.0;102.0;76.0;27.0;52.0;alta
GO;SANTA TEREZINHA OE GOIAS;municipio;1228.0;614.0;130.0;535.0;150.0;12.0;516.0;alta
GO;URUAÇU;municipio;1225.0;578.0;296.0;370.0;311.0;34.0;322.0;alta
GO;CHAPADA OOS VEADE I ROS;microrregiao;4005.0;442.0;143.0;363.0;268.0;176.0;153.0;alta
GO;ALTO PARA ISO OE GOIAS;municipio;172.0;32.0;13.0;25.0;27.0;;10.0;alta
GO;CAMPOS BELOS;municipio;330.0;64.0;26.0;42.0;37.0;;30.0;alta
GO;CAVALCANTE;municipio;1731.0;37.0;24.0;25.0;35.0;;;alta
GO;MONTE ALEGRE DE GOIAS;municipio;572.0;78.0;31.0;58.0;43.0;30.0;33.0;alta
GO;NOVA ROMA;municipio;655.0;54.0;19.0;40.0;39.0;24.0;20.0;alta
GO;SÃO JOÃO O' ALIANÇA;municipio;545.0;177.0;30.0;173.0;87.0;100.0;55.0;alta
GO;CENTRO GOIANO;mesorregiao;;40638.0;;20100.0;23235.0;18697.0;5101.0;alta
GO;CERES;microrregiao;;13382.0;;7239.0;6473.0;6415.0;2945.0;alta
GO;BARRO ALTO;municipio;;802.0;;206.0;302.0;205.0;37.0;alta
GO;CARMO;municipio;;880.0;;598.0;629.0;556.0;386.0;alta
GO;CERES;municipio;;1157.0;;880.0;717.0;806.0;290.0;alta
GO;GOIANESIA;municipio;;975.0;;328.0;432.0;367.0;101.0;alta
GO;HIDROLINA;municipio;;327.0;;66.0;118.0;65.0;50.0;alta
GO;ITAPACI;municipio;;924.0;;287.0;543.0;331.0;416.0;alta
GO;I T APURANGA;municipio;;2718.0;;2220.0;1111.0;1861.0;115.0;alta
GO;NOVA AMERICA;municipio;;229.0;;108.0;97.0;89.0;87.0;alta
GO;NOVA GLORIA;municipio;;760.0;;322.0;497.0;334.0;240.0;alta
GO;PILAR DE GOIAS, l;municipio;;1113.0;;321.0;285.0;278.0;161.0;alta
GO;RIALMA;municipio;;203.0;;98.0;115.0;101.0;16.0;alta
GO;RIANAPOLIS;municipio;;146.0;;94.0;92.0;90.0;18.0;alta
GO;RUBIATABA;municipio;;1910.0;;1121.0;577.0;723.0;408.0;alta
GO;SANTA ISABEL;municipio;;330.0;;171.0;239.0;181.0;86.0;alta
GO;URUANA;municipio;;908.0;;419.0;719.0;428.0;534.0;alta
GO;ANAPOLIS;microrregiao;;11456.0;;6344.0;6762.0;5575.0;911.0;alta
GO;ANAPOLIS;municipio;;1268.0;;474.0;647.0;528.0;46.0;alta
GO;ARAÇU;municipio;;367.0;;278.0;227.0;199.0;119.0;alta
GO;BRAZABRANTES;municipio;;246.0;;166.0;33.0;147.0;;alta
GO;CATURAI;municipio;;371.0;;241.0;298.0;208.0;;alta
GO;DAMOLANDIA;municipio;;188.0;;109.0;49.0;101.0;;alta
GO;HEITORA(;municipio;;253.0;;166.0;162.0;94.0;;alta
GO;INHUMAS;municipio;;1493.0;;959.0;632.0;756.0;50.0;alta
GO;ITABERA(;municipio;;1384.0;;881.0;1069.0;818.0;142.0;alta
GO;ITAGUARU;municipio;;733.0;;203.0;509.0;100.0;30.0;alta
GO;ITAUÇU;municipio;;629.0;;442.0;259.0;358.0;39.0;alta
GO;JARAGUA;municipio;;1638.0;;841.0;1112.0;787.0;321.0;alta
GO;NOVA VENEZA;municipio;;231.0;;150.0;170.0;156.0;;alta
GO;PETROLINA DE GOIAS;municipio;;850.0;;383.0;494.0;358.0;35.0;alta
GO;SANTA ROSA DE GOIAS;municipio;;308.0;;95.0;77.0;98.0;10.0;alta
GO;SÃO FRANCISCO DE GOIAS;municipio;572.0;525.0;456.0;446.0;445.0;57.0;413.0;alta
GO;TAQUARAL OE GOIAS;municipio;;662.0;;451.0;454.0;357.0;31.0;alta
GO;IPORA;microrregiao;;3557.0;;915.0;2229.0;1120.0;157.0;alta
GO;AMORINOPOLIS;municipio;;292.0;;104.0;191.0;106.0;;alta
GO;CACHOEIRA OE GOIAS;municipio;;76.0;;23.0;40.0;23.0;;alta
GO;CORREGO;municipio;;312.0;;61.0;197.0;79.0;;alta
GO;FAZENDA NOVA;municipio;;838.0;;43.0;546.0;101.0;23.0;alta
GO;IPORA;municipio;;759.0;;294.0;547.0;336.0;;alta
GO;ISRAELANDIA;municipio;;196.0;;67.0;138.0;92.0;10.0;alta
GO;IVOLANDIA;municipio;;364.0;;42.0;214.0;82.0;;alta
GO;JAUPACI;municipio;;109.0;;28.0;82.0;49.0;;alta
GO;MOIPORA;municipio;;178.0;;78.0;91.0;85.0;;alta
GO;NOVO SRAS I L;municipio;;433.0;;175.0;183.0;167.0;92.0;alta
GO;ANICUNS;microrregiao;;5615.0;;3495.0;3915.0;3185.0;403.0;alta
GO;AMERICANO;municipio;;176.0;;135.0;133.0;125.0;;alta
GO;ANICUNS;municipio;;1226.0;;944.0;971.0;800.0;16.0;alta
GO;AURILANDIA;municipio;;319.0;;200.0;108.0;196.0;35.0;alta
GO;AVELINOPOLIS;municipio;;198.0;;174.0;168.0;145.0;;alta
GO;FIRMINOPOLIS;municipio;;596.0;;380.0;378.0;389.0;45.0;alta
GO;MOSSAMEOES;municipio;;993.0;;632.0;699.0;503.0;100.0;alta
GO;NAZARIO;municipio;;188.0;;106.0;156.0;110.0;20.0;alta
GO;BELA VISTA DE GOIAS;municipio;;990.0;366.0;833.0;393.0;24.0;759.0;alta
GO;GOIANAPOLIS;municipio;;203.0;109.0;172.0;145.0;;120.0;alta
GO;GOIANIRA;municipio;;413.0;247.0;318.0;237.0;71.0;274.0;alta
GO;GUAPO;municipio;;283.0;144.0;240.0;170.0;117.0;110.0;alta
GO;HlDROLANDIA;municipio;;545.0;190.0;11.0;250.0;44.0;372.0;alta
GO;LEOPOLDO OE BULHÔES;municipio;;400.0;286.0;303.0;295.0;;247.0;alta
GO;NEROPOLIS;municipio;;256.0;155.0;240.0;165.0;21.0;181.0;alta
GO;TRINDADE;municipio;;628.0;291.0;513.0;319.0;129.0;341.0;alta
