_uf;_label;_level;estab_total;inform_forca_total;inform_animal;inform_mecanica;inform_propria;inform_alugada;inform_outra_sem_decl;confianca
AL;COITE;municipio;1656.0;376.0;355.0;109.0;112.0;182.0;104.0;media
AL;CRAIBAS;municipio;2114.0;289.0;250.0;48.0;197.0;36.0;69.0;media
AL;FEIRA GRANDE;municipio;3705.0;77.0;21.0;64.0;17.0;58.0;;media
AL;GIRAU DO PONCIANO;municipio;5279.0;265.0;216.0;99.0;166.0;51.0;78.0;media
AL;JUNQUEIRO;municipio;2954.0;164.0;14.0;162.0;52.0;113.0;;media
AL;LAGOA DA CANOA;municipio;1393.0;37.0;13.0;33.0;18.0;21.0;;media
AL;LIMOEIRO DE ANADIA;municipio;4759.0;76.0;14.0;71.0;31.0;37.0;11.0;media
AL;OLHO D' AGUA GRANDE;municipio;1112.0;365.0;354.0;173.0;86.0;171.0;114.0;media
AL;MATA ALAGOANA;mesorregiao;19212.0;;;1120.0;1738.0;1413.0;441.0;media
AL;MATA ALAGOANA;microrregiao;11640.0;;;738.0;814.0;864.0;153.0;media
AL;ATALAIA;municipio;617.0;;;28.0;157.0;94.0;;media
AL;BRANQUINHA;municipio;165.0;;;24.0;24.0;22.0;;media
AL;CAJUEIRO;municipio;80.0;;;74.0;40.0;74.0;;media
AL;CAPELA;municipio;503.0;;;23.0;61.0;49.0;;media
AL;CHÃ PRETA;municipio;1124.0;;;15.0;16.0;16.0;;media
AL;COLONIA LEOPOLDINA;municipio;320.0;;;21.0;24.0;30.0;;media
AL;FLEXEIRAS;municipio;127.0;;;53.0;44.0;44.0;;media
AL;I BATEGUARA;municipio;1015.0;;;15.0;33.0;23.0;14.0;media
AL;.JACUIPE;municipio;213.0;;;36.0;26.0;38.0;;media
AL;.JOAQUIM GOMES;municipio;796.0;;;37.0;42.0;40.0;;media
AL;.JUNDIA;municipio;94.0;;;20.0;23.0;28.0;;media
AL;MESSIAS;municipio;25.0;;;18.0;15.0;17.0;;media
AL;MURICI;municipio;137.0;;;57.0;55.0;55.0;;media
AL;NOVO LINO;municipio;287.0;;;43.0;30.0;47.0;;media
AL;PINDOBA;municipio;480.0;;;15.0;27.0;22.0;16.0;media
AL;SANTANA;municipio;1063.0;;;21.0;10.0;23.0;;media
AL;SÃO JOSE DA LA;municipio;304.0;;;61.0;50.0;67.0;;media
AL;UNIÃO DOS PALMARES;municipio;2489.0;;;86.0;113.0;96.0;43.0;media
AL;VIÇOSA;municipio;1801.0;;;91.0;24.0;79.0;24.0;media
AL;LITORAL NORTE ALAGOANO;microrregiao;3723.0;;;295.0;325.0;274.0;103.0;media
AL;BARRA DE SANTO ANTONIO;municipio;134.0;;;10.0;17.0;17.0;;media
AL;JAPARATINGA;municipio;381.0;;;47.0;27.0;20.0;38.0;media
AL;MARAGOGI;municipio;792.0;;;11.0;46.0;19.0;24.0;media
AL;MATRIZ DE CAMARAGIBE;municipio;67.0;;;28.0;42.0;32.0;;media
AL;PASSO DE CAMARAGIBE;municipio;222.0;;;63.0;57.0;40.0;31.0;media
AL;PORTO CALVO;municipio;664.0;;;47.0;58.0;54.0;;media
AL;PORTO DE PEDRAS;municipio;689.0;;;16.0;19.0;22.0;;media
AL;SÃO MIGUEL DOS MILAGRES;municipio;370.0;;;;15.0;;;media
AL;TABULEIROS DE S MIGUEL DOS CAMPOS;microrregiao;3849.0;;;87.0;599.0;275.0;185.0;media
AL;BARRA OE SÃO MIGUEL;municipio;44.0;;;;20.0;;;media
AL;BOCA DA MATA;municipio;;;;;;;;media
AL;CAMPO ALEGRE;municipio;459.0;;;;101.0;60.0;32.0;media
AL;CORURIPE;municipio;2552.0;;;20.0;292.0;90.0;130.0;media
AL;ROTEIRO;municipio;33.0;;;;13.0;;;media
AL;SÃO MIGUEL DOS CAMPOS;municipio;347.0;;;;105.0;43.0;10.0;media
AM;TOTAIS;total;116302.0;1283.0;316.0;993.0;471.0;103.0;781.0;baixa
AM;HILEIA AMAZONENSE;mesorregiao;75883.0;339.0;218.0;126.0;205.0;36.0;113.0;baixa
AM;ALTO SOLIMÕES;microrregiao;12818.0;29.0;21.0;;20.0;;;baixa
AM;AMATURA;municipio;839.0;;;;;;;baixa
AM;ATALAIA DO NORTE;municipio;813.0;;;;;;;baixa
AM;BENJAMIN CONSTANT;municipio;902.0;;;;;;;baixa
AM;FONTE BOA;municipio;1881.0;;;;;;;baixa
AM;JUTA(;municipio;2133.0;22.0;17.0;;17.0;;;baixa
AM;SANTO;municipio;;;;;;;;baixa
AM;SÃO PAULO DE OLIVENÇA;municipio;407.0;;;;;;;baixa
AM;TABATINGA;municipio;997.0;;;;;;;baixa
AM;TONANTINS;municipio;1121.0;;;;;;;baixa
AM;JURUA;microrregiao;12862.0;155.0;141.0;14.0;128.0;;32.0;baixa
AM;CARAUARI;municipio;1695.0;;;;;;2.0;baixa
AM;EIRUNEPE;municipio;1623.0;;;;2.0;;2.0;baixa
AM;ENYIRA;municipio;792.0;;;;2.0;;2.0;baixa
AM;IPIXUNA;municipio;591.0;116.0;116.0;;102.0;;18.0;baixa
AM;ITAMAAATI;municipio;1309.0;;;;;;;baixa
AM;JURUA;municipio;152.0;29.0;21.0;;21.0;;;baixa
AM;PURUS;microrregiao;14705.0;77.0;19.0;61.0;27.0;32.0;21.0;baixa
AM;BOCA DO ACRE;municipio;5.0;25.0;10.0;17.0;21.0;;;baixa
AM;CANUTAMA;municipio;2175.0;;;;;;;baixa
AM;LABREA;municipio;982.0;;;;;;;baixa
AM;PAUINI;municipio;1277.0;;;;;;;baixa
AM;TAPAUA;municipio;3266.0;44.0;;42.0;;31.0;12.0;baixa
AM;MADEIRA;microrregiao;12849.0;23.0;13.0;10.0;15.0;;;baixa
AM;BORBA;municipio;2971.0;;;;;;;baixa
AM;NIMAITA;municipio;2518.0;15.0;11.0;;;;;baixa
AM;MANICORE;municipio;554.0;;;;;2.0;;baixa
AM;NOVO ARIPUANÃ;municipio;2736.0;;;;;;;baixa
AM;RIO NEGRO;microrregiao;6519.0;21.0;15.0;;;;;baixa
AM;BARCELOS;municipio;;;;;;;;baixa
AM;NOVO AIRÃO;municipio;455.0;;;;;;;baixa
