_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;confianca
BA;OESTE BAIANO;microrregiao;1255751.0;764251.0;609289.0;491500.0;37755.0;baixa
BA;CHAPADÕES DO ALTO RIO GRANDE;microrregiao;;72472.0;58743.0;40554.0;30054.0;baixa
BA;ANGICAL;municipio;;6464.0;5748.0;2401.0;1943.0;baixa
BA;BAIANOPOLIS s;municipio;;2904.0;2444.0;2122.0;1800.0;baixa
BA;BARREIRAS;municipio;;7087.0;15602.0;3566.0;416.0;baixa
BA;BREJOLANDIA;municipio;;4350.0;2805.0;3431.0;2063.0;baixa
BA;CATOLANDIA;municipio;;1638.0;1054.0;1329.0;831.0;baixa
BA;COTEGIPE;municipio;;10537.0;8004.0;5152.0;2979.0;baixa
BA;CRISTOPOLIS;municipio;;2868.0;2285.0;2038.0;1708.0;baixa
BA;FORMOSA DO RIO F'RETO;municipio;;6493.0;5354.0;3061.0;2048.0;baixa
BA;RIACHÃO DAS NEVES;municipio;;6155.0;5053.0;3388.0;2645.0;baixa
BA;SANTA RITA OE CASSIA;municipio;;11272.0;9655.0;6875.0;717.0;baixa
BA;SÃO DES IDER I;municipio;;8501.0;7492.0;4035.0;3415.0;baixa
BA;TABOCAS;municipio;;4203.0;3247.0;3156.0;2489.0;baixa
BA;CHAPADÕES;municipio;;48624.0;35774.0;35475.0;24702.0;baixa
BA;CANAPO LI S;municipio;;3088.0;503.0;2055.0;1569.0;baixa
BA;cocos;municipio;;5597.0;3593.0;4822.0;2907.0;baixa
BA;CORIBE;municipio;;5760.0;4768.0;3814.0;3084.0;baixa
BA;CORRENTINA;municipio;;11649.0;7869.0;9765.0;6438.0;baixa
BA;SANTA MARIA DA VITORIA;municipio;;9717.0;6675.0;6670.0;4263.0;baixa
BA;SANTANA;municipio;;;;;;baixa
BA;SERRA DOURADA;municipio;;5239.0;4674.0;3120.0;2829.0;baixa
BA;BAIXO-MEDI O SÃO FRANCISCO;municipio;;98437.0;70961.0;67310.0;47035.0;baixa
BA;BARRA;municipio;;20836.0;15261.0;13127.0;9237.0;baixa
BA;CAMPO ALEGRE OE LOUROES;municipio;;8698.0;6471.0;6619.0;4974.0;baixa
BA;CASA NOVA;municipio;;17219.0;11641.0;13901.0;9247.0;baixa
BA;IBOTIRAMA;municipio;;3719.0;2605.0;2495.0;1613.0;baixa
BA;MORPARA s;municipio;;3703.0;2976.0;1978.0;1495.0;baixa
BA;PILÃO ARCADO;municipio;;12718.0;8599.0;9887.0;6601.0;baixa
BA;REMANSO;municipio;;9831.0;6176.0;7766.0;4704.0;baixa
BA;SENTO SE;municipio;;12827.0;9722.0;6714.0;5146.0;baixa
BA;XIQUE-XIQUE;municipio;;8886.0;7510.0;4823.0;4018.0;baixa
BA;MEDIO SÃO FRANCISCO;municipio;;51514.0;39585.0;30789.0;22266.0;baixa
BA;BOM JESUS DA LAPA;municipio;;21979.0;17644.0;11101.0;8601.0;baixa
BA;CARINHANHA;municipio;;10606.0;7313.0;6337.0;3812.0;baixa
BA;MALHADA;municipio;;11076.0;;;;baixa
BA;PARATINGA;municipio;;7853.0;516.0;6532.0;4515.0;baixa
BA;CHAPADA DIAMANTINA SETENTRIONAL;municipio;;89894.0;77192.0;43429.0;35280.0;baixa
BA;o BARRA DO MENDES;mesorregiao;;298.0;12.0;402.0;2269.0;baixa
BA;CAFARNAUM;municipio;;10538.0;8770.0;5062.0;4018.0;baixa
BA;CANARANA;municipio;;8790.0;7138.0;6209.0;4908.0;baixa
BA;CENTRAL;municipio;;;;;;baixa
BA;GENTIO DO OURO;municipio;;4221.0;3667.0;2551.0;2154.0;baixa
BA;IBIPEBA;municipio;;389.0;3131.0;1083.0;955.0;baixa
BA;IBITITA;municipio;;5339.0;4601.0;727.0;2443.0;baixa
BA;IRECE;municipio;;23652.0;20625.0;533.0;7680.0;baixa
BA;JUSSARA;municipio;;399.0;2128.0;606.0;4.0;baixa
BA;TOTAIS;total;84288.0;;345568.0;83472.0;80001.0;baixa
BA;OESTE BAIANO;mesorregiao;32288.0;;135970.0;32403.0;31238.0;baixa
BA;CHAPAOÔES DO ALTO RIO GRANDE;microrregiao;3296.0;;15792.0;1822.0;1776.0;baixa
BA;ANGICAL;municipio;737.0;2579.0;63.0;63.0;;baixa
BA;BAIANOPOLIS;municipio;13.0;;252.0;13.0;13.0;baixa
BA;BARREIRAS;municipio;319.0;;1592.0;89.0;79.0;baixa
BA;BREJOLANDIA;municipio;28.0;;80.0;;;baixa
BA;CATOLANDIA;municipio;;;;;;baixa
BA;COTEGIPE;municipio;495.0;;4013.0;123.0;98.0;baixa
BA;CRISTOPOLIS;municipio;;;11.0;;;baixa
BA;FORMOSA DO RIO PRETO;municipio;278.0;;2650.0;132.0;132.0;baixa
BA;RIACHÃO DAS NEVES;municipio;239.0;;1180.0;59.0;55.0;baixa
BA;SANTA RITA DE CASSIA;municipio;749.0;;3457.0;930.0;923.0;baixa
BA;SÃO DESIDERIO;municipio;409.0;;2870.0;397.0;397.0;baixa
BA;TABOCAS DO BREJO VELHO;municipio;17.0;;104.0;13.0;13.0;baixa
BA;CHAPADÕES DO RIO CORRENTE;microrregiao;832.0;;4516.0;256.0;247.0;baixa
