_uf;_label;_level;estab_total;num_pessoas_total;estab_menos_5;num_pessoas_menos_5;estab_5_a_10;num_pessoas_5_a_10;confianca
AL;MATA ALAGOANA;microrregiao;;7032.0;15600.0;2647.0;17082.0;;alta
AL;ATALAIA;municipio;;251.0;460.0;115.0;767.0;;media
AL;BRANOU I NHA;municipio;;79.0;204.0;44.0;272.0;;media
AL;CAJUEIRO;municipio;;;28.0;19.0;139.0;;media
AL;CAPELA;municipio;;235.0;526.0;98.0;643.0;;media
AL;CHÃ PRETA;municipio;;796.0;1722.0;253.0;1619.0;;media
AL;COLONIA LEOPOLDINA;municipio;;136.0;327.0;88.0;590.0;;media
AL;FLEXEIRAS;municipio;;34.0;91.0;17.0;105.0;;media
AL;IBATEGUARA;municipio;;741.0;1424.0;173.0;1118.0;;media
AL;JACU IPE;municipio;;99.0;225.0;57.0;364.0;;media
AL;JOAQUIM GOMES;municipio;;420.0;1036.0;222.0;1463.0;;media
AL;JUNDIA;municipio;;15.0;43.0;14.0;86.0;;media
AL;MESSIAS;municipio;;;;;47.0;;media
AL;MURICI;municipio;;38.0;111.0;18.0;124.0;;media
AL;NOVO LINO;municipio;;117.0;310.0;84.0;536.0;;media
AL;PINOOBA;municipio;;343.0;691.0;86.0;544.0;;media
AL;SANTANA DO MUNDAU;municipio;;752.0;824.0;229.0;1421.0;;media
AL;SÂO JOSE DA LAJE;municipio;;87.0;184.0;71.0;488.0;;media
AL;UNI ÂO DOS PALMARES;municipio;;1759.0;3925.0;558.0;3561.0;;media
AL;VIÇOSA;municipio;;1119.0;2466.0;494.0;3195.0;;media
AL;LITORAL NORTE ALAGOANO;microrregiao;;2851.0;4665.0;372.0;2393.0;;alta
AL;BARRA DE SANTO ANTONIO;municipio;;111.0;130.0;;24.0;;media
AL;JAPARAT I NGA;municipio;;323.0;534.0;34.0;208.0;;media
AL;MARAGOGI;municipio;;715.0;931.0;39.0;233.0;;media
AL;MATRIZ DE CAMARAGIBE;municipio;;;14.0;;28.0;;media
AL;PASSO DE CAMARAGIBE;municipio;;153.0;215.0;25.0;169.0;;media
AL;PORTO CALVO;municipio;;524.0;907.0;47.0;289.0;;media
AL;PORTO DE PEDRAS;municipio;;528.0;894.0;70.0;474.0;;media
AL;SÃO MIGUEL DOS MILAGRES;municipio;;325.0;582.0;20.0;146.0;;media
AL;TABULEIROS DE S MIGUEL DOS CAMPOS;microrregiao;;2181.0;3874.0;689.0;4505.0;;alta
AL;BARRA DE SÃO MIGUEL;municipio;;26.0;36.0;;11.0;;alta
AL;BOCA DA MATA;municipio;;235.0;505.0;56.0;367.0;;alta
AL;CAMPO ALEGRE;municipio;;293.0;599.0;51.0;318.0;;alta
AL;CORURIPE;municipio;;1373.0;2416.0;570.0;3749.0;;alta
AL;ROTEIRO;municipio;;;;;12.0;;alta
AL;SÃO MIGUEL DOS CAMPOS;municipio;;247.0;311.0;;48.0;;alta
AM;TOTAIS;total;116302.0;545077.0;64423.0;167349.0;44615.0;287976.0;baixa
AM;HI LEIA AMAZONENSE;microrregiao;75663.0;345490.0;42416.0;107467.0;28993.0;186808.0;baixa
AM;ALTO SOLIMÕES;municipio;12818.0;63905.0;17513.0;5963.0;38173.0;;baixa
AM;JURUA;municipio;12862.0;42450.0;9966.0;22763.0;2615.0;16204.0;baixa
AM;u CARAUARI;mesorregiao;695.0;5472.0;1426.0;3688.0;259.0;1481.0;baixa
AM;PURUS;municipio;14705.0;67865.0;7888.0;19618.0;839.0;37483.0;baixa
AM;MADEIRA;municipio;12805.0;64065.0;6381.0;16331.0;5513.0;36293.0;baixa
