_uf;_label;_level;estab_proprietario;area_ha_proprietario;estab_arrendatario;area_ha_arrendatario;estab_parceiro;area_ha_parceiro;estab_ocupante;area_ha_ocupante;confianca
AL;COITE DO NOIA;municipio;1006.0;6133.0;194.0;209.0;29.0;46.0;427.0;742.0;alta
AL;CRAIBAS;municipio;1337.0;18745.0;206.0;275.0;19.0;25.0;552.0;763.0;alta
AL;FEIRA GRANDE;municipio;1939.0;13722.0;633.0;728.0;38.0;173.0;1095.0;1282.0;alta
AL;GIRAU DO PONCIANO;municipio;2629.0;51464.0;185.0;244.0;18.0;76.0;2447.0;3187.0;alta
AL;JUNQUEIRO;municipio;1962.0;20282.0;143.0;265.0;;;840.0;1470.0;alta
AL;LAGOA DA CANOA;municipio;745.0;3924.0;105.0;123.0;14.0;;529.0;609.0;alta
AL;LIMOEIRO DE ANADIA;municipio;2153.0;25028.0;681.0;1001.0;;15.0;1921.0;2390.0;alta
AL;OLHO D' AGUA GRANDE;municipio;767.0;15321.0;108.0;88.0;;;231.0;553.0;alta
AL;MATA ALAGOANA;mesorregiao;;725057.0;4816.0;110757.0;497.0;10859.0;2991.0;15128.0;alta
AL;MATA ALAGOANA;microrregiao;5877.0;399449.0;3653.0;61764.0;86.0;347.0;2024.0;;alta
AL;ATALAIA;municipio;528.0;40965.0;9124.0;;;;;;alta
AL;BRANQU;municipio;;18299.0;41.0;634.0;;;17.0;13.0;alta
AL;CAJUEIRO;municipio;;4461.0;48.0;3607.0;;;;;alta
AL;CAPELA;municipio;;19594.0;120.0;5313.0;;;23.0;134.0;alta
AL;CHÃ PRETA;municipio;;14730.0;637.0;1911.0;;;201.0;1041.0;alta
AL;COLONIA LEOPOLDINA;municipio;;13749.0;27.0;1448.0;;50.0;130.0;2460.0;alta
AL;FLEXEIRAS;municipio;;22634.0;23.0;2742.0;;;36.0;1222.0;alta
AL;I BATE GUARA;municipio;;20503.0;69.0;281.0;;;389.0;866.0;alta
AL;JACU IPE;municipio;;14359.0;39.0;2892.0;;;129.0;156.0;alta
AL;.JOAQUIM GOMES;municipio;;31407.0;52.0;3402.0;31.0;120.0;103.0;342.0;alta
AL;.JUNOIA;municipio;;4487.0;25.0;5395.0;;;;;alta
AL;MESSIAS;municipio;;13156.0;;664.0;;;;;alta
AL;MURICI;municipio;;36900.0;25.0;5652.0;;;;82.0;alta
AL;NOVO LINO;municipio;;12889.0;60.0;7330.0;;;20.0;736.0;alta
AL;PINOOBA;municipio;;11227.0;157.0;383.0;;;49.0;332.0;alta
AL;SANTANA DO MUNDAU;municipio;;18419.0;520.0;3201.0;;;73.0;273.0;alta
AL;SÃO JOSE DA LAJE;municipio;;22970.0;17.0;464.0;;;21.0;156.0;alta
AL;UNIÃO DOS PALMARES;municipio;;50534.0;636.0;3107.0;42.0;125.0;564.0;1502.0;alta
AL;VIÇOSA;municipio;;28156.0;1066.0;4205.0;;37.0;259.0;246.0;alta
AL;l I TORAL NORTE ALAGO ANO;microrregiao;;146894.0;574.0;26705.0;409.0;10317.0;744.0;1209.0;alta
AL;BARRA DE SANTO ANTONIO;municipio;;8684.0;;1880.0;;641.0;;;alta
AL;.JAPARAT I NGA;municipio;;6942.0;20.0;1001.0;11.0;;55.0;59.0;alta
AL;MARAGOGI;municipio;;21933.0;21.0;1732.0;308.0;255.0;18.0;256.0;alta
AL;MATRIZ DE CAMARAGIBE;municipio;;16605.0;;3966.0;;3468.0;;169.0;alta
AL;PASSO DE CAMARAGIBE;municipio;;21036.0;12.0;1529.0;20.0;20.0;26.0;84.0;alta
AL;PORTO CALVO;municipio;;28732.0;382.0;7080.0;15.0;364.0;189.0;221.0;alta
AL;PORTO DE PEDRAS;municipio;;15365.0;114.0;4708.0;39.0;51.0;167.0;210.0;alta
AL;SÃO MIGUEL DOS MILAGRES;municipio;;5411.0;;;;748.0;;;alta
AL;TABULEIROS DE S MIGUEL DOS CAMPOS;microrregiao;3035.0;178712.0;589.0;22287.0;194.0;223.0;4128.0;;alta
AL;BARRA DE SÃO MIGUEL;municipio;;3057.0;;1651.0;;;;;alta
AL;BOCA DA MATA;municipio;;20285.0;40.0;1234.0;;;;;alta
AL;CAMPO ALEGRE;municipio;;22517.0;143.0;991.0;;;50.0;62.0;alta
AL;CORURIPE;municipio;;72516.0;311.0;7671.0;;13.0;151.0;3304.0;alta
AL;ROTEIRO;municipio;;12987.0;;220.0;;;;;alta
AL;SÃO MIGUEL DOS CAMPOS;municipio;;47348.0;89.0;10518.0;;181.0;16.0;758.0;alta
AM;TOTAIS;total;56968.0;4032961.0;13260.0;281650.0;50512.0;45612.0;;;baixa
AM;HILEIA AMAZONENSE;mesorregiao;23883.0;2173826.0;12903.0;26115.0;47171.0;38555.0;;;baixa
AM;ALTO SOLIMÕES;microrregiao;16.0;37707.0;191.0;432.0;11.0;;;;baixa
AM;AMATURA;microrregiao;133.0;2074.0;;;;701.0;;;baixa
AM;ATALAIA DO NORTE;microrregiao;56.0;1540.0;;;;757.0;;;baixa
AM;BENJAMIN CONSTANT;microrregiao;791.0;30.0;110.0;1333.0;;;;;baixa
AM;FONTE BOA;microrregiao;339.0;8302.0;;;13.0;1538.0;;;baixa
AM;JUTA(;microrregiao;297.0;5826.0;;23.0;;1133.0;;;baixa
AM;SANTO ANTONIO DO IÇA;microrregiao;75.0;3390.0;;;;6.0;;;baixa
AM;SÃO PÁULO DE OL;microrregiao;130.0;2006.0;188.0;;;89.0;;;baixa
AM;TABATINGA;microrregiao;93.0;1676.0;;;;904.0;;;baixa
AM;TONANTINS;microrregiao;102.0;;;;15.0;1021.0;;;baixa
AM;JURUA;microrregiao;1412.0;51816.0;8870.0;23210.0;19741.0;2536.0;;;baixa
AM;CARAUARI;microrregiao;88.0;3085.0;1162.0;3870.0;3.0;444.0;;;baixa
AM;EIRUNEPE;microrregiao;95.0;20878.0;1088.0;2027.0;;430.0;;;baixa
AM;ENVIRA;microrregiao;233.0;6786.0;296.0;5870.0;20.0;262.0;;;baixa
AM;IPIXUNA;microrregiao;916.0;5307.0;352.0;7340.0;16.0;285.0;;;baixa
