_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;confianca
AL;SANTANA DO MUNDAU;municipio;1344.0;816.0;655.0;;;;;media
AL;SÃO JOSE DA LAJE;municipio;185.0;183.0;;;;;;media
AL;"UNIÃO DOS PALMARf;S";municipio;766.0;461.0;12.0;10.0;;78.0;;media
AL;VIÇOSA;municipio;1406.0;791.0;640.0;;;;;media
AL;LITORAL NORTE;microrregiao;485.0;229.0;192.0;;;;;media
AL;BARRA DE SANTO ANTONIO;municipio;32.0;30.0;;;;;;media
AL;JAPARATINGA;municipio;42.0;18.0;;;;;;media
AL;MARAGOGI;municipio;85.0;;;;;;;media
AL;MATRIZ DE CAMARAG I BE;municipio;117.0;52.0;48.0;;;;;media
AL;PASSO DE CAMARAG I BE;municipio;21.0;19.0;;;;;;media
AL;PORTO CALVO;municipio;41.0;24.0;;;;;;media
AL;PORTO DE PEDRAS;municipio;62.0;37.0;37.0;;;;;media
AL;SÃO MIGUEL DOS MILAGRES;municipio;;;;;;;;media
AL;TABULEIROS DE s MIGUEL DOS CAMPOS;microrregiao;1018.0;686.0;;;;71.0;20.0;media
AL;BOCA DA;municipio;;;;;;;;media
AL;CAMPO ALEGRE;municipio;89.0;81.0;;;;;;media
AL;CORURIPE;municipio;338.0;225.0;;;;32.0;18.0;media
AL;SÃO MIGUEL DOS CAMPOS;municipio;212.0;139.0;;;;30.0;;media
AM;TOTAIS;total;33391.0;19325.0;684.0;432.0;203.0;270.0;28.0;media
AM;HILEIA AMAZONENSE;mesorregiao;2455.0;1244.0;953.0;;;;;media
AM;ALTO SOLIMÕES;microrregiao;246.0;105.0;65.0;;;;;media
AM;ATALAIA DO NORTE;municipio;;;;;;;;media
AM;FONTE BOA;municipio;99.0;47.0;19.0;;;;;media
AM;.JUTA(;municipio;36.0;16.0;10.0;;;;;media
AM;SÃO PAULO OE OLIVENÇA;municipio;;;;;;;;media
AM;TABATINGA;municipio;;;;;;;;media
AM;TONANTINS;municipio;;;;;;;;media
AM;.JURUA;microrregiao;667.0;244.0;147.0;;;;;media
AM;CARAUARI;municipio;48.0;19.0;15.0;;;;;media
AM;EIRUNEPE;municipio;369.0;127.0;80.0;;;;;media
AM;ENYIRA;municipio;145.0;58.0;27.0;;;;;media
AM;IPIXUNA;municipio;42.0;12.0;;;;;;media
AM;ITAMARATI;municipio;8.0;19.0;18.0;;;;;media
AM;.JURUA;municipio;15.0;;;;;;;media
AM;PURUS;microrregiao;729.0;568.0;466.0;;;;;media
AM;BOCA DO ACRE;municipio;549.0;461.0;360.0;;;;;media
AM;CANUTAMA;municipio;60.0;25.0;21.0;;;;;media
AM;LABREA;municipio;92.0;68.0;77.0;;;;;media
AM;PAUINI;municipio;20.0;10.0;;;;;;media
AM;TAPAUA;municipio;;;;;;;;media
AM;MADEIRA;microrregiao;575.0;221.0;189.0;;;;;media
AM;BORBA;municipio;136.0;48.0;37.0;;;;;media
AM;HUMAITA;municipio;338.0;146.0;129.0;;;;;media
AM;MANICORE;municipio;96.0;25.0;22.0;;;;;media
AM;NOVO ARIPUANÃ;municipio;5.0;;;;;;;media
AM;RIO NEGRO;microrregiao;;12.0;12.0;;;;;media
AM;BARCELOS;municipio;;;;;;;;media
AM;SANTA ISABEL DO RIO NEGRO;municipio;;12.0;12.0;;;;;media
AM;SOLIMÕES-.JAPURA;microrregiao;234.0;93.0;73.0;;;;;media
AM;ALYARÃES;municipio;;;;;;;;media
AM;ANAMÃ;municipio;;2.0;;;;;;media
AM;ANORI;municipio;37.0;23.0;15.0;;;;;media
AM;COOAJAS;municipio;93.0;44.0;37.0;;;;;media
AM;.JAPURA;municipio;3.0;;;;;;;media
AM;MARAÃ;municipio;2.0;;;;;;;media
AM;TEFE;municipio;92.0;21.0;17.0;;;;;media
AM;MEOIO AMAZONAS;microrregiao;30936.0;18080.0;;431.0;202.0;269.0;28.0;media
AM;AUTAZES;municipio;7358.0;4469.0;626.0;55.0;48.0;240.0;24.0;media
AM;BARREIRINHA;municipio;70.0;239.0;146.0;29.0;;;;media
AM;MESORREOIÕES, MI CRORREGIÕES;mesorregiao;;;;;;;;media
AM;BERURI;mesorregiao;;;;;;;;media
AM;BOA VISTA DO RAMOS;mesorregiao;431.0;176.0;;;;;;media
AM;CAAP I RANGA;mesorregiao;;;;;;;;media
AM;CAREIRO;mesorregiao;8363.0;5771.0;95.0;51.0;;;;media
AM;IRANOUBA;mesorregiao;710.0;460.0;67.0;16.0;10.0;3.0;;media
AM;ITACOATIARA;mesorregiao;2807.0;1847.0;1123.0;44.0;32.0;;;media
AM;ITAPIRANGA;mesorregiao;821.0;512.0;;;;;;media
AM;MANACAPURU;mesorregiao;424.0;116.0;;;;;;media
AM;MANAQUIRI;mesorregiao;215.0;131.0;;;;;;media
AM;MAUES;mesorregiao;111.0;40.0;213.0;19.0;11.0;;;media
AM;NHAMUNOA;mesorregiao;1705.0;415.0;3.0;;;;;media
AM;NOVA OLINDA DO NORTE;mesorregiao;;;;;;;;media
AM;PARINTINS;mesorregiao;171.0;1132.0;29.0;;;;;media
AM;PRESIDENTE FIGUEIREDO;mesorregiao;108.0;61.0;;;;;;media
AM;RIO PRETO DA EVA;mesorregiao;141.0;155.0;;;;;;media
AM;slo SEBASTIÃO DO UATUMÃ;mesorregiao;177.0;104.0;;;;;;media
AM;SILVES;mesorregiao;190.0;41.0;20.0;8.0;;;;media
AM;URUCARA;mesorregiao;211.0;258.0;181.0;;;;;media
AM;URUCURITUBA;mesorregiao;416.0;122.0;20.0;;;;;media
AP;TOTAIS;total;2121.0;1089.0;767.0;2457.0;685.0;33.0;;alta
AP;AMAPA;mesorregiao;2121.0;1089.0;767.0;2457.0;685.0;33.0;;alta
AP;MACAPA;microrregiao;1049.0;557.0;429.0;1348.0;309.0;33.0;;alta
AP;MACAPA;municipio;926.0;531.0;416.0;1198.0;291.0;30.0;;alta
AP;MAZAGÃO;municipio;123.0;26.0;13.0;150.0;18.0;;;alta
AP;AMAPA E OIAPOQUE;microrregiao;1072.0;531.0;337.0;1109.0;375.0;;;alta
AP;AMAPA;municipio;757.0;412.0;250.0;940.0;316.0;;;alta
AP;CALÇOENE;municipio;308.0;117.0;86.0;163.0;58.0;;;alta
AP;OIAPOQUE;municipio;;;;;;;;alta
BA;TOTAIS;total;1052424.0;648995.0;475008.0;1512.0;1182.0;136717.0;7624.0;media
BA;OESTE BAIANO;mesorregiao;329415.0;144235.0;66489.0;;;106519.0;5657.0;media
BA;CHAPADÕES DO ALTO RIO GRANDE;mesorregiao;27457.0;11781.0;6753.0;;;230.0;;media
BA;ANGICAL;microrregiao;485.0;3025.0;202.0;;;108.0;;media
BA;BAIANOPOLIS;microrregiao;927.0;147.0;53.0;;;;;media
BA;BARREIRAS;microrregiao;3154.0;1598.0;11320.0;19.0;;;;media
BA;BRE JOLANDIA;microrregiao;2679.0;1156.0;573.0;;;;;media
BA;CATOLANOIA;microrregiao;782.0;257.0;131.0;;;;;media
BA;CRISTOPOLIS;microrregiao;1264.0;237.0;74.0;;;70.0;;media
BA;FORMOSA DO RIO PRETO;microrregiao;2241.0;744.0;401.0;;;;;media
BA;RI A CHÃO DAS NEVES;microrregiao;2142.0;904.0;338.0;;;;;media
BA;SANTA RITA DE CASSIA;microrregiao;1505.0;393.0;151.0;16.0;;;;media
BA;SÃO OESIOERIO;microrregiao;2320.0;1144.0;556.0;;;;;media
