_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;confianca
AC;TOTAIS;total;23959.0;108726.0;35049.0;381001.0;33728.0;322764.0;alta
AC;ACRE;mesorregiao;23959.0;108726.0;35049.0;381001.0;33728.0;322764.0;alta
AC;ALTO JURUA;microrregiao;11294.0;30932.0;13909.0;94173.0;13827.0;77765.0;alta
AC;CRUZEIRO DO SUL;municipio;5539.0;6805.0;6443.0;39317.0;6417.0;33913.0;alta
AC;FEIJO;municipio;1730.0;18748.0;2045.0;26531.0;2014.0;19880.0;alta
AC;MANCIO LIMA;municipio;984.0;1354.0;1093.0;6768.0;1081.0;5854.0;alta
AC;TARAUACA;municipio;3041.0;4024.0;328.0;21555.0;4315.0;18117.0;alta
AC;ALTO PURUS;microrregiao;12665.0;77793.0;21140.0;286828.0;19901.0;244999.0;alta
AC;ASSIS BRASIL;municipio;131.0;356.0;167.0;1826.0;163.0;1165.0;alta
AC;BRASILEIA;municipio;1881.0;8149.0;2482.0;34932.0;2417.0;32777.0;alta
AC;MANOEL URBANO;municipio;234.0;634.0;735.0;101.0;686.0;5798.0;alta
AC;PLACIDO DE CASTRO;municipio;865.0;3037.0;3545.0;37563.0;3496.0;31465.0;alta
AC;SENADOR GUIOMARD;municipio;1974.0;6674.0;2264.0;29049.0;2049.0;22644.0;alta
AC;SENA MADUREIRA;municipio;1168.0;9616.0;4401.0;42973.0;4149.0;34515.0;alta
AC;XAPURI;municipio;1673.0;8024.0;1868.0;34010.0;1838.0;27901.0;alta
AL;TOTAIS;total;126913.0;1809789.0;142774.0;2964774.0;134282.0;2999484.0;alta
AL;SERTÃO E AGRESTE ALAGOANO;microrregiao;107698.0;425779.0;121965.0;979824.0;114287.0;1011407.0;alta
AL;SERT ÂO ALAGO ANO;microrregiao;21459.0;23107.0;26625.0;94309.0;22929.0;78594.0;alta
AL;AGUA BRANCA;municipio;7657.0;4058.0;8362.0;22694.0;8198.0;20415.0;alta
AL;OELMIRO GOUVEIA;municipio;939.0;2857.0;1041.0;7221.0;894.0;6441.0;alta
AL;INHAPI;municipio;3390.0;2935.0;5285.0;12218.0;3777.0;9162.0;alta
AL;MATA GRANDE;municipio;3946.0;4668.0;5613.0;18049.0;4114.0;14253.0;alta
AL;OLWO D' AGUA DO CASADO;municipio;758.0;986.0;910.0;5775.0;781.0;5124.0;alta
AL;PIRANHAS;municipio;974.0;1245.0;1137.0;6842.0;1016.0;5401.0;alta
AL;BATALHA;microrregiao;23892.0;76708.0;26616.0;25580.0;184926.0;;alta
AL;BATALHA;municipio;407.0;13438.0;408.0;26923.0;400.0;21032.0;alta
AL;BELO MONTE;municipio;777.0;7192.0;778.0;24668.0;778.0;18743.0;alta
AL;CARNEIROS;municipio;869.0;1990.0;962.0;5103.0;788.0;3070.0;alta
AL;DOIS RIACHOS;municipio;1301.0;3261.0;1308.0;9130.0;1299.0;7537.0;alta
AL;JACARE DOS HOMENS;municipio;201.0;4774.0;201.0;10957.0;196.0;9582.0;alta
AL;JARAMATAIA;municipio;151.0;2000.0;151.0;5945.0;151.0;5291.0;alta
AL;MAJOR IS I OORO;municipio;2066.0;13013.0;2115.0;36183.0;2102.0;27528.0;alta
AL;MARAVILHA;municipio;1760.0;2124.0;2044.0;10639.0;1981.0;8542.0;alta
AL;MONTEIROPOLIS;municipio;533.0;1955.0;562.0;4361.0;558.0;3816.0;alta
AL;OLHO D' AGUA DAS FLORES;municipio;1043.0;1503.0;1231.0;5539.0;1083.0;4051.0;alta
AL;OLIVENÇA;municipio;2352.0;1867.0;8666.0;1755.0;6548.0;;alta
AL;OURO BRANCO;municipio;1475.0;2443.0;1536.0;5718.0;1485.0;4462.0;alta
