_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;confianca
AC;TOTAIS;total;35049.0;5234764.0;33061.0;4243265.0;900.0;866221.0;1088.0;125277.0;alta
AC;ACRE;mesorregiao;35049.0;5234764.0;33061.0;4243265.0;900.0;866221.0;1088.0;125277.0;alta
AC;ALTO JURUA;microrregiao;13909.0;2441804.0;13484.0;2090601.0;312.0;326788.0;113.0;24414.0;alta
AC;CRUZEIRO DO SUL;municipio;6443.0;446502.0;6307.0;431208.0;72.0;9952.0;64.0;5341.0;alta
AC;FEIJO;municipio;2045.0;1339690.0;1951.0;1093269.0;83.0;230686.0;11.0;15734.0;alta
AC;MANCIO LIMA;municipio;1093.0;77338.0;1039.0;73645.0;52.0;3540.0;;152.0;alta
AC;TARAUACA;municipio;4328.0;578272.0;4187.0;492477.0;105.0;82608.0;36.0;3186.0;alta
AC;ALTO PURUS;microrregiao;21140.0;2792959.0;19577.0;2152663.0;588.0;539432.0;975.0;100863.0;alta
AC;ASSIS BRASIL;municipio;167.0;14960.0;158.0;14202.0;;318.0;;440.0;alta
AC;BRASILEIA;municipio;2482.0;248395.0;2430.0;217328.0;43.0;30632.0;;435.0;alta
AC;MANOEL URBANO;municipio;735.0;69951.0;674.0;63366.0;;1190.0;55.0;5393.0;alta
AC;PLACIDO DE CASTRO;municipio;3545.0;294448.0;3382.0;278160.0;33.0;2419.0;130.0;13869.0;alta
AC;SENADOR GUIOMARD;municipio;2264.0;227405.0;1813.0;141563.0;60.0;44394.0;391.0;41448.0;alta
AC;SENA MADUREIRA;municipio;4401.0;678234.0;4203.0;585896.0;94.0;81125.0;104.0;11211.0;alta
AC;XAPURI;municipio;1868.0;443678.0;1774.0;336128.0;72.0;104268.0;22.0;3280.0;alta
AL;TOTAIS;total;142774.0;2363772.0;80626.0;1048701.0;24748.0;1014861.0;37400.0;300209.0;media
AL;SERTÂO E AGRESTE ALAGOANO;mesorregiao;121965.0;1373390.0;69947.0;644061.0;567214.0;34333.0;162114.0;;media
AL;SERTÃO ALAGOANO;microrregiao;26625.0;303556.0;12719.0;135185.0;3776.0;10130.0;41592.0;;media
AL;AGUA BRANCA;municipio;8362.0;50246.0;3044.0;18093.0;905.0;18122.0;4413.0;14030.0;media
AL;CANAPI;municipio;4277.0;59145.0;2860.0;39220.0;352.0;14328.0;1065.0;5596.0;media
AL;DELMIRO GOUVEIA;municipio;1041.0;42843.0;386.0;9765.0;261.0;25660.0;394.0;7417.0;media
AL;INHAPI;municipio;5285.0;30781.0;2168.0;17521.0;755.0;7892.0;2362.0;5366.0;media
AL;MATA GRANDE;municipio;5613.0;56193.0;3287.0;31381.0;763.0;18350.0;1563.0;6461.0;media
AL;OLHO D' AGUA DO CASADO;municipio;910.0;27881.0;259.0;7919.0;520.0;19005.0;131.0;956.0;media
AL;PIRANHAS;municipio;1137.0;36465.0;715.0;11282.0;220.0;23419.0;202.0;1762.0;media
AL;BATALHA;microrregiao;26616.0;421262.0;17758.0;221959.0;3937.0;158912.0;4921.0;40390.0;media
AL;BATALHA;municipio;408.0;28766.0;136.0;4678.0;124.0;19319.0;148.0;;media
AL;BELO MONTE;municipio;778.0;27974.0;258.0;8613.0;160.0;14471.0;360.0;4889.0;media
AL;CARNEIROS;municipio;962.0;9857.0;546.0;5593.0;170.0;3047.0;246.0;1217.0;media
AL;DOIS RIACHOS;municipio;1308.0;13724.0;827.0;7734.0;217.0;4283.0;264.0;1705.0;media
AL;.JACARE DOS HOMENS;municipio;201.0;15306.0;101.0;3722.0;65.0;9949.0;35.0;1634.0;media
AL;.JARAMATAIA;municipio;151.0;9749.0;87.0;2148.0;51.0;7332.0;13.0;267.0;media
AL;MA JOR ISIDORO;municipio;2115.0;1496.0;19429.0;349.0;19487.0;270.0;3668.0;;media
AL;MARAVILHA;municipio;2044.0;29838.0;1046.0;15679.0;494.0;10230.0;504.0;;media
AL;MONTEIROPOLI S;municipio;562.0;90.0;65.0;407.0;146.0;359.0;;;media
AL;OLHO O' AGUA DAS FLORES;municipio;1231.0;12710.0;911.0;9033.0;181.0;3207.0;139.0;469.0;media
AL;OLIVENÇA;municipio;1867.0;16185.0;1280.0;11524.0;243.0;2871.0;344.0;1788.0;media
AL;OURO BRANCO;municipio;1536.0;17302.0;822.0;10447.0;351.0;4762.0;363.0;2092.0;media
AL;PALESTINA;municipio;307.0;2025.0;61.0;276.0;131.0;1492.0;115.0;255.0;media
AL;PÃO DE AÇUCAl=I;municipio;2109.0;52561.0;1152.0;27525.0;369.0;22617.0;588.0;2418.0;media
AL;POÇO DAS TRINCHEIRAS;municipio;2025.0;22165.0;1557.0;16485.0;109.0;3556.0;359.0;2123.0;media
AL;SANTANA OG IPANEMA;municipio;3217.0;36519.0;2637.0;304.0;11169.0;276.0;2482.0;;media
AL;SÃO .JOSE DA TAPERA;municipio;4618.0;52322.0;3607.0;36658.0;452.0;12771.0;559.0;2892.0;media
AL;SENADOR RUI PALMEIRA;municipio;1177.0;22807.0;883.0;15447.0;102.0;3933.0;192.0;3426.0;media
AL;PALMEIRA DOS INDIOS;microrregiao;19114.0;230310.0;13023.0;107284.0;2548.0;104710.0;3543.0;18315.0;media
AL;CACIMBINHAS;municipio;1468.0;30596.0;1033.0;11948.0;107.0;16555.0;326.0;2092.0;media
AL;IGACI;municipio;5540.0;32673.0;3174.0;20109.0;495.0;8172.0;1871.0;4391.0;media
AL;MAl=IIBONOO;municipio;359.0;15469.0;210.0;8323.0;101.0;5078.0;48.0;2066.0;media
AL;MAR VERMELHO;municipio;551.0;9860.0;426.0;5117.0;59.0;3236.0;66.0;506.0;media
AL;MINADOR DO NEGRÃO;municipio;758.0;22712.0;618.0;11906.0;84.0;9061.0;56.0;1744.0;media
AL;PALMEIRA DOS INOIOS;municipio;6855.0;50319.0;5636.0;29929.0;603.0;17796.0;616.0;2594.0;media
AL;PAULO .JACINTO;municipio;1156.0;11213.0;490.0;3103.0;470.0;7769.0;196.0;340.0;media
AL;OUEBRANGULO;municipio;706.0;39676.0;308.0;7448.0;323.0;31478.0;75.0;748.0;media
AL;TANQUE D I ARCA;municipio;1028.0;10781.0;707.0;5976.0;221.0;3070.0;100.0;1733.0;media
AL;ARAP(RACA;microrregiao;40856.0;333294.0;23292.0;154575.0;5123.0;130382.0;12441.0;48335.0;media
AL;ANADIA;municipio;815.0;20485.0;617.0;5762.0;143.0;10092.0;55.0;4630.0;media
AL;ARAPIRACA;municipio;4432.0;24598.0;2792.0;11520.0;586.0;9622.0;1054.0;3455.0;media
AL;COITE DO NOIA;municipio;1656.0;7133.0;1123.0;4996.0;218.0;1424.0;31.0;712.0;media
AL;CRAIBAS;municipio;2114.0;19810.0;1347.0;10317.0;248.0;8172.0;519.0;1321.0;media
AL;FEIRA GRANDE;municipio;3705.0;15907.0;1939.0;6678.0;384.0;5668.0;1382.0;3559.0;media
AL;GIRAU DO PONCIANO;municipio;5279.0;54972.0;3112.0;22289.0;598.0;26677.0;1569.0;6005.0;media
AL;.JUNQUEIRO;municipio;2954.0;22027.0;1667.0;11439.0;252.0;6118.0;1035.0;4469.0;media
AL;LAGOA DA CANOA;municipio;1393.0;4666.0;860.0;2960.0;301.0;1125.0;232.0;581.0;media
AL;MATA ALAGOANA;mesorregiao;19212.0;;377916.0;6224.0;;95709.0;;;media
AL;MATA ALAGOANA;microrregiao;11640.0;;232516.0;2928.0;;46531.0;;;media
AL;ATALAIA;municipio;617.0;;39634.0;113.0;;1439.0;;;media
AL;BRANQUINHA;municipio;165.0;;16523.0;27.0;;270.0;;;media
AL;CA JUEIRO;municipio;80.0;;1451.0;41.0;;2531.0;;;media
AL;CAPELA;municipio;503.0;;10147.0;190.0;;1987.0;;;media
AL;CHÃ PRETA;municipio;1124.0;;6900.0;291.0;;2258.0;;;media
AL;COLONIA LEOPOLDINA;municipio;320.0;;8385.0;115.0;;1770.0;;;media
AL;FLEXEIRAS;municipio;127.0;;5488.0;23.0;;15179.0;;;media
AL;I BATEGUARA;municipio;1015.0;;8276.0;437.0;;1413.0;;;media
AL;JACU IPE;municipio;213.0;;1891.0;68.0;;822.0;;;media
AL;JOAQUIM GOMES;municipio;796.0;;12955.0;123.0;;4921.0;;;media
AL;.JUNOIA;municipio;94.0;;2648.0;45.0;;1427.0;;;media
AL;MESSIAS;municipio;25.0;;6810.0;16.0;;162.0;;;media
AL;MURICI;municipio;137.0;;33057.0;31.0;;703.0;;;media
AL;NOVO LINO;municipio;287.0;;7335.0;60.0;;4883.0;;;media
AL;PINDOBA;municipio;480.0;;4252.0;140.0;;1334.0;;;media
AL;SANTANA DO MUNDAU;municipio;1063.0;;10503.0;219.0;;807.0;;;media
AL;SÃO JOSE DA LA JE;municipio;304.0;;6348.0;100.0;;832.0;;;media
AL;UNIÃO DOS PALMARES;municipio;2489.0;;38785.0;265.0;;2418.0;;;media
AL;VIÇOSA;municipio;1801.0;;11121.0;624.0;;1370.0;;;media
AL;LITORAL NORTE ALAGOANO;microrregiao;3723.0;;57692.0;2176.0;;16008.0;;;media
AL;BARRA DE SANTO ANTONIO;municipio;134.0;;3238.0;92.0;;;;;media
AL;JAPARAT I NGA;municipio;381.0;8011.0;92.0;1098.0;211.0;5897.0;78.0;;media
AL;MARAGOGI;municipio;792.0;;1491.0;541.0;;4479.0;;;media
AL;MATRIZ DE CAMARAGIBE;municipio;67.0;;17701.0;25.0;;369.0;;;media
