_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;confianca
AC;TOTAIS;total;35049.0;237.0;198.0;16.0;23.0;alta
AC;ACRE;mesorregiao;35049.0;237.0;198.0;16.0;23.0;alta
AC;ALTO JURUA;microrregiao;13909.0;25.0;;;21.0;alta
AC;CRUZEIRO;municipio;6443.0;23.0;;;20.0;alta
AC;FE IJO;municipio;2045.0;;;;;alta
AC;MANCIO LIMA;municipio;1093.0;;;;;alta
AC;TARAUACA;municipio;4328.0;;;;;alta
AC;ALTO PURUS;microrregiao;21140.0;212.0;196.0;14.0;2.0;alta
AC;ASSIS BRASIL;municipio;167.0;;;;;alta
AC;BRASILEIA;municipio;2482.0;;;;;alta
AC;MANOEL URBANO;municipio;735.0;;;;;alta
AC;PLACIDO DE CASTRO;municipio;3545.0;;;;;alta
AC;SENADOR GU l OMARO;municipio;2264.0;;;;;alta
AC;SENA MADUREIRA;municipio;4401.0;21.0;17.0;;;alta
AC;XAPURI;municipio;1868.0;169.0;169.0;;;alta
AL;TOTAIS;total;142774.0;2176.0;1639.0;481.0;203.0;media
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;121965.0;967.0;591.0;234.0;151.0;media
AL;SERTÃO ALAGOANO;microrregiao;26625.0;16.0;13.0;;;media
AL;AGUA BRANCA;municipio;8362.0;;2.0;;;media
AL;CANAPI;municipio;4277.0;;;;;media
AL;DELMIRO GOUVEIA;municipio;1041.0;;;;;media
AL;INHAPI;municipio;5285.0;;2.0;;;media
AL;MATA GRANDE;municipio;5613.0;;;;;media
AL;OLHO O'AGUA DO CASADO;municipio;910.0;;;;;media
AL;PIRANHAS;municipio;1137.0;;;;;media
AL;BATALHA;microrregiao;26616.0;369.0;276.0;;91.0;media
AL;BATALHA;municipio;408.0;;;;;media
AL;BELO MONTE;municipio;778.0;;;;;media
AL;CARNEIROS;municipio;962.0;;;;;media
AL;DOIS RIACHOS;municipio;1308.0;;2.0;;;media
AL;JACARE DOS HOMENS;municipio;201.0;;;;;media
AL;.JARAMATAIA;municipio;151.0;;;;;media
AL;MAJOR ISIDORO;municipio;2115.0;98.0;;;89.0;media
AL;MARAVILHA;municipio;2044.0;;;;;media
AL;MONTEI ROPO LI S;municipio;562.0;;;;;media
AL;OLHO D'AGUA DAS FLORES;municipio;1231.0;;;;;media
AL;OLIVENÇA;municipio;1867.0;2.0;;;;media
AL;OURO BRANCO;municipio;1536.0;;;;;media
AL;PALESTINA;municipio;307.0;;;;;media
AL;PÃO DE AÇUCAR;municipio;2109.0;15.0;;;;media
AL;POÇO DAS TRINCHEIRAS;municipio;2025.0;;;;;media
AL;SANTANA DO IPANEMA;municipio;3217.0;244.0;244.0;;;media
AL;SÃO JOSE DA TAPERA;municipio;4618.0;;;;;media
AL;SENADOR RUI PALMEIRA;municipio;1177.0;;;;;media
AL;PALMEIRA DOS INOIOS;microrregiao;19114.0;307.0;101.0;198.0;14.0;media
AL;SELEM;municipio;695.0;;;;;media
AL;CACIMBINHAS;municipio;1466.0;;;;;media
AL;IGACI;municipio;5540.0;205.0;69.0;133.0;;media
AL;MARIBONOO;municipio;359.0;;;;;media
AL;MAR VERMELHO;municipio;551.0;;;;;media
AL;MINADOR DO NEGRÃO;municipio;758.0;;;;;media
AL;PALMEIRA DOS INOIOS;municipio;6855.0;68.0;;57.0;;media
AL;PAULO .JACINTO;municipio;1156.0;;;;;media
AL;QUEBRANGULO;municipio;706.0;10.0;;;;media
AL;TANQUE D' ARCA;municipio;1028.0;;;;;media
AL;ARAPIRACA;microrregiao;40856.0;212.0;198.0;11.0;;media
AL;ANADIA;municipio;815.0;31.0;31.0;;;media
AL;ARAPIRACA;municipio;4432.0;44.0;44.0;;;media
AL;COITE DO NOIA;municipio;1656.0;27.0;27.0;;;media
AL;CRAIBAS;municipio;2114.0;13.0;11.0;;;media
AL;FEIRA GRANDE;municipio;3705.0;;;;;media
AL;GIRAU DO PONCIANO;municipio;5279.0;12.0;11.0;;;media
AL;JUNQUEIRO;municipio;2954.0;;;;;media
AL;LAGOA DA CANOA;municipio;1393.0;;;;;media
AL;LIMOEIRO DE ANADIA;municipio;4759.0;;;;;media
AL;OLHO D'AGUA GRANDE;municipio;1112.0;;2.0;;;media
AL;SÃO SRAS;municipio;1630.0;;;;;media
AL;SÃO SEBASTIÃO;municipio;2427.0;;;;;media
AL;MATA ALAGOANA;mesorregiao;19212.0;1083.0;938.0;220.0;50.0;media
AL;MATA ALAGOANA;microrregiao;11640.0;615.0;530.0;131.0;34.0;media
AL;ATALAIA;municipio;617.0;;;;;media
AL;BRANOU I NHA;municipio;165.0;11.0;11.0;;;media
AL;CAJUEIRO;municipio;80.0;;;;;media
AL;CAPELA;municipio;503.0;21.0;18.0;11.0;;media
